기준일자|||유형|||연관검색어|||검색키워드|||검색량|||지표|||뉴스제목|||뉴스링크|||활동성|||구글검색어|||네이버검색어|||상승월|||
"2024-03-19|||주별 급상승|||CI보험|||건강보험|||6450.0|||90.91%|||""중대한 질병 보험  가입시 대리청구인 미리 지정하세요""|||https://n.news.naver.com/mnews/article/015/0004960716?sid=101|||0.2%||||||보험||||||"
"2024-03-19|||주별 급상승|||CI보험|||건강보험|||6450.0|||90.91%|||유틸렉스, 신주 발행 없이 자회사 아이앤시스템 흡수합병 결정···""관리종목...|||https://mdtoday.co.kr/news/view/1065570078144943|||0.2%||||||AIG손해보험||||||"
"2024-03-19|||주별 급상승|||CI보험|||건강보험|||6450.0|||90.91%|||푸본현대생명, 믿고 맡겨도 되나…금감원 무더기 개선 통보|||https://mdtoday.co.kr/news/view/1065611846316722|||0.2%||||||건강||||||"
"2024-03-19|||주별 급상승|||CI보험|||건강보험|||6450.0|||90.91%|||손보 사회공헌협의회, 비상식량세트 840개 기부|||https://www.upinews.kr/newsView/1065596699900991|||0.2%||||||MRI보험적용||||||"
2024-03-19|||주별 급상승|||ISA거래수수료|||중개형ISA|||80.0|||14.0%|||“코인 개미 붙잡자”… 증권사 고객 유치에 팔걷어|||https://www.ekn.kr/web/view.php?key=20240318026277081|||0.0%||||||국민연금||||||
"2024-03-19|||주별 급상승|||ISA거래수수료|||중개형ISA|||80.0|||14.0%|||[증권소식] 금감원 ""주총서 의결권 불성실하게 행사한 운용사 공개""/KIC, 실리...|||https://www.asiatime.co.kr/article/20240315500262|||0.0%||||||NH투자증권||||||"
2024-03-19|||주별 급상승|||ISA거래수수료|||중개형ISA|||80.0|||14.0%|||[더벨][금융사 KPI 점검/신한은행]수익성 실현 최우선 ‘재무’ 평가 배점 올...|||https://www.thebell.co.kr/free/content/ArticleView.asp?key=202403081412547440101028|||0.0%||||||나무증권||||||
2024-03-19|||주별 급상승|||ISA거래수수료|||중개형ISA|||80.0|||14.0%|||[기획] ‘고공행진’ 금값에 ‘골드러시’ 나서볼까|||https://weekly.cnbnews.com/news/article.html?no=158722|||0.0%||||||주택연금||||||
"2024-03-19|||주별 급상승|||ISA거래수수료|||중개형ISA|||80.0|||14.0%|||미래에셋, 상장 1개월 ‘TIGER 1년은행양도성예금증서액티브 ETF’ 수익률 1위|||https://www.cnbnews.com/news/article.html?no=647697|||0.0%||||||IRP세액공제||||||"
"2024-03-19|||주별 급상승|||ISA거래수수료|||중개형ISA|||80.0|||14.0%|||미래에셋운용 1년 은행CD TIGER ETF, 금리형 종목 수익률 1위|||http://www.finomy.com/news/articleView.html?idxno=207982|||0.0%||||||IRP퇴직연금수령||||||"
