기준일자,유형,연관검색어,검색일자,검색량,InfoData,RisingMonth
2024-03-26,월별규칙성,보험설계사,2021-09-13,90.98521703684543,93.47,10.0
2024-03-26,월별규칙성,보험설계사,2021-10-11,79.57635272496357,93.47,12.0
2024-03-26,월별규칙성,보험설계사,2021-11-08,90.66009870795801,93.47,1.0
2024-03-26,월별규칙성,보험종류,2021-07-19,99.5438846400102,94.66,3.0
2024-03-26,월별규칙성,보험종류,2021-08-16,86.88362634384863,94.66,5.0
2024-03-26,월별규칙성,보험종류,2021-09-13,100.0,94.66,8.0
2024-03-26,월별규칙성,보험종류,2021-10-11,83.72780941843764,94.66,10.0
2024-03-26,월별규칙성,보험종류,2021-11-08,89.52169405844782,94.66,11.0
2024-03-26,월별규칙성,보험종류,2021-12-06,89.3737655265337,94.66,12.0
2024-03-26,월별규칙성,보험종류,2022-01-03,90.32297512505373,94.66,1.0
2024-03-26,월별규칙성,부가세,2021-07-19,60.96729172600944,92.08,4.0
2024-03-26,월별규칙성,부가세,2021-08-16,57.945512961655155,92.08,7.0
2024-03-26,월별규칙성,부가세,2021-09-13,39.244134931264554,92.08,10.0
2024-03-26,월별규칙성,부가세,2021-10-11,37.49921986654186,92.08,12.0
2024-03-26,월별규칙성,부가세,2021-11-08,45.460134528797404,92.08,1.0
2024-03-26,월별규칙성,부동산등기,2021-07-19,83.04082763716978,89.96,3.0
2024-03-26,월별규칙성,부동산등기,2021-08-16,90.61518566414189,89.96,1.0
2024-03-26,월별규칙성,부동산매매,2021-07-19,87.86006383763178,89.69,8.0
2024-03-26,월별규칙성,부동산매매,2021-08-16,86.12340381577609,89.69,10.0
2024-03-26,월별규칙성,부동산매매,2021-09-13,93.53761414193389,89.69,1.0
2024-03-26,월별규칙성,사이트,2021-07-19,72.3128269308022,92.46,3.0
2024-03-26,월별규칙성,사이트,2021-08-16,69.21792510910544,92.46,4.0
2024-03-26,월별규칙성,사이트,2021-09-13,87.60755069367205,92.46,10.0
2024-03-26,월별규칙성,사이트,2021-10-11,71.04147578013465,92.46,1.0
2024-03-26,월별규칙성,사직서작성방법,2021-07-19,100.0,91.97,2.0
2024-03-26,월별규칙성,상속세계산,2021-07-19,65.74585214114742,88.89,6.0
2024-03-26,월별규칙성,상속세계산,2021-08-16,73.52315970871302,88.89,9.0
2024-03-26,월별규칙성,상속세계산,2021-09-13,80.19549254858842,88.89,1.0
2024-03-26,월별규칙성,상속세계산기,2021-07-19,80.74730086716517,89.66,2.0
2024-03-26,월별규칙성,상속세계산기,2021-08-16,81.61016555927856,89.66,5.0
2024-03-26,월별규칙성,상속세계산기,2021-09-13,88.35901270848005,89.66,1.0
2024-03-26,월별규칙성,상속세세율,2021-07-19,70.10134420120181,90.39,5.0
2024-03-26,월별규칙성,상속세세율,2021-08-16,70.63822235450726,90.39,9.0
2024-03-26,월별규칙성,상속세세율,2021-09-13,80.81019116528041,90.39,1.0
2024-03-26,월별규칙성,상속인,2021-07-19,75.79971939454789,93.09,8.0
2024-03-26,월별규칙성,상속포기신고,2021-07-19,76.00183909595076,94.33,3.0
2024-03-26,월별규칙성,상속포기신고,2021-08-16,80.88438389166166,94.33,1.0
2024-03-26,월별규칙성,석상,2021-07-19,82.40693358449991,92.93,3.0
2024-03-26,월별규칙성,석상,2021-08-16,79.6532369402221,92.93,5.0
2024-03-26,월별규칙성,석상,2021-09-13,87.71035133829719,92.93,8.0
2024-03-26,월별규칙성,석상,2021-10-11,85.77256417624554,92.93,1.0
2024-03-26,월별규칙성,설립,2021-07-19,89.7075746902086,92.63,3.0
2024-03-26,월별규칙성,설립,2021-08-16,80.86575828463056,92.63,10.0
2024-03-26,월별규칙성,설립,2021-09-13,98.82569932670025,92.63,1.0
2024-03-26,월별규칙성,성취,2021-07-19,66.01731029824995,94.34,3.0
2024-03-26,월별규칙성,성취,2021-08-16,55.93691000349092,94.34,9.0
2024-03-26,월별규칙성,성취,2021-09-13,74.11873186889923,94.34,12.0
2024-03-26,월별규칙성,성취,2021-10-11,69.40321018711344,94.34,1.0
2024-03-26,월별규칙성,소득공제,2021-07-19,11.016467879019979,90.64,5.0
2024-03-26,월별규칙성,소득공제,2021-08-16,10.124556945664837,90.64,7.0
2024-03-26,월별규칙성,소득공제,2021-09-13,12.157332901944764,90.64,10.0
2024-03-26,월별규칙성,소득공제,2021-10-11,9.538683083716188,90.64,11.0
2024-03-26,월별규칙성,소득공제,2021-11-08,10.395032411980964,90.64,12.0
2024-03-26,월별규칙성,소득공제,2021-12-06,12.495191443739111,90.64,1.0
2024-03-26,월별규칙성,소득공제용연금저축,2021-07-19,24.003161410352842,92.19,5.0
2024-03-26,월별규칙성,소득공제용연금저축,2021-08-16,24.456269062884147,92.19,8.0
2024-03-26,월별규칙성,소득공제용연금저축,2021-09-13,27.46940951808244,92.19,11.0
2024-03-26,월별규칙성,소득공제용연금저축,2021-10-11,29.7877852958612,92.19,12.0
2024-03-26,월별규칙성,소득공제용연금저축,2021-11-08,27.118247725387306,92.19,1.0
2024-03-26,월별규칙성,소득세계산법,2021-07-19,44.53223878937688,92.54,5.0
2024-03-26,월별규칙성,소득세계산법,2021-08-16,42.243891918571386,92.54,7.0
2024-03-26,월별규칙성,소득세계산법,2021-09-13,40.24158729022347,92.54,12.0
2024-03-26,월별규칙성,소득세계산법,2021-10-11,39.924676331737295,92.54,1.0
2024-03-26,월별규칙성,순금,2021-07-19,72.73003158243884,92.2,3.0
2024-03-26,월별규칙성,순금,2021-08-16,76.84482079847461,92.2,8.0
2024-03-26,월별규칙성,순금,2021-09-13,78.24476164657034,92.2,10.0
2024-03-26,월별규칙성,순금,2021-10-11,70.52535429848913,92.2,12.0
2024-03-26,월별규칙성,순금,2021-11-08,68.10810567083304,92.2,1.0
2024-03-26,월별규칙성,스케줄표,2021-07-19,76.48147900123426,91.49,3.0
2024-03-26,월별규칙성,스케줄표,2021-08-16,67.70369967308594,91.49,5.0
2024-03-26,월별규칙성,스케줄표,2021-09-13,80.29629510024675,91.49,10.0
2024-03-26,월별규칙성,스케줄표,2021-10-11,63.592589873826846,91.49,12.0
2024-03-26,월별규칙성,스케줄표,2021-11-08,68.22221773185133,91.49,1.0
2024-03-26,월별규칙성,시급계산기,2021-07-19,63.47865610234946,91.24,6.0
2024-03-26,월별규칙성,시급계산기,2021-08-16,53.05705035522976,91.24,10.0
2024-03-26,월별규칙성,시급계산기,2021-09-13,53.28013785104465,91.24,11.0
2024-03-26,월별규칙성,시급계산기,2021-10-11,46.36121789102178,91.24,12.0
2024-03-26,월별규칙성,시급계산기,2021-11-08,51.440711640181014,91.24,1.0
2024-03-26,월별규칙성,시황,2021-07-19,83.69725758945636,89.81,3.0
2024-03-26,월별규칙성,시황,2021-08-16,91.191705000018,89.81,6.0
2024-03-26,월별규칙성,시황,2021-09-13,99.35233168497332,89.81,8.0
2024-03-26,월별규칙성,시황,2021-10-11,83.29015287127491,89.81,9.0
2024-03-26,월별규칙성,신용카드발급,2021-07-19,71.54785714755532,94.03,5.0
2024-03-26,월별규칙성,신용카드발급,2021-08-16,76.10174741605957,94.03,7.0
2024-03-26,월별규칙성,신용카드발급,2021-09-13,79.30261139064345,94.03,8.0
2024-03-26,월별규칙성,신용카드발급,2021-10-11,64.88325038396242,94.03,10.0
2024-03-26,월별규칙성,신용카드발급,2021-11-08,72.3596684620236,94.03,1.0
2024-03-26,월별규칙성,아파트월세,2021-07-19,81.16701088274057,91.37,5.0
2024-03-26,월별규칙성,아파트월세,2021-08-16,81.13991294288509,91.37,7.0
2024-03-26,월별규칙성,아파트월세,2021-09-13,95.11335683233526,91.37,8.0
2024-03-26,월별규칙성,아파트월세,2021-10-11,89.24216412433289,91.37,10.0
2024-03-26,월별규칙성,아파트월세,2021-11-08,85.27684721199778,91.37,1.0
2024-03-26,월별규칙성,알바,2021-07-19,83.01991617491386,92.45,5.0
2024-03-26,월별규칙성,알바,2021-08-16,73.86389643822247,92.45,6.0
2024-03-26,월별규칙성,알바,2021-09-13,76.94191494496977,92.45,10.0
2024-03-26,월별규칙성,알바,2021-10-11,67.62365007772988,92.45,11.0
2024-03-26,월별규칙성,연말정산,2021-07-19,0.7877004016452697,98.07,5.0
2024-03-26,월별규칙성,연말정산,2021-08-16,0.7414139448656835,98.07,10.0
2024-03-26,월별규칙성,연말정산,2021-09-13,0.9261514339256263,98.07,11.0
2024-03-26,월별규칙성,연말정산,2021-10-11,0.7951796192448864,98.07,12.0
2024-03-26,월별규칙성,연말정산,2021-11-08,1.4678799247387586,98.07,1.0
2024-03-26,월별규칙성,연말정산간소화,2021-07-19,0.07293810373557062,99.42,5.0
2024-03-26,월별규칙성,연말정산간소화,2021-08-16,0.06118096183335927,99.42,10.0
2024-03-26,월별규칙성,연말정산간소화,2021-09-13,0.0731941998958168,99.42,11.0
