기준일자,유형,연관검색어,검색키워드,검색량,지표,뉴스제목,뉴스링크,활동성,구글검색어,네이버검색어,상승월
2024-03-21,일별 급상승,한국비엔씨주가,"달러환율, ELS",112800.0,109.25%,"3/30 거래량 급증 종목 기술력, '고평가' 경남제약·위더스제약... '저평가' ...",https://www.pointdaily.co.kr/news/articleView.html?idxno=194505,18.2%, ,삼성전자주가, 
2024-03-21,일별 급상승,한국비엔씨주가,"달러환율, ELS",112800.0,109.25%,"코로나19 관련주, '덩실덩실' 수젠텍·진시스템·소마젠·바디텍메드·엑세스...",https://www.pointdaily.co.kr/news/articleView.html?idxno=194485,18.2%, ,엔화환율, 
2024-03-21,일별 급상승,한국비엔씨주가,"달러환율, ELS",112800.0,109.25%,[주식마감기사] 일본 치사율 30% 전염병 확산 소식에 국제약품 상한가... 대영...,https://www.ggilbo.com/news/articleView.html?idxno=1020744,18.2%, ,미국증시, 
2024-03-21,일별 급상승,한국비엔씨주가,"달러환율, ELS",112800.0,109.25%,"의료기기 관련주, '함박웃음' 휴마시스· 한국비엔씨 ·멕아이씨에스,·수젠텍....",https://www.pointdaily.co.kr/news/articleView.html?idxno=194490,18.2%, ,엔화, 
2024-03-21,일별 급상승,한국비엔씨주가,"달러환율, ELS",112800.0,109.25%,"2024년 3월 20일,  한국비엔씨 에 대한 성별 및 연령별 관심도, 랭키파이의 빅데...",https://www.stardailynews.co.kr/news/articleView.html?idxno=441070,18.2%, ,달러환율, 
2024-03-21,일별 급상승,한국비엔씨주가,"달러환율, ELS",112800.0,109.25%,"코스피 뉴욕증시발 훈풍에 장중 2680선 오름세, 코스닥 890선 강보합",https://www.businesspost.co.kr/BP?command=article_view&num=346205,18.2%, ,엔비디아주가, 
2024-03-21,일별 급상승,한국비엔씨주가,"달러환율, ELS",112800.0,109.25%," 한국비엔씨 주가  14%대 상승곡선, 비만치료제 임상 1상 결과 주목",https://www.gukjenews.com/news/articleView.html?idxno=2948446,18.2%, ,테슬라주가, 
2024-03-21,일별 급상승,한국비엔씨주가,"달러환율, ELS",112800.0,109.25%,[N-Stock]  한국비엔씨 주가  18% 도약…강력한 흐름 잇나?,https://www.cbci.co.kr/news/articleView.html?idxno=461521,18.2%, ,환율계산기, 
2024-03-21,일별 급상승,한국비엔씨주가,"달러환율, ELS",112800.0,109.25%,"[52주 최고가] 삼화페인트 19.7%↑, 18개 종목 장중 신고가",https://www.itooza.com/common/iview.php?no=2024032009381848185,18.2%, ,달러, 
2024-03-21,일별 급상승,상속전문변호사,"상속, 증여",3860.0,41.32%,[로펌] ‘고객이 찾기 전에 먼저 보고’ 모토 … 고품질 협업으로 승부,https://www.joongang.co.kr/article/25236770,92.5%, ,증여세, 
