date,아파트등기비용
2021-04-17,24.15458
2021-04-18,26.57004
2021-04-19,55.07246
2021-04-20,44.92753
2021-04-21,45.41062
2021-04-22,41.78743
2021-04-23,39.37198
2021-04-24,31.40096
2021-04-25,31.88405
2021-04-26,57.48792
2021-04-27,57.48792
2021-04-28,45.16908
2021-04-29,55.07246
2021-04-30,50.0
2021-05-01,34.05797
2021-05-02,29.22705
2021-05-03,49.27536
2021-05-04,48.79227
2021-05-05,36.71497
2021-05-06,47.58454
2021-05-07,42.51207
2021-05-08,30.67632
2021-05-09,28.50241
2021-05-10,61.35265
2021-05-11,54.58937
2021-05-12,53.86473
2021-05-13,51.93236
2021-05-14,47.10144
2021-05-15,25.36231
2021-05-16,28.26086
2021-05-17,61.11111
2021-05-18,48.79227
2021-05-19,35.50724
2021-05-20,56.28019
2021-05-21,55.07246
2021-05-22,28.74396
2021-05-23,30.91787
2021-05-24,60.38647
2021-05-25,61.83574
2021-05-26,58.69565
2021-05-27,58.69565
2021-05-28,60.86956
2021-05-29,28.9855
2021-05-30,24.15458
2021-05-31,52.89855
2021-06-01,40.09661
2021-06-02,46.61835
2021-06-03,43.7198
2021-06-04,36.95652
2021-06-05,26.57004
2021-06-06,25.12077
2021-06-07,49.5169
2021-06-08,38.88888
2021-06-09,44.68599
2021-06-10,45.41062
2021-06-11,42.51207
2021-06-12,26.57004
2021-06-13,22.22222
2021-06-14,47.58454
2021-06-15,50.24154
2021-06-16,48.79227
2021-06-17,39.85507
2021-06-18,35.50724
2021-06-19,27.29468
2021-06-20,22.46376
2021-06-21,45.41062
2021-06-22,46.13526
2021-06-23,41.0628
2021-06-24,41.0628
2021-06-25,37.68115
2021-06-26,36.47342
2021-06-27,23.1884
2021-06-28,39.13043
2021-06-29,48.79227
2021-06-30,46.8599
2021-07-01,37.68115
2021-07-02,41.54589
2021-07-03,35.74879
2021-07-04,33.09178
2021-07-05,51.93236
2021-07-06,50.0
2021-07-07,39.61352
2021-07-08,48.79227
2021-07-09,42.99516
2021-07-10,29.22705
2021-07-11,25.60386
2021-07-12,49.75845
2021-07-13,46.61835
2021-07-14,44.44444
2021-07-15,46.61835
2021-07-16,38.40579
2021-07-17,30.67632
2021-07-18,30.19323
2021-07-19,48.79227
2021-07-20,56.52173
2021-07-21,46.61835
2021-07-22,49.5169
2021-07-23,45.41062
2021-07-24,32.85024
2021-07-25,22.70531
2021-07-26,53.14009
2021-07-27,52.89855
2021-07-28,46.13526
2021-07-29,45.16908
2021-07-30,44.68599
2021-07-31,32.85024
2021-08-01,25.60386
2021-08-02,44.92753
2021-08-03,42.02898
2021-08-04,48.79227
2021-08-05,38.40579
2021-08-06,46.8599
2021-08-07,35.2657
2021-08-08,30.91787
2021-08-09,53.62318
2021-08-10,63.52657
2021-08-11,57.24637
2021-08-12,44.44444
2021-08-13,47.82608
2021-08-14,39.37198
2021-08-15,31.88405
2021-08-16,40.09661
2021-08-17,54.83091
2021-08-18,52.89855
2021-08-19,60.14492
2021-08-20,51.20772
2021-08-21,41.78743
2021-08-22,33.09178
2021-08-23,62.31884
2021-08-24,62.31884
2021-08-25,61.5942
2021-08-26,56.03864
2021-08-27,51.20772
2021-08-28,36.95652
2021-08-29,35.2657
2021-08-30,60.62801
2021-08-31,45.89371
2021-09-01,46.37681
2021-09-02,41.30434
2021-09-03,38.40579
2021-09-04,28.74396
2021-09-05,28.74396
2021-09-06,49.5169
2021-09-07,46.8599
2021-09-08,44.92753
2021-09-09,45.41062
2021-09-10,44.68599
2021-09-11,22.94685
2021-09-12,25.84541
2021-09-13,44.20289
2021-09-14,50.96618
2021-09-15,35.2657
2021-09-16,40.09661
2021-09-17,40.09661
2021-09-18,18.59903
2021-09-19,20.0483
2021-09-20,14.00966
2021-09-21,11.83574
2021-09-22,24.15458
2021-09-23,52.657
2021-09-24,52.657
2021-09-25,32.36714
2021-09-26,36.71497
2021-09-27,56.52173
2021-09-28,60.14492
2021-09-29,57.72946
2021-09-30,47.58454
2021-10-01,45.16908
2021-10-02,26.57004
2021-10-03,26.81159
2021-10-04,33.81642
2021-10-05,53.86473
2021-10-06,45.89371
2021-10-07,49.03381
2021-10-08,37.9227
2021-10-09,29.71014
2021-10-10,25.84541
2021-10-11,34.05797
2021-10-12,50.72463
2021-10-13,53.62318
2021-10-14,49.03381
2021-10-15,45.65217
2021-10-16,28.9855
2021-10-17,28.01932
2021-10-18,51.69082
2021-10-19,56.76328
2021-10-20,52.41545
2021-10-21,49.03381
2021-10-22,35.74879
2021-10-23,24.15458
2021-10-24,25.84541
2021-10-25,47.58454
2021-10-26,50.0
2021-10-27,59.17874
2021-10-28,46.8599
2021-10-29,41.54589
2021-10-30,28.01932
2021-10-31,24.39613
2021-11-01,44.92753
2021-11-02,48.30917
2021-11-03,49.03381
2021-11-04,50.24154
2021-11-05,46.37681
2021-11-06,30.19323
2021-11-07,33.09178
2021-11-08,52.657
2021-11-09,57.24637
2021-11-10,44.20289
2021-11-11,39.37198
2021-11-12,34.54106
2021-11-13,22.22222
2021-11-14,26.08695
2021-11-15,46.13526
2021-11-16,49.27536
2021-11-17,46.8599
2021-11-18,43.23671
2021-11-19,41.0628
2021-11-20,24.15458
2021-11-21,21.01449
2021-11-22,48.30917
2021-11-23,48.55072
2021-11-24,47.58454
2021-11-25,46.13526
2021-11-26,42.75362
2021-11-27,25.36231
2021-11-28,21.73913
2021-11-29,48.06763
2021-11-30,48.79227
2021-12-01,45.65217
2021-12-02,31.15942
2021-12-03,40.09661
2021-12-04,21.49758
2021-12-05,24.39613
2021-12-06,47.82608
2021-12-07,47.58454
2021-12-08,40.57971
2021-12-09,38.40579
2021-12-10,32.60869
2021-12-11,19.80676
2021-12-12,23.1884
2021-12-13,39.61352
2021-12-14,42.27053
2021-12-15,41.30434
2021-12-16,41.30434
2021-12-17,34.29951
2021-12-18,18.11594
2021-12-19,24.87922
2021-12-20,44.20289
2021-12-21,46.13526
2021-12-22,39.37198
2021-12-23,32.1256
2021-12-24,26.08695
2021-12-25,20.0483
2021-12-26,23.91304
2021-12-27,40.82125
2021-12-28,47.58454
2021-12-29,39.37198
2021-12-30,35.99033
2021-12-31,34.54106
2022-01-01,17.14975
2022-01-02,22.70531
2022-01-03,40.82125
2022-01-04,38.88888
2022-01-05,45.89371
2022-01-06,42.27053
2022-01-07,34.7826
2022-01-08,27.77777
2022-01-09,23.42995
2022-01-10,50.24154
2022-01-11,44.92753
2022-01-12,50.24154
2022-01-13,42.02898
2022-01-14,43.23671
2022-01-15,23.67149
2022-01-16,27.29468
2022-01-17,44.44444
2022-01-18,43.96135
2022-01-19,37.9227
2022-01-20,50.72463
2022-01-21,36.71497
2022-01-22,23.1884
2022-01-23,20.77294
2022-01-24,42.75362
2022-01-25,43.7198
2022-01-26,37.19806
2022-01-27,44.68599
2022-01-28,29.46859
2022-01-29,20.5314
2022-01-30,18.59903
2022-01-31,16.90821
2022-02-01,12.31884
2022-02-02,17.3913
2022-02-03,42.99516
2022-02-04,39.13043
2022-02-05,27.53623
2022-02-06,27.05314
2022-02-07,45.89371
2022-02-08,38.40579
2022-02-09,46.37681
2022-02-10,49.03381
2022-02-11,42.99516
2022-02-12,29.71014
2022-02-13,28.01932
2022-02-14,53.38164
2022-02-15,52.89855
2022-02-16,47.58454
2022-02-17,46.37681
2022-02-18,39.85507
2022-02-19,26.3285
2022-02-20,27.53623
2022-02-21,38.64734
2022-02-22,45.16908
2022-02-23,47.58454
2022-02-24,42.75362
2022-02-25,44.20289
2022-02-26,23.91304
2022-02-27,24.39613
2022-02-28,37.9227
2022-03-01,26.08695
2022-03-02,37.43961
2022-03-03,38.64734
2022-03-04,37.68115
2022-03-05,24.15458
2022-03-06,24.15458
2022-03-07,31.40096
2022-03-08,37.43961
2022-03-09,20.77294
2022-03-10,40.57971
2022-03-11,43.23671
2022-03-12,29.71014
2022-03-13,23.1884
2022-03-14,48.30917
2022-03-15,46.8599
2022-03-16,46.8599
2022-03-17,38.64734
2022-03-18,34.29951
2022-03-19,26.57004
2022-03-20,31.40096
2022-03-21,37.19806
2022-03-22,39.61352
2022-03-23,36.95652
2022-03-24,44.44444
2022-03-25,31.15942
2022-03-26,27.29468
2022-03-27,21.98067
2022-03-28,45.89371
2022-03-29,36.71497
2022-03-30,47.82608
2022-03-31,48.55072
2022-04-01,34.29951
2022-04-02,24.39613
2022-04-03,22.22222
2022-04-04,45.65217
2022-04-05,34.05797
2022-04-06,40.09661
2022-04-07,40.33816
2022-04-08,33.57487
2022-04-09,28.9855
2022-04-10,27.05314
2022-04-11,42.75362
2022-04-12,43.96135
2022-04-13,47.82608
2022-04-14,42.02898
2022-04-15,33.33333
2022-04-16,24.63768
2022-04-17,27.77777
2022-04-18,37.19806
2022-04-19,44.44444
2022-04-20,42.75362
2022-04-21,37.19806
2022-04-22,36.95652
2022-04-23,22.70531
2022-04-24,24.87922
2022-04-25,43.47826
2022-04-26,39.61352
2022-04-27,45.41062
2022-04-28,31.64251
2022-04-29,37.9227
2022-04-30,18.84057
2022-05-01,18.35748
2022-05-02,34.54106
2022-05-03,28.9855
2022-05-04,25.36231
2022-05-05,21.73913
2022-05-06,29.95169
2022-05-07,20.28985
2022-05-08,21.98067
2022-05-09,38.40579
2022-05-10,35.02415
2022-05-11,41.0628
2022-05-12,41.30434
2022-05-13,28.74396
2022-05-14,16.66666
2022-05-15,23.42995
2022-05-16,50.24154
2022-05-17,42.02898
2022-05-18,43.96135
2022-05-19,38.40579
2022-05-20,28.74396
2022-05-21,24.39613
2022-05-22,20.28985
2022-05-23,39.85507
2022-05-24,43.23671
2022-05-25,45.65217
2022-05-26,40.09661
2022-05-27,33.81642
2022-05-28,16.66666
2022-05-29,20.28985
2022-05-30,49.03381
2022-05-31,37.19806
2022-06-01,27.53623
2022-06-02,36.23188
2022-06-03,30.43478
2022-06-04,18.11594
2022-06-05,20.5314
2022-06-06,25.60386
2022-06-07,41.0628
2022-06-08,41.54589
2022-06-09,38.16425
2022-06-10,35.74879
2022-06-11,19.08212
2022-06-12,22.46376
2022-06-13,43.96135
2022-06-14,42.51207
2022-06-15,38.64734
2022-06-16,40.09661
2022-06-17,34.05797
2022-06-18,17.14975
2022-06-19,20.5314
2022-06-20,41.30434
2022-06-21,50.24154
2022-06-22,51.20772
2022-06-23,35.2657
2022-06-24,33.57487
2022-06-25,22.70531
2022-06-26,17.3913
2022-06-27,34.05797
2022-06-28,37.68115
2022-06-29,33.81642
2022-06-30,34.7826
2022-07-01,31.15942
2022-07-02,18.11594
2022-07-03,15.45893
2022-07-04,40.09661
2022-07-05,38.64734
2022-07-06,39.61352
2022-07-07,34.29951
2022-07-08,29.22705
2022-07-09,14.49275
2022-07-10,19.32367
2022-07-11,40.82125
2022-07-12,35.99033
2022-07-13,36.71497
2022-07-14,34.05797
2022-07-15,30.91787
2022-07-16,11.11111
2022-07-17,19.56521
2022-07-18,40.09661
2022-07-19,45.65217
2022-07-20,33.81642
2022-07-21,31.40096
2022-07-22,30.43478
2022-07-23,19.32367
2022-07-24,19.32367
2022-07-25,34.29951
2022-07-26,35.99033
2022-07-27,29.95169
2022-07-28,35.74879
2022-07-29,22.94685
2022-07-30,18.35748
2022-07-31,18.11594
2022-08-01,26.08695
2022-08-02,31.88405
2022-08-03,37.9227
2022-08-04,38.64734
2022-08-05,24.15458
2022-08-06,16.66666
2022-08-07,13.52657
2022-08-08,33.33333
2022-08-09,29.71014
2022-08-10,22.70531
2022-08-11,27.53623
2022-08-12,27.05314
2022-08-13,21.49758
2022-08-14,17.63285
2022-08-15,14.49275
2022-08-16,28.01932
2022-08-17,36.95652
2022-08-18,28.74396
2022-08-19,32.1256
2022-08-20,15.21739
2022-08-21,16.66666
2022-08-22,35.02415
2022-08-23,25.84541
2022-08-24,21.73913
2022-08-25,39.85507
2022-08-26,32.36714
2022-08-27,20.77294
2022-08-28,16.18357
2022-08-29,27.53623
2022-08-30,28.01932
2022-08-31,28.74396
2022-09-01,25.84541
2022-09-02,23.1884
2022-09-03,12.80193
2022-09-04,14.49275
2022-09-05,28.50241
2022-09-06,29.22705
2022-09-07,25.60386
2022-09-08,19.80676
2022-09-09,11.11111
2022-09-10,9.90338
2022-09-11,10.14492
2022-09-12,15.21739
2022-09-13,33.33333
2022-09-14,38.64734
2022-09-15,41.0628
2022-09-16,29.95169
2022-09-17,19.56521
2022-09-18,16.90821
2022-09-19,35.74879
2022-09-20,42.75362
2022-09-21,35.2657
2022-09-22,35.50724
2022-09-23,27.29468
2022-09-24,19.56521
2022-09-25,17.3913
2022-09-26,40.57971
2022-09-27,35.74879
2022-09-28,39.37198
2022-09-29,36.71497
2022-09-30,23.67149
2022-10-01,11.11111
2022-10-02,11.83574
2022-10-03,12.56038
2022-10-04,29.22705
2022-10-05,32.36714
2022-10-06,28.01932
2022-10-07,28.50241
2022-10-08,11.5942
2022-10-09,8.21256
2022-10-10,13.28502
2022-10-11,24.63768
2022-10-12,23.42995
2022-10-13,23.42995
2022-10-14,22.70531
2022-10-15,17.87439
2022-10-16,14.73429
2022-10-17,29.95169
2022-10-18,23.1884
2022-10-19,21.98067
2022-10-20,34.29951
2022-10-21,22.94685
2022-10-22,10.14492
2022-10-23,10.86956
2022-10-24,22.46376
2022-10-25,29.71014
2022-10-26,29.95169
2022-10-27,25.84541
2022-10-28,19.80676
2022-10-29,9.42028
2022-10-30,7.24637
2022-10-31,21.73913
2022-11-01,24.39613
2022-11-02,22.94685
2022-11-03,22.94685
2022-11-04,26.3285
2022-11-05,15.45893
2022-11-06,15.21739
2022-11-07,28.74396
2022-11-08,25.60386
2022-11-09,32.36714
2022-11-10,27.53623
2022-11-11,22.70531
2022-11-12,14.73429
2022-11-13,11.83574
2022-11-14,28.50241
2022-11-15,29.95169
2022-11-16,24.87922
2022-11-17,19.08212
2022-11-18,21.01449
2022-11-19,15.45893
2022-11-20,9.66183
2022-11-21,23.91304
2022-11-22,28.74396
2022-11-23,19.56521
2022-11-24,25.84541
2022-11-25,19.80676
2022-11-26,10.62801
2022-11-27,17.3913
2022-11-28,21.73913
2022-11-29,29.46859
2022-11-30,29.71014
2022-12-01,19.32367
2022-12-02,18.35748
2022-12-03,8.21256
2022-12-04,14.2512
2022-12-05,26.57004
2022-12-06,24.15458
2022-12-07,25.60386
2022-12-08,28.01932
2022-12-09,20.77294
2022-12-10,10.38647
2022-12-11,13.04347
2022-12-12,25.12077
2022-12-13,27.29468
2022-12-14,25.60386
2022-12-15,24.15458
2022-12-16,25.84541
2022-12-17,11.35265
2022-12-18,14.00966
2022-12-19,34.05797
2022-12-20,29.71014
2022-12-21,25.12077
2022-12-22,28.01932
2022-12-23,24.39613
2022-12-24,14.2512
2022-12-25,11.35265
2022-12-26,35.2657
2022-12-27,28.26086
2022-12-28,31.15942
2022-12-29,23.67149
2022-12-30,22.22222
2022-12-31,14.73429
2023-01-01,12.56038
2023-01-02,28.74396
2023-01-03,26.57004
2023-01-04,29.95169
2023-01-05,23.67149
2023-01-06,24.15458
2023-01-07,18.35748
2023-01-08,14.2512
2023-01-09,36.23188
2023-01-10,32.60869
2023-01-11,33.81642
2023-01-12,32.85024
2023-01-13,30.91787
2023-01-14,16.66666
2023-01-15,18.35748
2023-01-16,33.57487
2023-01-17,30.91787
2023-01-18,28.26086
2023-01-19,27.77777
2023-01-20,21.49758
2023-01-21,15.45893
2023-01-22,12.31884
2023-01-23,11.35265
2023-01-24,20.28985
2023-01-25,34.29951
2023-01-26,28.26086
2023-01-27,28.50241
