date,NPL
2021-09-08,40.7008
2021-09-09,37.87061
2021-09-10,29.51482
2021-09-11,19.407
2021-09-12,18.46361
2021-09-13,28.57142
2021-09-14,32.88409
2021-09-15,33.42318
2021-09-16,35.57951
2021-09-17,29.51482
2021-09-18,16.1725
2021-09-19,12.66846
2021-09-20,19.00269
2021-09-21,19.00269
2021-09-22,23.45013
2021-09-23,41.77897
2021-09-24,38.14016
2021-09-25,23.45013
2021-09-26,21.96765
2021-09-27,39.75741
2021-09-28,40.56603
2021-09-29,43.12668
2021-09-30,40.02695
2021-10-01,30.72776
2021-10-02,20.08086
2021-10-03,18.05929
2021-10-04,22.50673
2021-10-05,40.7008
2021-10-06,38.27493
2021-10-07,40.56603
2021-10-08,32.07547
2021-10-09,21.02425
2021-10-10,18.46361
2021-10-11,22.10242
2021-10-12,45.68733
2021-10-13,47.57412
2021-10-14,43.9353
2021-10-15,39.48787
2021-10-16,21.42857
2021-10-17,24.39353
2021-10-18,36.92722
2021-10-19,38.14016
2021-10-20,33.42318
2021-10-21,39.89218
2021-10-22,51.07816
2021-10-23,19.407
2021-10-24,21.42857
2021-10-25,39.08355
2021-10-26,39.75741
2021-10-27,44.07008
2021-10-28,37.73584
2021-10-29,33.42318
2021-10-30,19.54177
2021-10-31,22.6415
2021-11-01,36.92722
2021-11-02,41.6442
2021-11-03,42.45283
2021-11-04,50.26954
2021-11-05,37.73584
2021-11-06,23.18059
2021-11-07,22.6415
2021-11-08,36.52291
2021-11-09,43.66576
2021-11-10,43.66576
2021-11-11,49.0566
2021-11-12,62.26415
2021-11-13,36.25336
2021-11-14,24.5283
2021-11-15,50.40431
2021-11-16,42.04851
2021-11-17,44.74393
2021-11-18,40.7008
2021-11-19,36.65768
2021-11-20,20.21563
2021-11-21,20.75471
2021-11-22,41.77897
2021-11-23,47.70889
2021-11-24,44.07008
2021-11-25,37.87061
2021-11-26,35.04043
2021-11-27,22.77628
2021-11-28,18.05929
2021-11-29,33.01886
2021-11-30,31.26684
2021-12-01,35.04043
2021-12-02,35.57951
2021-12-03,36.25336
2021-12-04,26.01078
2021-12-05,21.2938
2021-12-06,38.27493
2021-12-07,40.97035
2021-12-08,34.50134
2021-12-09,37.73584
2021-12-10,33.55795
2021-12-11,20.88948
2021-12-12,27.89757
2021-12-13,40.97035
2021-12-14,40.02695
2021-12-15,34.90566
2021-12-16,34.2318
2021-12-17,44.60916
2021-12-18,23.18059
2021-12-19,20.21563
2021-12-20,35.84905
2021-12-21,42.18328
2021-12-22,38.67924
2021-12-23,46.49595
2021-12-24,31.26684
2021-12-25,17.38544
2021-12-26,21.69811
2021-12-27,39.62264
2021-12-28,35.04043
2021-12-29,34.2318
2021-12-30,36.38814
2021-12-31,27.89757
2022-01-01,21.15902
2022-01-02,21.83288
2022-01-03,51.07816
2022-01-04,41.23989
2022-01-05,45.68733
2022-01-06,41.91374
2022-01-07,36.65768
2022-01-08,27.08894
2022-01-09,28.43665
2022-01-10,42.45283
2022-01-11,41.23989
2022-01-12,40.02695
2022-01-13,43.66576
2022-01-14,38.00539
2022-01-15,25.20215
2022-01-16,25.47169
2022-01-17,40.56603
2022-01-18,44.8787
2022-01-19,44.8787
2022-01-20,42.31805
2022-01-21,34.90566
2022-01-22,22.23719
2022-01-23,23.85444
2022-01-24,41.23989
2022-01-25,45.8221
2022-01-26,44.33962
2022-01-27,36.79245
2022-01-28,31.9407
2022-01-29,22.23719
2022-01-30,18.73315
2022-01-31,18.59838
2022-02-01,23.18059
2022-02-02,25.74123
2022-02-03,40.29649
2022-02-04,43.39622
2022-02-05,30.45822
2022-02-06,26.8194
2022-02-07,47.70889
2022-02-08,44.74393
2022-02-09,43.80053
2022-02-10,41.6442
2022-02-11,43.26145
2022-02-12,23.5849
2022-02-13,25.20215
