date,전세자금대출금리비교
2021-03-11,9.56521
2021-03-12,11.30434
2021-03-13,1.73913
2021-03-14,3.47826
2021-03-15,8.11594
2021-03-16,13.04347
2021-03-17,10.14492
2021-03-18,4.92753
2021-03-19,3.76811
2021-03-20,1.44927
2021-03-21,1.44927
2021-03-22,11.5942
2021-03-23,10.14492
2021-03-24,8.69565
2021-03-25,6.66666
2021-03-26,5.7971
2021-03-27,1.73913
2021-03-28,2.89855
2021-03-29,8.11594
2021-03-30,11.30434
2021-03-31,5.7971
2021-04-01,7.82608
2021-04-02,6.95652
2021-04-04,1.44927
2021-04-05,7.24637
2021-04-06,6.95652
2021-04-07,5.7971
2021-04-08,11.01449
2021-04-09,4.63768
2021-04-11,2.02898
2021-04-12,5.21739
2021-04-13,8.69565
2021-04-14,6.37681
2021-04-15,6.37681
2021-04-16,6.37681
2021-04-17,2.31884
2021-04-19,6.66666
2021-04-20,5.50724
2021-04-21,5.50724
2021-04-22,6.95652
2021-04-23,3.1884
2021-04-24,1.44927
2021-04-25,2.02898
2021-04-26,6.66666
2021-04-27,3.76811
2021-04-28,4.05797
2021-04-29,1.44927
2021-04-30,5.50724
2021-05-01,4.63768
2021-05-03,5.7971
2021-05-04,6.08695
2021-05-06,5.21739
2021-05-07,5.21739
2021-05-09,1.44927
2021-05-10,6.66666
2021-05-11,6.08695
2021-05-12,5.21739
2021-05-13,4.92753
2021-05-14,6.95652
2021-05-15,1.73913
2021-05-17,7.24637
2021-05-18,4.63768
2021-05-20,5.7971
2021-05-21,7.82608
2021-05-24,7.82608
2021-05-25,5.50724
2021-05-26,6.95652
2021-05-27,6.08695
2021-05-28,5.7971
2021-05-31,8.9855
2021-06-01,11.30434
2021-06-02,6.37681
2021-06-03,4.05797
2021-06-04,5.7971
2021-06-05,2.89855
2021-06-06,1.44927
2021-06-07,6.08695
2021-06-08,6.08695
2021-06-09,4.05797
2021-06-10,5.7971
2021-06-11,2.31884
2021-06-13,2.31884
2021-06-14,10.14492
2021-06-15,6.37681
2021-06-16,6.37681
2021-06-17,5.7971
2021-06-18,4.92753
2021-06-19,2.02898
2021-06-20,1.44927
2021-06-21,7.53623
2021-06-22,8.69565
2021-06-23,7.82608
2021-06-24,8.11594
2021-06-25,2.02898
2021-06-27,3.1884
2021-06-28,6.95652
2021-06-29,8.40579
2021-06-30,6.08695
2021-07-01,5.21739
2021-07-02,4.63768
2021-07-03,1.44927
2021-07-05,7.24637
2021-07-06,11.5942
2021-07-07,9.27536
2021-07-08,9.85507
2021-07-09,7.24637
2021-07-12,7.24637
2021-07-13,10.14492
2021-07-14,11.01449
2021-07-15,8.9855
2021-07-16,5.7971
2021-07-17,3.76811
2021-07-18,1.44927
2021-07-19,14.20289
2021-07-20,7.24637
2021-07-21,6.37681
2021-07-22,7.82608
2021-07-23,4.63768
2021-07-24,2.31884
2021-07-25,2.02898
2021-07-26,10.72463
2021-07-27,8.40579
2021-07-28,5.21739
2021-07-29,6.08695
2021-07-30,5.21739
2021-07-31,3.47826
2021-08-01,1.73913
2021-08-02,8.40579
2021-08-03,9.27536
2021-08-04,8.69565
2021-08-05,6.37681
