date,연금저축펀드
2021-11-15,13.57803
2021-11-16,14.24063
2021-11-17,15.76567
2021-11-18,14.24063
2021-11-19,15.28186
2021-11-20,11.71644
2021-11-21,13.64114
2021-11-22,16.73327
2021-11-23,15.3029
2021-11-24,14.13546
2021-11-25,15.42911
2021-11-26,17.40639
2021-11-27,10.27555
2021-11-28,15.74463
2021-11-29,18.94194
2021-11-30,17.97433
2021-12-01,15.71308
2021-12-02,15.83929
2021-12-03,13.46234
2021-12-04,11.62179
2021-12-05,12.98906
2021-12-06,17.36432
2021-12-07,16.87
2021-12-08,18.39503
2021-12-09,17.85864
2021-12-10,21.63441
2021-12-11,14.11442
2021-12-12,21.42406
2021-12-13,23.94825
2021-12-14,21.79217
2021-12-15,22.16028
2021-12-16,22.21287
2021-12-17,19.28901
2021-12-18,14.50357
2021-12-19,18.41607
2021-12-20,24.69499
2021-12-21,28.11316
2021-12-22,26.28312
2021-12-23,26.35675
2021-12-24,24.51619
2021-12-25,17.61674
2021-12-26,22.38115
2021-12-27,33.79259
2021-12-28,34.77071
2021-12-29,33.82414
2021-12-30,36.34833
2021-12-31,29.72233
2022-01-01,13.76735
2022-01-02,16.40723
2022-01-03,17.66933
2022-01-04,19.14177
2022-01-05,17.65881
2022-01-06,16.19688
2022-01-07,15.15565
2022-01-08,12.43163
2022-01-09,16.32309
2022-01-10,17.86916
2022-01-11,16.85948
2022-01-12,15.37652
2022-01-13,15.10307
2022-01-14,14.44047
2022-01-15,12.91543
2022-01-16,14.69289
2022-01-17,20.25662
2022-01-18,22.84392
2022-01-19,22.06562
2022-01-20,24.26377
2022-01-21,23.63273
2022-01-22,18.26882
2022-01-23,19.59402
2022-01-24,27.28228
2022-01-25,29.65923
2022-01-26,29.46992
2022-01-27,26.66175
2022-01-28,24.97896
2022-01-29,19.53092
2022-01-30,18.22675
2022-01-31,20.10938
2022-02-01,22.52839
2022-02-02,24.13756
2022-02-03,34.11863
2022-02-04,27.46108
2022-02-05,23.16996
2022-02-06,30.52166
2022-02-07,38.91459
2022-02-08,34.0976
2022-02-09,32.04669
2022-02-10,30.95288
2022-02-11,29.40681
2022-02-12,23.83256
2022-02-13,26.1464
2022-02-14,29.22801
2022-02-15,27.86074
2022-02-16,27.61884
2022-02-17,27.2928
2022-02-18,24.58981
2022-02-19,18.16365
2022-02-20,23.77997
2022-02-21,31.76272
2022-02-22,26.70382
2022-02-23,24.89482
2022-02-24,26.16743
2022-02-25,31.42616
2022-02-26,28.20782
2022-02-27,25.4838
2022-02-28,23.85359
2022-03-01,23.56962
2022-03-02,20.74042
2022-03-03,18.84728
2022-03-04,20.77198
2022-03-05,14.3984
2022-03-06,17.21708
2022-03-07,16.64913
2022-03-08,14.0408
2022-03-09,11.40092
2022-03-10,14.96634
2022-03-11,14.24063
2022-03-12,12.13714
2022-03-13,14.38788
2022-03-14,14.97686
2022-03-15,14.51409
2022-03-16,14.35633
2022-03-17,15.26083
2022-03-18,12.63146
2022-03-19,12.36853
2022-03-20,12.26335
2022-03-21,13.64114
2022-03-22,14.33529
2022-03-23,13.96718
2022-03-24,12.87336
2022-03-25,13.60959
2022-03-26,11.748
2022-03-27,12.54732
2022-03-28,14.03029
2022-03-29,16.50189
2022-03-30,15.29238
2022-03-31,15.061
2022-04-01,11.87421
2022-04-02,10.3071
2022-04-03,11.18005
2022-04-04,12.53681
2022-04-05,12.56836
2022-04-06,11.37989
2022-04-07,11.03281
2022-04-08,10.28607
2022-04-09,8.24568
2022-04-10,9.28691
2022-04-11,13.71476
2022-04-12,14.57719
2022-04-13,12.99957
2022-04-14,11.70593
2022-04-15,9.5183
2022-04-16,7.33066
2022-04-17,7.60412
2022-04-18,11.27471
2022-04-19,10.22297
2022-04-20,10.0652
2022-04-21,10.02313
2022-04-22,10.21245
2022-04-23,9.17122
2022-04-24,10.54901
2022-04-25,13.69373
2022-04-26,14.45098
2022-04-27,14.25115
2022-04-28,10.71729
2022-04-29,9.01346
2022-04-30,7.45687
2022-05-01,7.78291
2022-05-02,10.13883
2022-05-03,9.24484
2022-05-04,7.38325
2022-05-05,6.81531
2022-05-06,6.94152
2022-05-07,5.99495
2022-05-08,7.08876
2022-05-09,8.00378
2022-05-10,8.18258
2022-05-11,8.74
2022-05-12,8.18258
2022-05-13,7.73033
2022-05-14,6.05805
2022-05-15,6.12116
2022-05-16,7.23601
2022-05-17,7.84602
2022-05-18,8.29827
2022-05-19,7.79343
2022-05-20,11.09591
2022-05-21,6.82583
2022-05-22,7.15187
2022-05-23,8.16154
2022-05-24,8.32982
2022-05-25,9.53933
2022-05-26,9.32898
2022-05-27,8.55069
2022-05-28,6.39461
2022-05-29,9.30795
2022-05-30,10.12831
2022-05-31,9.31846
2022-06-01,9.18174
2022-06-02,9.92848
2022-06-03,8.99242
2022-06-04,7.26756
2022-06-05,7.44636
2022-06-06,7.51998
2022-06-07,7.88809
2022-06-08,35.15986
2022-06-09,8.61379
2022-06-10,100.0
2022-06-11,10.22297
2022-06-12,8.74
2022-06-13,9.5183
2022-06-14,9.96003
2022-06-15,7.89861
2022-06-16,7.90912
2022-06-17,9.77071
2022-06-18,5.23769
2022-06-19,5.76356
2022-06-20,7.76188
2022-06-21,7.48843
2022-06-22,7.49894
2022-06-23,5.61632
