date,나스닥종합
2021-03-12,0.12608
2021-03-13,0.08363
2021-03-14,0.01543
2021-03-15,0.04631
2021-03-16,0.09006
2021-03-17,0.09649
2021-03-18,0.12737
2021-03-19,0.15696
2021-03-20,0.08491
2021-03-21,0.02701
2021-03-22,0.06175
2021-03-23,0.10035
2021-03-24,0.11836
2021-03-25,0.13895
2021-03-26,0.11708
2021-03-27,0.07977
2021-03-28,0.02187
2021-03-29,0.05532
2021-03-30,0.09906
2021-03-31,0.07333
2021-04-01,0.10936
2021-04-02,0.0669
2021-04-03,0.03731
2021-04-04,0.01543
2021-04-05,0.02959
2021-04-06,0.10421
2021-04-07,0.0862
2021-04-08,0.07848
2021-04-09,0.06947
2021-04-10,0.04374
2021-04-11,0.01157
2021-04-12,0.03345
2021-04-13,0.06819
2021-04-14,0.08105
2021-04-15,0.07462
2021-04-16,0.04245
2021-04-17,0.03087
2021-04-18,0.01029
2021-04-19,0.02187
2021-04-20,0.08749
2021-04-21,0.10936
2021-04-22,0.10421
2021-04-23,0.07591
2021-04-24,0.05789
2021-04-25,0.01286
2021-04-26,0.04245
2021-04-27,0.06047
2021-04-28,0.09006
2021-04-29,0.09263
2021-04-30,0.07591
2021-05-01,0.03216
2021-05-02,0.00771
2021-05-03,0.03087
2021-05-04,0.07848
2021-05-05,0.13509
2021-05-06,0.12094
2021-05-07,0.10421
2021-05-08,0.03602
2021-05-09,0.01029
2021-05-10,0.03859
2021-05-11,0.20714
2021-05-12,0.18398
2021-05-13,0.18655
2021-05-14,0.15696
2021-05-15,0.06304
2021-05-16,0.01801
2021-05-17,0.0669
2021-05-18,0.14152
2021-05-19,0.13509
2021-05-20,0.15568
2021-05-21,0.12094
2021-05-22,0.06047
2021-05-23,0.01286
2021-05-24,0.04631
2021-05-25,0.11965
2021-05-26,0.11836
2021-05-27,0.11322
2021-05-28,0.08491
2021-05-29,0.04117
2021-05-30,0.01801
2021-05-31,0.03087
2021-06-01,0.06175
2021-06-02,0.08749
2021-06-03,0.09263
2021-06-04,0.10292
2021-06-05,0.06433
2021-06-06,0.00771
2021-06-07,0.03859
