date,주택임대사업자
2021-07-07,8.50067
2021-07-08,7.99269
2021-07-09,6.76244
2021-07-10,5.58774
2021-07-11,5.49249
2021-07-12,10.87387
2021-07-13,9.96904
2021-07-14,9.5325
2021-07-15,8.8499
2021-07-16,7.10373
2021-07-17,5.99253
2021-07-18,6.04809
2021-07-19,8.73085
2021-07-20,8.64354
2021-07-21,7.50853
2021-07-22,8.09588
2021-07-23,6.80212
2021-07-24,5.23851
2021-07-25,5.39725
2021-07-26,7.48472
2021-07-27,7.49265
2021-07-28,7.19898
2021-07-29,6.84181
2021-07-30,5.99253
2021-07-31,4.88927
2021-08-01,4.88133
2021-08-02,9.65949
2021-08-03,8.83403
2021-08-04,7.50853
2021-08-05,7.77045
2021-08-06,6.89737
2021-08-07,6.15128
2021-08-08,5.27819
2021-08-09,15.27105
2021-08-10,39.7968
2021-08-11,27.41487
2021-08-12,17.69188
2021-08-13,14.7472
2021-08-14,9.88967
2021-08-15,9.81823
2021-08-16,11.00881
2021-08-17,13.62012
2021-08-18,12.15175
2021-08-19,9.98491
2021-08-20,8.70704
2021-08-21,6.97674
2021-08-22,6.15128
2021-08-23,9.65949
2021-08-24,9.11977
2021-08-25,7.88157
2021-08-26,8.1435
2021-08-27,7.15929
2021-08-28,6.29415
2021-08-29,6.04809
2021-08-30,8.84197
2021-08-31,8.22287
2021-09-01,7.23073
2021-09-02,7.04817
2021-09-03,6.38939
2021-09-04,4.96864
2021-09-05,5.03214
2021-09-06,7.39741
2021-09-07,7.85776
2021-09-08,7.00055
2021-09-09,6.86562
2021-09-10,5.74648
2021-09-11,4.2543
2021-09-12,4.24636
2021-09-13,6.9053
2021-09-14,6.62751
2021-09-15,6.28621
2021-09-16,6.11159
2021-09-17,5.37344
2021-09-18,3.77807
2021-09-19,3.34947
2021-09-20,2.88118
2021-09-21,3.66695
2021-09-22,4.24636
2021-09-23,7.64346
2021-09-24,7.30216
2021-09-25,4.73053
2021-09-26,5.53218
2021-09-27,8.23874
2021-09-28,8.03238
2021-09-29,7.23866
2021-09-30,7.35772
2021-10-01,5.56393
2021-10-02,4.65116
2021-10-03,4.04
2021-10-04,5.38137
2021-10-05,7.42122
2021-10-06,6.84181
2021-10-07,6.38939
2021-10-08,5.65124
2021-10-09,4.23843
2021-10-10,4.15906
2021-10-11,5.17501
2021-10-12,6.38145
2021-10-13,6.46876
2021-10-14,5.80204
2021-10-15,5.1512
2021-10-16,3.96063
2021-10-17,4.15906
2021-10-18,5.54805
2021-10-19,5.61949
2021-10-20,5.33375
2021-10-21,4.98452
2021-10-22,4.88133
2021-10-23,3.9765
2021-10-24,4.15906
2021-10-25,6.21477
2021-10-26,6.21477
2021-10-27,5.69886
2021-10-28,5.41312
2021-10-29,4.8099
2021-10-30,4.44479
2021-10-31,3.94475
2021-11-01,5.74648
2021-11-02,5.95285
2021-11-03,5.91316
2021-11-04,5.04008
2021-11-05,4.69084
2021-11-06,4.11937
2021-11-07,4.27811
2021-11-08,6.00841
2021-11-09,6.4132
2021-11-10,5.58774
2021-11-11,5.55599
2021-11-12,4.88133
2021-11-13,3.73839
2021-11-14,4.08762
2021-11-15,6.38939
2021-11-16,5.89729
2021-11-17,6.11159
2021-11-18,5.33375
2021-11-19,5.12739
2021-11-20,3.913
2021-11-21,5.46868
2021-11-22,9.31819
2021-11-23,8.66735
2021-11-24,7.79426
2021-11-25,9.08802
2021-11-26,8.89753
2021-11-27,5.59568
2021-11-28,5.9211
2021-11-29,8.92928
2021-11-30,9.57218
2021-12-01,7.07198
2021-12-02,6.93705
2021-12-03,6.64338
2021-12-04,5.71473
2021-12-05,5.18295
2021-12-06,8.26256
2021-12-07,8.80228
2021-12-08,7.54028
2021-12-09,6.94499
2021-12-10,6.18303
2021-12-11,4.8099
2021-12-12,4.2543
2021-12-13,7.11167
2021-12-14,6.50845
2021-12-15,6.43701
2021-12-16,6.39733
2021-12-17,5.00833
2021-12-18,3.7622
2021-12-19,4.30986
2021-12-20,6.67513
2021-12-21,6.58782
2021-12-22,6.36558
2021-12-23,5.26232
2021-12-24,4.70672
2021-12-25,2.73831
2021-12-26,4.61147
2021-12-27,5.88935
2021-12-28,5.9211
2021-12-29,5.57187
2021-12-30,5.75442
2021-12-31,4.68291
2022-01-01,3.29391
2022-01-02,4.44479
2022-01-03,6.65132
2022-01-04,7.02436
2022-01-05,6.84974
2022-01-06,7.11167
2022-01-07,6.11159
2022-01-08,5.13532
2022-01-09,4.92102
2022-01-10,7.67521
2022-01-11,9.31026
2022-01-12,8.13556
2022-01-13,7.84982
2022-01-14,7.69902
2022-01-15,6.22271
2022-01-16,5.72267
2022-01-17,8.00063
2022-01-18,8.44511
2022-01-19,8.07206
2022-01-20,7.6514
2022-01-21,8.02444
2022-01-22,6.95293
2022-01-23,7.02436
2022-01-24,11.15961
2022-01-25,10.65163
2022-01-26,10.20715
2022-01-27,9.49281
2022-01-28,6.9688
2022-01-29,5.11151
2022-01-30,4.73053
2022-01-31,4.5321
2022-02-01,5.21469
2022-02-02,6.34971
2022-02-03,11.82633
2022-02-04,10.5167
2022-02-05,8.02444
2022-02-06,7.76252
2022-02-07,12.98515
2022-02-08,11.46122
2022-02-09,11.68346
2022-02-10,10.70719
2022-02-11,7.33391
2022-02-12,6.17509
2022-02-13,5.87348
2022-02-14,7.88951
2022-02-15,7.57202
2022-02-16,7.23866
2022-02-17,6.78625
2022-02-18,6.32589
2022-02-19,5.11151
2022-02-20,4.94483
2022-02-21,7.15929
2022-02-22,7.3101
2022-02-23,6.92118
2022-02-24,5.9846
2022-02-25,5.84173
2022-02-26,5.38137
2022-02-27,5.27819
2022-02-28,6.31796
2022-03-01,5.97666
2022-03-02,7.20692
2022-03-03,6.28621
2022-03-04,5.99253
2022-03-05,4.98452
2022-03-06,4.36542
2022-03-07,6.04016
2022-03-08,5.53218
2022-03-09,4.45273
2022-03-10,7.84982
2022-03-11,7.40534
2022-03-12,6.51639
2022-03-13,7.4609
2022-03-14,7.57202
2022-03-15,7.70696
2022-03-16,7.35772
2022-03-17,7.60377
2022-03-18,6.95293
2022-03-19,6.56401
2022-03-20,5.69092
2022-03-21,8.13556
2022-03-22,7.84982
2022-03-23,9.07214
2022-03-24,8.05619
2022-03-25,7.20692
2022-03-26,6.04016
2022-03-27,6.01635
2022-03-28,10.49289
2022-03-29,11.48503
2022-03-30,14.73926
2022-03-31,12.69148
2022-04-01,10.46114
2022-04-02,8.50861
2022-04-03,9.67537
2022-04-04,11.00087
2022-04-05,9.85792
2022-04-06,10.16747
2022-04-07,10.94531
2022-04-08,9.10389
2022-04-09,7.34185
2022-04-10,6.95293
2022-04-11,9.15151
2022-04-12,9.77855
2022-04-13,9.24676
2022-04-14,8.41336
2022-04-15,7.5244
2022-04-16,6.49257
2022-04-17,6.91324
2022-04-18,8.81022
2022-04-19,9.06421
2022-04-20,8.50861
2022-04-21,7.23866
2022-04-22,7.54821
2022-04-23,6.87356
2022-04-24,6.94499
2022-04-25,8.50067
2022-04-26,8.59592
2022-04-27,8.3578
2022-04-28,13.2312
2022-04-29,9.73093
2022-04-30,7.85776
2022-05-01,7.1831
2022-05-02,9.50869
2022-05-03,10.37383
2022-05-04,9.50869
2022-05-05,6.62751
2022-05-06,8.17525
2022-05-07,6.33383
2022-05-08,6.76244
2022-05-09,11.57234
2022-05-10,10.94531
2022-05-11,10.45321
2022-05-12,10.18334
2022-05-13,9.27851
2022-05-14,7.0958
2022-05-15,6.91324
2022-05-16,11.91364
2022-05-17,11.35804
2022-05-18,10.58814
2022-05-19,10.77863
2022-05-20,9.08802
2022-05-21,6.50051
2022-05-22,5.97666
2022-05-23,10.19128
