date,한화솔루션주가
2021-10-13,44.54501
2021-10-14,43.70503
2021-10-15,39.11118
2021-10-16,3.45108
2021-10-17,2.99202
2021-10-18,36.91681
2021-10-19,44.93895
2021-10-20,37.58424
2021-10-21,35.16197
2021-10-22,30.16115
2021-10-23,2.70226
2021-10-24,2.05437
2021-10-25,33.14015
2021-10-26,32.39133
2021-10-27,28.28259
2021-10-28,30.95881
2021-10-29,28.24027
2021-10-30,2.79342
2021-10-31,2.7283
2021-11-01,38.40468
2021-11-02,37.23913
2021-11-03,32.61598
2021-11-04,44.23897
2021-11-05,34.05827
2021-11-06,4.04037
2021-11-07,3.70828
2021-11-08,32.09181
2021-11-09,31.86391
2021-11-10,31.18671
2021-11-11,30.02767
2021-11-12,33.18248
2021-11-13,4.52547
2021-11-14,4.84779
2021-11-15,32.08204
2021-11-16,27.61191
2021-11-17,26.28031
2021-11-18,27.60214
2021-11-19,29.68582
2021-11-20,3.57805
2021-11-21,3.16457
2021-11-22,31.62624
2021-11-23,26.40403
2021-11-24,26.89239
2021-11-25,25.82451
2021-11-26,25.65196
2021-11-27,3.78967
2021-11-28,3.1776
2021-11-29,25.94497
2021-11-30,26.86309
2021-12-01,31.27787
2021-12-02,30.53231
2021-12-03,28.24352
2021-12-04,3.14178
2021-12-05,2.57854
2021-12-06,28.07423
2021-12-07,28.20771
2021-12-08,32.19599
2021-12-09,32.64203
2021-12-10,28.09376
2021-12-11,4.07292
2021-12-12,3.57805
2021-12-13,30.80579
2021-12-14,25.36871
2021-12-15,25.958
2021-12-16,26.51473
2021-12-17,25.33941
2021-12-18,3.18085
2021-12-19,3.0669
2021-12-20,23.16783
2021-12-21,27.16913
2021-12-22,28.81002
2021-12-23,27.75191
2021-12-24,26.10125
2021-12-25,3.39247
2021-12-26,3.75712
2021-12-27,26.48217
2021-12-28,24.83151
2021-12-29,24.51896
2021-12-30,22.94318
2021-12-31,7.11053
2022-01-01,2.52319
2022-01-02,3.0669
2022-01-03,24.26501
2022-01-04,24.02734
2022-01-05,22.50691
2022-01-06,21.10695
2022-01-07,33.7913
2022-01-08,5.92218
2022-01-09,4.79244
2022-01-10,44.82825
2022-01-11,35.27266
2022-01-12,51.70112
2022-01-13,40.75207
2022-01-14,29.92349
2022-01-15,4.04688
2022-01-16,4.50268
2022-01-17,26.76867
2022-01-18,25.63242
2022-01-19,31.69461
2022-01-20,28.80026
2022-01-21,23.08643
2022-01-22,3.27527
2022-01-23,3.04411
2022-01-24,23.66921
2022-01-25,25.09523
2022-01-26,24.95197
2022-01-27,27.2082
2022-01-28,26.49194
2022-01-29,3.42178
2022-01-30,2.23018
2022-01-31,1.89158
2022-02-01,2.32785
2022-02-02,2.88132
2022-02-03,26.63193
2022-02-04,23.08318
2022-02-05,2.89435
2022-02-06,2.5297
2022-02-07,22.25622
2022-02-08,23.73107
2022-02-09,32.69737
2022-02-10,25.95148
2022-02-11,32.27413
2022-02-12,4.45384
2022-02-13,3.84502
2022-02-14,24.78267
2022-02-15,22.61761
2022-02-16,26.30636
2022-02-17,29.89093
2022-02-18,26.32589
2022-02-19,3.05713
2022-02-20,2.6404
2022-02-21,24.6557
2022-02-22,20.46882
2022-02-23,22.96597
2022-02-24,20.9116
2022-02-25,27.76493
2022-02-26,3.59759
2022-02-27,2.69249
2022-02-28,23.30783
2022-03-01,3.60084
2022-03-02,40.81067
2022-03-03,31.62298
2022-03-04,25.75614
2022-03-05,2.79342
2022-03-06,2.39296
2022-03-07,23.12225
2022-03-08,25.45661
2022-03-09,3.25248
2022-03-10,25.88311
2022-03-11,23.45759
2022-03-12,2.79016
2022-03-13,2.38971
2022-03-14,22.30506
2022-03-15,21.28927
2022-03-16,21.89158
2022-03-17,25.77893
2022-03-18,23.79293
2022-03-19,2.95295
2022-03-20,2.25297
2022-03-21,19.94465
2022-03-22,21.71251
2022-03-23,23.85479
2022-03-24,20.75533
2022-03-25,19.56373
2022-03-26,3.66596
2022-03-27,3.10923
2022-03-28,20.58277
2022-03-29,21.72228
2022-03-30,20.82044
2022-03-31,22.26924
2022-04-01,19.68744
2022-04-02,2.2725
2022-04-03,1.8753
2022-04-04,19.80139
2022-04-05,18.7856
2022-04-06,17.85121
2022-04-07,18.36561
2022-04-08,19.27071
2022-04-09,2.53622
2022-04-10,2.01204
2022-04-11,21.70275
2022-04-12,17.0796
2022-04-13,19.83721
2022-04-14,19.34559
2022-04-15,16.31776
2022-04-16,2.23343
2022-04-17,1.85902
2022-04-18,17.58424
2022-04-19,18.727
2022-04-20,17.22611
2022-04-21,19.23815
2022-04-22,17.69168
2022-04-23,2.3832
2022-04-24,2.04134
2022-04-25,16.83867
2022-04-26,18.85072
2022-04-27,18.62933
2022-04-28,21.51717
2022-04-29,21.63112
2022-04-30,2.74133
2022-05-01,1.94693
2022-05-02,18.82467
2022-05-03,17.76005
2022-05-04,18.73026
2022-05-05,3.02132
2022-05-06,15.83591
2022-05-07,1.90135
2022-05-08,1.54973
2022-05-09,15.50708
2022-05-10,15.84567
2022-05-11,15.81963
2022-05-12,15.76428
2022-05-13,17.60703
2022-05-14,2.12274
2022-05-15,1.69623
2022-05-16,15.45173
2022-05-17,17.3368
2022-05-18,17.09262
2022-05-19,19.22513
2022-05-20,30.60393
2022-05-21,5.43057
2022-05-22,4.15757
2022-05-23,23.45433
2022-05-24,19.02002
2022-05-25,20.58603
2022-05-26,62.87481
2022-05-27,41.6181
2022-05-28,4.79895
2022-05-29,4.08269
2022-05-30,37.75028
2022-05-31,60.75207
2022-06-01,12.01692
2022-06-02,37.76656
2022-06-03,49.94302
2022-06-04,6.82077
2022-06-05,4.88035
2022-06-06,6.27055
2022-06-07,49.1649
2022-06-08,37.81865
2022-06-09,32.94155
2022-06-10,29.60117
2022-06-11,4.1706
2022-06-12,3.53898
2022-06-13,27.25704
2022-06-14,28.39329
2022-06-15,24.7957
2022-06-16,24.74361
2022-06-17,22.41575
2022-06-18,2.97574
2022-06-19,2.24971
