date,입양
2022-05-15,6.04745
2022-05-16,4.21489
2022-05-17,3.32754
2022-05-18,3.05748
2022-05-19,3.19251
2022-05-20,3.0189
2022-05-21,2.64274
2022-05-22,3.52044
2022-05-23,3.2118
2022-05-24,3.65547
2022-05-25,2.826
2022-05-26,2.88387
2022-05-27,2.74884
2022-05-28,2.527
2022-05-29,3.18287
2022-05-30,2.88387
2022-05-31,2.81635
2022-06-01,2.64274
2022-06-02,2.60416
2022-06-03,4.81288
2022-06-04,3.53009
2022-06-05,3.58796
2022-06-06,3.4047
2022-06-07,2.92245
2022-06-08,3.36612
2022-06-09,3.15393
2022-06-10,2.96103
2022-06-11,2.90316
2022-06-12,3.5108
2022-06-13,3.33719
2022-06-14,3.20216
2022-06-15,2.80671
2022-06-16,2.90316
2022-06-17,2.39197
2022-06-18,2.826
2022-06-19,3.16358
2022-06-20,3.18287
2022-06-21,2.99961
2022-06-22,2.55594
2022-06-23,2.55594
2022-06-24,2.27623
2022-06-25,2.44984
2022-06-26,2.32445
2022-06-27,2.54629
2022-06-28,2.51736
2022-06-29,2.84529
2022-06-30,2.56558
2022-07-01,2.01581
2022-07-02,2.12191
2022-07-03,2.45949
2022-07-04,2.45949
2022-07-05,2.98032
2022-07-06,2.34375
2022-07-07,2.36304
2022-07-08,2.31481
2022-07-09,2.53665
2022-07-10,2.47878
2022-07-11,2.36304
2022-07-12,2.49807
2022-07-13,2.88387
2022-07-14,2.3341
2022-07-15,2.06404
2022-07-16,2.31481
2022-07-17,2.90316
2022-07-18,2.36304
2022-07-19,2.23765
2022-07-20,3.11535
2022-07-21,3.02854
2022-07-22,2.31481
2022-07-23,2.96103
2022-07-24,2.26658
2022-07-25,2.97067
2022-07-26,2.84529
2022-07-27,2.48842
2022-07-28,2.49807
2022-07-29,2.35339
2022-07-30,2.54629
2022-07-31,2.84529
2022-08-01,2.44984
2022-08-02,2.92245
2022-08-03,2.61381
2022-08-04,2.51736
2022-08-05,2.527
2022-08-06,2.93209
2022-08-07,2.78742
2022-08-08,3.0189
2022-08-09,2.73919
2022-08-10,2.71026
2022-08-11,2.74884
2022-08-12,2.49807
2022-08-13,2.31481
2022-08-14,2.6331
2022-08-15,2.56558
2022-08-16,2.53665
2022-08-17,2.77777
2022-08-18,3.00925
2022-08-19,3.18287
2022-08-20,2.53665
2022-08-21,2.86458
2022-08-22,3.26003
2022-08-23,3.64583
2022-08-24,2.87422
2022-08-25,2.98996
2022-08-26,2.80671
2022-08-27,2.37268
2022-08-28,2.84529
2022-08-29,2.6331
2022-08-30,2.93209
2022-08-31,2.72955
2022-09-01,2.40162
