date,예금금리
2022-03-12,1.8104
2022-03-13,1.93754
2022-03-14,3.15879
2022-03-15,3.51694
2022-03-16,3.37368
2022-03-17,4.09175
2022-03-18,3.35577
2022-03-19,2.28314
2022-03-20,2.00379
2022-03-21,3.28414
2022-03-22,3.4668
2022-03-23,3.49903
2022-03-24,3.02807
2022-03-25,3.01733
2022-03-26,1.99663
2022-03-27,1.79786
2022-03-28,3.65661
2022-03-29,3.6387
2022-03-30,4.05952
2022-03-31,4.43915
2022-04-01,3.9467
2022-04-02,2.43177
2022-04-03,2.7147
2022-04-04,3.87328
2022-04-05,4.08638
2022-04-06,3.64228
2022-04-07,3.6387
2022-04-08,3.33966
2022-04-09,1.85695
2022-04-10,1.92858
2022-04-11,3.82135
2022-04-12,3.88761
2022-04-13,3.69063
2022-04-14,7.90774
2022-04-15,7.24876
2022-04-16,4.57882
2022-04-17,4.2565
2022-04-18,7.61406
2022-04-19,7.99906
2022-04-20,6.08838
2022-04-21,5.10887
2022-04-22,5.09633
2022-04-23,3.17491
2022-04-24,2.81498
2022-04-25,5.59773
2022-04-26,5.38285
2022-04-27,4.95308
2022-04-28,4.67194
2022-04-29,4.1777
2022-04-30,2.47475
2022-05-01,2.67351
2022-05-02,4.6021
2022-05-03,4.29768
2022-05-04,3.88582
2022-05-05,3.67273
2022-05-06,4.85996
2022-05-07,2.72544
2022-05-08,2.93675
2022-05-09,5.58878
2022-05-10,5.02113
2022-05-11,4.68626
2022-05-12,5.26824
2022-05-13,3.96819
2022-05-14,2.15779
2022-05-15,2.156
2022-05-16,4.70954
2022-05-17,4.73461
2022-05-18,4.32275
2022-05-19,4.01296
2022-05-20,3.91268
2022-05-21,2.49086
2022-05-22,2.82214
2022-05-23,5.18945
2022-05-24,4.78833
2022-05-25,5.29331
2022-05-26,9.38149
2022-05-27,8.77444
2022-05-28,4.39617
2022-05-29,3.98252
2022-05-30,8.20499
2022-05-31,7.96683
2022-06-01,5.25571
2022-06-02,7.09118
2022-06-03,7.38485
2022-06-04,4.03445
2022-06-05,3.49545
2022-06-06,4.43019
2022-06-07,8.11904
2022-06-08,8.19067
2022-06-09,6.61306
2022-06-10,6.80646
2022-06-11,3.76584
2022-06-12,3.57603
2022-06-13,8.03309
2022-06-14,8.14411
2022-06-15,8.46823
2022-06-16,12.17677
2022-06-17,10.0924
2022-06-18,5.68369
2022-06-19,6.61664
2022-06-20,11.74521
2022-06-21,10.07628
2022-06-22,9.85602
2022-06-23,9.47997
2022-06-24,9.20779
2022-06-25,5.06589
2022-06-26,5.11066
2022-06-27,9.95272
2022-06-28,10.44158
2022-06-29,9.63218
2022-06-30,8.9159
2022-07-01,9.07528
2022-07-02,4.94233
2022-07-03,7.21653
2022-07-04,11.44259
2022-07-05,10.39502
2022-07-06,10.33593
2022-07-07,9.11288
2022-07-08,8.6849
2022-07-09,4.78117
2022-07-10,4.62896
2022-07-11,9.99928
2022-07-12,10.38428
2022-07-13,28.31279
2022-07-14,26.50956
2022-07-15,17.49695
2022-07-16,9.5337
2022-07-17,8.36974
2022-07-18,18.85788
2022-07-19,15.36243
2022-07-20,14.11252
2022-07-21,13.77766
2022-07-22,12.49552
2022-07-23,6.74378
2022-07-24,7.30248
2022-07-25,16.22018
2022-07-26,14.02836
2022-07-27,12.7301
2022-07-28,13.89943
2022-07-29,12.2108
2022-07-30,6.35878
2022-07-31,6.64529
2022-08-01,14.43127
2022-08-02,12.28959
2022-08-03,11.77387
2022-08-04,10.1676
2022-08-05,10.28579
2022-08-06,5.86455
2022-08-07,5.68906
2022-08-08,10.83016
2022-08-09,8.85144
2022-08-10,10.64393
2022-08-11,9.93302
2022-08-12,9.22032
2022-08-13,4.77222
2022-08-14,5.28615
2022-08-15,6.00064
2022-08-16,10.59558
2022-08-17,11.22412
2022-08-18,9.68232
2022-08-19,8.73146
2022-08-20,5.40792
2022-08-21,6.29431
2022-08-22,13.37117
2022-08-23,10.79972
2022-08-24,9.73425
2022-08-25,19.75324
2022-08-26,16.60697
2022-08-27,7.95071
2022-08-28,7.92923
2022-08-29,16.38134
2022-08-30,14.45276
2022-08-31,13.03094
2022-09-01,12.20722
2022-09-02,10.66363
2022-09-03,6.56829
2022-09-04,6.5092
2022-09-05,12.03173
2022-09-06,10.66005
2022-09-07,10.67258
2022-09-08,9.44416
2022-09-09,5.45985
2022-09-10,4.46959
2022-09-11,5.52431
2022-09-12,7.70718
2022-09-13,14.74464
2022-09-14,14.77687
2022-09-15,11.96547
2022-09-16,10.92328
2022-09-17,6.03824
2022-09-18,5.8932
2022-09-19,12.37375
2022-09-20,12.00845
2022-09-21,13.43206
2022-09-22,18.30277
2022-09-23,15.14755
2022-09-24,8.32676
2022-09-25,8.99469
2022-09-26,17.76914
2022-09-27,18.06102
2022-09-28,19.62968
2022-09-29,20.30477
2022-09-30,25.54437
2022-10-01,15.66327
2022-10-02,15.02936
2022-10-03,19.46135
2022-10-04,32.42783
2022-10-05,34.64293
2022-10-06,45.09168
2022-10-07,37.18394
2022-10-08,19.37182
2022-10-09,18.66807
2022-10-10,24.14046
2022-10-11,43.67523
2022-10-12,76.2517
2022-10-13,100.0
2022-10-14,88.60217
2022-10-15,41.24167
2022-10-16,40.23529
2022-10-17,87.05859
2022-10-18,91.32225
2022-10-19,98.22004
2022-10-20,96.97192
2022-10-21,82.1825
2022-10-22,41.15751
2022-10-23,41.30434
2022-10-24,90.52539
2022-10-25,90.69909
2022-10-26,80.33092
2022-10-27,75.68583
2022-10-28,71.38815
2022-10-29,34.283
2022-10-30,29.97099
2022-10-31,72.1295
2022-11-01,74.22462
2022-11-02,65.28006
2022-11-03,73.32211
2022-11-04,60.1873
2022-11-05,31.40355
2022-11-06,32.7609
2022-11-07,69.16947
2022-11-08,65.19232
2022-11-09,62.41673
2022-11-10,60.11567
2022-11-11,52.96719
2022-11-12,27.4067
2022-11-13,30.05515
2022-11-14,78.50261
2022-11-15,67.26416
2022-11-16,58.98574
2022-11-17,51.93574
2022-11-18,48.35792
2022-11-19,25.31874
2022-11-20,27.16675
2022-11-21,59.76291
2022-11-22,54.28873
2022-11-23,49.74392
2022-11-24,76.47016
2022-11-25,64.73569
2022-11-26,32.96683
2022-11-27,34.11825
2022-11-28,70.86168
2022-11-29,71.25385
2022-11-30,57.61585
2022-12-01,56.57187
2022-12-02,44.0853
2022-12-03,21.01926
2022-12-04,22.20471
2022-12-05,46.88417
2022-12-06,45.37998
2022-12-07,46.98266
2022-12-08,44.02442
2022-12-09,36.56972
2022-12-10,19.5491
2022-12-11,19.86247
2022-12-12,41.21839
2022-12-13,38.9048
2022-12-14,35.82479
2022-12-15,38.26015
2022-12-16,33.3769
2022-12-17,17.19611
2022-12-18,19.55805
2022-12-19,35.18193
2022-12-20,35.42547
2022-12-21,32.11267
2022-12-22,28.65303
2022-12-23,27.87228
2022-12-24,15.84413
2022-12-25,16.45655
2022-12-26,33.03846
2022-12-27,31.19045
2022-12-28,30.29331
2022-12-29,30.73562
2022-12-30,29.28157
2022-12-31,16.37418
2023-01-01,21.61019
2023-01-02,39.72494
2023-01-03,34.437
2023-01-04,31.05973
2023-01-05,31.99269
2023-01-06,29.68805
2023-01-07,18.22398
2023-01-08,19.25542
2023-01-09,34.51221
2023-01-10,39.86999
2023-01-11,37.33615
2023-01-12,33.14948
2023-01-13,47.16352
2023-01-14,22.17964
2023-01-15,21.22878
2023-01-16,43.5857
2023-01-17,39.78583
2023-01-18,35.70123
2023-01-19,32.30248
2023-01-20,33.63118
2023-01-21,17.84793
2023-01-22,16.73053
2023-01-23,15.46271
2023-01-24,21.95938
2023-01-25,41.65711
2023-01-26,34.18272
2023-01-27,30.08738
2023-01-28,16.9866
2023-01-29,15.7922
2023-01-30,30.29331
2023-01-31,31.0669
2023-02-01,30.06231
2023-02-02,27.36193
2023-02-03,23.81097
2023-02-04,14.43664
2023-02-05,14.31845
2023-02-06,28.66556
2023-02-07,26.04218
2023-02-08,23.94706
2023-02-09,21.88596
2023-02-10,21.33443
