date,예금금리비교
2021-03-07,0.45162
2021-03-08,1.18117
2021-03-09,1.1638
2021-03-10,1.61542
2021-03-11,0.93798
2021-03-12,1.19854
2021-03-13,0.6948
2021-03-14,0.64269
2021-03-15,1.1638
2021-03-16,1.42435
2021-03-17,1.56331
2021-03-18,1.35487
2021-03-19,0.92061
2021-03-20,0.6948
2021-03-21,0.62532
2021-03-22,1.59805
2021-03-23,1.70227
2021-03-24,1.5112
2021-03-25,1.23328
2021-03-26,1.21591
2021-03-27,0.46899
2021-03-28,0.5211
2021-03-29,1.0422
2021-03-30,1.26802
2021-03-31,1.21591
2021-04-01,1.1638
2021-04-02,1.12906
2021-04-03,0.60795
2021-04-04,0.41688
2021-04-05,1.21591
2021-04-06,1.11169
2021-04-07,1.07694
2021-04-08,0.93798
2021-04-09,0.60795
2021-04-10,0.46899
2021-04-11,0.53847
2021-04-12,0.76428
2021-04-13,0.74691
2021-04-14,1.0422
2021-04-15,0.85113
2021-04-16,0.72954
2021-04-17,0.46899
2021-04-18,0.20844
2021-04-19,0.95535
2021-04-20,0.99009
2021-04-21,0.90324
2021-04-22,0.92061
2021-04-23,0.90324
2021-04-24,0.38214
2021-04-25,0.24318
2021-04-26,0.90324
2021-04-27,0.76428
2021-04-28,0.85113
2021-04-29,0.99009
2021-04-30,0.57321
2021-05-01,0.22581
2021-05-02,0.53847
2021-05-03,1.19854
2021-05-04,0.93798
2021-05-05,0.3474
2021-05-06,1.05957
2021-05-07,1.0422
2021-05-08,0.33003
2021-05-09,0.43425
2021-05-10,1.28539
2021-05-11,0.99009
2021-05-12,0.83376
2021-05-13,0.90324
2021-05-14,0.79902
2021-05-15,0.19107
2021-05-16,0.22581
2021-05-17,1.05957
2021-05-18,1.19854
2021-05-19,0.36477
2021-05-20,1.21591
2021-05-21,1.0422
2021-05-22,0.62532
2021-05-23,0.3474
2021-05-24,0.99009
2021-05-25,1.3375
2021-05-26,1.18117
2021-05-27,1.23328
2021-05-28,0.83376
2021-05-29,0.36477
2021-05-30,0.60795
2021-05-31,1.09431
2021-06-01,1.26802
2021-06-02,0.92061
2021-06-03,1.23328
2021-06-04,0.81639
2021-06-05,0.26055
2021-06-06,0.39951
2021-06-07,1.07694
2021-06-08,1.0422
2021-06-09,0.81639
2021-06-10,1.02483
2021-06-11,0.62532
2021-06-12,0.39951
2021-06-13,0.36477
2021-06-14,0.97272
2021-06-15,0.72954
2021-06-16,0.93798
2021-06-17,0.92061
2021-06-18,0.74691
2021-06-19,0.48636
2021-06-20,0.31266
2021-06-21,0.95535
2021-06-22,1.0422
2021-06-23,0.83376
2021-06-24,1.37224
2021-06-25,1.32013
2021-06-26,0.39951
2021-06-27,0.48636
2021-06-28,1.18117
2021-06-29,1.3375
2021-06-30,1.12906
2021-07-01,1.00746
2021-07-02,0.81639
2021-07-03,0.48636
2021-07-04,0.46899
2021-07-05,0.93798
2021-07-06,1.05957
2021-07-07,0.8685
2021-07-08,0.74691
2021-07-09,0.62532
2021-07-10,0.33003
2021-07-11,0.43425
2021-07-12,0.60795
2021-07-13,0.74691
2021-07-14,1.09431
2021-07-15,0.79902
2021-07-16,0.99009
2021-07-17,0.41688
2021-07-18,0.26055
2021-07-19,1.1638
2021-07-20,1.21591
2021-07-21,0.83376
2021-07-22,0.79902
2021-07-23,0.74691
2021-07-24,0.48636
2021-07-25,0.36477
2021-07-26,0.8685
2021-07-27,1.07694
2021-07-28,1.00746
2021-07-29,0.97272
2021-07-30,1.40698
2021-07-31,0.59058
2021-08-01,0.55584
2021-08-02,1.18117
2021-08-03,1.61542
2021-08-04,1.14643
2021-08-05,1.07694
2021-08-06,1.00746
2021-08-07,0.71217
2021-08-08,0.5211
2021-08-09,1.21591
2021-08-10,1.38961
2021-08-11,0.95535
2021-08-12,1.1638
2021-08-13,0.92061
2021-08-14,0.55584
2021-08-15,0.39951
2021-08-16,0.60795
2021-08-17,1.37224
2021-08-18,1.14643
2021-08-19,1.09431
2021-08-20,1.35487
2021-08-21,0.60795
2021-08-22,0.38214
2021-08-23,1.59805
2021-08-24,1.11169
2021-08-25,0.99009
2021-08-26,1.42435
2021-08-27,1.54594
2021-08-28,0.67743
2021-08-29,0.93798
2021-08-30,1.65016
2021-08-31,1.80649
2021-09-01,2.18863
2021-09-02,1.71964
2021-09-03,1.65016
2021-09-04,0.72954
2021-09-05,0.59058
2021-09-06,1.47646
2021-09-07,1.42435
2021-09-08,1.45909
2021-09-09,1.1638
2021-09-10,1.19854
2021-09-11,0.6948
2021-09-12,0.85113
2021-09-13,2.01493
2021-09-14,1.28539
2021-09-15,1.32013
2021-09-16,1.00746
2021-09-17,0.90324
2021-09-18,0.55584
2021-09-19,0.55584
2021-09-20,0.31266
2021-09-21,0.60795
2021-09-22,0.50373
2021-09-23,2.24075
2021-09-24,1.75438
2021-09-25,0.66006
2021-09-26,0.81639
2021-09-27,1.61542
2021-09-28,1.63279
2021-09-29,1.32013
2021-09-30,1.66753
2021-10-01,1.63279
2021-10-02,0.39951
2021-10-03,0.59058
2021-10-04,0.85113
2021-10-05,1.19854
2021-10-06,1.52857
2021-10-07,1.07694
2021-10-08,1.40698
2021-10-09,0.59058
2021-10-10,0.74691
2021-10-11,0.50373
2021-10-12,1.80649
2021-10-13,1.30276
2021-10-14,1.00746
2021-10-15,1.3375
2021-10-16,0.46899
2021-10-17,0.71217
2021-10-18,0.90324
2021-10-19,1.26802
2021-10-20,1.02483
2021-10-21,0.97272
2021-10-22,1.00746
2021-10-23,0.45162
2021-10-24,0.38214
2021-10-25,1.30276
2021-10-26,1.23328
2021-10-27,1.25065
2021-10-28,0.67743
2021-10-29,1.58068
2021-10-30,0.48636
2021-10-31,0.5211
2021-11-01,1.11169
2021-11-02,1.30276
2021-11-03,0.88587
2021-11-04,1.05957
2021-11-05,1.09431
2021-11-06,0.55584
2021-11-07,0.43425
2021-11-08,1.26802
2021-11-09,1.5112
2021-11-10,0.95535
2021-11-11,0.93798
2021-11-12,1.25065
2021-11-13,0.66006
2021-11-14,0.57321
2021-11-15,1.02483
2021-11-16,1.38961
2021-11-17,0.72954
2021-11-18,1.1638
2021-11-19,1.11169
2021-11-20,0.3474
2021-11-21,0.31266
2021-11-22,0.95535
2021-11-23,0.90324
2021-11-24,1.11169
2021-11-25,1.91071
2021-11-26,1.99756
2021-11-27,0.95535
2021-11-28,0.83376
2021-11-29,2.44919
2021-11-30,2.22338
2021-12-01,1.6849
2021-12-02,1.58068
2021-12-03,1.96282
2021-12-04,1.44172
2021-12-05,1.19854
2021-12-06,1.99756
2021-12-07,2.44919
2021-12-08,1.82386
2021-12-09,1.84123
2021-12-10,1.30276
2021-12-11,0.79902
2021-12-12,0.57321
2021-12-13,1.99756
2021-12-14,1.3375
2021-12-15,1.49383
2021-12-16,1.73701
2021-12-17,1.09431
2021-12-18,0.67743
2021-12-19,0.93798
2021-12-20,1.61542
2021-12-21,1.84123
2021-12-22,1.3375
2021-12-23,1.35487
2021-12-24,1.42435
2021-12-25,0.48636
2021-12-26,0.78165
2021-12-27,1.59805
2021-12-28,1.5112
2021-12-29,1.59805
2021-12-30,1.75438
2021-12-31,1.58068
2022-01-01,0.74691
2022-01-02,1.00746
2022-01-03,1.70227
2022-01-04,1.71964
2022-01-05,1.73701
2022-01-06,1.3375
2022-01-07,1.37224
2022-01-08,0.64269
2022-01-09,0.64269
2022-01-10,1.75438
2022-01-11,1.30276
2022-01-12,1.82386
2022-01-13,1.6849
2022-01-14,2.29286
2022-01-15,1.28539
2022-01-16,0.81639
2022-01-17,3.0224
2022-01-18,2.17126
2022-01-19,2.60552
2022-01-20,2.62289
2022-01-21,2.17126
2022-01-22,1.1638
2022-01-23,1.28539
2022-01-24,2.36234
2022-01-25,2.76185
2022-01-26,2.76185
2022-01-27,2.675
2022-01-28,3.07451
2022-01-29,1.19854
2022-01-30,0.99009
2022-01-31,1.00746
2022-02-01,1.1638
2022-02-02,1.66753
2022-02-03,3.78669
2022-02-04,2.65763
2022-02-05,1.49383
2022-02-06,1.32013
2022-02-07,2.83133
2022-02-08,2.3276
2022-02-09,2.76185
2022-02-10,2.58815
2022-02-11,2.01493
2022-02-12,0.81639
2022-02-13,1.28539
2022-02-14,2.41445
2022-02-15,2.48393
2022-02-16,2.17126
2022-02-17,1.98019
2022-02-18,1.77175
2022-02-19,1.12906
2022-02-20,1.25065
2022-02-21,2.20601
2022-02-22,2.15389
2022-02-23,2.44919
2022-02-24,2.27549
2022-02-25,2.15389
2022-02-26,0.88587
2022-02-27,1.00746
2022-02-28,2.18863
2022-03-01,1.09431
2022-03-02,2.36234
2022-03-03,1.44172
2022-03-04,1.52857
2022-03-05,0.81639
2022-03-06,0.8685
2022-03-07,1.66753
2022-03-08,1.14643
2022-03-09,0.72954
2022-03-10,1.25065
2022-03-11,1.96282
2022-03-12,0.85113
2022-03-13,0.81639
2022-03-14,1.84123
2022-03-15,1.65016
2022-03-16,1.77175
2022-03-17,1.42435
2022-03-18,1.66753
2022-03-19,0.6948
2022-03-20,0.71217
2022-03-21,1.77175
2022-03-22,1.71964
2022-03-23,1.45909
2022-03-24,1.63279
2022-03-25,1.58068
2022-03-26,0.59058
2022-03-27,0.60795
2022-03-28,1.73701
2022-03-29,1.87597
2022-03-30,1.84123
2022-03-31,1.84123
2022-04-01,2.17126
2022-04-02,0.81639
2022-04-03,0.6948
2022-04-04,1.75438
2022-04-05,1.6849
2022-04-06,1.89334
2022-04-07,1.80649
2022-04-08,1.52857
2022-04-09,0.8685
2022-04-10,0.93798
2022-04-11,1.73701
2022-04-12,2.41445
2022-04-13,2.25812
2022-04-14,2.37971
2022-04-15,2.3276
2022-04-16,1.35487
2022-04-17,1.07694
2022-04-18,2.64026
2022-04-19,2.36234
2022-04-20,2.31023
2022-04-21,1.92808
2022-04-22,2.51867
2022-04-23,0.85113
2022-04-24,0.8685
2022-04-25,2.25812
2022-04-26,2.37971
2022-04-27,1.98019
2022-04-28,1.98019
2022-04-29,1.73701
2022-04-30,1.1638
2022-05-01,1.37224
2022-05-02,2.20601
2022-05-03,1.6849
2022-05-04,2.06704
2022-05-05,1.23328
2022-05-06,2.08441
2022-05-07,0.76428
2022-05-08,1.21591
2022-05-09,2.60552
2022-05-10,2.08441
2022-05-11,1.75438
2022-05-12,2.11915
2022-05-13,1.92808
2022-05-14,0.72954
2022-05-15,0.57321
2022-05-16,2.18863
2022-05-17,1.92808
2022-05-18,1.84123
2022-05-19,2.10178
2022-05-20,1.77175
2022-05-21,1.0422
2022-05-22,1.28539
2022-05-23,2.60552
2022-05-24,3.03977
2022-05-25,2.98766
2022-05-26,3.78669
2022-05-27,3.3177
2022-05-28,1.82386
2022-05-29,1.82386
2022-05-30,3.61299
2022-05-31,3.52614
2022-06-01,2.18863
2022-06-02,3.71721
2022-06-03,3.87354
2022-06-04,1.5112
2022-06-05,1.40698
2022-06-06,2.0323
2022-06-07,3.28295
2022-06-08,3.14399
2022-06-09,3.09188
2022-06-10,2.72711
2022-06-11,1.25065
2022-06-12,1.49383
2022-06-13,3.14399
2022-06-14,3.50877
2022-06-15,2.86607
2022-06-16,3.78669
2022-06-17,4.0125
2022-06-18,1.71964
2022-06-19,1.6849
2022-06-20,3.97776
2022-06-21,3.76932
2022-06-22,3.57825
2022-06-23,5.95796
2022-06-24,3.28295
2022-06-25,1.96282
2022-06-26,2.10178
2022-06-27,4.1862
2022-06-28,4.62046
2022-06-29,4.41202
2022-06-30,4.13409
2022-07-01,3.52614
2022-07-02,1.80649
2022-07-03,2.43182
2022-07-04,5.52371
2022-07-05,4.68994
2022-07-06,5.01997
2022-07-07,4.08198
2022-07-08,3.4914
2022-07-09,1.45909
2022-07-10,2.06704
2022-07-11,4.39464
2022-07-12,4.41202
2022-07-13,8.44189
2022-07-14,9.90099
2022-07-15,6.35747
2022-07-16,3.92565
2022-07-17,2.88344
2022-07-18,7.6776
2022-07-19,6.8091
2022-07-20,6.60066
2022-07-21,6.79173
2022-07-22,5.28052
2022-07-23,2.83133
2022-07-24,2.58815
2022-07-25,7.69498
2022-07-26,6.82647
2022-07-27,6.14903
2022-07-28,6.46169
2022-07-29,5.62793
2022-07-30,2.83133
2022-07-31,2.51867
2022-08-01,6.77436
2022-08-02,5.50634
2022-08-03,5.01997
2022-08-04,4.46413
2022-08-05,3.80406
2022-08-06,2.15389
2022-08-07,2.36234
2022-08-08,4.89838
2022-08-09,4.6552
2022-08-10,5.21104
2022-08-11,5.0026
2022-08-12,3.75195
2022-08-13,1.6849
2022-08-14,2.08441
2022-08-15,2.0323
2022-08-16,4.37727
2022-08-17,4.86364
2022-08-18,4.39464
2022-08-19,3.1961
2022-08-20,1.73701
2022-08-21,2.58815
2022-08-22,7.36494
2022-08-23,6.37484
2022-08-24,4.04724
2022-08-25,7.36494
2022-08-26,7.26072
2022-08-27,3.17873
2022-08-28,2.93555
2022-08-29,6.82647
2022-08-30,6.82647
