date,LG이노텍주가
2021-08-05,18.32608
2021-08-06,16.0
2021-08-07,3.70289
2021-08-08,2.44927
2021-08-09,15.15942
2021-08-10,15.1884
2021-08-11,15.73188
2021-08-12,16.94927
2021-08-13,16.36231
2021-08-14,4.27536
2021-08-15,4.22463
2021-08-16,4.57246
2021-08-17,18.15217
2021-08-18,17.69565
2021-08-19,18.16666
2021-08-20,18.38405
2021-08-21,4.21014
2021-08-22,3.76811
2021-08-23,17.56521
2021-08-24,21.82608
2021-08-25,17.81159
2021-08-26,16.72463
2021-08-27,15.0942
2021-08-28,2.74637
2021-08-29,2.55797
2021-08-30,14.77536
2021-08-31,22.02173
2021-09-01,26.05797
2021-09-02,18.92753
2021-09-03,37.94927
2021-09-04,9.15942
2021-09-05,6.97826
2021-09-06,37.0
2021-09-07,27.07246
2021-09-08,24.76086
2021-09-09,24.73188
2021-09-10,28.81884
2021-09-11,8.44202
2021-09-12,6.99275
2021-09-13,30.0
2021-09-14,33.21014
2021-09-15,39.97101
2021-09-16,31.71739
2021-09-17,26.1884
2021-09-18,4.42753
2021-09-19,4.99275
2021-09-20,4.02173
2021-09-21,3.10869
2021-09-22,2.94202
2021-09-23,21.28985
2021-09-24,24.04347
2021-09-25,4.41304
2021-09-26,4.26811
2021-09-27,22.13043
2021-09-28,21.15942
2021-09-29,20.22463
2021-09-30,19.62318
2021-10-01,18.65942
2021-10-02,4.53623
2021-10-03,2.92028
2021-10-04,3.36956
2021-10-05,19.87681
2021-10-06,19.28985
2021-10-07,21.91304
2021-10-08,24.77536
2021-10-09,5.44202
2021-10-10,4.42753
2021-10-11,4.74637
2021-10-12,21.02173
2021-10-13,25.73188
2021-10-14,20.13043
2021-10-15,22.57246
2021-10-16,4.30434
2021-10-17,4.52173
2021-10-18,20.18115
2021-10-19,19.69565
2021-10-20,17.86231
2021-10-21,18.75362
2021-10-22,17.46376
2021-10-23,3.0
2021-10-24,2.42753
2021-10-25,17.7826
2021-10-26,17.55072
2021-10-27,19.0
2021-10-28,24.72463
2021-10-29,20.35507
2021-10-30,3.06521
2021-10-31,2.12318
2021-11-01,18.06521
2021-11-02,23.21739
2021-11-03,18.40579
2021-11-04,18.15217
2021-11-05,16.13043
2021-11-06,3.03623
2021-11-07,2.36956
2021-11-08,16.14492
2021-11-09,14.12318
2021-11-10,16.42753
2021-11-11,31.31159
2021-11-12,36.58695
2021-11-13,6.94202
2021-11-14,8.53623
2021-11-15,50.58695
2021-11-16,52.60869
2021-11-17,49.42028
2021-11-18,52.60869
2021-11-19,57.44202
2021-11-20,13.24637
2021-11-21,11.44202
2021-11-22,57.28985
2021-11-23,43.9855
2021-11-24,56.57246
2021-11-25,53.26086
2021-11-26,47.02898
2021-11-27,7.3913
2021-11-28,5.88405
2021-11-29,37.71739
2021-11-30,64.3913
2021-12-01,56.10869
2021-12-02,68.7826
2021-12-03,47.23188
2021-12-04,6.60144
2021-12-05,6.44202
2021-12-06,39.13768
2021-12-07,40.95652
2021-12-08,36.62318
2021-12-09,44.38405
2021-12-10,43.69565
2021-12-11,8.28985
2021-12-12,10.6884
2021-12-13,53.58695
2021-12-14,43.68115
2021-12-15,75.50724
2021-12-16,61.88405
2021-12-17,47.58695
2021-12-18,8.7971
2021-12-19,9.60144
2021-12-20,45.60144
2021-12-21,66.88405
2021-12-22,52.97101
2021-12-23,78.74637
2021-12-24,62.75362
2021-12-25,11.31159
2021-12-26,10.23188
2021-12-27,52.94927
2021-12-28,58.01449
