date,신혼부부청약
2021-05-16,20.98501
2021-05-17,29.12205
2021-05-18,26.33832
2021-05-19,22.2698
2021-05-20,24.197
2021-05-21,20.34261
2021-05-22,13.27623
2021-05-23,20.12847
2021-05-24,34.90364
2021-05-25,26.55246
2021-05-26,28.69379
2021-05-27,27.40899
2021-05-28,25.05353
2021-05-29,15.84582
2021-05-30,21.6274
2021-05-31,31.47751
2021-06-01,28.90792
2021-06-02,27.83725
2021-06-03,25.91006
2021-06-04,29.97858
2021-06-05,17.13062
2021-06-06,29.33618
2021-06-07,44.53961
2021-06-08,26.55246
2021-06-09,23.5546
2021-06-10,22.9122
2021-06-11,21.6274
2021-06-12,12.4197
2021-06-13,17.34475
2021-06-14,35.54603
2021-06-15,26.55246
2021-06-16,22.69807
2021-06-17,26.12419
2021-06-18,21.84154
2021-06-19,15.63169
2021-06-20,24.41113
2021-06-21,37.47323
2021-06-22,29.55032
2021-06-23,26.55246
2021-06-24,26.12419
2021-06-25,23.34047
2021-06-26,13.49036
2021-06-27,18.41541
2021-06-28,31.90578
2021-06-29,25.69593
2021-06-30,29.12205
2021-07-01,28.05139
2021-07-02,20.77087
2021-07-03,18.41541
2021-07-04,23.34047
2021-07-05,40.25695
2021-07-06,25.05353
2021-07-07,27.40899
2021-07-08,28.90792
2021-07-09,28.05139
2021-07-10,20.12847
2021-07-11,22.05567
2021-07-12,43.46895
2021-07-13,27.62312
2021-07-14,30.83511
2021-07-15,43.89721
2021-07-16,48.60813
2021-07-17,28.26552
2021-07-18,28.90792
2021-07-19,36.6167
2021-07-20,36.6167
2021-07-21,27.40899
2021-07-22,28.47965
2021-07-23,24.197
2021-07-24,14.13276
2021-07-25,16.05995
2021-07-26,36.18843
2021-07-27,46.68094
2021-07-28,55.88865
2021-07-29,34.47537
2021-07-30,38.54389
2021-07-31,25.48179
2021-08-01,28.90792
2021-08-02,41.11349
2021-08-03,44.11134
2021-08-04,36.6167
2021-08-05,37.04496
2021-08-06,29.55032
2021-08-07,23.76873
2021-08-08,28.05139
2021-08-09,38.97216
2021-08-10,41.75588
2021-08-11,47.7516
2021-08-12,42.82655
2021-08-13,34.26124
2021-08-14,25.05353
2021-08-15,29.55032
2021-08-16,37.47323
2021-08-17,48.82226
2021-08-18,48.60813
2021-08-19,45.82441
2021-08-20,37.2591
2021-08-21,26.55246
2021-08-22,43.46895
2021-08-23,58.45824
2021-08-24,53.31905
2021-08-25,50.53533
2021-08-26,43.25481
2021-08-27,33.83297
2021-08-28,29.33618
2021-08-29,37.04496
2021-08-30,48.394
2021-08-31,61.02783
2021-09-01,70.66381
2021-09-02,49.89293
2021-09-03,41.11349
2021-09-04,31.90578
2021-09-05,38.11563
2021-09-06,55.03211
2021-09-07,44.75374
2021-09-08,100.0
2021-09-09,69.59314
2021-09-10,45.18201
2021-09-11,31.47751
2021-09-12,41.75588
2021-09-13,59.5289
2021-09-14,45.82441
2021-09-15,42.61241
2021-09-16,37.68736
2021-09-17,24.62526
2021-09-18,26.98072
2021-09-19,30.83511
2021-09-20,24.8394
2021-09-21,32.76231
2021-09-22,41.75588
2021-09-23,59.5289
2021-09-24,46.4668
2021-09-25,31.90578
2021-09-26,44.53961
2021-09-27,68.95074
2021-09-28,52.89079
2021-09-29,37.47323
2021-09-30,47.1092
2021-10-01,32.33404
2021-10-02,28.47965
2021-10-03,25.26766
2021-10-04,48.60813
2021-10-05,50.32119
2021-10-06,44.96788
2021-10-07,44.11134
2021-10-08,35.11777
2021-10-09,25.91006
2021-10-10,35.54603
2021-10-11,38.32976
2021-10-12,59.95717
2021-10-13,47.7516
2021-10-14,39.82869
2021-10-15,44.32548
2021-10-16,28.47965
2021-10-17,32.33404
2021-10-18,41.97002
2021-10-19,35.54603
2021-10-20,36.83083
2021-10-21,37.47323
2021-10-22,39.40042
2021-10-23,25.26766
2021-10-24,33.83297
2021-10-25,64.88222
2021-10-26,52.24839
2021-10-27,40.68522
2021-10-28,43.25481
2021-10-29,33.83297
2021-10-30,20.34261
2021-10-31,38.54389
2021-11-01,60.59957
2021-11-02,46.68094
2021-11-03,38.11563
2021-11-04,45.39614
2021-11-05,38.97216
2021-11-06,25.48179
2021-11-07,38.11563
2021-11-08,55.24625
2021-11-09,49.89293
2021-11-10,40.68522
2021-11-11,38.75802
2021-11-12,32.76231
2021-11-13,29.97858
2021-11-14,37.90149
2021-11-15,90.36402
2021-11-16,59.95717
2021-11-17,50.32119
2021-11-18,47.1092
2021-11-19,31.90578
2021-11-20,31.26338
2021-11-21,38.11563
2021-11-22,46.25267
2021-11-23,53.31905
2021-11-24,45.39614
2021-11-25,54.81798
2021-11-26,42.39828
2021-11-27,32.33404
2021-11-28,36.18843
2021-11-29,66.16702
2021-11-30,55.24625
2021-12-01,51.17773
2021-12-02,43.04068
2021-12-03,35.11777
2021-12-04,36.40256
2021-12-05,41.11349
2021-12-06,63.59743
2021-12-07,47.96573
2021-12-08,51.60599
2021-12-09,44.96788
2021-12-10,33.61884
2021-12-11,28.47965
2021-12-12,41.32762
2021-12-13,56.95931
2021-12-14,44.32548
2021-12-15,44.53961
2021-12-16,33.83297
2021-12-17,29.33618
2021-12-18,25.26766
2021-12-19,39.40042
2021-12-20,45.39614
2021-12-21,40.25695
2021-12-22,36.40256
2021-12-23,41.54175
2021-12-24,26.55246
2021-12-25,21.19914
2021-12-26,35.54603
2021-12-27,55.67451
2021-12-28,53.53319
2021-12-29,44.32548
2021-12-30,43.68308
2021-12-31,36.6167
2022-01-01,33.83297
2022-01-02,43.25481
2022-01-03,55.67451
2022-01-04,52.46252
2022-01-05,50.74946
2022-01-06,48.60813
2022-01-07,40.68522
2022-01-08,35.3319
2022-01-09,52.89079
2022-01-10,83.51177
2022-01-11,63.59743
2022-01-12,58.24411
2022-01-13,55.67451
2022-01-14,41.32762
2022-01-15,30.19271
2022-01-16,58.45824
2022-01-17,64.23982
2022-01-18,61.4561
2022-01-19,53.31905
2022-01-20,42.18415
2022-01-21,38.97216
2022-01-22,32.76231
2022-01-23,47.53747
2022-01-24,53.53319
2022-01-25,43.04068
2022-01-26,36.83083
2022-01-27,34.47537
2022-01-28,30.19271
2022-01-29,33.83297
2022-01-30,28.90792
2022-01-31,40.04282
2022-02-01,43.04068
2022-02-02,44.11134
2022-02-03,64.45396
2022-02-04,52.46252
2022-02-05,37.2591
2022-02-06,50.53533
2022-02-07,65.52462
2022-02-08,51.17773
2022-02-09,49.0364
2022-02-10,43.25481
2022-02-11,37.2591
2022-02-12,30.83511
2022-02-13,43.46895
2022-02-14,66.59528
2022-02-15,59.31477
2022-02-16,47.7516
2022-02-17,66.38115
2022-02-18,53.53319
2022-02-19,36.83083
2022-02-20,54.38972
2022-02-21,63.16916
2022-02-22,55.24625
2022-02-23,48.17987
2022-02-24,44.53961
2022-02-25,38.75802
2022-02-26,35.11777
2022-02-27,41.11349
2022-02-28,51.60599
2022-03-01,43.89721
2022-03-02,56.53104
2022-03-03,47.53747
2022-03-04,46.03854
2022-03-05,31.69164
2022-03-06,49.0364
2022-03-07,71.09207
2022-03-08,40.04282
2022-03-09,37.90149
2022-03-10,62.74089
2022-03-11,46.89507
2022-03-12,46.25267
2022-03-13,59.95717
2022-03-14,76.01713
2022-03-15,67.88008
2022-03-16,52.24839
2022-03-17,52.24839
2022-03-18,43.46895
2022-03-19,41.75588
2022-03-20,58.8865
2022-03-21,86.2955
2022-03-22,54.17558
2022-03-23,50.32119
2022-03-24,52.03426
2022-03-25,47.53747
2022-03-26,38.75802
2022-03-27,55.88865
2022-03-28,60.38543
2022-03-29,56.31691
2022-03-30,66.80942
2022-03-31,64.23982
2022-04-01,44.75374
2022-04-02,37.68736
2022-04-03,54.81798
2022-04-04,56.74518
2022-04-05,54.17558
2022-04-06,51.17773
2022-04-07,50.74946
2022-04-08,49.6788
2022-04-09,35.9743
2022-04-10,46.68094
2022-04-11,78.37259
2022-04-12,60.59957
2022-04-13,45.39614
2022-04-14,46.89507
2022-04-15,44.53961
2022-04-16,32.11991
2022-04-17,42.61241
2022-04-18,76.01713
2022-04-19,57.60171
2022-04-20,54.17558
2022-04-21,46.03854
2022-04-22,45.39614
2022-04-23,35.54603
2022-04-24,49.25053
2022-04-25,62.0985
2022-04-26,58.02997
2022-04-27,50.53533
2022-04-28,48.60813
2022-04-29,39.82869
2022-04-30,42.18415
2022-05-01,48.394
2022-05-02,65.73875
2022-05-03,45.39614
2022-05-04,45.82441
2022-05-05,35.3319
2022-05-06,46.68094
2022-05-07,35.54603
2022-05-08,52.46252
2022-05-09,64.23982
2022-05-10,60.1713
2022-05-11,59.31477
2022-05-12,39.61456
2022-05-13,36.40256
2022-05-14,34.47537
2022-05-15,51.17773
2022-05-16,62.74089
2022-05-17,50.10706
2022-05-18,47.7516
2022-05-19,50.32119
2022-05-20,38.97216
2022-05-21,32.33404
2022-05-22,46.03854
2022-05-23,58.02997
2022-05-24,56.10278
2022-05-25,51.60599
2022-05-26,53.31905
2022-05-27,38.54389
2022-05-28,34.0471
2022-05-29,48.394
2022-05-30,68.95074
2022-05-31,48.60813
2022-06-01,49.25053
2022-06-02,52.89079
2022-06-03,42.18415
2022-06-04,34.47537
2022-06-05,38.11563
2022-06-06,50.53533
2022-06-07,55.46038
2022-06-08,66.16702
2022-06-09,56.31691
2022-06-10,43.25481
2022-06-11,38.11563
2022-06-12,39.61456
2022-06-13,59.95717
2022-06-14,53.10492
2022-06-15,50.53533
2022-06-16,48.82226
2022-06-17,35.9743
2022-06-18,31.04925
2022-06-19,46.25267
2022-06-20,58.45824
2022-06-21,52.24839
2022-06-22,52.89079
2022-06-23,45.82441
2022-06-24,40.25695
2022-06-25,28.90792
2022-06-26,39.18629
2022-06-27,51.17773
2022-06-28,56.95931
2022-06-29,49.6788
2022-06-30,41.11349
2022-07-01,34.90364
2022-07-02,29.33618
2022-07-03,41.32762
2022-07-04,65.52462
2022-07-05,49.0364
2022-07-06,41.97002
2022-07-07,43.25481
2022-07-08,38.54389
2022-07-09,26.33832
2022-07-10,38.97216
2022-07-11,56.74518
2022-07-12,45.61027
2022-07-13,48.394
2022-07-14,37.90149
2022-07-15,32.76231
2022-07-16,23.76873
2022-07-17,32.97644
2022-07-18,53.53319
2022-07-19,44.11134
2022-07-20,40.25695
2022-07-21,36.18843
2022-07-22,30.19271
2022-07-23,19.48608
2022-07-24,33.19057
2022-07-25,57.81584
2022-07-26,49.25053
2022-07-27,38.32976
2022-07-28,37.47323
2022-07-29,40.47109
2022-07-30,25.69593
2022-07-31,39.61456
2022-08-01,42.18415
2022-08-02,44.32548
2022-08-03,38.97216
2022-08-04,38.11563
2022-08-05,35.76017
2022-08-06,28.69379
2022-08-07,37.2591
2022-08-08,46.4668
2022-08-09,47.1092
2022-08-10,36.83083
2022-08-11,33.83297
2022-08-12,35.9743
2022-08-13,28.90792
2022-08-14,31.26338
2022-08-15,45.82441
2022-08-16,55.67451
2022-08-17,47.96573
2022-08-18,46.89507
2022-08-19,46.25267
2022-08-20,30.83511
2022-08-21,41.75588
2022-08-22,63.59743
2022-08-23,52.67665
2022-08-24,52.46252
2022-08-25,40.47109
2022-08-26,39.82869
2022-08-27,27.62312
2022-08-28,44.32548
2022-08-29,46.03854
2022-08-30,46.25267
2022-08-31,41.54175
2022-09-01,44.11134
2022-09-02,37.04496
2022-09-03,29.97858
2022-09-04,38.11563
2022-09-05,39.82869
2022-09-06,36.83083
2022-09-07,34.0471
2022-09-08,26.76659
2022-09-09,26.12419
2022-09-10,27.83725
2022-09-11,39.61456
2022-09-12,41.97002
2022-09-13,56.53104
2022-09-14,49.89293
2022-09-15,49.25053
2022-09-16,38.54389
2022-09-17,41.97002
2022-09-18,41.97002
2022-09-19,52.67665
2022-09-20,46.4668
2022-09-21,49.46466
2022-09-22,40.25695
2022-09-23,40.47109
2022-09-24,20.34261
2022-09-25,38.75802
2022-09-26,49.6788
2022-09-27,44.32548
2022-09-28,50.74946
2022-09-29,35.9743
2022-09-30,32.54817
2022-10-01,26.33832
2022-10-02,27.19486
2022-10-03,59.5289
2022-10-04,67.02355
2022-10-05,49.25053
2022-10-06,38.75802
2022-10-07,41.75588
2022-10-08,26.33832
2022-10-09,41.54175
2022-10-10,44.53961
2022-10-11,52.03426
2022-10-12,42.61241
2022-10-13,37.68736
2022-10-14,25.69593
2022-10-15,22.69807
2022-10-16,37.04496
2022-10-17,44.96788
2022-10-18,37.68736
2022-10-19,36.6167
2022-10-20,36.18843
2022-10-21,29.55032
2022-10-22,22.2698
2022-10-23,37.68736
2022-10-24,47.1092
2022-10-25,40.04282
2022-10-26,53.31905
2022-10-27,44.75374
2022-10-28,36.83083
2022-10-29,25.91006
2022-10-30,28.47965
2022-10-31,43.68308
2022-11-01,43.46895
2022-11-02,34.90364
2022-11-03,28.47965
2022-11-04,22.48394
2022-11-05,22.2698
2022-11-06,31.90578
2022-11-07,45.18201
2022-11-08,43.25481
2022-11-09,40.25695
2022-11-10,34.90364
2022-11-11,29.97858
2022-11-12,23.76873
2022-11-13,33.40471
2022-11-14,44.53961
2022-11-15,38.11563
2022-11-16,34.26124
2022-11-17,33.40471
2022-11-18,24.197
2022-11-19,18.20128
2022-11-20,32.11991
2022-11-21,41.54175
2022-11-22,37.90149
2022-11-23,29.33618
2022-11-24,23.5546
2022-11-25,21.6274
2022-11-26,19.91434
2022-11-27,29.12205
2022-11-28,41.11349
2022-11-29,28.26552
2022-11-30,33.19057
2022-12-01,29.55032
2022-12-02,23.98286
2022-12-03,16.91648
2022-12-04,29.33618
2022-12-05,34.6895
2022-12-06,32.33404
2022-12-07,32.76231
2022-12-08,32.11991
2022-12-09,20.55674
2022-12-10,18.20128
2022-12-11,30.83511
2022-12-12,39.40042
2022-12-13,31.47751
2022-12-14,38.75802
2022-12-15,25.91006
2022-12-16,23.34047
2022-12-17,17.55888
2022-12-18,24.62526
2022-12-19,31.26338
2022-12-20,32.97644
2022-12-21,30.19271
2022-12-22,22.9122
2022-12-23,26.12419
2022-12-24,14.13276
2022-12-25,19.48608
2022-12-26,32.97644
2022-12-27,35.54603
2022-12-28,34.26124
2022-12-29,35.3319
2022-12-30,23.5546
2022-12-31,17.55888
2023-01-01,31.69164
2023-01-02,38.97216
2023-01-03,40.47109
2023-01-04,39.18629
2023-01-05,37.04496
2023-01-06,26.55246
2023-01-07,23.5546
2023-01-08,38.32976
2023-01-09,46.03854
2023-01-10,40.89935
2023-01-11,40.04282
2023-01-12,35.3319
2023-01-13,26.76659
2023-01-14,25.26766
2023-01-15,31.26338
2023-01-16,38.32976
2023-01-17,34.47537
2023-01-18,31.90578
2023-01-19,28.69379
2023-01-20,25.91006
2023-01-21,23.34047
2023-01-22,27.40899
2023-01-23,35.54603
2023-01-24,40.04282
2023-01-25,52.46252
2023-01-26,43.46895
2023-01-27,37.04496
2023-01-28,33.40471
2023-01-29,42.82655
2023-01-30,63.59743
2023-01-31,55.67451
2023-02-01,39.61456
2023-02-02,36.18843
2023-02-03,33.61884
2023-02-04,30.19271
2023-02-05,43.89721
2023-02-06,56.53104
2023-02-07,45.61027
2023-02-08,34.47537
2023-02-09,40.04282
2023-02-10,28.90792
2023-02-11,22.9122
2023-02-12,38.11563
2023-02-13,53.96145
2023-02-14,40.25695
2023-02-15,32.11991
2023-02-16,27.62312
2023-02-17,27.40899
2023-02-18,26.76659
2023-02-19,34.47537
2023-02-20,41.54175
2023-02-21,37.47323
2023-02-22,29.76445
2023-02-23,34.0471
2023-02-24,27.62312
2023-02-25,27.62312
2023-02-26,35.54603
2023-02-27,47.7516
2023-02-28,36.6167
2023-03-01,36.6167
2023-03-02,35.9743
2023-03-03,34.26124
2023-03-04,30.62098
2023-03-05,38.97216
2023-03-06,46.89507
