date,박셀바이오주가
2022-01-02,1.67992
2022-01-03,11.30743
2022-01-04,10.49044
2022-01-05,10.49044
2022-01-06,11.03913
2022-01-07,11.77878
2022-01-08,1.85153
2022-01-09,1.59048
2022-01-10,10.81192
2022-01-11,10.77324
2022-01-12,10.93036
2022-01-13,10.0626
2022-01-14,10.2463
2022-01-15,1.90955
2022-01-16,1.54939
2022-01-17,9.99975
2022-01-18,10.05051
2022-01-19,10.72732
2022-01-20,10.4711
2022-01-21,9.95624
2022-01-22,1.72101
2022-01-23,1.42128
2022-01-24,10.06018
2022-01-25,10.63546
2022-01-26,9.58642
2022-01-27,9.94658
2022-01-28,10.95453
2022-01-29,1.72101
2022-01-30,1.04904
2022-01-31,0.90401
2022-02-01,0.97894
2022-02-02,1.19407
2022-02-03,12.2187
2022-02-04,9.94658
2022-02-05,1.37052
2022-02-06,0.95719
2022-02-07,8.82985
2022-02-08,8.78393
2022-02-09,8.10712
2022-02-10,8.19656
2022-02-11,7.27562
2022-02-12,1.12639
2022-02-13,0.88226
2022-02-14,7.82915
2022-02-15,7.16685
2022-02-16,8.66307
2022-02-17,8.17239
2022-02-18,11.32435
2022-02-19,1.38986
2022-02-20,0.99103
2022-02-21,8.0757
2022-02-22,7.92825
2022-02-23,18.22049
2022-02-24,16.207
2022-02-25,10.9642
2022-02-26,1.30042
2022-02-27,0.85083
2022-02-28,8.44311
2022-03-01,1.41645
2022-03-02,11.78603
2022-03-03,11.4863
2022-03-04,56.37523
2022-03-05,6.82603
2022-03-06,4.03664
2022-03-07,33.35186
2022-03-08,21.36279
2022-03-09,2.61052
2022-03-10,17.35756
2022-03-11,14.58509
2022-03-12,1.97481
2022-03-13,1.46237
2022-03-14,28.99132
2022-03-15,21.59967
2022-03-16,17.48326
2022-03-17,15.82509
2022-03-18,12.77223
2022-03-19,1.82494
2022-03-20,1.46721
2022-03-21,11.22525
2022-03-22,10.6403
2022-03-23,12.02774
2022-03-24,10.34057
2022-03-25,10.01426
2022-03-26,1.68958
2022-03-27,1.05871
2022-03-28,9.26494
2022-03-29,23.89596
2022-03-30,15.11203
2022-03-31,15.55437
2022-04-01,18.89246
2022-04-02,2.11259
2022-04-03,1.6775
2022-04-04,14.41831
2022-04-05,11.63375
2022-04-06,10.67656
2022-04-07,13.86236
2022-04-08,10.5702
2022-04-09,1.42853
2022-04-10,1.04904
2022-04-11,10.08919
2022-04-12,8.25699
2022-04-13,10.49044
2022-04-14,9.91757
2022-04-15,8.00077
2022-04-16,0.99103
2022-04-17,0.90884
2022-04-18,8.03944
2022-04-19,9.66377
2022-04-20,7.6817
2022-04-21,7.58502
2022-04-22,7.06775
2022-04-23,1.0297
2022-04-24,0.81699
2022-04-25,7.89925
2022-04-26,8.29566
2022-04-27,7.02666
2022-04-28,11.12615
2022-04-29,8.68724
2022-04-30,1.2545
2022-05-01,1.10705
2022-05-02,8.47453
2022-05-03,9.59851
2022-05-04,7.19827
2022-05-05,1.02728
2022-05-06,10.11819
2022-05-07,1.39953
2022-05-08,1.08288
2022-05-09,7.921
2022-05-10,8.54946
2022-05-11,34.51209
2022-05-12,17.02641
2022-05-13,12.56435
2022-05-14,1.76693
2022-05-15,1.17957
2022-05-16,10.34057
2022-05-17,10.76357
2022-05-18,9.48732
2022-05-19,8.7235
2022-05-20,9.1465
2022-05-21,1.11914
2022-05-22,0.96686
2022-05-23,10.72732
2022-05-24,8.6679
2022-05-25,8.79359
2022-05-26,9.90548
2022-05-27,8.99422
2022-05-28,1.15298
2022-05-29,0.71789
2022-05-30,8.18931
2022-05-31,7.7373
2022-06-01,1.13606
2022-06-02,8.6534
2022-06-03,7.13301
2022-06-04,0.90159
2022-06-05,0.61879
2022-06-06,0.80491
2022-06-07,12.43141
2022-06-08,8.2159
2022-06-09,7.21519
2022-06-10,6.33535
2022-06-11,0.61395
2022-06-12,0.50276
2022-06-13,6.9058
2022-06-14,6.70276
2022-06-15,6.23383
2022-06-16,6.74868
2022-06-17,6.25075
2022-06-18,0.68163
2022-06-19,0.61637
2022-06-20,6.9203
2022-06-21,6.59882
2022-06-22,7.86299
2022-06-23,6.78252
2022-06-24,7.19344
2022-06-25,0.82908
2022-06-26,0.65263
2022-06-27,6.85504
2022-06-28,6.11056
2022-06-29,5.45067
2022-06-30,5.9196
2022-07-01,5.67789
2022-07-02,0.71789
2022-07-03,0.60187
2022-07-04,6.0598
2022-07-05,6.90096
2022-07-06,6.72693
2022-07-07,6.60849
2022-07-08,6.40303
2022-07-09,0.90401
2022-07-10,0.59703
2022-07-11,7.70588
2022-07-12,6.88646
2022-07-13,7.76872
2022-07-14,7.20553
2022-07-15,6.9058
2022-07-16,0.96927
2022-07-17,0.79282
