date,월배당ETF
2021-04-13,2.98701
2021-04-14,2.98701
2021-04-15,3.11688
2021-04-16,3.8961
2021-04-17,3.24675
2021-04-18,3.37662
2021-04-19,2.20779
2021-04-20,3.37662
2021-04-21,2.46753
2021-04-22,4.54545
2021-04-23,4.15584
2021-04-24,1.16883
2021-04-25,2.33766
2021-04-26,3.24675
2021-04-27,2.07792
2021-04-28,3.37662
2021-04-29,2.46753
2021-04-30,3.11688
2021-05-01,1.81818
2021-05-02,2.33766
2021-05-03,2.5974
2021-05-04,4.28571
2021-05-05,3.50649
2021-05-06,1.81818
2021-05-07,2.98701
2021-05-08,1.68831
2021-05-09,1.55844
2021-05-10,2.33766
2021-05-11,4.15584
2021-05-12,1.42857
2021-05-13,2.20779
2021-05-14,2.07792
2021-05-15,1.03896
2021-05-16,1.81818
2021-05-17,2.72727
2021-05-18,1.03896
2021-05-19,3.76623
2021-05-20,2.20779
2021-05-22,3.24675
2021-05-23,1.16883
2021-05-24,2.46753
2021-05-25,1.94805
2021-05-26,2.98701
2021-05-27,3.24675
2021-05-28,3.11688
2021-05-29,6.75324
2021-05-30,2.5974
2021-05-31,2.33766
2021-06-01,2.85714
2021-06-02,3.11688
2021-06-03,1.68831
2021-06-04,2.85714
2021-06-05,3.37662
2021-06-06,1.68831
2021-06-07,3.63636
2021-06-08,2.46753
2021-06-09,2.72727
2021-06-10,3.11688
2021-06-11,1.81818
2021-06-12,0.77922
2021-06-13,0.77922
2021-06-14,2.72727
2021-06-15,1.81818
2021-06-16,2.33766
2021-06-17,2.85714
2021-06-18,1.2987
2021-06-19,1.03896
2021-06-20,0.77922
2021-06-21,2.33766
2021-06-22,2.72727
2021-06-23,1.81818
2021-06-24,2.46753
2021-06-25,2.20779
2021-06-26,1.55844
2021-06-27,1.2987
2021-06-28,3.24675
2021-06-29,1.81818
2021-06-30,0.77922
2021-07-01,2.5974
2021-07-02,3.11688
2021-07-03,1.42857
2021-07-04,2.46753
2021-07-05,0.90909
