date,대위변제
2021-03-28,3.08832
2021-03-29,7.93699
2021-03-30,7.78258
2021-03-31,8.02964
2021-04-01,7.44286
2021-04-02,6.67078
2021-04-03,1.88387
2021-04-04,3.45892
2021-04-05,8.36936
2021-04-06,8.36936
2021-04-07,7.84434
2021-04-08,6.42371
2021-04-09,5.74428
2021-04-10,1.94564
2021-04-11,2.34712
2021-04-12,7.0105
2021-04-13,7.87523
2021-04-14,7.13403
2021-04-15,7.16491
2021-04-16,6.73255
2021-04-17,2.53242
2021-04-18,2.13094
2021-04-19,6.79431
2021-04-20,7.78258
2021-04-21,7.47374
2021-04-22,7.19579
2021-04-23,6.91785
2021-04-24,2.28536
2021-04-25,2.53242
2021-04-26,7.96788
2021-04-27,8.27671
2021-04-28,8.73996
2021-04-29,7.59728
2021-04-30,6.73255
2021-05-01,2.06917
2021-05-02,2.37801
2021-05-03,7.13403
2021-05-04,6.88696
2021-05-05,2.37801
2021-05-06,8.18406
2021-05-07,6.6399
2021-05-08,2.71772
2021-05-09,2.50154
2021-05-10,7.10315
2021-05-11,6.91785
2021-05-12,6.6399
2021-05-13,6.73255
2021-05-14,6.57813
2021-05-15,2.84126
2021-05-16,2.65596
2021-05-17,7.87523
2021-05-18,7.90611
2021-05-19,2.90302
2021-05-20,7.59728
2021-05-21,6.084
2021-05-22,2.06917
2021-05-23,2.59419
2021-05-24,7.87523
2021-05-25,8.40024
2021-05-26,7.25756
2021-05-27,8.21494
2021-05-28,6.76343
2021-05-29,2.53242
2021-05-30,2.81037
2021-05-31,7.81346
2021-06-01,8.06053
2021-06-02,9.14144
2021-06-03,8.09141
2021-06-04,6.2693
2021-06-05,2.53242
2021-06-06,3.33539
2021-06-07,8.12229
2021-06-08,9.20321
2021-06-09,7.90611
2021-06-10,8.06053
2021-06-11,6.42371
2021-06-12,2.43977
2021-06-13,2.65596
2021-06-14,7.78258
2021-06-15,7.53551
2021-06-16,7.38109
2021-06-17,7.62816
2021-06-18,6.4546
2021-06-19,2.74861
2021-06-20,2.84126
2021-06-21,7.87523
2021-06-22,8.80172
2021-06-23,7.96788
2021-06-24,7.90611
2021-06-25,6.084
2021-06-26,2.59419
2021-06-27,1.94564
2021-06-28,7.84434
2021-06-29,7.38109
2021-06-30,6.70166
2021-07-01,6.6399
2021-07-02,6.2693
2021-07-03,2.31624
2021-07-04,2.37801
2021-07-05,5.96046
2021-07-06,8.36936
2021-07-07,7.75169
2021-07-08,8.21494
2021-07-09,6.97961
2021-07-10,2.03829
2021-07-11,1.72946
2021-07-12,7.25756
2021-07-13,7.25756
2021-07-14,6.67078
2021-07-15,6.60901
2021-07-16,6.8252
2021-07-17,2.06917
2021-07-18,1.91476
2021-07-19,6.70166
2021-07-20,7.72081
2021-07-21,7.0105
2021-07-22,7.04138
2021-07-23,7.44286
2021-07-24,2.74861
2021-07-25,2.77949
2021-07-26,7.90611
2021-07-27,8.18406
2021-07-28,7.07226
2021-07-29,7.10315
2021-07-30,7.53551
2021-07-31,2.53242
2021-08-01,2.16182
2021-08-02,5.58987
2021-08-03,7.81346
2021-08-04,8.06053
2021-08-05,7.35021
2021-08-06,6.42371
2021-08-07,2.47066
2021-08-08,3.61334
2021-08-09,8.49289
2021-08-10,8.98702
2021-08-11,8.24583
2021-08-12,7.96788
2021-08-13,6.6399
2021-08-14,2.90302
2021-08-15,2.06917
2021-08-16,2.53242
2021-08-17,8.27671
2021-08-18,9.48116
2021-08-19,8.27671
2021-08-20,6.30018
2021-08-21,2.81037
2021-08-22,3.05744
2021-08-23,7.47374
2021-08-24,8.02964
2021-08-25,7.84434
2021-08-26,8.73996
2021-08-27,6.94873
2021-08-28,2.74861
2021-08-29,2.71772
2021-08-30,7.72081
2021-08-31,7.93699
2021-09-01,8.55466
2021-09-02,7.90611
2021-09-03,6.48548
2021-09-04,2.10006
2021-09-05,2.56331
2021-09-06,6.8252
2021-09-07,8.58554
2021-09-08,7.0105
2021-09-09,7.13403
2021-09-10,6.17665
2021-09-11,2.77949
2021-09-12,2.28536
2021-09-13,7.22668
2021-09-14,6.79431
2021-09-15,7.68993
2021-09-16,7.07226
2021-09-17,5.40457
2021-09-18,2.43977
2021-09-19,1.94564
2021-09-20,1.38974
2021-09-21,1.91476
2021-09-22,1.79122
2021-09-23,10.28412
2021-09-24,8.77084
2021-09-25,3.02655
2021-09-26,2.40889
2021-09-27,8.52378
2021-09-28,7.96788
2021-09-29,8.61642
2021-09-30,7.53551
2021-10-01,6.42371
2021-10-02,2.47066
2021-10-03,2.00741
2021-10-04,2.74861
2021-10-05,7.90611
2021-10-06,8.36936
2021-10-07,8.58554
2021-10-08,6.73255
2021-10-09,2.34712
2021-10-10,3.79864
2021-10-11,4.20012
2021-10-12,8.61642
2021-10-13,7.96788
2021-10-14,7.90611
2021-10-15,11.4268
2021-10-16,2.62507
2021-10-17,2.28536
2021-10-18,7.07226
2021-10-19,7.19579
2021-10-20,8.36936
2021-10-21,7.41198
2021-10-22,6.97961
2021-10-23,2.00741
2021-10-24,2.74861
2021-10-25,7.68993
2021-10-26,7.25756
2021-10-27,9.11056
2021-10-28,7.07226
2021-10-29,5.65163
2021-10-30,2.13094
2021-10-31,3.52069
2021-11-01,6.79431
2021-11-02,6.94873
2021-11-03,7.04138
2021-11-04,6.94873
2021-11-05,6.30018
2021-11-06,2.31624
2021-11-07,1.79122
2021-11-08,6.02223
2021-11-09,7.0105
2021-11-10,8.40024
2021-11-11,9.75911
2021-11-12,7.0105
2021-11-13,2.25447
2021-11-14,2.31624
2021-11-15,7.16491
2021-11-16,8.06053
2021-11-17,8.95614
2021-11-18,7.04138
2021-11-19,6.8252
2021-11-20,2.16182
2021-11-21,2.10006
2021-11-22,7.04138
2021-11-23,6.76343
2021-11-24,8.02964
2021-11-25,6.6399
2021-11-26,6.33106
2021-11-27,2.10006
2021-11-28,2.22359
2021-11-29,8.02964
2021-11-30,7.75169
2021-12-01,6.05311
2021-12-02,7.07226
2021-12-03,6.39283
2021-12-04,2.65596
2021-12-05,3.73687
2021-12-06,9.29586
2021-12-07,7.65904
2021-12-08,7.16491
2021-12-09,7.72081
2021-12-10,5.99135
2021-12-11,2.16182
2021-12-12,2.62507
2021-12-13,6.76343
2021-12-14,6.11488
2021-12-15,6.51636
2021-12-16,7.22668
2021-12-17,5.68252
2021-12-18,2.03829
2021-12-19,1.94564
2021-12-20,7.41198
2021-12-21,6.85608
2021-12-22,7.10315
2021-12-23,6.42371
2021-12-24,4.6016
2021-12-25,1.51327
2021-12-26,1.82211
2021-12-27,6.39283
2021-12-28,6.85608
2021-12-29,15.16368
2021-12-30,23.47127
2021-12-31,12.10623
2022-01-01,3.89129
2022-01-02,3.98394
2022-01-03,7.62816
2022-01-04,8.36936
2022-01-05,8.98702
2022-01-06,8.73996
2022-01-07,7.47374
2022-01-08,3.18097
2022-01-09,3.33539
2022-01-10,7.38109
2022-01-11,8.43113
2022-01-12,7.28844
2022-01-13,7.13403
2022-01-14,7.22668
2022-01-15,2.50154
2022-01-16,2.90302
2022-01-17,10.315
2022-01-18,9.51204
2022-01-19,7.31933
2022-01-20,7.13403
2022-01-21,6.2693
2022-01-22,2.47066
2022-01-23,2.96479
2022-01-24,7.04138
2022-01-25,9.11056
2022-01-26,8.64731
2022-01-27,8.09141
2022-01-28,6.084
2022-01-29,2.37801
2022-01-30,1.54416
2022-01-31,2.47066
2022-02-01,2.06917
2022-02-02,2.31624
2022-02-03,6.73255
