date,채권수익률계산
2023-09-23,17.54385
2023-09-24,24.5614
2023-09-25,54.38596
2023-09-26,52.63157
2023-09-27,40.35087
2023-09-28,19.29824
2023-09-29,15.78947
2023-09-30,12.2807
2023-10-01,14.03508
2023-10-02,22.80701
2023-10-03,12.2807
2023-10-04,100.0
2023-10-05,45.61403
2023-10-06,70.17543
2023-10-07,35.08771
2023-10-08,24.5614
2023-10-09,36.8421
2023-10-10,54.38596
2023-10-11,54.38596
2023-10-12,66.66666
2023-10-13,50.87719
2023-10-14,22.80701
2023-10-15,43.85964
2023-10-16,59.64912
2023-10-17,52.63157
2023-10-18,66.66666
2023-10-19,100.0
2023-10-20,77.19298
2023-10-21,40.35087
2023-10-22,68.42105
2023-10-23,73.68421
2023-10-24,78.94736
2023-10-25,71.92982
2023-10-26,82.45614
2023-10-27,56.14035
2023-10-28,26.31578
2023-10-29,40.35087
2023-10-30,57.89473
2023-10-31,91.22807
2023-11-01,77.19298
2023-11-02,63.15789
2023-11-03,45.61403
2023-11-04,24.5614
2023-11-05,31.57894
2023-11-06,61.4035
2023-11-07,52.63157
2023-11-08,24.5614
2023-11-09,66.66666
2023-11-10,24.5614
2023-11-11,8.77192
2023-11-12,15.78947
2023-11-13,52.63157
2023-11-14,49.1228
2023-11-15,43.85964
2023-11-16,57.89473
2023-11-17,45.61403
2023-11-18,15.78947
2023-11-19,15.78947
2023-11-20,59.64912
2023-11-21,66.66666
2023-11-22,50.87719
2023-11-23,56.14035
2023-11-24,52.63157
2023-11-25,24.5614
2023-11-26,45.61403
2023-11-27,68.42105
2023-11-28,64.91228
2023-11-29,70.17543
2023-11-30,68.42105
2023-12-01,50.87719
2023-12-02,26.31578
2023-12-03,21.05263
2023-12-04,66.66666
2023-12-05,57.89473
2023-12-06,50.87719
2023-12-07,40.35087
2023-12-08,54.38596
2023-12-09,28.07017
2023-12-10,22.80701
2023-12-11,77.19298
2023-12-12,50.87719
2023-12-13,40.35087
2023-12-14,35.08771
2023-12-15,50.87719
2023-12-16,19.29824
2023-12-17,15.78947
2023-12-18,33.33333
2023-12-19,33.33333
2023-12-20,61.4035
2023-12-21,28.07017
2023-12-22,40.35087
2023-12-23,31.57894
2023-12-24,26.31578
2023-12-25,10.52631
2023-12-26,38.59649
2023-12-27,42.10526
2023-12-28,19.29824
2023-12-29,33.33333
2023-12-31,14.03508
2024-01-01,10.52631
2024-01-02,61.4035
2024-01-03,47.36842
2024-01-04,42.10526
2024-01-05,49.1228
2024-01-06,35.08771
2024-01-07,38.59649
2024-01-08,43.85964
2024-01-09,71.92982
2024-01-10,49.1228
2024-01-11,42.10526
2024-01-12,59.64912
2024-01-13,17.54385
2024-01-14,29.82456
2024-01-15,31.57894
2024-01-16,54.38596
2024-01-17,31.57894
2024-01-18,14.03508
2024-01-19,42.10526
2024-01-20,15.78947
2024-01-21,19.29824
2024-01-22,43.85964
2024-01-23,54.38596
2024-01-24,43.85964
2024-01-25,31.57894
2024-01-26,45.61403
2024-01-27,33.33333
2024-01-28,38.59649
2024-01-29,73.68421
2024-01-30,54.38596
2024-01-31,50.87719
2024-02-01,40.35087
2024-02-02,45.61403
2024-02-03,12.2807
2024-02-04,42.10526
2024-02-05,50.87719
2024-02-06,52.63157
2024-02-07,42.10526
2024-02-08,36.8421
2024-02-09,14.03508
2024-02-10,15.78947
2024-02-11,26.31578
2024-02-12,33.33333
2024-02-13,57.89473
2024-02-14,52.63157
2024-02-15,59.64912
2024-02-16,47.36842
2024-02-17,21.05263
2024-02-18,17.54385
2024-02-19,68.42105
2024-02-20,63.15789
2024-02-21,56.14035
2024-02-22,52.63157
2024-02-23,52.63157
2024-02-24,38.59649
2024-02-25,24.5614
2024-02-26,54.38596
2024-02-27,49.1228
2024-02-28,49.1228
2024-02-29,56.14035
2024-03-01,10.52631
2024-03-02,10.52631
2024-03-03,38.59649
2024-03-04,59.64912
2024-03-05,52.63157
2024-03-06,38.59649
2024-03-07,52.63157
2024-03-08,45.61403
2024-03-09,10.52631
2024-03-10,12.2807
2024-03-11,24.5614
2024-03-12,38.59649
2024-03-13,57.89473
2024-03-14,40.35087
2024-03-15,40.35087
2024-03-16,29.82456
2024-03-18,49.1228
2024-03-19,47.36842
2024-03-20,63.15789
