date,현물ETF
2024-01-05,11.4276
2024-01-06,8.11754
2024-01-07,5.78698
2024-01-08,16.22382
2024-01-09,27.00968
2024-01-10,49.27944
2024-01-11,100.0
2024-01-12,17.57487
2024-01-13,6.31614
2024-01-14,8.23012
2024-01-15,6.14726
2024-01-16,2.96104
2024-01-17,2.62328
2024-01-18,1.99279
2024-01-19,1.66629
2024-01-20,1.12587
2024-01-21,0.96825
2024-01-22,1.24971
2024-01-23,1.44111
2024-01-24,1.39608
2024-01-25,0.90069
2024-01-26,0.74307
2024-01-27,0.42783
2024-01-28,0.2702
2024-01-29,0.55167
2024-01-30,0.64174
2024-01-31,0.45034
2024-02-01,0.20265
2024-02-02,0.38279
2024-02-03,0.11258
2024-02-04,0.2702
2024-02-05,0.4616
2024-02-06,0.48412
2024-02-07,0.37153
2024-02-08,0.14636
2024-02-09,0.31524
2024-02-10,0.15762
2024-02-11,0.21391
2024-02-12,0.28146
2024-02-13,2.55573
2024-02-14,1.19342
2024-02-15,1.46363
2024-02-16,0.74307
2024-02-17,0.653
2024-02-18,0.61922
2024-02-19,2.67957
2024-02-20,2.0716
2024-02-21,1.97027
2024-02-22,1.44111
2024-02-23,0.9795
2024-02-24,0.55167
2024-02-25,0.85566
2024-02-26,0.88943
2024-02-27,2.20671
2024-02-28,2.37559
2024-02-29,3.98558
2024-03-01,1.81265
2024-03-02,1.67755
2024-03-03,1.27223
2024-03-04,2.04908
2024-03-05,4.73992
2024-03-06,2.93852
2024-03-07,2.22922
2024-03-08,1.89146
2024-03-09,1.67755
2024-03-10,1.57622
2024-03-11,2.37559
2024-03-12,7.0367
2024-03-13,3.44517
2024-03-14,2.42062
2024-03-15,1.66629
2024-03-16,1.19342
2024-03-17,0.9795
2024-03-18,1.30601
2024-03-19,1.75636
2024-03-20,1.27223
