date,춘천대출
2024-03-08,81.56424
2024-03-09,64.24581
2024-03-10,56.98324
2024-03-11,67.0391
2024-03-12,71.50837
2024-03-13,63.68715
2024-03-14,73.18435
2024-03-15,62.56983
2024-03-16,60.89385
2024-03-17,53.63128
2024-03-18,60.33519
2024-03-19,68.15642
2024-03-20,72.06703
