date,유류분반환청구소송
2021-05-21,22.61029
2021-05-22,18.19852
2021-05-23,16.26838
2021-05-24,28.03308
2021-05-25,26.83823
2021-05-26,23.89705
2021-05-27,26.65441
2021-05-28,23.71323
2021-05-29,19.02573
2021-05-30,17.1875
2021-05-31,23.80514
2021-06-01,22.05882
2021-06-02,22.88602
2021-06-03,17.00367
2021-06-04,19.20955
2021-06-05,13.78676
2021-06-06,15.53308
2021-06-07,26.01102
2021-06-08,30.88235
2021-06-09,23.34558
2021-06-10,20.3125
2021-06-11,24.44852
2021-06-12,18.38235
2021-06-13,16.26838
2021-06-14,22.05882
2021-06-15,24.35661
2021-06-16,24.35661
2021-06-17,18.47426
2021-06-18,18.56617
2021-06-19,18.84191
2021-06-20,16.26838
2021-06-21,25.18382
2021-06-22,24.90808
2021-06-23,21.50735
2021-06-24,22.61029
2021-06-25,20.86397
2021-06-26,18.47426
2021-06-27,20.58823
2021-06-28,26.93014
2021-06-29,27.57352
2021-06-30,26.01102
2021-07-01,25.18382
2021-07-02,17.1875
2021-07-03,19.11764
2021-07-04,26.28676
2021-07-05,23.98897
2021-07-06,27.66544
2021-07-07,20.12867
2021-07-08,19.20955
2021-07-09,21.59926
2021-07-10,17.55514
2021-07-11,14.70588
2021-07-12,19.48529
2021-07-13,21.04779
2021-07-14,22.15073
2021-07-15,26.65441
2021-07-16,23.80514
2021-07-17,21.50735
2021-07-18,21.23161
2021-07-19,23.06985
2021-07-20,22.51838
2021-07-21,24.81617
2021-07-22,31.89338
2021-07-23,22.42647
2021-07-24,16.63602
2021-07-25,19.39338
2021-07-26,20.68014
2021-07-27,22.97794
2021-07-28,24.17279
2021-07-29,21.69117
2021-07-30,27.3897
2021-07-31,25.18382
2021-08-01,23.4375
2021-08-02,34.19117
2021-08-03,40.53308
2021-08-04,33.91544
2021-08-05,24.81617
2021-08-06,21.41544
2021-08-07,31.98529
2021-08-08,22.97794
2021-08-09,27.20588
2021-08-10,33.08823
2021-08-11,33.27205
2021-08-12,29.41176
2021-08-13,32.44485
2021-08-14,23.06985
2021-08-15,20.12867
2021-08-16,21.32352
2021-08-17,26.10294
2021-08-18,24.90808
2021-08-19,31.15808
2021-08-20,27.48161
2021-08-21,19.76102
2021-08-22,57.99632
2021-08-23,31.70955
2021-08-24,28.58455
2021-08-25,27.48161
2021-08-26,29.96323
2021-08-27,32.0772
2021-08-28,23.98897
2021-08-29,20.58823
2021-08-30,29.13602
2021-08-31,27.20588
2021-09-01,26.19485
2021-09-02,25.55147
2021-09-03,27.20588
2021-09-04,24.35661
2021-09-05,21.1397
2021-09-06,29.77941
2021-09-07,100.0
2021-09-08,61.58088
2021-09-09,39.52205
2021-09-10,33.45588
2021-09-11,25.55147
2021-09-12,24.81617
2021-09-13,38.23529
2021-09-14,37.86764
2021-09-15,35.66176
2021-09-16,26.28676
2021-09-17,29.50367
2021-09-18,25.45955
2021-09-19,26.10294
2021-09-20,37.31617
2021-09-21,42.83088
2021-09-22,45.95588
2021-09-23,55.42279
2021-09-24,45.95588
2021-09-25,53.30882
2021-09-26,30.05514
2021-09-27,43.38235
2021-09-28,41.91176
2021-09-29,37.77573
2021-09-30,32.62867
2021-10-01,30.05514
2021-10-02,21.32352
2021-10-03,23.98897
2021-10-04,29.31985
2021-10-05,32.90441
2021-10-06,30.88235
2021-10-07,30.88235
2021-10-08,30.88235
2021-10-09,20.77205
2021-10-10,21.1397
2021-10-11,26.65441
2021-10-12,28.76838
2021-10-13,28.76838
2021-10-14,31.98529
2021-10-15,32.44485
2021-10-16,18.75
2021-10-17,23.34558
2021-10-18,29.04411
2021-10-19,25.55147
2021-10-20,26.74632
2021-10-21,38.3272
2021-10-22,29.13602
2021-10-23,21.875
2021-10-24,19.5772
2021-10-25,27.11397
2021-10-26,26.83823
2021-10-27,26.47058
2021-10-28,26.5625
2021-10-29,22.88602
2021-10-30,15.80882
2021-10-31,18.93382
2021-11-01,25.18382
2021-11-02,25.8272
2021-11-03,33.18014
2021-11-04,36.21323
2021-11-05,25.0
2021-11-06,27.20588
2021-11-07,25.18382
2021-11-08,29.31985
2021-11-09,60.56985
2021-11-10,93.75
2021-11-11,51.93014
2021-11-12,39.98161
2021-11-13,29.96323
2021-11-14,27.75735
2021-11-15,33.36397
2021-11-16,30.14705
2021-11-17,27.02205
2021-11-18,22.97794
2021-11-19,24.35661
2021-11-20,20.77205
2021-11-21,26.5625
2021-11-22,28.21691
2021-11-23,27.02205
2021-11-24,30.97426
2021-11-25,25.0
2021-11-26,25.0
2021-11-27,18.65808
2021-11-28,19.20955
2021-11-29,25.45955
2021-11-30,24.90808
2021-12-01,21.1397
2021-12-02,18.93382
2021-12-03,20.58823
2021-12-04,17.37132
2021-12-05,17.27941
2021-12-06,22.05882
2021-12-07,25.64338
2021-12-08,24.2647
2021-12-09,23.4375
2021-12-10,19.66911
2021-12-11,17.92279
2021-12-12,19.30147
2021-12-13,28.76838
2021-12-14,29.41176
2021-12-15,22.24264
2021-12-16,26.19485
2021-12-17,19.66911
2021-12-18,16.26838
2021-12-19,16.91176
2021-12-20,21.41544
2021-12-21,23.52941
2021-12-22,23.71323
2021-12-23,27.02205
2021-12-24,21.96691
2021-12-25,16.63602
2021-12-26,12.31617
2021-12-27,20.03676
2021-12-28,18.10661
2021-12-29,19.66911
2021-12-30,18.0147
2021-12-31,15.71691
2022-01-01,16.63602
2022-01-02,21.59926
2022-01-03,26.74632
2022-01-04,25.18382
2022-01-05,25.73529
2022-01-06,24.2647
2022-01-07,26.74632
2022-01-08,18.38235
2022-01-09,25.09191
2022-01-10,30.14705
2022-01-11,25.8272
2022-01-12,25.09191
2022-01-13,25.55147
2022-01-14,23.71323
2022-01-15,18.65808
2022-01-16,18.0147
2022-01-17,24.2647
2022-01-18,24.54044
2022-01-19,26.93014
2022-01-20,25.73529
2022-01-21,19.85294
2022-01-22,15.625
2022-01-23,18.19852
2022-01-24,25.8272
2022-01-25,24.72426
2022-01-26,25.18382
2022-01-27,27.75735
2022-01-28,25.73529
2022-01-29,17.92279
2022-01-30,18.19852
2022-01-31,26.65441
2022-02-01,34.92647
2022-02-02,37.5
2022-02-03,42.83088
2022-02-04,33.18014
2022-02-05,27.29779
2022-02-06,26.65441
2022-02-07,35.75367
2022-02-08,35.75367
2022-02-09,35.01838
2022-02-10,33.27205
2022-02-11,27.84926
2022-02-12,19.11764
2022-02-13,22.79411
2022-02-14,34.55882
2022-02-15,33.54779
2022-02-16,27.75735
2022-02-17,22.79411
2022-02-18,23.16176
2022-02-19,22.79411
2022-02-20,19.39338
2022-02-21,24.63235
2022-02-22,26.10294
2022-02-23,23.25367
2022-02-24,22.61029
2022-02-25,18.10661
2022-02-26,18.0147
2022-02-27,19.85294
2022-02-28,25.91911
2022-03-01,18.38235
2022-03-02,20.40441
2022-03-03,21.23161
2022-03-04,19.66911
2022-03-05,18.56617
2022-03-06,14.24632
2022-03-07,23.89705
2022-03-08,20.68014
2022-03-09,12.86764
2022-03-10,17.64705
2022-03-11,18.47426
2022-03-12,14.61397
2022-03-13,16.81985
2022-03-14,23.16176
2022-03-15,19.48529
2022-03-16,21.41544
2022-03-17,23.89705
2022-03-18,34.46691
2022-03-19,20.77205
2022-03-20,17.73897
2022-03-21,29.6875
2022-03-22,26.19485
2022-03-23,23.06985
2022-03-24,24.17279
2022-03-25,18.29044
2022-03-26,15.99264
2022-03-27,16.17647
2022-03-28,26.5625
2022-03-29,32.62867
2022-03-30,22.05882
2022-03-31,32.72058
2022-04-01,23.89705
2022-04-02,17.83088
2022-04-03,19.30147
2022-04-04,24.81617
2022-04-05,39.24632
2022-04-06,33.73161
2022-04-07,31.52573
2022-04-08,25.91911
2022-04-09,19.5772
2022-04-10,20.3125
2022-04-11,27.57352
2022-04-12,29.13602
2022-04-13,24.44852
2022-04-14,26.01102
2022-04-15,25.0
2022-04-16,22.51838
2022-04-17,24.2647
2022-04-18,36.12132
2022-04-19,31.15808
2022-04-20,30.5147
2022-04-21,29.04411
2022-04-22,26.19485
2022-04-23,22.42647
2022-04-24,24.63235
2022-04-25,34.55882
2022-04-26,31.80147
2022-04-27,27.94117
2022-04-28,31.52573
2022-04-29,26.19485
2022-04-30,24.35661
2022-05-01,23.52941
2022-05-02,28.49264
2022-05-03,26.93014
2022-05-04,21.50735
2022-05-05,19.66911
2022-05-06,27.84926
2022-05-07,25.55147
2022-05-08,23.71323
2022-05-09,37.68382
2022-05-10,32.35294
2022-05-11,33.54779
2022-05-12,32.35294
2022-05-13,29.6875
2022-05-14,23.80514
2022-05-15,21.59926
2022-05-16,35.2022
2022-05-17,30.5147
2022-05-18,28.86029
2022-05-19,31.61764
2022-05-20,28.40073
2022-05-21,20.95588
2022-05-22,21.50735
2022-05-23,30.79044
2022-05-24,25.36764
2022-05-25,25.8272
2022-05-26,27.20588
2022-05-27,29.04411
2022-05-28,20.12867
2022-05-29,26.10294
2022-05-30,44.48529
2022-05-31,35.56985
2022-06-01,25.73529
2022-06-02,26.19485
2022-06-03,24.63235
2022-06-04,22.15073
2022-06-05,51.28676
2022-06-06,26.5625
2022-06-07,32.72058
2022-06-08,25.91911
2022-06-09,30.88235
2022-06-10,33.54779
2022-06-11,26.01102
2022-06-12,26.65441
2022-06-13,33.45588
2022-06-14,32.99632
2022-06-15,34.28308
2022-06-16,34.65073
2022-06-17,26.10294
2022-06-18,23.80514
2022-06-19,26.93014
2022-06-20,35.29411
2022-06-21,28.9522
2022-06-22,27.57352
2022-06-23,24.17279
2022-06-24,22.24264
2022-06-25,18.75
2022-06-26,19.85294
2022-06-27,28.76838
2022-06-28,27.11397
2022-06-29,27.66544
2022-06-30,22.88602
2022-07-01,24.63235
2022-07-02,19.39338
2022-07-03,18.47426
2022-07-04,29.59558
2022-07-05,38.3272
2022-07-06,26.5625
2022-07-07,29.22794
2022-07-08,35.84558
2022-07-09,26.19485
2022-07-10,23.34558
2022-07-11,36.12132
2022-07-12,33.18014
2022-07-13,32.35294
2022-07-14,30.5147
2022-07-15,26.74632
2022-07-16,23.25367
2022-07-17,25.73529
2022-07-18,28.9522
2022-07-19,31.25
2022-07-20,32.99632
2022-07-21,30.69852
2022-07-22,26.83823
2022-07-23,22.51838
2022-07-24,20.22058
2022-07-25,30.69852
2022-07-26,27.66544
2022-07-27,33.45588
2022-07-28,31.34191
2022-07-29,21.32352
2022-07-30,19.11764
2022-07-31,20.3125
2022-08-01,29.59558
2022-08-02,27.3897
2022-08-03,25.73529
2022-08-04,29.50367
2022-08-05,22.88602
2022-08-06,20.22058
2022-08-07,22.61029
2022-08-08,28.40073
2022-08-09,23.80514
2022-08-10,27.66544
2022-08-11,27.11397
2022-08-12,22.05882
2022-08-13,18.29044
2022-08-14,18.10661
2022-08-15,18.29044
2022-08-16,28.03308
2022-08-17,28.30882
2022-08-18,28.67647
2022-08-19,23.71323
2022-08-20,18.29044
2022-08-21,21.69117
2022-08-22,34.28308
2022-08-23,28.49264
2022-08-24,29.59558
2022-08-25,31.15808
2022-08-26,26.5625
2022-08-27,23.52941
2022-08-28,22.79411
2022-08-29,30.79044
2022-08-30,29.87132
2022-08-31,32.26102
2022-09-01,26.93014
2022-09-02,27.84926
2022-09-03,22.05882
2022-09-04,21.41544
