date,양도
2021-02-15,66.7517
2021-02-16,65.90136
2021-02-17,66.7517
2021-02-18,65.56122
2021-02-19,53.40136
2021-02-20,36.56462
2021-02-21,36.47959
2021-02-22,59.77891
2021-02-23,59.94897
2021-02-24,60.71428
2021-02-25,59.69387
2021-02-26,59.43877
2021-02-27,39.20068
2021-02-28,32.14285
2021-03-01,32.65306
2021-03-02,52.63605
2021-03-03,55.61224
2021-03-04,49.40476
2021-03-05,51.61564
2021-03-06,33.7585
2021-03-07,30.95238
2021-03-08,53.31632
2021-03-09,57.56802
2021-03-10,58.5034
2021-03-11,51.36054
2021-03-12,51.70068
2021-03-13,28.40136
2021-03-14,31.29251
2021-03-15,53.06122
2021-03-16,54.16666
2021-03-17,60.88435
2021-03-18,54.5068
2021-03-19,52.46598
2021-03-20,33.92857
2021-03-21,29.5068
2021-03-22,53.14625
2021-03-23,56.46258
2021-03-24,51.95578
2021-03-25,54.08163
2021-03-26,46.0034
2021-03-27,30.61224
2021-03-28,31.71768
2021-03-29,51.44557
2021-03-30,59.69387
2021-03-31,51.27551
2021-04-01,49.06462
2021-04-02,47.53401
2021-04-03,31.71768
2021-04-04,31.03741
2021-04-05,51.36054
2021-04-06,55.61224
2021-04-07,53.40136
2021-04-08,55.017
2021-04-09,47.95918
2021-04-10,30.18707
2021-04-11,30.2721
2021-04-12,54.59183
2021-04-13,55.52721
2021-04-14,56.20748
2021-04-15,53.99659
2021-04-16,51.95578
2021-04-17,35.54421
2021-04-18,29.7619
2021-04-19,58.7585
2021-04-20,56.54761
2021-04-21,55.78231
2021-04-22,55.017
2021-04-23,47.10884
2021-04-24,34.5238
2021-04-25,34.77891
2021-04-26,57.48299
2021-04-27,54.2517
2021-04-28,61.39455
2021-04-29,56.12244
2021-04-30,45.40816
2021-05-01,33.92857
2021-05-02,30.18707
2021-05-03,53.91156
2021-05-04,51.61564
2021-05-05,34.09863
2021-05-06,53.99659
2021-05-07,51.44557
2021-05-08,32.31292
2021-05-09,32.14285
2021-05-10,60.62925
2021-05-11,58.33333
2021-05-12,57.05782
2021-05-13,52.04081
2021-05-14,51.27551
2021-05-15,35.79931
2021-05-16,36.05442
2021-05-17,60.62925
2021-05-18,52.12585
2021-05-19,40.47619
2021-05-20,62.15986
2021-05-21,62.84013
2021-05-22,36.90476
2021-05-23,34.5238
2021-05-24,54.08163
2021-05-25,57.73809
2021-05-26,57.73809
2021-05-27,60.45918
2021-05-28,53.99659
2021-05-29,37.41496
2021-05-30,39.37074
2021-05-31,67.60204
2021-06-01,69.21768
2021-06-02,56.97278
2021-06-03,60.62925
2021-06-04,57.05782
2021-06-05,43.02721
2021-06-06,36.22448
2021-06-07,67.34693
2021-06-08,64.28571
2021-06-09,65.56122
2021-06-10,61.56462
2021-06-11,54.08163
2021-06-12,37.7551
2021-06-13,37.15986
2021-06-14,57.90816
2021-06-15,54.7619
2021-06-16,57.14285
2021-06-17,55.2721
2021-06-18,51.44557
2021-06-19,37.41496
2021-06-20,33.58843
2021-06-21,55.69727
2021-06-22,54.42176
2021-06-23,54.93197
2021-06-24,56.71768
2021-06-25,53.06122
2021-06-26,35.45918
2021-06-27,33.58843
2021-06-28,54.7619
2021-06-29,52.72108
2021-06-30,56.12244
2021-07-01,51.44557
2021-07-02,53.14625
2021-07-03,35.28911
2021-07-04,33.84353
2021-07-05,51.61564
2021-07-06,58.16326
2021-07-07,53.06122
2021-07-08,56.12244
2021-07-09,54.2517
2021-07-10,36.39455
2021-07-11,34.86394
2021-07-12,54.33673
2021-07-13,57.82312
2021-07-14,59.43877
2021-07-15,56.54761
2021-07-16,52.89115
2021-07-17,38.86054
2021-07-18,34.60884
2021-07-19,57.90816
2021-07-20,61.05442
2021-07-21,56.54761
2021-07-22,58.84353
2021-07-23,56.97278
2021-07-24,38.69047
2021-07-25,34.60884
2021-07-26,54.2517
2021-07-27,59.18367
2021-07-28,60.37414
2021-07-29,56.88775
2021-07-30,56.46258
2021-07-31,41.15646
2021-08-01,33.84353
2021-08-02,57.65306
2021-08-03,60.28911
2021-08-04,57.99319
2021-08-05,60.03401
2021-08-06,55.44217
2021-08-07,41.32653
2021-08-08,34.43877
2021-08-09,63.86054
2021-08-10,61.73469
2021-08-11,61.30952
2021-08-12,61.64965
2021-08-13,61.90476
2021-08-14,43.62244
2021-08-15,36.64965
2021-08-16,43.11224
2021-08-17,59.60884
2021-08-18,59.0136
2021-08-19,60.88435
2021-08-20,55.78231
2021-08-21,39.79591
2021-08-22,37.92517
2021-08-23,59.43877
2021-08-24,59.2687
2021-08-25,61.39455
2021-08-26,58.84353
2021-08-27,53.74149
2021-08-28,36.64965
2021-08-29,33.7585
2021-08-30,58.92857
2021-08-31,59.0136
2021-09-01,55.61224
2021-09-02,59.18367
2021-09-03,50.5102
2021-09-04,39.45578
2021-09-05,37.7551
2021-09-06,51.19047
2021-09-07,49.14965
2021-09-08,53.99659
2021-09-09,53.06122
2021-09-10,52.38095
2021-09-11,38.2653
2021-09-12,31.20748
2021-09-13,48.72448
2021-09-14,53.14625
2021-09-15,53.65646
2021-09-16,61.30952
2021-09-17,50.85034
2021-09-18,35.54421
2021-09-19,30.2721
2021-09-20,26.44557
2021-09-21,26.95578
2021-09-22,35.88435
2021-09-23,58.07823
2021-09-24,55.86734
2021-09-25,39.96598
2021-09-26,42.0068
2021-09-27,63.18027
2021-09-28,61.47959
2021-09-29,60.03401
2021-09-30,59.18367
2021-10-01,58.58843
2021-10-02,43.19727
2021-10-03,36.73469
2021-10-04,45.66326
2021-10-05,62.15986
2021-10-06,64.88095
2021-10-07,70.40816
2021-10-08,57.31292
2021-10-09,48.46938
2021-10-10,38.35034
2021-10-11,41.15646
2021-10-12,68.28231
2021-10-13,62.24489
2021-10-14,58.24829
2021-10-15,51.53061
2021-10-16,39.62585
2021-10-17,37.32993
2021-10-18,50.59523
2021-10-19,57.56802
2021-10-20,56.54761
2021-10-21,55.10204
2021-10-22,55.69727
2021-10-23,34.18367
2021-10-24,39.54081
2021-10-25,57.82312
2021-10-26,53.91156
2021-10-27,60.54421
2021-10-28,62.15986
2021-10-29,52.63605
2021-10-30,36.30952
2021-10-31,38.0102
2021-11-01,54.84693
2021-11-02,55.35714
2021-11-03,56.63265
2021-11-04,53.74149
2021-11-05,54.67687
