date,미국주식추천
2021-03-04,30.70938
2021-03-05,26.13272
2021-03-06,21.69336
2021-03-07,11.80778
2021-03-08,17.16247
2021-03-09,25.53775
2021-03-10,35.4691
2021-03-11,40.45766
2021-03-12,47.78032
2021-03-13,32.95194
2021-03-14,19.49656
2021-03-15,34.87414
2021-03-16,51.39588
2021-03-17,39.77116
2021-03-18,42.79176
2021-03-19,32.76887
2021-03-20,25.49199
2021-03-21,13.04347
2021-03-22,23.61556
2021-03-23,30.43478
2021-03-24,26.40732
2021-03-25,23.20366
2021-03-26,26.13272
2021-03-27,21.55606
2021-03-28,12.76887
2021-03-29,28.55835
2021-03-30,33.91304
2021-03-31,32.40274
2021-04-01,33.40961
2021-04-02,24.85125
2021-04-03,13.31807
2021-04-04,12.99771
2021-04-05,22.19679
2021-04-06,31.16704
2021-04-07,29.15331
2021-04-08,30.75514
2021-04-09,25.58352
2021-04-10,22.19679
2021-04-11,13.18077
2021-04-12,24.39359
2021-04-13,29.70251
2021-04-14,37.71167
2021-04-15,36.10983
2021-04-16,33.04347
2021-04-17,20.41189
2021-04-18,12.81464
2021-04-19,21.87643
2021-04-20,26.54462
2021-04-21,23.79862
2021-04-22,24.66819
2021-04-23,22.83752
2021-04-24,15.97254
2021-04-25,9.47368
2021-04-26,18.39816
2021-04-27,29.79405
2021-04-28,24.43935
2021-04-29,22.74599
2021-04-30,18.3524
2021-05-01,9.93135
2021-05-02,9.83981
2021-05-03,12.26544
2021-05-04,19.1762
2021-05-05,16.65903
2021-05-06,14.9199
2021-05-07,15.56064
2021-05-08,10.34324
2021-05-09,8.42105
2021-05-10,13.77574
2021-05-11,14.55377
2021-05-12,12.03661
2021-05-13,10.70938
2021-05-14,11.21281
2021-05-15,10.66361
2021-05-16,6.72768
2021-05-17,11.99084
2021-05-18,15.65217
2021-05-19,12.86041
2021-05-20,10.80091
2021-05-21,15.24027
2021-05-22,9.88558
2021-05-23,5.72082
2021-05-24,12.76887
2021-05-25,17.57437
2021-05-26,16.79633
2021-05-27,17.71167
2021-05-28,21.00686
2021-05-29,12.26544
2021-05-30,6.91075
2021-05-31,9.79405
2021-06-01,11.99084
2021-06-02,22.56292
2021-06-03,25.76659
2021-06-04,17.84897
2021-06-05,13.72997
