date,SOXL
2021-07-24,5.91318
2021-07-25,2.63405
2021-07-26,4.4752
2021-07-27,7.25708
2021-07-28,12.0817
2021-07-29,8.57411
2021-07-30,9.98521
2021-07-31,6.45074
2021-08-01,2.80876
2021-08-02,5.89974
2021-08-03,9.2595
2021-08-04,8.34565
2021-08-05,12.12202
2021-08-06,7.57962
2021-08-07,4.58271
2021-08-08,2.64749
2021-08-09,4.30049
2021-08-10,6.28947
2021-08-11,8.30533
2021-08-12,9.39389
2021-08-13,10.56309
2021-08-14,5.68471
2021-08-15,2.9969
2021-08-16,4.31393
2021-08-17,6.96142
2021-08-18,8.72194
2021-08-19,11.89356
2021-08-20,8.88321
2021-08-21,5.40249
2021-08-22,1.76051
2021-08-23,5.49657
2021-08-24,11.51726
2021-08-25,9.54172
2021-08-26,8.09031
2021-08-27,5.8863
2021-08-28,6.47762
2021-08-29,3.35976
2021-08-30,6.07445
2021-08-31,9.00416
2021-09-01,7.16301
2021-09-02,7.3646
2021-09-03,6.31635
2021-09-04,4.7843
2021-09-05,2.41902
2021-09-06,2.86251
2021-09-07,4.17954
2021-09-08,6.00725
2021-09-09,6.4373
2021-09-10,6.30291
2021-09-11,4.7171
2021-09-12,2.1368
2021-09-13,3.83013
2021-09-14,6.46418
2021-09-15,5.52345
2021-09-16,5.10684
2021-09-17,5.05308
2021-09-18,5.01276
2021-09-19,1.59924
2021-09-20,4.24674
2021-09-21,10.80499
2021-09-22,5.8863
2021-09-23,7.99623
2021-09-24,7.56618
2021-09-25,4.19298
2021-09-26,2.45934
2021-09-27,3.54791
2021-09-28,8.17094
2021-09-29,15.8984
2021-09-30,16.59723
2021-10-01,10.48246
2021-10-02,8.00967
2021-10-03,3.46727
2021-10-04,8.76226
2021-10-05,17.37669
2021-10-06,10.76468
2021-10-07,11.00658
2021-10-08,9.24606
2021-10-09,6.57169
2021-10-10,5.01276
2021-10-11,7.75433
2021-10-12,12.59239
2021-10-13,18.14272
2021-10-14,15.15925
2021-10-15,20.66926
2021-10-16,11.43663
2021-10-17,4.7843
2021-10-18,8.31877
2021-10-19,11.94731
2021-10-20,12.3908
2021-10-21,9.29982
2021-10-22,10.99314
2021-10-23,6.18196
2021-10-24,2.71468
2021-10-25,5.92662
2021-10-26,11.14097
2021-10-27,9.20575
2021-10-28,10.41526
2021-10-29,10.1868
2021-10-30,6.37011
2021-10-31,3.0641
2021-11-01,6.90767
2021-11-02,12.64614
2021-11-03,11.46351
2021-11-04,15.45491
2021-11-05,24.28437
2021-11-06,11.96075
2021-11-07,5.22779
2021-11-08,8.92353
2021-11-09,18.58621
2021-11-10,11.08721
2021-11-11,12.02795
2021-11-12,9.27294
2021-11-13,6.34323
2021-11-14,5.06652
2021-11-15,7.08238
2021-11-16,8.76226
2021-11-17,10.76468
2021-11-18,11.77261
2021-11-19,11.16785
2021-11-20,9.90458
2021-11-21,5.80567
2021-11-22,11.98763
2021-11-23,14.79639
2021-11-24,10.83187
2021-11-25,10.93938
2021-11-26,7.37804
2021-11-27,9.27294
2021-11-28,5.03964
2021-11-29,6.53138
2021-11-30,15.68337
2021-12-01,12.55207
2021-12-02,14.46042
2021-12-03,11.24848
2021-12-04,8.86977
2021-12-05,4.15266
2021-12-06,7.09582
2021-12-07,12.00107
2021-12-08,21.99973
2021-12-09,11.20817
2021-12-10,9.04448
2021-12-11,6.89423
2021-12-12,3.17161
2021-12-13,5.37562
2021-12-14,10.45558
2021-12-15,9.00416
2021-12-16,15.40115
2021-12-17,16.91976
2021-12-18,10.1868
2021-12-19,4.17954
2021-12-20,7.90216
2021-12-21,12.32361
2021-12-22,13.11651
2021-12-23,12.49832
2021-12-24,10.50934
2021-12-25,5.13371
2021-12-26,4.99932
2021-12-27,7.66026
2021-12-28,21.70407
2021-12-29,13.42561
2021-12-30,10.48246
2021-12-31,9.00416
2022-01-01,6.04757
2022-01-02,4.1661
2022-01-03,7.27052
2022-01-04,14.87703
2022-01-05,13.64063
2022-01-06,15.41459
2022-01-07,10.88563
2022-01-08,14.91734
2022-01-09,5.32186
2022-01-10,9.67611
2022-01-11,16.54347
2022-01-12,13.76159
2022-01-13,14.76952
2022-01-14,15.81776
2022-01-15,11.49039
2022-01-16,7.5393
2022-01-17,6.18196
2022-01-18,8.42628
2022-01-19,21.69063
2022-01-20,28.67894
2022-01-21,33.2079
2022-01-22,23.35707
2022-01-23,9.71643
2022-01-24,14.24539
2022-01-25,30.73511
2022-01-26,29.68687
2022-01-27,28.12793
2022-01-28,52.46606
2022-01-29,28.55798
2022-01-30,9.50141
2022-01-31,12.98212
2022-02-01,32.68377
2022-02-02,34.60556
2022-02-03,27.89947
2022-02-04,23.66617
2022-02-05,17.13479
2022-02-06,7.52587
2022-02-07,9.17887
2022-02-08,13.96317
2022-02-09,17.63203
2022-02-10,22.49697
2022-02-11,19.93011
2022-02-12,26.93186
2022-02-13,9.75675
2022-02-14,16.15374
2022-02-15,21.05899
2022-02-16,28.54455
2022-02-17,17.69923
2022-02-18,20.22577
2022-02-19,19.50006
2022-02-20,6.61201
2022-02-21,8.50692
2022-02-22,15.87152
2022-02-23,17.13479
2022-02-24,30.25131
2022-02-25,24.25749
2022-02-26,14.90391
2022-02-27,5.34874
2022-02-28,7.35116
2022-03-01,14.91734
2022-03-02,30.03628
2022-03-03,19.7554
2022-03-04,19.66133
2022-03-05,23.07485
2022-03-06,8.48004
2022-03-07,15.05174
2022-03-08,43.99946
2022-03-09,26.05832
2022-03-10,21.36809
2022-03-11,22.94046
2022-03-12,18.51901
2022-03-13,8.13062
2022-03-14,13.96317
2022-03-15,35.18344
2022-03-16,28.54455
2022-03-17,30.96358
2022-03-18,21.87877
2022-03-19,21.42185
2022-03-20,7.75433
2022-03-21,13.89598
2022-03-22,20.83053
2022-03-23,24.62034
2022-03-24,21.34121
2022-03-25,32.6569
2022-03-26,14.19164
2022-03-27,6.8136
2022-03-28,12.49832
2022-03-29,25.19822
2022-03-30,23.5721
2022-03-31,30.26474
2022-04-01,29.29713
2022-04-02,40.16933
2022-04-03,12.86117
2022-04-04,20.25265
2022-04-05,42.99153
2022-04-06,100.0
2022-04-07,74.23733
2022-04-08,62.31689
2022-04-09,63.79518
2022-04-10,24.99664
2022-04-11,56.7128
2022-04-12,90.47171
2022-04-13,64.46714
2022-04-14,57.77449
2022-04-15,63.45921
2022-04-16,21.42185
2022-04-17,19.21784
2022-04-18,39.86023
2022-04-19,50.85337
2022-04-20,51.65972
2022-04-21,41.48635
2022-04-22,49.17349
2022-04-23,44.69829
2022-04-24,30.19755
2022-04-25,41.45948
2022-04-26,54.58943
2022-04-27,81.37347
2022-04-28,49.38852
2022-04-29,51.55221
2022-04-30,40.42467
2022-05-01,15.69681
2022-05-02,27.61725
2022-05-03,43.75755
2022-05-04,39.81991
2022-05-05,52.74828
2022-05-06,61.05362
2022-05-07,32.15965
2022-05-08,12.87461
2022-05-09,35.45222
2022-05-10,78.12122
2022-05-11,50.14111
2022-05-12,59.06464
2022-05-13,48.43435
2022-05-14,34.99529
2022-05-15,10.4287
2022-05-16,23.76024
2022-05-17,39.81991
2022-05-18,50.79962
2022-05-19,57.51915
2022-05-20,44.83268
2022-05-21,39.60489
2022-05-22,10.07929
2022-05-23,26.79747
2022-05-24,46.95605
2022-05-25,43.95914
2022-05-26,44.71173
2022-05-27,52.51982
2022-05-28,36.09729
2022-05-29,8.86977
2022-05-30,16.0731
2022-05-31,28.20857
2022-06-01,35.98978
2022-06-02,34.76683
2022-06-03,44.55046
2022-06-04,22.48353
