date,메리츠
2021-07-13,7.06142
2021-07-14,6.1427
2021-07-15,7.10836
2021-07-16,6.44447
2021-07-17,1.93133
2021-07-18,1.70332
2021-07-19,7.09495
2021-07-20,7.22907
2021-07-21,6.65906
2021-07-22,6.39082
2021-07-23,6.65906
2021-07-24,1.95815
2021-07-25,1.73015
2021-07-26,8.5971
2021-07-27,7.53084
2021-07-28,7.14189
2021-07-29,7.08825
2021-07-30,8.1478
2021-07-31,2.34039
2021-08-01,1.87768
2021-08-02,7.34978
2021-08-03,6.11587
2021-08-04,6.02199
2021-08-05,5.9214
2021-08-06,5.67328
2021-08-07,2.11239
2021-08-08,1.5692
2021-08-09,7.43696
2021-08-10,7.34978
2021-08-11,6.64565
2021-08-12,6.25
2021-08-13,6.31035
2021-08-14,2.21298
2021-08-15,1.66309
2021-08-16,3.17194
2021-08-17,8.10085
2021-08-18,7.0346
2021-08-19,6.48471
2021-08-20,6.29694
2021-08-21,2.33369
2021-08-22,1.87768
2021-08-23,7.46378
2021-08-24,7.23578
2021-08-25,7.63143
2021-08-26,7.06142
2021-08-27,7.07483
2021-08-28,2.18615
2021-08-29,1.97156
2021-08-30,8.18803
2021-08-31,9.97854
2021-09-01,8.81169
2021-09-02,7.36319
2021-09-03,6.11587
2021-09-04,2.39404
2021-09-05,1.99168
2021-09-06,7.45037
2021-09-07,7.65826
2021-09-08,7.2559
2021-09-09,7.40343
2021-09-10,7.3766
2021-09-11,2.2398
2021-09-12,2.09227
2021-09-13,7.55767
2021-09-14,7.91309
2021-09-15,6.89377
2021-09-16,6.04881
2021-09-17,6.15611
2021-09-18,1.91121
2021-09-19,1.36802
2021-09-20,1.49543
2021-09-21,1.58932
2021-09-22,1.77038
2021-09-23,8.27521
2021-09-24,7.87956
2021-09-25,2.14592
2021-09-26,1.81062
2021-09-27,8.50321
2021-09-28,7.66496
2021-09-29,8.40933
2021-09-30,8.58369
2021-10-01,6.29694
2021-10-02,2.1258
2021-10-03,1.71003
2021-10-04,2.48122
2021-10-05,7.79908
2021-10-06,7.2559
2021-10-07,7.91979
2021-10-08,7.02119
2021-10-09,1.70332
2021-10-10,1.80391
2021-10-11,2.91711
2021-10-12,8.05391
2021-10-13,6.91389
2021-10-14,6.65906
2021-10-15,6.37741
2021-10-16,2.05874
2021-10-17,1.6832
2021-10-18,6.80659
2021-10-19,6.34388
2021-10-20,6.67918
2021-10-21,6.49141
2021-10-22,5.91469
2021-10-23,1.94474
2021-10-24,1.70332
2021-10-25,7.73202
2021-10-26,6.90718
2021-10-27,6.41765
2021-10-28,6.22988
2021-10-29,6.46459
2021-10-30,1.58932
2021-10-31,1.65638
2021-11-01,7.87285
2021-11-02,6.72612
2021-11-03,5.49892
2021-11-04,5.43857
2021-11-05,5.41845
2021-11-06,2.11239
2021-11-07,1.50214
2021-11-08,6.12258
2021-11-09,5.90128
2021-11-10,6.96754
2021-11-11,5.90128
2021-11-12,5.79399
2021-11-13,1.7905
2021-11-14,1.52226
2021-11-15,6.86024
2021-11-16,6.12258
2021-11-17,6.04881
2021-11-18,5.85434
2021-11-19,5.88116
2021-11-20,2.0185
2021-11-21,1.73685
2021-11-22,6.67247
2021-11-23,5.28433
2021-11-24,6.20305
2021-11-25,7.22237
2021-11-26,6.6993
2021-11-27,1.99839
2021-11-28,1.6832
2021-11-29,8.10756
2021-11-30,8.2618
2021-12-01,6.706
2021-12-02,5.2508
2021-12-03,5.48551
2021-12-04,1.98497
2021-12-05,2.07215
2021-12-06,6.706
2021-12-07,6.82001
2021-12-08,6.23658
2021-12-09,5.94152
2021-12-10,6.11587
2021-12-11,1.81732
2021-12-12,1.89109
2021-12-13,6.86695
2021-12-14,6.73283
2021-12-15,6.59871
2021-12-16,6.34388
2021-12-17,7.79908
2021-12-18,2.87017
2021-12-19,1.86427
2021-12-20,8.02709
2021-12-21,7.20895
2021-12-22,6.32376
2021-12-23,6.12929
2021-12-24,5.27762
2021-12-25,1.85085
2021-12-26,1.97156
