date,모의투자
2021-07-25,14.3979
2021-07-26,27.74869
2021-07-27,28.53403
2021-07-28,28.53403
2021-07-29,26.17801
2021-07-30,16.75392
2021-07-31,12.04188
2021-08-01,13.35078
2021-08-02,27.48691
2021-08-03,21.20418
2021-08-04,29.05759
2021-08-05,28.79581
2021-08-06,31.41361
2021-08-07,16.75392
2021-08-08,17.53926
2021-08-09,37.17277
2021-08-10,29.05759
2021-08-11,29.84293
2021-08-12,28.27225
2021-08-13,24.60732
2021-08-14,18.84816
2021-08-15,12.30366
2021-08-16,21.46596
2021-08-17,30.89005
2021-08-18,26.17801
2021-08-19,28.27225
2021-08-20,28.79581
2021-08-21,11.25654
2021-08-22,19.10994
2021-08-23,29.84293
2021-08-24,27.48691
2021-08-25,35.34031
2021-08-26,33.24607
2021-08-27,25.13089
2021-08-28,12.56544
2021-08-29,17.53926
2021-08-30,26.17801
2021-08-31,24.34554
2021-09-01,24.8691
2021-09-02,30.62827
2021-09-03,34.03141
2021-09-04,16.75392
2021-09-05,18.58638
2021-09-06,29.84293
2021-09-07,29.05759
2021-09-08,31.67539
2021-09-09,35.86387
2021-09-10,28.27225
2021-09-11,18.84816
2021-09-12,19.6335
2021-09-13,26.70157
2021-09-14,26.96335
2021-09-15,37.95811
2021-09-16,20.15706
2021-09-17,20.68062
2021-09-18,15.44502
2021-09-19,15.44502
2021-09-20,12.30366
2021-09-21,13.87434
2021-09-22,20.41884
2021-09-23,26.43979
2021-09-24,28.79581
2021-09-25,16.75392
2021-09-26,18.84816
2021-09-27,30.89005
2021-09-28,26.96335
2021-09-29,27.74869
2021-09-30,27.22513
2021-10-01,22.77486
2021-10-02,17.27748
2021-10-03,17.53926
2021-10-04,15.18324
2021-10-05,28.01047
2021-10-06,31.15183
2021-10-07,28.01047
2021-10-08,26.96335
2021-10-09,12.56544
2021-10-10,20.68062
2021-10-11,16.75392
2021-10-12,33.50785
2021-10-13,24.08376
2021-10-14,30.36649
2021-10-15,30.62827
2021-10-16,11.51832
2021-10-17,16.23036
2021-10-18,23.5602
2021-10-19,26.43979
2021-10-20,24.8691
2021-10-21,21.98952
2021-10-22,21.46596
2021-10-23,16.75392
2021-10-24,10.73298
2021-10-25,23.29842
2021-10-26,26.70157
2021-10-27,31.41361
2021-10-28,25.91623
2021-10-29,21.98952
2021-10-30,18.58638
2021-10-31,12.82722
2021-11-01,26.43979
2021-11-02,25.65445
2021-11-03,29.58115
2021-11-04,24.60732
2021-11-05,26.96335
2021-11-06,19.6335
2021-11-07,12.30366
2021-11-08,18.3246
2021-11-09,31.15183
2021-11-10,43.71727
2021-11-11,33.76963
2021-11-12,22.51308
2021-11-13,14.92146
2021-11-14,13.61256
2021-11-15,26.70157
2021-11-16,30.62827
2021-11-17,30.36649
2021-11-18,24.34554
2021-11-19,27.48691
2021-11-20,15.18324
2021-11-21,17.0157
2021-11-22,25.91623
2021-11-23,33.24607
2021-11-24,27.48691
2021-11-25,23.03664
2021-11-26,24.34554
2021-11-27,16.75392
2021-11-28,19.10994
2021-11-29,28.01047
2021-11-30,35.34031
2021-12-01,26.17801
2021-12-02,28.79581
2021-12-03,26.70157
2021-12-04,18.58638
2021-12-05,20.15706
2021-12-06,29.31937
2021-12-07,34.81675
2021-12-08,29.31937
2021-12-09,25.39267
2021-12-10,25.39267
2021-12-11,17.53926
2021-12-12,76.96335
2021-12-13,53.66492
2021-12-14,54.45026
2021-12-15,34.29319
2021-12-16,29.84293
2021-12-17,27.48691
2021-12-18,16.49214
2021-12-19,22.77486
2021-12-20,26.43979
2021-12-21,27.22513
2021-12-22,27.74869
2021-12-23,19.89528
2021-12-24,21.20418
2021-12-25,10.73298
2021-12-26,15.7068
2021-12-27,23.29842
2021-12-28,27.74869
2021-12-29,23.5602
2021-12-30,22.51308
2021-12-31,15.7068
2022-01-01,11.7801
2022-01-02,22.2513
2022-01-03,27.22513
2022-01-04,24.60732
2022-01-05,31.93717
2022-01-06,25.91623
2022-01-07,23.29842
2022-01-08,17.0157
2022-01-09,18.58638
2022-01-10,31.15183
2022-01-11,27.22513
2022-01-12,30.36649
2022-01-13,24.60732
2022-01-14,24.08376
2022-01-15,19.89528
2022-01-16,17.0157
2022-01-17,23.29842
2022-01-18,28.01047
2022-01-19,27.22513
2022-01-20,32.72251
2022-01-21,25.65445
2022-01-22,17.80104
2022-01-23,21.46596
2022-01-24,25.65445
2022-01-25,26.17801
2022-01-26,23.82198
2022-01-27,33.50785
2022-01-28,24.60732
2022-01-29,17.53926
2022-01-30,13.35078
2022-01-31,14.3979
2022-02-01,27.74869
2022-02-02,20.41884
2022-02-03,24.08376
2022-02-04,30.62827
2022-02-05,17.80104
2022-02-06,20.41884
2022-02-07,30.10471
2022-02-08,32.19895
2022-02-09,22.77486
2022-02-10,25.13089
2022-02-11,23.03664
2022-02-12,19.10994
2022-02-13,13.61256
2022-02-14,25.91623
2022-02-15,30.36649
2022-02-16,20.41884
2022-02-17,20.9424
2022-02-18,29.05759
2022-02-19,14.13612
2022-02-20,13.089
2022-02-21,19.10994
2022-02-22,24.8691
2022-02-23,20.9424
2022-02-24,27.22513
2022-02-25,20.68062
2022-02-26,18.58638
2022-02-27,13.61256
2022-02-28,23.03664
2022-03-01,13.089
2022-03-02,32.46073
2022-03-03,30.89005
2022-03-04,28.79581
2022-03-05,15.18324
2022-03-06,22.77486
2022-03-07,33.76963
2022-03-08,32.46073
2022-03-09,19.37172
2022-03-10,23.5602
2022-03-11,36.91099
2022-03-12,20.41884
2022-03-13,23.29842
2022-03-14,34.55497
2022-03-15,38.21989
2022-03-16,36.38743
2022-03-17,30.10471
2022-03-18,28.79581
2022-03-19,20.9424
2022-03-20,16.75392
2022-03-21,30.36649
2022-03-22,30.62827
2022-03-23,35.86387
2022-03-24,32.46073
2022-03-25,34.81675
2022-03-26,14.65968
2022-03-27,21.20418
2022-03-28,32.19895
2022-03-29,24.60732
2022-03-30,38.21989
2022-03-31,24.8691
2022-04-01,20.41884
2022-04-02,15.96858
2022-04-03,12.82722
2022-04-04,22.77486
2022-04-05,25.65445
2022-04-06,30.62827
2022-04-07,24.60732
2022-04-08,22.77486
2022-04-09,12.04188
2022-04-10,12.30366
2022-04-11,18.3246
2022-04-12,20.15706
2022-04-13,18.58638
2022-04-14,21.98952
2022-04-15,24.60732
2022-04-16,10.73298
2022-04-17,9.94764
2022-04-18,20.41884
2022-04-19,15.7068
2022-04-20,26.96335
2022-04-21,22.2513
2022-04-22,19.6335
2022-04-23,12.04188
2022-04-24,14.92146
2022-04-25,15.7068
2022-04-26,20.41884
2022-04-27,26.70157
2022-04-28,19.6335
2022-04-29,19.10994
2022-04-30,10.20942
2022-05-01,14.13612
2022-05-02,25.39267
2022-05-03,20.9424
2022-05-04,17.53926
2022-05-05,11.7801
2022-05-06,21.20418
2022-05-07,8.90052
2022-05-08,9.1623
2022-05-09,20.41884
2022-05-10,21.20418
2022-05-11,29.84293
2022-05-12,29.84293
2022-05-13,30.10471
2022-05-14,16.23036
2022-05-15,17.0157
2022-05-16,24.8691
2022-05-17,27.22513
2022-05-18,24.34554
2022-05-19,29.05759
2022-05-20,28.53403
2022-05-21,13.61256
2022-05-22,14.13612
2022-05-23,20.41884
2022-05-24,22.77486
2022-05-25,26.17801
2022-05-26,21.98952
2022-05-27,18.3246
2022-05-28,12.56544
2022-05-29,11.51832
2022-05-30,21.20418
2022-05-31,22.51308
2022-06-01,12.56544
2022-06-02,20.9424
2022-06-03,20.68062
2022-06-04,14.3979
2022-06-05,10.73298
2022-06-06,13.089
2022-06-07,21.72774
2022-06-08,24.60732
2022-06-09,20.41884
2022-06-10,19.10994
2022-06-11,11.7801
2022-06-12,21.20418
2022-06-13,24.8691
2022-06-14,30.36649
2022-06-15,28.79581
2022-06-16,23.29842
2022-06-17,24.08376
2022-06-18,12.56544
2022-06-19,9.68586
2022-06-20,24.8691
2022-06-21,23.5602
2022-06-22,20.41884
2022-06-23,22.77486
2022-06-24,18.58638
2022-06-25,9.68586
2022-06-26,8.37696
2022-06-27,20.41884
2022-06-28,17.27748
2022-06-29,22.77486
2022-06-30,18.84816
2022-07-01,19.89528
2022-07-02,10.20942
2022-07-03,9.42408
2022-07-04,21.98952
2022-07-05,20.41884
2022-07-06,35.07853
2022-07-07,25.39267
2022-07-08,24.34554
2022-07-09,10.99476
2022-07-10,11.7801
2022-07-11,28.53403
2022-07-12,19.6335
2022-07-13,24.34554
2022-07-14,19.6335
2022-07-15,23.03664
2022-07-16,11.51832
2022-07-17,11.25654
2022-07-18,26.17801
2022-07-19,23.29842
2022-07-20,18.84816
2022-07-21,18.3246
2022-07-22,18.58638
2022-07-23,9.1623
2022-07-24,7.06806
2022-07-25,14.3979
2022-07-26,19.6335
2022-07-27,16.75392
2022-07-28,15.7068
2022-07-29,13.089
2022-07-30,8.90052
2022-07-31,7.06806
2022-08-01,14.92146
2022-08-02,15.7068
2022-08-03,23.82198
2022-08-04,16.49214
2022-08-05,21.46596
2022-08-06,14.3979
2022-08-07,12.30366
2022-08-08,15.7068
2022-08-09,17.0157
2022-08-10,19.37172
2022-08-11,23.82198
2022-08-12,20.9424
2022-08-13,8.63874
2022-08-14,11.51832
2022-08-15,17.53926
2022-08-16,23.5602
2022-08-17,25.39267
2022-08-18,20.41884
2022-08-19,19.37172
2022-08-20,9.68586
2022-08-21,13.87434
2022-08-22,17.0157
2022-08-23,17.27748
2022-08-24,25.91623
2022-08-25,18.06282
2022-08-26,18.84816
2022-08-27,11.25654
2022-08-28,10.20942
2022-08-29,24.08376
2022-08-30,16.49214
2022-08-31,19.6335
