date,환급금조회
2021-06-27,3.91911
2021-06-28,5.04481
2021-06-29,5.33666
2021-06-30,6.17052
2021-07-01,5.42005
2021-07-02,4.64873
2021-07-03,3.02272
2021-07-04,3.60642
2021-07-05,4.8155
2021-07-06,4.48196
2021-07-07,5.1282
2021-07-08,4.48196
2021-07-09,3.98165
2021-07-10,2.48071
2021-07-11,2.68918
2021-07-12,4.23181
2021-07-13,4.62789
2021-07-14,4.48196
2021-07-15,4.25265
2021-07-16,4.23181
2021-07-17,2.5224
2021-07-18,3.35626
2021-07-19,4.19011
2021-07-20,3.83573
2021-07-21,3.93996
2021-07-22,3.93996
2021-07-23,3.71065
2021-07-24,2.39733
2021-07-25,1.50093
2021-07-26,2.8351
2021-07-27,3.83573
2021-07-28,3.6898
2021-07-29,3.91911
2021-07-30,3.75234
2021-07-31,2.68918
2021-08-01,2.50156
2021-08-02,3.6898
2021-08-03,4.10673
2021-08-04,3.35626
2021-08-05,3.4188
2021-08-06,3.02272
2021-08-07,1.87617
2021-08-08,2.06378
2021-08-09,2.93933
2021-08-10,3.12695
2021-08-11,3.62726
2021-08-12,3.18949
2021-08-13,3.1061
2021-08-14,2.08463
2021-08-15,2.00125
2021-08-16,2.89764
2021-08-17,3.83573
2021-08-18,3.64811
2021-08-19,3.81488
2021-08-20,3.83573
2021-08-21,2.2514
2021-08-22,2.20971
2021-08-23,5.25328
2021-08-24,5.77444
2021-08-25,9.9854
2021-08-26,13.63352
2021-08-27,11.34042
2021-08-28,7.60892
2021-08-29,6.17052
2021-08-30,10.98603
2021-08-31,10.0271
2021-09-01,7.83823
2021-09-02,7.12945
2021-09-03,7.00437
2021-09-04,4.69043
2021-09-05,4.56535
2021-09-06,6.96268
2021-09-07,7.83823
2021-09-08,7.04607
2021-09-09,6.00375
2021-09-10,6.21221
2021-09-11,3.35626
2021-09-12,3.52303
2021-09-13,4.52366
2021-09-14,4.77381
2021-09-15,3.66895
2021-09-16,4.04419
2021-09-17,2.85595
2021-09-18,2.68918
2021-09-19,2.08463
2021-09-20,2.06378
2021-09-21,2.06378
2021-09-22,2.33479
2021-09-23,3.9608
2021-09-24,3.23118
2021-09-25,2.75171
2021-09-26,2.20971
2021-09-27,3.4188
2021-09-28,3.91911
2021-09-29,3.29372
2021-09-30,3.85657
2021-10-01,3.02272
2021-10-02,2.73087
2021-10-03,2.48071
2021-10-04,2.96018
2021-10-05,3.75234
2021-10-06,4.48196
2021-10-07,4.62789
2021-10-08,3.4188
2021-10-09,2.37648
2021-10-10,1.68855
2021-10-11,2.27225
2021-10-12,3.27287
2021-10-13,2.62664
2021-10-14,3.81488
2021-10-15,2.91849
2021-10-16,2.00125
2021-10-17,1.95955
2021-10-18,3.62726
2021-10-19,4.04419
2021-10-20,3.43964
2021-10-21,3.25203
2021-10-22,3.31457
2021-10-23,2.45987
2021-10-24,1.83447
2021-10-25,3.48134
2021-10-26,3.87742
2021-10-27,4.16927
2021-10-28,3.39795
2021-10-29,3.66895
2021-10-30,2.81425
2021-10-31,2.58494
2021-11-01,3.79403
2021-11-02,3.71065
2021-11-03,3.29372
2021-11-04,3.98165
2021-11-05,3.39795
2021-11-06,2.81425
2021-11-07,2.50156
2021-11-08,3.56472
2021-11-09,3.35626
2021-11-10,3.00187
2021-11-11,3.23118
2021-11-12,4.29435
2021-11-13,3.93996
2021-11-14,3.91911
2021-11-15,7.37961
2021-11-16,10.79841
2021-11-17,9.4017
2021-11-18,8.5887
2021-11-19,6.73337
2021-11-20,4.91974
2021-11-21,5.60767
2021-11-22,5.85782
2021-11-23,5.50343
2021-11-24,5.89952
2021-11-25,5.33666
2021-11-26,4.16927
2021-11-27,2.71002
2021-11-28,3.21033
