date,STX주가
2021-11-19,0.29651
2021-11-20,0.06
2021-11-21,0.11648
2021-11-22,0.25415
2021-11-23,0.40947
2021-11-24,0.46948
2021-11-25,0.39535
2021-11-26,0.38123
2021-11-27,0.04941
2021-11-28,0.04941
2021-11-29,0.30004
2021-11-30,0.3071
2021-12-01,0.32475
2021-12-02,0.30357
2021-12-03,0.27533
2021-12-04,0.06353
2021-12-05,0.04588
2021-12-06,0.23297
2021-12-07,0.28592
2021-12-08,0.26827
2021-12-09,0.26474
2021-12-10,0.25415
2021-12-11,0.07059
2021-12-12,0.06353
2021-12-13,0.28945
2021-12-14,0.20826
2021-12-15,0.26827
2021-12-16,0.32122
2021-12-17,0.28592
2021-12-18,0.02117
2021-12-19,0.0247
2021-12-20,0.2012
2021-12-21,0.22591
2021-12-22,0.25415
2021-12-23,0.20826
2021-12-24,0.62833
2021-12-25,0.12001
2021-12-26,0.10236
2021-12-27,0.45183
2021-12-28,0.28945
2021-12-29,0.33887
2021-12-30,0.30357
2021-12-31,0.08118
2022-01-01,0.07059
2022-01-02,0.11648
2022-01-03,0.39888
2022-01-04,0.48713
2022-01-05,0.62127
2022-01-06,0.3777
2022-01-07,0.38829
2022-01-08,0.08824
2022-01-09,0.07059
2022-01-10,0.33181
2022-01-11,0.28592
2022-01-12,0.3071
2022-01-13,0.28592
2022-01-14,0.29298
2022-01-15,0.07059
2022-01-16,0.05647
2022-01-17,0.27533
2022-01-18,0.2718
2022-01-19,0.26474
2022-01-20,0.34946
2022-01-21,0.32475
2022-01-22,0.11648
2022-01-23,0.04588
2022-01-24,0.31416
2022-01-25,0.23297
2022-01-26,0.28239
2022-01-27,0.22238
2022-01-28,0.26474
2022-01-29,0.08118
2022-01-30,0.05647
2022-01-31,0.04235
2022-02-01,0.05294
2022-02-02,0.04588
2022-02-03,0.37064
2022-02-04,0.25768
2022-02-05,0.08824
2022-02-06,0.03529
2022-02-07,0.20826
2022-02-08,0.15531
2022-02-09,0.15884
2022-02-10,0.18708
2022-02-11,0.18355
2022-02-12,0.02117
2022-02-13,0.02823
2022-02-14,0.15178
2022-02-15,0.18708
2022-02-16,0.15884
2022-02-17,0.19767
2022-02-18,0.21885
2022-02-19,0.04941
2022-02-20,0.03529
2022-02-21,0.12354
2022-02-22,0.14825
2022-02-23,0.61774
2022-02-24,0.4836
2022-02-25,0.29651
2022-02-26,0.05647
2022-02-27,0.05647
2022-02-28,0.26474
2022-03-01,0.07412
2022-03-02,0.31769
2022-03-03,0.24003
2022-03-04,0.30004
2022-03-05,0.06
2022-03-06,0.07412
2022-03-07,0.28945
2022-03-08,0.78364
2022-03-09,0.27886
2022-03-10,0.40594
2022-03-11,0.3777
2022-03-12,0.0953
2022-03-13,0.14825
2022-03-14,0.35299
2022-03-15,0.36005
2022-03-16,0.24003
2022-03-17,0.31416
2022-03-18,0.26474
2022-03-19,0.08471
2022-03-20,0.05294
2022-03-21,0.27886
2022-03-22,0.45889
2022-03-23,0.39182
2022-03-24,0.43065
2022-03-25,0.30357
2022-03-26,0.07412
2022-03-27,0.06706
2022-03-28,0.32122
2022-03-29,0.31063
2022-03-30,0.30357
2022-03-31,0.29298
