date,캐쉬백
2021-03-11,1.44152
2021-03-12,1.42666
2021-03-13,0.98082
2021-03-14,1.53068
2021-03-15,1.60499
2021-03-16,1.54554
2021-03-17,1.63471
2021-03-18,1.51582
2021-03-19,1.87249
2021-03-20,1.39693
2021-03-21,1.27805
2021-03-22,1.78332
2021-03-23,1.79818
2021-03-24,1.51582
2021-03-25,4.02734
2021-03-26,5.36483
2021-03-27,5.23108
2021-03-28,4.66636
2021-03-29,3.12082
2021-03-30,2.91276
2021-03-31,2.51151
2021-04-01,2.95734
2021-04-02,2.64526
2021-04-03,2.77901
2021-04-04,3.1654
2021-04-05,2.64526
2021-04-06,2.66012
2021-04-07,2.16971
2021-04-08,1.96165
2021-04-09,1.60499
2021-04-10,1.93193
2021-04-11,1.94679
2021-04-12,2.46693
2021-04-13,1.76846
2021-04-14,2.0211
2021-04-15,1.26318
2021-04-16,1.59013
2021-04-17,1.47124
2021-04-18,1.72388
2021-04-19,1.42666
2021-04-20,1.4861
2021-04-21,1.24832
2021-04-22,1.54554
2021-04-23,1.30777
2021-04-24,1.06999
2021-04-25,1.1443
2021-04-26,2.05082
2021-04-27,1.35235
2021-04-28,1.45638
2021-04-29,1.70902
2021-04-30,1.79818
2021-05-01,1.76846
2021-05-02,1.87249
2021-05-03,1.99138
2021-05-04,1.94679
2021-05-05,2.0211
2021-05-06,2.22915
2021-05-07,1.47124
2021-05-08,1.67929
2021-05-09,1.60499
2021-05-10,2.31832
2021-05-11,2.0954
2021-05-12,1.72388
2021-05-13,1.70902
2021-05-14,1.51582
2021-05-15,2.06568
2021-05-16,1.79818
2021-05-17,1.56041
2021-05-18,1.8279
2021-05-19,1.38207
2021-05-20,1.60499
2021-05-21,1.57527
2021-05-22,1.51582
2021-05-23,2.48179
2021-05-24,3.03165
2021-05-25,3.15054
2021-05-26,2.76415
2021-05-27,2.67498
2021-05-28,2.76415
2021-05-29,3.01679
2021-05-30,2.57096
2021-05-31,2.58582
2021-06-01,2.51151
2021-06-02,2.74929
2021-06-03,3.31401
2021-06-04,2.42235
2021-06-05,1.96165
2021-06-06,1.97651
2021-06-07,2.31832
2021-06-08,1.69415
2021-06-09,1.59013
2021-06-10,1.94679
2021-06-11,1.63471
2021-06-12,1.53068
2021-06-13,1.53068
2021-06-14,2.05082
2021-06-15,1.54554
2021-06-16,3.41804
2021-06-17,3.90845
2021-06-18,2.46693
2021-06-19,1.93193
2021-06-20,2.48179
2021-06-21,4.71095
2021-06-22,5.78094
2021-06-23,5.1122
2021-06-24,3.78956
2021-06-25,4.07192
2021-06-26,2.80873
2021-06-27,2.08054
2021-06-28,8.26274
2021-06-29,9.02065
2021-06-30,4.07192
2021-07-01,5.06761
2021-07-02,3.34373
2021-07-03,2.33318
2021-07-04,2.31832
2021-07-05,2.80873
2021-07-06,2.16971
2021-07-07,2.30346
2021-07-08,2.58582
2021-07-09,1.76846
2021-07-10,1.51582
2021-07-11,1.87249
2021-07-12,2.71957
2021-07-13,2.40748
2021-07-14,2.43721
2021-07-15,1.8279
2021-07-16,2.24401
2021-07-17,1.24832
2021-07-18,1.53068
2021-07-19,1.44152
2021-07-20,2.00624
2021-07-21,1.8279
2021-07-22,2.11026
2021-07-23,2.0954
2021-07-24,2.12513
2021-07-25,1.76846
2021-07-26,2.45207
2021-07-27,1.78332
2021-07-28,1.54554
2021-07-29,1.87249
2021-07-30,1.57527
2021-07-31,1.67929
2021-08-01,1.93193
2021-08-02,2.15485
2021-08-03,2.98707
2021-08-04,2.8979
2021-08-05,2.68984
2021-08-06,2.9722
2021-08-07,1.93193
2021-08-08,2.2886
2021-08-09,2.22915
2021-08-10,2.13999
2021-08-11,1.85763
2021-08-12,1.84277
2021-08-13,1.7536
2021-08-14,1.26318
2021-08-15,1.50096
2021-08-16,1.56041
2021-08-17,2.00624
2021-08-18,1.66443
2021-08-19,1.45638
2021-08-20,1.66443
2021-08-21,1.72388
2021-08-22,1.7536
2021-08-23,1.90221
2021-08-24,2.58582
2021-08-25,2.49665
2021-08-26,2.82359
2021-08-27,2.61554
2021-08-28,2.21429
2021-08-29,2.54123
2021-08-30,2.25887
2021-08-31,2.64526
2021-09-01,2.19943
2021-09-02,2.0211
2021-09-03,1.96165
2021-09-04,1.69415
2021-09-05,1.64957
2021-09-06,2.00624
2021-09-07,1.79818
2021-09-08,1.84277
2021-09-09,1.33749
2021-09-10,2.39262
2021-09-11,1.59013
2021-09-12,1.44152
2021-09-13,1.67929
2021-09-14,1.17402
2021-09-15,1.4861
2021-09-16,1.91707
2021-09-17,1.44152
2021-09-18,1.44152
2021-09-19,4.08678
2021-09-20,13.49383
2021-09-21,9.21385
2021-09-22,3.89359
2021-09-23,3.44776
2021-09-24,2.48179
2021-09-25,2.00624
2021-09-26,2.37776
2021-09-27,36.33526
2021-09-28,17.23881
2021-09-29,7.80205
2021-09-30,15.23257
2021-10-01,39.42636
2021-10-02,12.76564
2021-10-03,7.57913
2021-10-04,8.51538
2021-10-05,10.92287
2021-10-06,8.24788
2021-10-07,5.64719
2021-10-08,6.24164
2021-10-09,5.55803
2021-10-10,6.65775
2021-10-11,4.56234
2021-10-12,4.05706
2021-10-13,3.12082
2021-10-14,2.77901
2021-10-15,2.24401
2021-10-16,1.91707
2021-10-17,2.0211
2021-10-18,3.01679
2021-10-19,2.58582
2021-10-20,1.79818
2021-10-21,1.35235
2021-10-22,1.66443
2021-10-23,1.61985
2021-10-24,1.93193
2021-10-25,2.15485
2021-10-26,1.79818
2021-10-27,1.69415
2021-10-28,1.81304
2021-10-29,2.19943
2021-10-30,1.63471
2021-10-31,1.61985
2021-11-01,2.43721
2021-11-02,2.24401
2021-11-03,1.94679
2021-11-04,1.67929
2021-11-05,1.90221
2021-11-06,1.44152
2021-11-07,1.09971
2021-11-08,1.67929
2021-11-09,1.79818
2021-11-10,1.76846
2021-11-11,1.70902
2021-11-12,2.18457
2021-11-13,1.53068
2021-11-14,1.57527
2021-11-15,7.75746
2021-11-16,3.49234
2021-11-17,1.53068
2021-11-18,2.06568
2021-11-19,1.35235
2021-11-20,1.06999
2021-11-21,1.15916
2021-11-22,1.26318
2021-11-23,1.33749
2021-11-24,1.4861
2021-11-25,0.96596
2021-11-26,1.4861
2021-11-27,1.06999
2021-11-28,1.06999
2021-11-29,2.00624
2021-11-30,4.33942
2021-12-01,1.17402
2021-12-02,1.08485
2021-12-03,1.04027
2021-12-04,0.99569
2021-12-05,0.96596
2021-12-06,1.33749
2021-12-07,1.29291
2021-12-08,1.30777
2021-12-09,1.17402
2021-12-10,1.72388
2021-12-11,1.29291
2021-12-12,1.09971
2021-12-13,1.36721
2021-12-14,1.4861
2021-12-15,2.0211
2021-12-16,1.47124
2021-12-17,1.29291
2021-12-18,1.20374
2021-12-19,1.59013
2021-12-20,1.99138
2021-12-21,1.45638
2021-12-22,1.53068
