date,S&P500ETF
2021-06-08,29.64401
2021-06-09,28.47896
2021-06-10,43.88349
2021-06-11,36.8932
2021-06-12,23.43042
2021-06-13,21.61812
2021-06-14,28.09061
2021-06-15,30.48543
2021-06-16,30.22653
2021-06-17,30.09708
2021-06-18,36.44012
2021-06-19,21.22977
2021-06-20,16.82847
2021-06-21,28.02588
2021-06-22,30.29126
2021-06-23,26.14886
2021-06-24,27.44336
2021-06-25,26.14886
2021-06-26,22.84789
2021-06-27,21.29449
2021-06-28,30.55016
2021-06-29,34.75728
2021-06-30,33.5275
2021-07-01,29.06148
2021-07-02,29.19093
2021-07-03,24.72491
2021-07-04,20.97087
2021-07-05,28.15533
2021-07-06,31.71521
2021-07-07,32.55663
2021-07-08,30.74433
2021-07-09,22.84789
2021-07-10,20.25889
2021-07-11,19.87055
2021-07-12,29.83818
2021-07-13,32.4919
2021-07-14,29.32038
2021-07-15,35.14563
2021-07-16,28.73786
2021-07-17,23.36569
2021-07-18,25.30744
2021-07-19,34.17475
2021-07-20,35.5987
2021-07-21,29.90291
2021-07-22,27.24919
2021-07-23,29.64401
2021-07-24,23.43042
2021-07-25,21.68284
2021-07-26,30.16181
2021-07-27,34.0453
2021-07-28,30.16181
2021-07-29,30.35598
2021-07-30,36.8932
2021-07-31,33.07443
2021-08-01,25.69579
2021-08-02,37.60517
2021-08-03,38.25242
2021-08-04,41.29449
2021-08-05,43.43042
2021-08-06,42.71844
2021-08-07,34.36893
2021-08-08,36.69902
2021-08-09,46.66666
2021-08-10,48.02588
2021-08-11,49.90291
2021-08-12,54.17475
2021-08-13,51.97411
2021-08-14,35.27508
2021-08-15,36.18122
2021-08-16,41.74757
2021-08-17,66.60194
2021-08-18,56.44012
2021-08-19,57.60517
2021-08-20,44.66019
2021-08-21,32.7508
2021-08-22,28.60841
2021-08-23,41.94174
2021-08-24,78.1877
2021-08-25,55.53398
2021-08-26,66.40776
2021-08-27,52.10355
2021-08-28,46.14886
2021-08-29,48.99676
2021-08-30,59.80582
2021-08-31,79.54692
2021-09-01,68.34951
2021-09-02,57.28155
2021-09-03,57.73462
2021-09-04,42.84789
2021-09-05,39.35275
2021-09-06,50.87378
2021-09-07,54.43365
2021-09-08,49.64401
2021-09-09,43.62459
2021-09-10,41.87702
2021-09-11,29.90291
2021-09-12,30.67961
2021-09-13,40.58252
2021-09-14,44.07766
2021-09-15,48.15533
2021-09-16,40.12944
2021-09-17,36.8932
2021-09-18,26.47249
2021-09-19,24.53074
2021-09-20,28.22006
2021-09-21,43.81877
2021-09-22,47.89644
2021-09-23,60.45307
2021-09-24,52.55663
2021-09-25,34.11003
2021-09-26,33.85113
2021-09-27,45.69579
2021-09-28,48.02588
2021-09-29,50.48543
2021-09-30,39.28802
2021-10-01,44.20711
2021-10-02,29.38511
2021-10-03,27.37864
2021-10-04,36.31067
2021-10-05,49.25566
2021-10-06,45.30744
2021-10-07,43.75404
2021-10-08,35.72815
2021-10-09,23.49514
2021-10-10,22.65372
2021-10-11,30.80906
2021-10-12,36.44012
2021-10-13,39.54692
2021-10-14,35.46925
2021-10-15,31.90938
2021-10-16,24.53074
2021-10-17,23.36569
2021-10-18,33.07443
2021-10-19,39.87055
2021-10-20,37.79935
2021-10-21,57.28155
2021-10-22,51.77993
2021-10-23,27.96116
2021-10-24,26.99029
2021-10-25,38.57605
2021-10-26,55.21035
2021-10-27,44.98381
2021-10-28,46.86084
2021-10-29,41.61812
2021-10-30,32.42718
2021-10-31,31.45631
2021-11-01,44.98381
2021-11-02,51.26213
2021-11-03,47.83171
2021-11-04,53.46278
2021-11-05,57.60517
2021-11-06,34.23948
2021-11-07,33.91585
2021-11-08,51.84466
2021-11-09,52.7508
2021-11-10,51.84466
2021-11-11,44.59546
2021-11-12,41.68284
2021-11-13,28.93203
2021-11-14,28.86731
2021-11-15,44.14239
2021-11-16,46.53721
2021-11-17,65.88996
2021-11-18,50.80906
2021-11-19,46.99029
2021-11-20,36.1165
2021-11-21,35.01618
2021-11-22,54.23948
2021-11-23,59.09385
2021-11-24,52.29773
2021-11-25,47.18446
2021-11-26,40.06472
2021-11-27,35.53398
2021-11-28,31.65048
2021-11-29,51.32686
2021-11-30,56.18122
2021-12-01,48.93203
2021-12-02,52.4919
2021-12-03,43.17152
2021-12-04,28.54368
2021-12-05,29.44983
2021-12-06,37.411
2021-12-07,46.47249
2021-12-08,45.63106
2021-12-09,44.01294
2021-12-10,42.97734
2021-12-11,34.822
2021-12-12,29.19093
2021-12-13,41.61812
2021-12-14,43.49514
2021-12-15,37.6699
2021-12-16,38.77022
2021-12-17,33.07443
2021-12-18,27.63754
2021-12-19,25.50161
2021-12-20,36.3754
2021-12-21,41.74757
2021-12-22,36.6343
2021-12-23,36.76375
2021-12-24,39.4822
2021-12-25,28.22006
2021-12-26,31.32686
2021-12-27,49.12621
2021-12-28,63.68932
2021-12-29,51.90938
2021-12-30,63.75404
2021-12-31,43.17152
2022-01-01,39.02912
2022-01-02,42.52427
2022-01-03,61.74757
2022-01-04,65.56634
2022-01-05,59.02912
2022-01-06,60.32362
2022-01-07,48.60841
2022-01-08,37.9288
2022-01-09,38.77022
2022-01-10,51.71521
2022-01-11,53.46278
2022-01-12,47.44336
2022-01-13,47.63754
2022-01-14,50.74433
2022-01-15,34.5631
2022-01-16,95.92233
2022-01-17,83.04207
2022-01-18,68.02588
2022-01-19,63.10679
2022-01-20,68.15533
2022-01-21,67.31391
2022-01-22,48.99676
2022-01-23,41.87702
2022-01-24,60.90614
2022-01-25,74.3042
2022-01-26,65.37216
2022-01-27,72.03883
2022-01-28,60.97087
2022-01-29,39.15857
2022-01-30,34.3042
2022-01-31,40.45307
2022-02-01,58.25242
2022-02-02,65.56634
2022-02-03,75.98705
2022-02-04,77.86407
2022-02-05,54.95145
2022-02-06,48.41423
2022-02-07,68.15533
2022-02-08,68.15533
2022-02-09,59.35275
2022-02-10,57.99352
2022-02-11,61.22977
2022-02-12,45.63106
2022-02-13,42.33009
2022-02-14,49.32038
2022-02-15,52.88025
2022-02-16,51.00323
2022-02-17,48.28478
2022-02-18,44.53074
2022-02-19,30.80906
2022-02-20,31.65048
2022-02-21,46.53721
2022-02-22,49.06148
2022-02-23,48.34951
2022-02-24,66.53721
2022-02-25,55.40453
2022-02-26,38.89967
2022-02-27,33.72168
2022-02-28,42.07119
2022-03-01,43.75404
2022-03-02,48.86731
2022-03-03,44.98381
2022-03-04,39.80582
2022-03-05,28.80258
2022-03-06,31.00323
2022-03-07,34.69255
2022-03-08,41.55339
2022-03-09,31.45631
2022-03-10,32.03883
2022-03-11,30.16181
2022-03-12,27.31391
2022-03-13,27.57281
2022-03-14,36.31067
2022-03-15,44.20711
2022-03-16,47.31391
2022-03-17,51.65048
2022-03-18,45.82524
2022-03-19,39.80582
2022-03-20,40.58252
2022-03-21,47.24919
2022-03-22,51.06796
2022-03-23,46.47249
2022-03-24,41.29449
2022-03-25,49.12621
2022-03-26,37.99352
2022-03-27,32.29773
2022-03-28,41.87702
2022-03-29,47.31391
2022-03-30,53.5275
2022-03-31,44.01294
2022-04-01,40.84142
2022-04-02,32.4919
2022-04-03,41.74757
2022-04-04,45.24271
2022-04-05,45.30744
2022-04-06,42.58899
2022-04-07,38.57605
2022-04-08,42.45954
2022-04-09,33.39805
2022-04-10,29.64401
2022-04-11,35.01618
2022-04-12,43.62459
2022-04-13,35.92233
2022-04-14,33.20388
2022-04-15,33.33333
2022-04-16,22.26537
2022-04-17,20.97087
2022-04-18,32.233
2022-04-19,28.60841
2022-04-20,32.4919
2022-04-21,34.88673
2022-04-22,30.55016
2022-04-23,24.72491
2022-04-24,24.07766
2022-04-25,37.02265
2022-04-26,35.27508
2022-04-27,42.45954
2022-04-28,32.29773
2022-04-29,27.70226
2022-04-30,25.04854
2022-05-01,19.87055
2022-05-02,26.27831
2022-05-03,52.42718
2022-05-04,54.36893
2022-05-05,33.7864
2022-05-06,38.89967
2022-05-07,24.46601
2022-05-08,21.29449
2022-05-09,33.98058
2022-05-10,51.90938
2022-05-11,43.43042
2022-05-12,45.04854
2022-05-13,33.39805
2022-05-14,19.87055
2022-05-15,18.9644
2022-05-16,26.92556
2022-05-17,29.51456
2022-05-18,26.60194
2022-05-19,37.86407
2022-05-20,27.31391
2022-05-21,20.84142
2022-05-22,20.71197
2022-05-23,25.50161
2022-05-24,25.95469
2022-05-25,25.50161
2022-05-26,23.43042
2022-05-27,17.34627
2022-05-28,14.23948
2022-05-29,14.3042
2022-05-30,22.58899
2022-05-31,24.07766
2022-06-01,19.93527
2022-06-02,22.13592
2022-06-03,19.54692
2022-06-04,11.00323
2022-06-05,11.45631
2022-06-06,14.3042
2022-06-07,18.25242
2022-06-08,18.64077
2022-06-09,18.83495
2022-06-10,17.28155
2022-06-11,20.45307
2022-06-12,18.57605
2022-06-13,22.78317
2022-06-14,31.06796
2022-06-15,28.34951
2022-06-16,24.27184
2022-06-17,25.56634
2022-06-18,16.18122
2022-06-19,28.09061
2022-06-20,40.64724
2022-06-21,25.63106
2022-06-22,22.78317
2022-06-23,22.26537
2022-06-24,19.4822
2022-06-25,15.14563
2022-06-26,15.79288
2022-06-27,27.57281
2022-06-28,20.77669
2022-06-29,20.90614
2022-06-30,17.28155
2022-07-01,19.41747
2022-07-02,12.68608
2022-07-03,13.5275
2022-07-04,21.10032
2022-07-05,18.12297
2022-07-06,18.77022
2022-07-07,15.14563
2022-07-08,25.11326
2022-07-09,13.5275
2022-07-10,13.0097
2022-07-11,16.6343
2022-07-12,16.1165
2022-07-13,14.75728
2022-07-14,12.16828
2022-07-15,12.10355
2022-07-16,10.22653
2022-07-17,8.86731
2022-07-18,13.98058
2022-07-19,15.5987
2022-07-20,18.9644
2022-07-21,15.8576
2022-07-22,16.69902
2022-07-23,11.71521
2022-07-24,12.03883
2022-07-25,15.79288
2022-07-26,15.98705
2022-07-27,16.24595
2022-07-28,15.46925
2022-07-29,15.98705
2022-07-30,12.29773
2022-07-31,11.84466
2022-08-01,19.87055
2022-08-02,22.07119
2022-08-03,20.38834
2022-08-04,22.71844
2022-08-05,17.99352
2022-08-06,11.65048
2022-08-07,15.66343
2022-08-08,22.65372
2022-08-09,17.1521
2022-08-10,15.01618
2022-08-11,22.39482
2022-08-12,17.21682
2022-08-13,13.91585
2022-08-14,12.03883
2022-08-15,15.46925
2022-08-16,25.69579
2022-08-17,24.59546
2022-08-18,23.55987
2022-08-19,22.20064
2022-08-20,16.18122
2022-08-21,14.0453
2022-08-22,22.52427
2022-08-23,25.43689
2022-08-24,21.94174
2022-08-25,23.04207
2022-08-26,19.09385
2022-08-27,17.47572
2022-08-28,13.65695
2022-08-29,23.68932
2022-08-30,25.43689
2022-08-31,19.61165
2022-09-01,16.8932
2022-09-02,15.66343
2022-09-03,11.32686
2022-09-04,9.77346
2022-09-05,14.23948
2022-09-06,14.43365
2022-09-07,17.99352
2022-09-08,13.20388
2022-09-09,12.36245
2022-09-10,12.03883
2022-09-11,14.49838
2022-09-12,16.8932
2022-09-13,25.30744
2022-09-14,26.47249
2022-09-15,18.83495
2022-09-16,22.13592
2022-09-17,12.81553
2022-09-18,14.17475
2022-09-19,17.60517
2022-09-20,17.79935
2022-09-21,16.8932
2022-09-22,18.1877
2022-09-23,19.67637
2022-09-24,12.42718
2022-09-25,12.16828
2022-09-26,21.74757
2022-09-27,23.10679
2022-09-28,20.12944
2022-09-29,17.28155
2022-09-30,15.5987
2022-10-01,9.83818
2022-10-02,11.58576
2022-10-03,15.66343
2022-10-04,20.51779
2022-10-05,15.79288
2022-10-06,14.0453
2022-10-07,9.25566
2022-10-08,9.19093
2022-10-09,10.55016
2022-10-10,11.06796
2022-10-11,15.01618
2022-10-12,13.91585
2022-10-13,14.62783
2022-10-14,12.42718
2022-10-15,10.35598
2022-10-16,11.71521
2022-10-17,19.15857
2022-10-18,20.25889
2022-10-19,17.54045
2022-10-20,13.20388
2022-10-21,10.42071
2022-10-22,8.54368
2022-10-23,10.55016
2022-10-24,14.3042
2022-10-25,14.36893
2022-10-26,17.60517
2022-10-27,19.28802
2022-10-28,18.4466
2022-10-29,12.233
2022-10-30,9.77346
2022-10-31,17.9288
2022-11-01,20.25889
2022-11-02,18.4466
2022-11-03,17.79935
2022-11-04,16.8932
2022-11-05,13.85113
2022-11-06,13.13915
2022-11-07,19.80582
2022-11-08,18.83495
2022-11-09,17.9288
2022-11-10,16.6343
2022-11-11,24.14239
2022-11-12,14.17475
2022-11-13,15.79288
2022-11-14,19.93527
2022-11-15,20.84142
2022-11-16,16.31067
2022-11-17,17.08737
2022-11-18,15.8576
2022-11-19,10.87378
2022-11-20,10.93851
2022-11-21,16.1165
2022-11-22,16.24595
2022-11-23,19.7411
2022-11-24,15.14563
2022-11-25,11.52103
2022-11-26,10.55016
2022-11-27,10.35598
2022-11-28,13.85113
2022-11-29,17.08737
2022-11-30,16.18122
2022-12-01,15.79288
2022-12-02,15.72815
2022-12-03,9.06148
2022-12-04,8.73786
2022-12-05,18.31715
2022-12-06,17.1521
2022-12-07,20.38834
2022-12-08,24.66019
2022-12-09,20.12944
2022-12-10,14.36893
2022-12-11,13.72168
2022-12-12,21.29449
2022-12-13,25.30744
2022-12-14,19.67637
2022-12-15,17.411
2022-12-16,19.15857
2022-12-17,11.52103
2022-12-18,17.9288
2022-12-19,22.78317
2022-12-20,26.86084
2022-12-21,24.53074
2022-12-22,23.04207
2022-12-23,24.33656
2022-12-24,16.6343
2022-12-25,15.01618
2022-12-26,22.07119
2022-12-27,22.00647
2022-12-28,24.85436
2022-12-29,21.61812
2022-12-30,19.28802
2022-12-31,14.822
2023-01-01,15.0809
2023-01-02,21.16504
2023-01-03,21.29449
2023-01-04,22.71844
2023-01-05,20.25889
2023-01-06,21.42394
2023-01-07,16.18122
2023-01-08,18.64077
2023-01-09,22.65372
2023-01-10,26.21359
2023-01-11,24.40129
2023-01-12,21.10032
2023-01-13,24.72491
2023-01-14,16.69902
2023-01-15,14.0453
2023-01-16,17.54045
2023-01-17,21.10032
2023-01-18,21.22977
2023-01-19,20.06472
2023-01-20,21.16504
2023-01-21,14.62783
2023-01-22,13.2686
2023-01-23,17.6699
2023-01-24,26.66666
2023-01-25,33.33333
2023-01-26,25.04854
2023-01-27,25.63106
2023-01-28,19.4822
2023-01-29,19.61165
2023-01-30,26.34304
2023-01-31,25.95469
2023-02-01,26.86084
2023-02-02,34.88673
2023-02-03,30.55016
2023-02-04,15.40453
2023-02-05,18.25242
2023-02-06,22.58899
2023-02-07,28.99676
2023-02-08,26.47249
2023-02-09,28.60841
2023-02-10,26.99029
2023-02-11,20.77669
2023-02-12,18.89967
2023-02-13,24.85436
2023-02-14,27.11974
2023-02-15,28.34951
2023-02-16,31.00323
2023-02-17,23.10679
2023-02-18,20.32362
2023-02-19,23.49514
2023-02-20,28.47896
2023-02-21,25.88996
2023-02-22,28.67313
2023-02-23,28.54368
2023-02-24,27.44336
2023-02-25,19.87055
2023-02-26,17.411
2023-02-27,21.81229
2023-02-28,23.17152
2023-03-01,21.94174
2023-03-02,28.28478
2023-03-03,23.49514
2023-03-04,19.4822
2023-03-05,23.10679
2023-03-06,24.91909
2023-03-07,20.97087
2023-03-08,24.07766
2023-03-09,19.02912
2023-03-10,21.22977
2023-03-11,14.95145
2023-03-12,19.80582
2023-03-13,22.58899
2023-03-14,22.71844
2023-03-15,17.28155
2023-03-16,19.61165
2023-03-17,19.4822
2023-03-18,17.08737
2023-03-19,17.99352
2023-03-20,26.79611
2023-03-21,27.63754
2023-03-22,29.77346
2023-03-23,29.83818
2023-03-24,24.98381
2023-03-25,17.28155
2023-03-26,19.61165
2023-03-27,25.50161
2023-03-28,21.68284
2023-03-29,17.411
2023-03-30,20.51779
2023-03-31,20.97087
2023-04-01,17.34627
2023-04-02,14.95145
2023-04-03,22.97734
2023-04-04,25.43689
2023-04-05,24.33656
2023-04-06,21.94174
2023-04-07,20.25889
2023-04-08,14.75728
2023-04-09,17.21682
2023-04-10,27.50809
2023-04-11,31.39158
2023-04-12,24.66019
2023-04-13,22.65372
2023-04-14,27.44336
2023-04-15,19.7411
2023-04-16,21.03559
2023-04-17,29.19093
2023-04-18,30.03236
2023-04-19,26.01941
2023-04-20,26.08414
2023-04-21,22.39482
2023-04-22,16.1165
2023-04-23,15.14563
2023-04-24,20.38834
2023-04-25,25.63106
2023-04-26,22.33009
2023-04-27,21.74757
2023-04-28,20.45307
2023-04-29,15.46925
2023-04-30,13.46278
2023-05-01,15.5987
2023-05-02,26.73139
2023-05-03,25.69579
2023-05-04,21.22977
2023-05-05,20.12944
2023-05-06,16.8932
2023-05-07,16.6343
2023-05-08,22.52427
2023-05-09,20.25889
2023-05-10,19.87055
2023-05-11,21.42394
2023-05-12,17.79935
2023-05-13,11.90938
2023-05-14,14.3042
2023-05-15,17.60517
2023-05-16,16.95792
2023-05-17,18.4466
2023-05-18,19.54692
2023-05-19,24.91909
2023-05-20,14.3042
2023-05-21,17.1521
2023-05-22,25.04854
2023-05-23,26.53721
2023-05-24,21.42394
2023-05-25,24.27184
2023-05-26,22.26537
2023-05-27,19.02912
2023-05-28,16.24595
2023-05-29,19.87055
