date,SQQQ
2021-08-19,16.28704
2021-08-20,7.91084
2021-08-21,4.04114
2021-08-22,1.64095
2021-08-23,4.31055
2021-08-24,7.88635
2021-08-25,5.46167
2021-08-26,6.68626
2021-08-27,6.8577
2021-08-28,3.60029
2021-08-29,1.88586
2021-08-30,4.80039
2021-08-31,10.4335
2021-09-01,6.44134
2021-09-02,6.61278
2021-09-03,7.7394
2021-09-04,3.77173
2021-09-05,2.49816
2021-09-06,3.47783
2021-09-07,4.82488
2021-09-08,8.22924
2021-09-09,8.37619
2021-09-10,5.31471
2021-09-11,8.9395
2021-09-12,2.84104
2021-09-13,6.44134
2021-09-14,6.66176
2021-09-15,6.31888
2021-09-16,5.48616
2021-09-17,4.99632
2021-09-18,4.48199
2021-09-19,1.88586
2021-09-20,16.31153
2021-09-21,21.23438
2021-09-22,9.47832
2021-09-23,8.57212
2021-09-24,9.15993
2021-09-25,5.73108
2021-09-26,3.06147
2021-09-27,4.72691
2021-09-28,12.41734
2021-09-29,19.25055
2021-09-30,11.95199
2021-10-01,14.40117
2021-10-02,7.37203
2021-10-03,3.35537
2021-10-04,7.86186
2021-10-05,19.22605
2021-10-06,17.85451
2021-10-07,10.84986
2021-10-08,7.54347
2021-10-09,4.53098
2021-10-10,2.76757
2021-10-11,4.09012
2021-10-12,8.98848
2021-10-13,8.13127
2021-10-14,5.26573
2021-10-15,5.97599
2021-10-16,4.04114
2021-10-17,2.10629
2021-10-18,4.09012
2021-10-19,6.07396
2021-10-20,6.39235
2021-10-21,5.97599
2021-10-22,5.11878
2021-10-23,4.1636
2021-10-24,2.47367
2021-10-25,2.81655
2021-10-26,7.29855
2021-10-27,6.93117
2021-10-28,6.71075
2021-10-29,8.30271
2021-10-30,5.58412
2021-10-31,3.84521
2021-11-01,7.17609
2021-11-02,11.51114
2021-11-03,10.70291
2021-11-04,11.78055
2021-11-05,16.16458
2021-11-06,9.18442
2021-11-07,5.26573
2021-11-08,8.74357
2021-11-09,12.58878
2021-11-10,19.42199
2021-11-11,15.30737
2021-11-12,7.17609
2021-11-13,5.9515
2021-11-14,4.23708
2021-11-15,5.38819
2021-11-16,7.24957
2021-11-17,6.44134
2021-11-18,7.39652
2021-11-19,9.08645
2021-11-20,6.19642
2021-11-21,3.40435
2021-11-22,5.33921
2021-11-23,10.06612
2021-11-24,10.01714
2021-11-25,7.93534
2021-11-26,10.77638
2021-11-27,13.39701
2021-11-28,5.51065
2021-11-29,7.1516
2021-11-30,10.87435
2021-12-01,11.14376
2021-12-02,11.87852
2021-12-03,6.51481
2021-12-04,13.1276
2021-12-05,4.65344
2021-12-06,7.56796
2021-12-07,9.8212
2021-12-08,12.19691
2021-12-09,8.3517
2021-12-10,9.18442
2021-12-11,5.60862
2021-12-12,2.44917
2021-12-13,4.70242
2021-12-14,12.5153
2021-12-15,11.9275
2021-12-16,11.0213
2021-12-17,11.38868
2021-12-18,6.46583
2021-12-19,2.84104
2021-12-20,9.89468
2021-12-21,9.94366
2021-12-22,6.04947
2021-12-23,5.60862
2021-12-24,5.97599
2021-12-25,2.32672
2021-12-26,2.6696
2021-12-27,5.0698
2021-12-28,10.11511
2021-12-29,7.29855
2021-12-30,6.5638
2021-12-31,5.31471
2022-01-01,3.72275
2022-01-02,2.27773
2022-01-03,2.62062
2022-01-04,6.19642
2022-01-05,8.13127
2022-01-06,20.13225
2022-01-07,10.65393
2022-01-08,10.26206
2022-01-09,5.16776
2022-01-10,14.08278
2022-01-11,22.16507
2022-01-12,15.94415
2022-01-13,23.43864
2022-01-14,38.47661
2022-01-15,9.87019
2022-01-16,3.13494
2022-01-17,5.78006
2022-01-18,11.9275
2022-01-19,17.63409
2022-01-20,16.82586
2022-01-21,33.7252
2022-01-22,42.76267
2022-01-23,17.97697
2022-01-24,57.38427
2022-01-25,82.3659
2022-01-26,47.95493
2022-01-27,40.72985
2022-01-28,30.85966
2022-01-29,19.05461
2022-01-30,6.44134
2022-01-31,9.69875
2022-02-01,23.09576
2022-02-02,21.08743
2022-02-03,27.1369
2022-02-04,25.61841
2022-02-05,12.93166
2022-02-06,7.49448
2022-02-07,9.42934
2022-02-08,13.59294
2022-02-09,13.10311
2022-02-10,22.50795
2022-02-11,24.83468
2022-02-12,27.08792
2022-02-13,10.99681
2022-02-14,22.21405
2022-02-15,20.91599
2022-02-16,15.38084
2022-02-17,14.45015
2022-02-18,20.37717
2022-02-19,17.31569
2022-02-20,10.23757
2022-02-21,11.51114
2022-02-22,28.41048
2022-02-23,23.31618
2022-02-24,100.0
2022-02-25,42.00342
2022-02-26,15.33186
2022-02-27,5.14327
2022-02-28,10.50698
2022-03-01,13.47048
2022-03-02,14.20524
2022-03-03,10.89884
2022-03-04,15.03796
2022-03-05,10.58045
2022-03-06,5.60862
2022-03-07,10.97232
2022-03-08,26.42664
2022-03-09,17.02179
2022-03-10,14.74406
2022-03-11,12.8337
2022-03-12,13.39701
2022-03-13,6.73524
2022-03-14,12.76022
2022-03-15,27.96963
2022-03-16,20.5731
2022-03-17,26.08376
2022-03-18,21.03845
2022-03-19,18.39333
2022-03-20,8.81704
2022-03-21,16.31153
2022-03-22,20.15674
2022-03-23,25.91231
2022-03-24,16.89933
2022-03-25,18.41783
2022-03-26,9.5518
2022-03-27,8.00881
2022-03-28,11.07029
2022-03-29,22.11609
2022-03-30,27.08792
2022-03-31,20.81802
2022-04-01,17.80553
2022-04-02,11.26622
2022-04-03,6.49032
2022-04-04,8.71907
2022-04-05,18.00146
2022-04-06,23.83051
2022-04-07,22.361
2022-04-08,15.45432
