date,만도주가
2021-04-16,31.78694
2021-04-17,4.00017
2021-04-18,3.34587
2021-04-19,30.4127
2021-04-20,29.36452
2021-04-21,28.9006
2021-04-22,29.78686
2021-04-23,28.70366
2021-04-24,4.07238
2021-04-25,3.26272
2021-04-26,34.86585
2021-04-27,32.80668
2021-04-28,30.21357
2021-04-29,33.25747
2021-04-30,31.86572
2021-05-01,4.7223
2021-05-02,3.6216
2021-05-03,53.359
2021-05-04,42.43949
2021-05-05,5.7114
2021-05-06,34.97089
2021-05-07,30.83504
2021-05-08,3.08328
2021-05-09,3.08766
2021-05-10,42.33883
2021-05-11,32.09987
2021-05-12,39.74572
2021-05-13,36.80905
2021-05-14,35.93811
2021-05-15,4.30872
2021-05-16,4.0505
2021-05-17,32.64913
2021-05-18,34.71267
2021-05-19,4.96082
2021-05-20,51.61932
2021-05-21,40.62541
2021-05-22,3.79666
2021-05-23,3.15331
2021-05-24,29.6665
2021-05-25,29.97943
2021-05-26,27.72112
2021-05-27,27.15217
2021-05-28,41.22937
2021-05-29,4.14678
2021-05-30,3.42465
2021-05-31,41.85084
2021-06-01,39.48531
2021-06-02,35.96437
2021-06-03,33.92052
2021-06-04,50.00218
2021-06-05,6.39634
2021-06-06,4.91487
2021-06-07,58.2148
2021-06-08,50.89281
2021-06-09,64.5061
2021-06-10,100.0
2021-06-11,70.73613
2021-06-12,8.42925
2021-06-13,6.17532
2021-06-14,46.30837
2021-06-15,47.05019
2021-06-16,41.92962
2021-06-17,36.06503
2021-06-18,40.61446
2021-06-19,4.22119
2021-06-20,3.3218
2021-06-21,35.50045
2021-06-22,40.89894
2021-06-23,37.42833
2021-06-24,39.22709
2021-06-25,34.71705
2021-06-26,3.97391
2021-06-27,3.96297
2021-06-28,32.66444
2021-06-29,30.07133
2021-06-30,28.68178
2021-07-01,28.16534
2021-07-02,26.66418
2021-07-03,2.77911
2021-07-04,2.38522
2021-07-05,27.44759
2021-07-06,26.10617
2021-07-07,25.88734
2021-07-08,26.17182
2021-07-09,26.53507
2021-07-10,3.16425
2021-07-11,2.19703
2021-07-12,27.27034
2021-07-13,26.60291
2021-07-14,26.06459
2021-07-15,32.14582
2021-07-16,23.85881
2021-07-17,2.44212
2021-07-18,2.21672
2021-07-19,23.02945
2021-07-20,25.49345
2021-07-21,26.21558
2021-07-22,25.28775
2021-07-23,21.18473
2021-07-24,2.22985
2021-07-25,1.98039
2021-07-26,19.33126
2021-07-27,19.67919
2021-07-28,18.69228
2021-07-29,20.75364
2021-07-30,18.33121
2021-07-31,2.09856
2021-08-01,1.6981
2021-08-02,28.72992
2021-08-03,28.7146
2021-08-04,27.53074
2021-08-05,24.35555
2021-08-06,23.37301
2021-08-07,2.61499
2021-08-08,2.4071
2021-08-09,22.88283
2021-08-10,20.61797
2021-08-11,19.81049
2021-08-12,27.98371
2021-08-13,26.04271
2021-08-14,2.48807
2021-08-15,1.60182
2021-08-16,3.30867
2021-08-17,20.93089
2021-08-18,20.49542
2021-08-19,23.64654
2021-08-20,24.32929
2021-08-21,2.96074
2021-08-22,1.96069
2021-08-23,24.94201
2021-08-24,28.34478
2021-08-25,24.61814
2021-08-26,21.7121
2021-08-27,19.44067
2021-08-28,1.74405
2021-08-29,1.46614
2021-08-30,22.18915
2021-08-31,21.27664
2021-09-01,23.65311
2021-09-02,18.60694
2021-09-03,19.04897
2021-09-04,1.66528
2021-09-05,1.34141
2021-09-06,20.9856
2021-09-07,21.35323
2021-09-08,19.68576
2021-09-09,18.11676
2021-09-10,17.89793
2021-09-11,1.47052
2021-09-12,1.11164
2021-09-13,16.88038
2021-09-14,18.968
2021-09-15,16.4471
2021-09-16,15.13414
2021-09-17,15.08599
2021-09-18,1.27795
2021-09-19,1.05912
2021-09-20,0.88406
2021-09-21,1.22543
2021-09-22,1.36548
2021-09-23,16.68125
2021-09-24,17.3071
2021-09-25,2.04604
2021-09-26,2.28675
2021-09-27,20.27659
2021-09-28,18.89798
2021-09-29,20.62015
2021-09-30,19.46693
2021-10-01,18.56755
2021-10-02,2.14889
2021-10-03,1.67622
2021-10-04,3.05921
2021-10-05,20.34443
2021-10-06,18.08175
2021-10-07,19.80174
2021-10-08,25.41249
2021-10-09,3.2299
2021-10-10,2.29112
2021-10-11,3.15768
2021-10-12,23.66624
2021-10-13,37.45459
2021-10-14,34.06932
2021-10-15,26.05146
2021-10-16,2.58654
2021-10-17,2.10293
2021-10-18,24.4956
2021-10-19,22.82813
2021-10-20,20.84992
2021-10-21,23.09947
2021-10-22,18.54566
2021-10-23,1.51647
2021-10-24,1.39174
2021-10-25,20.37069
2021-10-26,21.79964
2021-10-27,25.36434
2021-10-28,22.73403
2021-10-29,20.72957
2021-10-30,1.89505
2021-10-31,1.51866
2021-11-01,22.4408
2021-11-02,23.22202
2021-11-03,18.88266
2021-11-04,23.30736
2021-11-05,23.46054
2021-11-06,2.3524
2021-11-07,2.58216
2021-11-08,28.87653
2021-11-09,24.41463
2021-11-10,24.1214
