date,카드사
2021-08-26,11.44321
2021-08-27,10.41844
2021-08-28,4.78223
2021-08-29,4.86763
2021-08-30,19.04355
2021-08-31,14.4321
2021-09-01,13.91972
2021-09-02,15.02988
2021-09-03,12.46797
2021-09-04,6.91716
2021-09-05,13.49274
2021-09-06,84.79931
2021-09-07,32.36549
2021-09-08,27.41246
2021-09-09,20.66609
2021-09-10,19.38514
2021-09-11,10.24765
2021-09-12,7.68573
2021-09-13,15.62766
2021-09-14,13.15115
2021-09-15,12.72416
2021-09-16,11.5286
2021-09-17,10.41844
2021-09-18,3.84286
2021-09-19,4.52604
2021-09-20,2.98889
2021-09-21,3.15969
2021-09-22,4.86763
2021-09-23,11.614
2021-09-24,10.33304
2021-09-25,6.40478
2021-09-26,5.20922
2021-09-27,15.11528
2021-09-28,12.29718
2021-09-29,13.32194
2021-09-30,15.79846
2021-10-01,21.77625
2021-10-02,7.08795
2021-10-03,6.49017
2021-10-04,8.36891
2021-10-05,12.55337
2021-10-06,12.98035
2021-10-07,12.55337
2021-10-08,11.614
2021-10-09,4.78223
2021-10-10,5.38001
2021-10-11,5.807
2021-10-12,11.27241
2021-10-13,12.21178
2021-10-14,11.44321
2021-10-15,13.49274
2021-10-16,4.86763
2021-10-17,3.75747
2021-10-18,10.50384
2021-10-19,11.614
2021-10-20,10.76003
2021-10-21,12.21178
2021-10-22,9.99146
2021-10-23,3.92826
2021-10-24,5.20922
2021-10-25,20.15371
2021-10-26,11.27241
2021-10-27,11.35781
2021-10-28,12.12638
2021-10-29,10.24765
2021-10-30,4.69684
2021-10-31,4.35525
2021-11-01,10.24765
2021-11-02,10.84543
2021-11-03,9.99146
2021-11-04,12.04099
2021-11-05,10.93082
2021-11-06,5.29461
2021-11-07,4.52604
2021-11-08,15.79846
2021-11-09,14.77369
2021-11-10,16.39624
2021-11-11,10.67463
2021-11-12,11.5286
2021-11-13,4.69684
2021-11-14,5.29461
2021-11-15,14.09052
2021-11-16,12.55337
2021-11-17,15.71306
2021-11-18,18.44577
2021-11-19,11.95559
2021-11-20,4.95303
2021-11-21,4.18445
2021-11-22,10.50384
2021-11-23,10.07685
2021-11-24,10.41844
2021-11-25,10.76003
2021-11-26,11.01622
2021-11-27,4.35525
2021-11-28,4.35525
2021-11-29,12.55337
2021-11-30,12.12638
2021-12-01,11.87019
2021-12-02,16.14005
2021-12-03,9.30828
2021-12-04,6.14859
2021-12-05,3.67207
2021-12-06,11.95559
2021-12-07,13.23654
2021-12-08,12.38257
2021-12-09,10.50384
2021-12-10,9.30828
2021-12-11,5.12382
2021-12-12,3.84286
2021-12-13,12.38257
