date,법인
2021-07-19,25.1152
2021-07-20,27.13133
2021-07-21,28.74423
2021-07-22,26.6129
2021-07-23,22.40783
2021-07-24,14.40092
2021-07-25,13.36405
2021-07-26,24.71198
2021-07-27,28.80184
2021-07-28,25.23041
2021-07-29,26.78571
2021-07-30,21.71658
2021-07-31,14.45852
2021-08-01,15.09216
2021-08-02,23.79032
2021-08-03,25.80645
2021-08-04,23.90552
2021-08-05,21.947
2021-08-06,21.14055
2021-08-07,14.74654
2021-08-08,13.94009
2021-08-09,24.88479
2021-08-10,40.20737
2021-08-11,36.46313
2021-08-12,32.25806
2021-08-13,28.39861
2021-08-14,16.58986
2021-08-15,14.63133
2021-08-16,17.79953
2021-08-17,27.88018
2021-08-18,28.51382
2021-08-19,29.55069
2021-08-20,25.80645
2021-08-21,14.51612
2021-08-22,17.56912
2021-08-23,28.1682
2021-08-24,34.73502
2021-08-25,28.51382
2021-08-26,30.06912
2021-08-27,26.90092
2021-08-28,16.93548
2021-08-29,17.16589
2021-08-30,30.35714
2021-08-31,27.64976
2021-09-01,31.22119
2021-09-02,29.03225
2021-09-03,27.82258
2021-09-04,17.51152
2021-09-05,18.14516
2021-09-06,31.16359
2021-09-07,32.8917
2021-09-08,32.02764
2021-09-09,30.87557
2021-09-10,30.12672
2021-09-11,19.12442
2021-09-12,18.20276
2021-09-13,27.30414
2021-09-14,29.32027
2021-09-15,31.3364
2021-09-16,30.24193
2021-09-17,24.30875
2021-09-18,17.10829
2021-09-19,15.95622
2021-09-20,15.14976
2021-09-21,14.05529
2021-09-22,16.30184
2021-09-23,29.89631
2021-09-24,28.74423
2021-09-25,23.38709
2021-09-26,22.98387
2021-09-27,36.23271
2021-09-28,35.59907
2021-09-29,33.41013
2021-09-30,34.04377
2021-10-01,29.03225
2021-10-02,21.08294
2021-10-03,24.94239
2021-10-04,26.20967
2021-10-05,33.92857
2021-10-06,31.62442
2021-10-07,32.9493
2021-10-08,30.06912
2021-10-09,20.50691
2021-10-10,20.21889
2021-10-11,25.28801
2021-10-12,33.92857
2021-10-13,33.00691
2021-10-14,34.27419
2021-10-15,29.95391
2021-10-16,19.87327
2021-10-17,21.60138
2021-10-18,32.14285
2021-10-19,33.41013
2021-10-20,33.58294
2021-10-21,35.19585
2021-10-22,31.79723
2021-10-23,19.70046
2021-10-24,21.947
2021-10-25,29.43548
2021-10-26,30.52995
2021-10-27,27.59216
2021-10-28,30.47235
2021-10-29,27.18894
2021-10-30,16.64746
2021-10-31,15.89861
2021-11-01,27.18894
2021-11-02,100.0
2021-11-03,52.36175
2021-11-04,37.38479
2021-11-05,29.89631
2021-11-06,19.00921
2021-11-07,17.39631
2021-11-08,31.3364
2021-11-09,32.48847
2021-11-10,31.10599
2021-11-11,31.56682
2021-11-12,24.25115
2021-11-13,15.43778
2021-11-14,18.26036
2021-11-15,27.70737
