date,코인거래소
2022-04-10,3.30396
2022-04-11,5.17621
2022-04-12,5.21292
2022-04-13,4.79074
2022-04-14,5.5066
2022-04-15,4.6439
2022-04-16,3.12041
2022-04-17,3.54258
2022-04-18,4.91923
2022-04-19,5.01101
2022-04-20,4.95594
2022-04-21,5.59838
2022-04-22,5.15785
2022-04-23,3.24889
2022-04-24,3.12041
2022-04-25,4.22173
2022-04-26,5.32305
2022-04-27,6.5345
2022-04-28,5.89207
2022-04-29,4.69897
2022-04-30,3.32232
2022-05-01,3.48751
2022-05-02,5.69016
2022-05-03,5.06607
2022-05-04,4.12995
2022-05-05,3.52422
2022-05-06,4.86417
2022-05-07,3.52422
2022-05-08,3.74449
2022-05-09,5.23127
2022-05-10,5.89207
2022-05-11,9.10425
2022-05-12,20.24596
2022-05-13,35.68281
2022-05-14,16.42804
2022-05-15,11.08663
2022-05-16,13.17914
2022-05-17,12.64684
2022-05-18,11.21512
2022-05-19,10.18722
2022-05-20,8.82892
2022-05-21,5.37812
2022-05-22,4.91923
2022-05-23,6.24082
2022-05-24,6.66299
2022-05-25,5.3414
2022-05-26,6.40602
2022-05-27,6.68135
2022-05-28,4.6439
2022-05-29,4.36857
2022-05-30,6.44273
2022-05-31,6.60792
2022-06-01,4.27679
2022-06-02,4.71732
2022-06-03,4.84581
2022-06-04,3.37738
2022-06-05,3.46916
2022-06-06,3.87298
2022-06-07,4.84581
2022-06-08,5.61674
2022-06-09,5.23127
2022-06-10,4.84581
2022-06-11,3.43245
2022-06-12,5.15785
2022-06-13,7.59911
2022-06-14,8.31497
2022-06-15,6.27753
2022-06-16,5.32305
2022-06-17,5.837
2022-06-18,4.1116
2022-06-19,5.65345
2022-06-20,5.61674
2022-06-21,4.79074
2022-06-22,5.21292
2022-06-23,4.73568
2022-06-24,4.16666
2022-06-25,2.80837
2022-06-26,2.60646
2022-06-27,3.90969
2022-06-28,4.57048
2022-06-29,5.58002
2022-06-30,4.99265
2022-07-01,5.6718
2022-07-02,2.60646
2022-07-03,2.62481
2022-07-04,4.16666
2022-07-05,4.09324
2022-07-06,4.53377
2022-07-07,3.96475
2022-07-08,3.41409
2022-07-09,2.97356
2022-07-10,2.69823
2022-07-11,3.76284
2022-07-12,3.92804
2022-07-13,3.85462
2022-07-14,4.01982
2022-07-15,3.70778
2022-07-16,4.33186
2022-07-17,2.12922
2022-07-18,4.01982
2022-07-19,5.08443
2022-07-20,6.0022
2022-07-21,7.41556
2022-07-22,4.29515
2022-07-23,3.13876
