date,채권매입
2021-05-01,5.81395
2021-05-02,3.48837
2021-05-03,14.53488
2021-05-04,13.08139
2021-05-05,5.52325
2021-05-06,10.17441
2021-05-07,10.17441
2021-05-08,4.65116
2021-05-09,6.68604
2021-05-10,11.6279
2021-05-11,9.88372
2021-05-12,16.86046
2021-05-13,15.11627
2021-05-14,12.5
2021-05-15,8.43023
2021-05-16,10.46511
2021-05-17,18.02325
2021-05-18,14.24418
2021-05-19,6.39534
2021-05-20,21.80232
2021-05-21,21.80232
2021-05-22,9.30232
2021-05-23,3.48837
2021-05-24,12.2093
2021-05-25,12.2093
2021-05-26,15.69767
2021-05-27,20.93023
2021-05-28,15.11627
2021-05-29,2.32558
2021-05-30,6.39534
2021-05-31,13.95348
2021-06-01,12.79069
2021-06-02,13.08139
2021-06-03,23.8372
2021-06-04,13.95348
2021-06-05,5.81395
2021-06-06,5.23255
2021-06-07,15.98837
2021-06-08,20.34883
2021-06-09,14.24418
2021-06-10,14.53488
2021-06-11,13.95348
2021-06-12,4.36046
2021-06-13,3.48837
2021-06-14,9.88372
2021-06-15,16.56976
2021-06-16,14.53488
2021-06-17,20.63953
2021-06-18,14.82558
2021-06-19,5.81395
2021-06-20,4.06976
2021-06-21,9.30232
2021-06-22,14.82558
2021-06-23,13.37209
2021-06-24,15.69767
2021-06-25,11.3372
2021-06-26,6.68604
2021-06-27,5.81395
2021-06-28,12.79069
2021-06-29,15.40697
2021-06-30,16.86046
2021-07-01,11.3372
2021-07-02,9.30232
2021-07-03,6.10465
2021-07-04,2.32558
2021-07-05,15.69767
2021-07-06,13.95348
2021-07-07,16.56976
2021-07-08,19.76744
2021-07-09,12.5
2021-07-10,6.39534
2021-07-11,3.77906
2021-07-12,10.75581
2021-07-13,9.88372
2021-07-14,13.66279
2021-07-15,15.69767
2021-07-16,9.01162
2021-07-17,2.61627
2021-07-18,2.32558
2021-07-19,12.5
2021-07-20,15.40697
2021-07-21,9.30232
2021-07-22,9.88372
2021-07-23,11.6279
2021-07-24,2.03488
2021-07-25,4.94186
2021-07-26,7.26744
2021-07-27,14.24418
2021-07-28,12.79069
2021-07-29,15.98837
2021-07-30,14.82558
2021-07-31,6.39534
2021-08-01,5.52325
2021-08-02,10.46511
2021-08-03,11.3372
2021-08-04,16.56976
2021-08-05,9.01162
2021-08-06,12.79069
2021-08-07,7.55813
2021-08-08,5.52325
2021-08-09,15.11627
2021-08-10,14.24418
2021-08-11,14.82558
2021-08-12,12.5
2021-08-13,11.6279
2021-08-14,5.23255
2021-08-15,3.77906
2021-08-16,7.55813
2021-08-17,20.63953
2021-08-18,21.22093
2021-08-19,35.75581
2021-08-20,26.16279
2021-08-21,9.59302
2021-08-22,7.26744
2021-08-23,11.9186
2021-08-24,15.69767
2021-08-25,17.15116
2021-08-26,13.66279
2021-08-27,11.9186
2021-08-28,18.31395
2021-08-29,8.13953
2021-08-30,13.95348
2021-08-31,13.37209
2021-09-01,14.82558
2021-09-02,12.2093
2021-09-03,11.04651
2021-09-04,5.23255
2021-09-05,6.10465
2021-09-06,13.37209
2021-09-07,11.9186
2021-09-08,11.6279
2021-09-09,27.90697
2021-09-10,18.60465
2021-09-11,10.17441
2021-09-12,8.72093
2021-09-13,16.86046
2021-09-14,16.56976
2021-09-15,11.9186
2021-09-16,15.40697
2021-09-17,11.9186
2021-09-18,3.48837
2021-09-19,7.55813
2021-09-20,2.61627
2021-09-21,3.48837
2021-09-22,6.68604
2021-09-23,24.7093
2021-09-24,19.47674
