date,국제금값
2021-06-25,7.96403
2021-06-26,3.32691
2021-06-27,1.34874
2021-06-28,5.75465
2021-06-29,7.37315
2021-06-30,8.64482
2021-07-01,8.25947
2021-07-02,7.51445
2021-07-03,3.90494
2021-07-04,1.51573
2021-07-05,6.4226
2021-07-06,9.08156
2021-07-07,10.07064
2021-07-08,11.00834
2021-07-09,10.03211
2021-07-10,4.63712
2021-07-11,1.72125
2021-07-12,7.20616
2021-07-13,9.19717
2021-07-14,10.08349
2021-07-15,11.70199
2021-07-16,10.28901
2021-07-17,4.18754
2021-07-18,1.64418
2021-07-19,8.73474
2021-07-20,10.09633
2021-07-21,9.06872
2021-07-22,8.37508
2021-07-23,7.82273
2021-07-24,2.83879
2021-07-25,1.11753
2021-07-26,5.8831
2021-07-27,8.50353
2021-07-28,7.77135
2021-07-29,9.18432
2021-07-30,9.2614
2021-07-31,3.50674
2021-08-01,1.24598
2021-08-02,6.0244
2021-08-03,7.7585
2021-08-04,7.7585
2021-08-05,7.6429
2021-08-06,7.5016
2021-08-07,4.43159
2021-08-08,1.51573
2021-08-09,11.05973
2021-08-10,10.93127
2021-08-11,9.94219
2021-08-12,10.36608
2021-08-13,9.40269
2021-08-14,4.49582
2021-08-15,1.83686
2021-08-16,7.01348
2021-08-17,12.04881
2021-08-18,9.62106
2021-08-19,9.96788
2021-08-20,8.77328
2021-08-21,3.72511
2021-08-22,1.42581
2021-08-23,6.7052
2021-08-24,9.41554
2021-08-25,7.7585
2021-08-26,8.34938
2021-08-27,8.298
2021-08-28,4.36737
2021-08-29,1.79833
2021-08-30,8.10533
2021-08-31,8.38792
2021-09-01,7.07771
2021-09-02,7.01348
2021-09-03,6.26846
2021-09-04,3.90494
2021-09-05,1.37443
2021-09-06,5.78034
2021-09-07,6.88503
2021-09-08,7.19332
2021-09-09,6.62813
2021-09-10,6.71804
2021-09-11,2.85163
2021-09-12,0.9377
2021-09-13,5.83172
2021-09-14,6.22992
2021-09-15,6.47398
2021-09-16,6.06294
2021-09-17,7.23185
2021-09-18,3.37829
2021-09-19,1.47719
2021-09-20,3.87925
2021-09-21,6.74373
2021-09-22,7.05202
2021-09-23,7.42453
2021-09-24,6.85934
2021-09-25,3.91779
2021-09-26,1.50289
2021-09-27,5.7675
2021-09-28,6.33269
2021-09-29,7.37315
2021-09-30,8.46499
2021-10-01,8.16955
2021-10-02,3.82787
2021-10-03,1.4515
2021-10-04,5.43352
2021-10-05,7.96403
2021-10-06,7.09055
2021-10-07,7.71997
2021-10-08,6.62813
2021-10-09,3.59666
2021-10-10,1.70841
2021-10-11,4.72703
2021-10-12,7.2447
2021-10-13,8.15671
2021-10-14,10.30186
2021-10-15,8.77328
2021-10-16,4.21323
2021-10-17,1.55427
2021-10-18,5.15093
2021-10-19,6.61528
2021-10-20,6.52536
2021-10-21,7.09055
2021-10-22,6.73089
2021-10-23,3.66088
2021-10-24,1.65703
2021-10-25,6.98779
2021-10-26,8.78612
2021-10-27,6.88503
2021-10-28,7.80989
2021-10-29,7.45022
2021-10-30,2.87732
2021-10-31,1.25883
2021-11-01,6.1657
2021-11-02,6.85934
2021-11-03,6.19139
2021-11-04,8.40077
2021-11-05,8.07964
2021-11-06,4.56005
2021-11-07,1.78548
2021-11-08,8.13102
2021-11-09,10.28901
2021-11-10,10.1991
2021-11-11,13.87283
2021-11-12,12.06165
2021-11-13,5.63904
2021-11-14,1.97816
2021-11-15,8.65767
2021-11-16,11.47077
2021-11-17,10.8542
2021-11-18,10.9955
2021-11-19,8.90173
2021-11-20,4.58574
2021-11-21,1.41297
2021-11-22,6.87219
2021-11-23,10.66152
2021-11-24,10.34039
2021-11-25,8.298
2021-11-26,9.05587
2021-11-27,5.30507
2021-11-28,2.37636
2021-11-29,8.68336
2021-11-30,9.04303
2021-12-01,9.27424
2021-12-02,8.91457
2021-12-03,7.38599
2021-12-04,4.85549
2021-12-05,2.11946
2021-12-06,6.44829
2021-12-07,8.64482
2021-12-08,8.00256
2021-12-09,7.32177
2021-12-10,6.83365
2021-12-11,3.69942
2021-12-12,1.01477
2021-12-13,5.66473
2021-12-14,7.70712
2021-12-15,7.29608
2021-12-16,8.13102
2021-12-17,10.54592
2021-12-18,4.52151
2021-12-19,1.41297
2021-12-20,6.88503
2021-12-21,7.57867
2021-12-22,6.47398
2021-12-23,7.39884
2021-12-24,7.1034
2021-12-25,2.28644
2021-12-26,1.49004
2021-12-27,5.60051
2021-12-28,7.98972
2021-12-29,7.11624
2021-12-30,6.58959
2021-12-31,7.82273
2022-01-01,4.16184
2022-01-02,2.19653
2022-01-03,8.33654
2022-01-04,9.9165
2022-01-05,9.28709
2022-01-06,10.95696
2022-01-07,9.89081
2022-01-08,4.35452
2022-01-09,1.74694
2022-01-10,6.71804
2022-01-11,9.53114
2022-01-12,10.7129
2022-01-13,9.54399
2022-01-14,8.77328
2022-01-15,3.57096
2022-01-16,1.1946
2022-01-17,7.52729
2022-01-18,9.36416
2022-01-19,9.15863
2022-01-20,12.92228
2022-01-21,11.56069
2022-01-22,5.20231
2022-01-23,1.92678
2022-01-24,10.36608
2022-01-25,14.6307
2022-01-26,14.605
2022-01-27,13.85998
2022-01-28,11.94605
2022-01-29,5.12524
2022-01-30,1.78548
2022-01-31,4.50867
2022-02-01,7.61721
2022-02-02,9.15863
2022-02-03,9.59537
2022-02-04,9.00449
2022-02-05,4.9454
2022-02-06,2.04238
2022-02-07,7.88696
2022-02-08,11.03403
2022-02-09,10.66152
2022-02-10,11.09826
2022-02-11,10.09633
2022-02-12,7.41168
2022-02-13,2.90301
2022-02-14,13.62877
2022-02-15,22.23506
2022-02-16,16.24919
2022-02-17,21.42581
2022-02-18,22.24791
2022-02-19,9.29993
2022-02-20,3.80218
2022-02-21,16.09505
2022-02-22,22.51766
2022-02-23,20.20552
2022-02-24,36.91714
2022-02-25,30.70006
2022-02-26,10.40462
2022-02-27,4.38021
2022-02-28,19.12652
2022-03-01,21.63134
2022-03-02,28.40077
2022-03-03,23.33975
2022-03-04,26.20423
2022-03-05,14.12973
2022-03-06,5.72896
2022-03-07,30.77713
2022-03-08,34.23249
2022-03-09,30.37893
2022-03-10,29.53114
2022-03-11,23.4682
2022-03-12,10.66152
2022-03-13,4.86833
2022-03-14,19.64033
2022-03-15,20.20552
2022-03-16,20.16698
2022-03-17,22.63326
2022-03-18,18.15028
2022-03-19,6.22992
2022-03-20,3.01862
2022-03-21,10.87989
2022-03-22,13.64161
2022-03-23,12.12588
2022-03-24,13.03789
2022-03-25,14.39948
2022-03-26,5.12524
2022-03-27,2.20937
2022-03-28,10.30186
2022-03-29,10.8542
2022-03-30,11.2524
2022-03-31,11.08542
2022-04-01,10.01926
2022-04-02,4.67565
2022-04-03,1.65703
2022-04-04,8.25947
2022-04-05,9.5183
2022-04-06,9.35131
2022-04-07,11.54784
2022-04-08,9.78805
2022-04-09,4.57289
2022-04-10,1.77263
2022-04-11,10.73859
2022-04-12,13.48747
2022-04-13,13.38471
2022-04-14,13.52601
2022-04-15,9.38985
2022-04-16,3.40398
2022-04-17,1.84971
2022-04-18,12.34425
2022-04-19,13.30764
2022-04-20,12.92228
2022-04-21,12.53692
2022-04-22,11.92035
2022-04-23,5.20231
2022-04-24,1.8754
2022-04-25,10.27617
2022-04-26,12.10019
2022-04-27,13.20488
2022-04-28,11.09826
2022-04-29,11.72768
2022-04-30,5.35645
2022-05-01,2.37636
2022-05-02,10.58445
