date,코덱스200
2021-02-12,3.59375
2021-02-13,2.83482
2021-02-14,3.68303
2021-02-15,17.15401
2021-02-16,16.11607
2021-02-17,16.00446
2021-02-18,14.34151
2021-02-19,14.1741
2021-02-20,3.58258
2021-02-21,3.00223
2021-02-22,13.5491
2021-02-23,13.02455
2021-02-24,14.1741
2021-02-25,15.39062
2021-02-26,22.73437
2021-02-27,9.375
2021-02-28,6.18303
2021-03-01,5.26785
2021-03-02,17.2433
2021-03-03,13.52678
2021-03-04,12.47767
2021-03-05,12.48883
2021-03-06,3.27008
2021-03-07,2.89062
2021-03-08,12.8125
2021-03-09,13.83928
2021-03-10,12.06473
2021-03-11,14.31919
2021-03-12,12.96875
2021-03-13,3.16964
2021-03-14,2.89062
2021-03-15,11.74107
2021-03-16,11.37276
2021-03-17,9.25223
2021-03-18,12.39955
2021-03-19,10.60267
2021-03-20,2.54464
2021-03-21,2.33258
2021-03-22,10.74776
2021-03-23,9.85491
2021-03-24,10.30133
2021-03-25,10.4241
2021-03-26,9.96651
2021-03-27,2.25446
2021-03-28,2.33258
2021-03-29,9.66517
2021-03-30,10.30133
2021-03-31,10.46875
2021-04-01,9.82142
2021-04-02,13.06919
2021-04-03,2.91294
2021-04-04,2.77901
2021-04-05,12.05357
2021-04-06,12.5558
2021-04-07,11.52901
2021-04-08,10.08928
2021-04-09,9.25223
2021-04-10,2.66741
2021-04-11,2.89062
2021-04-12,10.59151
2021-04-13,12.70089
2021-04-14,11.89732
2021-04-15,11.42857
2021-04-16,11.6741
2021-04-17,2.43303
2021-04-18,2.33258
2021-04-19,10.97098
2021-04-20,12.72321
2021-04-21,12.47767
2021-04-22,10.64732
2021-04-23,13.16964
2021-04-24,4.85491
2021-04-25,5.47991
2021-04-26,13.01339
2021-04-27,12.12053
2021-04-28,10.60267
2021-04-29,10.78125
2021-04-30,9.69866
2021-05-01,2.13169
2021-05-02,2.05357
2021-05-03,9.92187
2021-05-04,10.84821
2021-05-05,3.08035
2021-05-06,10.44642
2021-05-07,9.4866
2021-05-08,2.09821
2021-05-09,1.89732
2021-05-10,22.75669
2021-05-11,22.82366
2021-05-12,12.70089
2021-05-13,13.09151
2021-05-14,10.87053
2021-05-15,3.02455
2021-05-16,2.72321
2021-05-17,9.38616
2021-05-18,9.19642
2021-05-19,3.02455
2021-05-20,8.33705
2021-05-21,10.71428
2021-05-22,3.32589
2021-05-23,2.87946
2021-05-24,10.02232
2021-05-25,9.67633
2021-05-26,9.70982
2021-05-27,9.24107
2021-05-28,10.04464
2021-05-29,2.02008
2021-05-30,1.59598
2021-05-31,8.99553
2021-06-01,10.06696
2021-06-02,8.73883
2021-06-03,10.02232
2021-06-04,8.11383
2021-06-05,1.76339
2021-06-06,1.78571
2021-06-07,9.66517
2021-06-08,8.95089
2021-06-09,8.98437
2021-06-10,9.10714
2021-06-11,9.67633
2021-06-12,5.59151
2021-06-13,4.52008
2021-06-14,12.72321
2021-06-15,12.9241
2021-06-16,14.39732
2021-06-17,10.90401
2021-06-18,10.21205
2021-06-19,3.58258
2021-06-20,2.87946
2021-06-21,9.54241
2021-06-22,8.37053
2021-06-23,10.74776
2021-06-24,10.94866
2021-06-25,10.69196
2021-06-26,2.39955
2021-06-27,2.31026
2021-06-28,9.30803
2021-06-29,7.48883
2021-06-30,7.99107
2021-07-01,7.9241
2021-07-02,6.19419
2021-07-03,1.72991
2021-07-04,1.76339
2021-07-05,7.07589
2021-07-06,7.63392
2021-07-07,7.23214
2021-07-08,8.00223
2021-07-09,9.16294
2021-07-10,1.875
2021-07-11,1.97544
2021-07-12,6.90848
2021-07-13,6.28348
2021-07-14,6.69642
2021-07-15,6.60714
2021-07-16,5.33482
2021-07-17,1.31696
2021-07-18,1.18303
2021-07-19,7.35491
2021-07-20,6.875
2021-07-21,9.87723
2021-07-22,9.53125
2021-07-23,7.2991
2021-07-24,1.65178
2021-07-25,1.57366
2021-07-26,6.3058
2021-07-27,5.94866
2021-07-28,6.5625
2021-07-29,6.86383
2021-07-30,6.72991
2021-07-31,1.51785
2021-08-01,1.55133
2021-08-02,6.16071
2021-08-03,7.16517
2021-08-04,8.59375
2021-08-05,8.42633
2021-08-06,6.74107
2021-08-07,1.69642
2021-08-08,2.28794
2021-08-09,7.22098
2021-08-10,7.46651
2021-08-11,8.96205
2021-08-12,8.53794
2021-08-13,13.10267
