date,상속세율
2022-04-29,8.87918
2022-04-30,6.18631
2022-05-01,6.04075
2022-05-02,8.87918
2022-05-03,8.33333
2022-05-04,7.45997
2022-05-05,5.67685
2022-05-06,7.67831
2022-05-07,6.73216
2022-05-08,7.60553
2022-05-09,10.08005
2022-05-10,9.09752
2022-05-11,9.60698
2022-05-12,8.73362
2022-05-13,8.66084
2022-05-14,6.14992
2022-05-15,5.96797
2022-05-16,10.262
2022-05-17,9.97088
2022-05-18,8.84279
2022-05-19,9.35225
2022-05-20,9.09752
2022-05-21,6.40465
2022-05-22,6.07714
2022-05-23,8.47889
2022-05-24,8.36972
2022-05-25,8.0786
2022-05-26,7.24163
2022-05-27,7.56914
2022-05-28,5.31295
2022-05-29,6.5866
2022-05-30,8.29694
2022-05-31,7.56914
2022-06-01,5.4949
2022-06-02,6.76855
2022-06-03,6.9505
2022-06-04,6.11353
2022-06-05,4.43959
2022-06-06,6.55021
2022-06-07,8.73362
2022-06-08,8.77001
2022-06-09,8.62445
2022-06-10,8.66084
2022-06-11,7.20524
2022-06-12,5.78602
2022-06-13,8.18777
2022-06-14,7.53275
2022-06-15,8.51528
2022-06-16,9.64337
2022-06-17,10.29839
2022-06-18,6.33187
2022-06-19,7.67831
2022-06-20,8.95196
2022-06-21,10.58951
2022-06-22,7.89665
2022-06-23,7.09606
2022-06-24,6.84133
2022-06-25,5.16739
2022-06-26,4.58515
2022-06-27,6.29548
2022-06-28,6.62299
2022-06-29,7.16885
2022-06-30,6.51382
2022-07-01,6.33187
2022-07-02,5.16739
2022-07-03,5.82241
2022-07-04,8.29694
2022-07-05,8.0786
2022-07-06,7.49636
2022-07-07,8.11499
2022-07-08,7.86026
2022-07-09,5.27656
2022-07-10,6.14992
2022-07-11,7.49636
2022-07-12,8.00582
2022-07-13,6.80494
2022-07-14,7.13245
2022-07-15,7.93304
2022-07-16,6.04075
2022-07-17,4.43959
2022-07-18,8.84279
2022-07-19,7.53275
2022-07-20,7.20524
