date,국세완납증명서발급
2021-06-24,29.6524
2021-06-25,25.64171
2021-06-26,3.34224
2021-06-27,4.0909
2021-06-28,36.73796
2021-06-29,32.08556
2021-06-30,27.19251
2021-07-01,26.49732
2021-07-02,21.14973
2021-07-03,3.18181
2021-07-04,4.35828
2021-07-05,30.2139
2021-07-06,29.06417
2021-07-07,30.58823
2021-07-08,28.07486
2021-07-09,22.70053
2021-07-10,3.74331
2021-07-11,4.83957
2021-07-12,39.97326
2021-07-13,48.28877
2021-07-14,46.09625
2021-07-15,23.04812
2021-07-16,18.63636
2021-07-17,3.02139
2021-07-18,4.51871
2021-07-19,34.38502
2021-07-20,55.85561
2021-07-21,44.30481
2021-07-22,36.79144
2021-07-23,19.6524
2021-07-24,3.55614
2021-07-25,3.95721
2021-07-26,26.7647
2021-07-27,25.48128
2021-07-28,22.75401
2021-07-29,19.41176
2021-07-30,13.36898
2021-07-31,2.67379
2021-08-01,2.8877
2021-08-02,23.3155
2021-08-03,21.49732
2021-08-04,21.44385
2021-08-05,22.40641
2021-08-06,19.27807
2021-08-07,2.83422
2021-08-08,3.1016
2021-08-09,28.95721
2021-08-10,25.88235
2021-08-11,26.31016
2021-08-12,24.6524
2021-08-13,19.81283
2021-08-14,2.51336
2021-08-15,2.64705
2021-08-16,6.22994
2021-08-17,30.9893
2021-08-18,28.36898
2021-08-19,27.35294
2021-08-20,24.0909
2021-08-21,3.71657
2021-08-22,4.22459
2021-08-23,29.4385
2021-08-24,29.30481
2021-08-25,26.87165
2021-08-26,22.94117
2021-08-27,20.10695
2021-08-28,2.56684
2021-08-29,3.90374
2021-08-30,27.03208
2021-08-31,23.877
2021-09-01,24.30481
2021-09-02,24.25133
2021-09-03,19.17112
2021-09-04,3.50267
2021-09-05,4.30481
2021-09-06,27.03208
2021-09-07,24.0909
2021-09-08,24.89304
2021-09-09,23.20855
2021-09-10,19.86631
2021-09-11,2.83422
2021-09-12,3.90374
2021-09-13,26.7647
2021-09-14,25.02673
2021-09-15,23.85026
2021-09-16,20.24064
2021-09-17,14.14438
2021-09-18,1.65775
2021-09-19,0.96256
2021-09-20,1.28342
2021-09-21,1.31016
2021-09-22,3.12834
2021-09-23,24.54545
2021-09-24,20.26737
2021-09-25,3.74331
2021-09-26,3.74331
2021-09-27,27.03208
2021-09-28,24.4385
2021-09-29,22.48663
2021-09-30,22.8877
2021-10-01,18.23529
2021-10-02,2.94117
2021-10-03,2.37967
2021-10-04,6.14973
2021-10-05,30.88235
2021-10-06,28.02139
2021-10-07,30.61497
2021-10-08,24.49197
2021-10-09,3.18181
2021-10-10,2.8877
2021-10-11,7.94117
2021-10-12,36.04278
2021-10-13,32.48663
2021-10-14,30.40106
2021-10-15,24.57219
2021-10-16,3.50267
2021-10-17,4.62566
2021-10-18,26.73796
2021-10-19,28.47593
2021-10-20,28.18181
2021-10-21,24.22459
2021-10-22,21.01604
2021-10-23,3.07486
2021-10-24,4.75935
2021-10-25,28.15508
2021-10-26,24.94652
2021-10-27,24.67914
2021-10-28,22.3262
2021-10-29,17.72727
2021-10-30,2.56684
2021-10-31,3.95721
2021-11-01,25.40106
2021-11-02,25.72192
2021-11-03,25.0
2021-11-04,22.29946
2021-11-05,20.05347
2021-11-06,2.91443
2021-11-07,4.41176
2021-11-08,28.50267
2021-11-09,27.94117
2021-11-10,25.10695
2021-11-11,21.7647
2021-11-12,18.12834
2021-11-13,3.20855
2021-11-14,3.47593
2021-11-15,25.18716
2021-11-16,24.91978
2021-11-17,22.62032
2021-11-18,21.41711
2021-11-19,18.58288
2021-11-20,2.8877
2021-11-21,4.03743
2021-11-22,26.65775
2021-11-23,22.70053
2021-11-24,26.2032
2021-11-25,23.60962
2021-11-26,17.83422
2021-11-27,2.67379
2021-11-28,3.71657
2021-11-29,26.31016
2021-11-30,22.19251
2021-12-01,23.39572
2021-12-02,22.83422
2021-12-03,18.23529
2021-12-04,2.91443
2021-12-05,3.85026
2021-12-06,25.08021
2021-12-07,25.72192
2021-12-08,25.08021
2021-12-09,23.36898
2021-12-10,18.95721
2021-12-11,3.1016
2021-12-12,4.59893
2021-12-13,28.77005
2021-12-14,25.58823
2021-12-15,25.18716
2021-12-16,25.7754
2021-12-17,20.29411
2021-12-18,3.26203
2021-12-19,3.36898
2021-12-20,27.45989
2021-12-21,24.49197
2021-12-22,24.6524
2021-12-23,23.15508
2021-12-24,17.24598
2021-12-25,2.29946
2021-12-26,4.4385
2021-12-27,23.77005
2021-12-28,22.91443
2021-12-29,20.32085
2021-12-30,16.39037
2021-12-31,9.41176
2022-01-01,1.68449
2022-01-02,3.98395
2022-01-03,26.44385
2022-01-04,26.87165
2022-01-05,27.99465
2022-01-06,22.13903
2022-01-07,21.7647
2022-01-08,4.25133
2022-01-09,4.54545
2022-01-10,26.39037
2022-01-11,27.45989
2022-01-12,26.57754
2022-01-13,26.5508
2022-01-14,21.7647
2022-01-15,4.78609
2022-01-16,5.13368
2022-01-17,28.12834
2022-01-18,30.61497
2022-01-19,27.05882
2022-01-20,27.35294
2022-01-21,22.29946
2022-01-22,3.58288
2022-01-23,4.81283
2022-01-24,34.03743
2022-01-25,29.89304
2022-01-26,26.95187
2022-01-27,26.01604
2022-01-28,16.17647
2022-01-29,2.62032
2022-01-30,1.47058
2022-01-31,1.57754
2022-02-01,1.06951
2022-02-02,4.11764
2022-02-03,34.57219
2022-02-04,27.91443
2022-02-05,3.95721
2022-02-06,5.58823
2022-02-07,35.72192
2022-02-08,34.35828
2022-02-09,33.95721
2022-02-10,32.13903
2022-02-11,28.07486
2022-02-12,4.57219
2022-02-13,5.50802
2022-02-14,35.66844
2022-02-15,35.48128
2022-02-16,31.89839
2022-02-17,28.20855
