date,스캘핑
2022-01-15,2.62026
2022-01-16,2.62026
2022-01-17,3.33674
2022-01-18,3.56192
2022-01-19,2.8045
2022-01-20,3.80757
2022-01-21,2.72262
2022-01-22,2.64073
2022-01-23,2.3132
2022-01-24,2.90685
2022-01-25,4.42169
2022-01-26,3.2958
2022-01-27,3.72569
2022-01-28,2.90685
2022-01-29,2.14943
2022-01-30,1.37154
2022-01-31,1.84237
2022-02-01,2.00614
2022-02-02,2.14943
2022-02-03,3.21392
2022-02-04,5.30194
2022-02-05,5.67041
2022-02-06,2.41555
2022-02-07,3.2958
2022-02-08,3.45957
2022-02-09,3.41862
2022-02-10,2.57932
2022-02-11,3.09109
2022-02-12,2.49744
2022-02-13,1.49437
2022-02-14,2.53838
2022-02-15,2.72262
2022-02-16,2.94779
2022-02-17,3.19344
2022-02-18,3.35721
2022-02-19,2.6612
2022-02-20,1.74002
2022-02-21,3.00921
2022-02-22,2.25179
2022-02-23,2.78403
2022-02-24,2.29273
2022-02-25,3.13203
2022-02-26,2.14943
2022-02-27,1.92425
2022-02-28,2.59979
2022-03-01,3.00921
2022-03-02,2.92732
2022-03-03,3.6438
2022-03-04,3.05015
2022-03-05,1.6786
2022-03-06,2.1699
2022-03-07,2.62026
2022-03-08,2.96827
2022-03-09,2.3132
2022-03-10,2.53838
2022-03-11,2.49744
2022-03-12,2.08802
2022-03-13,2.29273
2022-03-14,2.90685
2022-03-15,2.90685
2022-03-16,3.33674
2022-03-17,3.2958
2022-03-18,3.7871
2022-03-19,2.41555
2022-03-20,2.21084
2022-03-21,3.82804
2022-03-22,3.7871
2022-03-23,2.90685
2022-03-24,3.07062
2022-03-25,4.11463
2022-03-26,2.59979
2022-03-27,2.39508
2022-03-28,2.96827
2022-03-29,3.70522
2022-03-30,3.33674
2022-03-31,4.2784
2022-04-01,3.95087
2022-04-02,2.41555
2022-04-03,2.19037
2022-04-04,3.07062
2022-04-05,4.42169
2022-04-06,3.45957
2022-04-07,2.78403
2022-04-08,2.82497
2022-04-09,2.47697
2022-04-10,1.51484
2022-04-11,2.33367
2022-04-12,2.70214
2022-04-13,3.39815
2022-04-14,3.09109
2022-04-15,2.98874
2022-04-16,1.55578
2022-04-17,1.6786
2022-04-18,2.49744
2022-04-19,2.25179
2022-04-20,2.37461
2022-04-21,2.51791
2022-04-22,2.74309
2022-04-23,1.74002
2022-04-24,1.84237
2022-04-25,2.27226
2022-04-26,2.74309
2022-04-27,2.84544
2022-04-28,2.3132
2022-04-29,2.82497
2022-04-30,2.12896
2022-05-01,1.51484
2022-05-02,2.45649
2022-05-03,2.23132
2022-05-04,3.66427
2022-05-05,4.25793
2022-05-06,3.70522
2022-05-07,2.08802
2022-05-08,2.02661
2022-05-09,3.84851
2022-05-10,4.23746
2022-05-11,3.95087
2022-05-12,4.03275
2022-05-13,3.84851
2022-05-14,2.33367
2022-05-15,2.27226
2022-05-16,2.94779
2022-05-17,3.74616
2022-05-18,3.88945
2022-05-19,3.23439
2022-05-20,3.23439
2022-05-21,3.17297
2022-05-22,2.57932
2022-05-23,3.33674
2022-05-24,2.96827
2022-05-25,3.17297
2022-05-26,3.35721
2022-05-27,4.07369
2022-05-28,2.1699
2022-05-29,2.55885
2022-05-30,3.58239
2022-05-31,3.74616
2022-06-01,2.98874
2022-06-02,3.09109
2022-06-03,3.48004
2022-06-04,2.1699
2022-06-05,2.49744
2022-06-06,3.09109
2022-06-07,3.45957
2022-06-08,4.31934
2022-06-09,4.11463
2022-06-10,4.25793
2022-06-11,2.96827
2022-06-12,15.70112
2022-06-13,19.97952
2022-06-14,7.24667
2022-06-15,5.03582
2022-06-16,4.21699
2022-06-17,3.62333
2022-06-18,2.59979
2022-06-19,2.3132
2022-06-20,3.11156
2022-06-21,3.2958
2022-06-22,3.23439
2022-06-23,2.47697
2022-06-24,2.59979
2022-06-25,2.19037
2022-06-26,2.25179
2022-06-27,2.78403
2022-06-28,2.6612
2022-06-29,3.31627
2022-06-30,2.64073
2022-07-01,3.50051
2022-07-02,1.92425
2022-07-03,1.80143
2022-07-04,2.49744
2022-07-05,2.70214
2022-07-06,3.09109
2022-07-07,3.84851
2022-07-08,3.95087
2022-07-09,2.39508
2022-07-10,2.49744
2022-07-11,3.37768
2022-07-12,5.03582
2022-07-13,4.23746
2022-07-14,3.09109
2022-07-15,3.02968
2022-07-16,1.78096
2022-07-17,1.65813
2022-07-18,2.8045
2022-07-19,2.47697
2022-07-20,2.51791
2022-07-21,2.62026
2022-07-22,3.00921
2022-07-23,1.86284
2022-07-24,2.12896
2022-07-25,2.21084
2022-07-26,1.94472
2022-07-27,2.25179
2022-07-28,2.82497
2022-07-29,2.12896
2022-07-30,1.6786
2022-07-31,1.59672
2022-08-01,2.25179
2022-08-02,2.64073
2022-08-03,2.96827
2022-08-04,2.88638
2022-08-05,1.92425
2022-08-06,1.88331
2022-08-07,1.92425
2022-08-08,2.39508
2022-08-09,2.47697
2022-08-10,2.51791
2022-08-11,2.25179
2022-08-12,3.05015
2022-08-13,1.80143
2022-08-14,2.08802
2022-08-15,2.12896
2022-08-16,3.1525
2022-08-17,2.84544
2022-08-18,2.8045
2022-08-19,2.64073
2022-08-20,2.55885
2022-08-21,2.25179
2022-08-22,3.52098
2022-08-23,3.13203
2022-08-24,3.05015
2022-08-25,3.19344
2022-08-26,2.70214
2022-08-27,2.47697
2022-08-28,1.92425
2022-08-29,2.55885
2022-08-30,2.51791
2022-08-31,2.57932
2022-09-01,2.27226
2022-09-02,2.72262
2022-09-03,1.8219
2022-09-04,1.65813
2022-09-05,11.68884
2022-09-06,2.39508
2022-09-07,2.90685
2022-09-08,2.10849
2022-09-09,1.14636
2022-09-10,0.96212
2022-09-11,1.10542
2022-09-12,1.24872
2022-09-13,3.19344
2022-09-14,4.09416
2022-09-15,3.95087
2022-09-16,4.1351
2022-09-17,1.76049
2022-09-18,1.74002
2022-09-19,3.93039
2022-09-20,2.90685
2022-09-21,2.53838
2022-09-22,2.96827
2022-09-23,1.98567
2022-09-24,1.39201
2022-09-25,1.3306
2022-09-26,1.8219
2022-09-27,2.45649
2022-09-28,2.04708
2022-09-29,1.63766
2022-09-30,1.69907
2022-10-01,1.26919
2022-10-02,1.3306
2022-10-03,1.37154
2022-10-04,2.10849
2022-10-05,1.86284
2022-10-06,2.1699
2022-10-07,1.71954
2022-10-08,1.3306
2022-10-09,1.02354
2022-10-10,1.10542
2022-10-11,1.69907
2022-10-12,2.21084
2022-10-13,2.39508
2022-10-14,1.98567
2022-10-15,1.39201
2022-10-16,1.78096
2022-10-17,2.02661
2022-10-18,2.72262
2022-10-19,3.25486
2022-10-20,3.60286
2022-10-21,3.48004
2022-10-22,1.76049
2022-10-23,1.12589
2022-10-24,1.69907
2022-10-25,2.41555
2022-10-26,1.65813
2022-10-27,1.71954
2022-10-28,1.61719
2022-10-29,1.65813
2022-10-30,1.16683
2022-10-31,1.71954
2022-11-01,2.19037
2022-11-02,1.90378
2022-11-03,2.27226
2022-11-04,1.94472
2022-11-05,1.57625
2022-11-06,1.63766
2022-11-07,2.12896
2022-11-08,2.49744
2022-11-09,1.8219
2022-11-10,2.35414
2022-11-11,2.25179
2022-11-12,1.90378
2022-11-13,1.28966
2022-11-14,2.33367
2022-11-15,2.68167
2022-11-16,2.47697
2022-11-17,2.84544
2022-11-18,2.33367
2022-11-19,1.69907
2022-11-20,1.65813
2022-11-21,2.59979
2022-11-22,7.18526
2022-11-23,8.7001
2022-11-24,3.56192
2022-11-25,2.55885
2022-11-26,1.78096
2022-11-27,1.45342
2022-11-28,1.3306
2022-11-29,2.33367
2022-11-30,2.86591
2022-12-01,2.70214
2022-12-02,1.63766
2022-12-03,1.12589
2022-12-04,1.04401
2022-12-05,2.08802
2022-12-06,1.74002
2022-12-07,1.96519
2022-12-08,1.96519
2022-12-09,1.47389
2022-12-10,1.55578
2022-12-11,1.31013
2022-12-12,1.94472
2022-12-13,2.00614
2022-12-14,1.41248
2022-12-15,1.59672
2022-12-16,1.35107
2022-12-17,0.98259
2022-12-18,1.02354
2022-12-19,1.1873
2022-12-20,1.74002
2022-12-21,1.6786
2022-12-22,1.41248
2022-12-23,1.6786
2022-12-24,1.28966
2022-12-25,1.24872
2022-12-26,1.12589
2022-12-27,1.49437
2022-12-28,1.53531
2022-12-29,1.22824
2022-12-30,1.22824
2022-12-31,1.10542
2023-01-01,1.14636
2023-01-02,1.63766
2023-01-03,1.74002
2023-01-04,1.98567
2023-01-05,1.71954
2023-01-06,2.21084
2023-01-07,1.78096
2023-01-08,1.55578
2023-01-09,1.92425
2023-01-10,1.78096
2023-01-11,1.86284
2023-01-12,2.43602
2023-01-13,1.92425
2023-01-14,2.23132
2023-01-15,1.6786
2023-01-16,2.14943
2023-01-17,2.74309
2023-01-18,2.55885
2023-01-19,2.49744
2023-01-20,1.88331
2023-01-21,1.80143
2023-01-22,1.12589
2023-01-23,1.74002
2023-01-24,1.55578
2023-01-25,2.37461
2023-01-26,2.76356
2023-01-27,2.6612
2023-01-28,2.14943
2023-01-29,2.06755
2023-01-30,2.86591
2023-01-31,3.1525
2023-02-01,2.92732
2023-02-02,3.25486
2023-02-03,3.33674
2023-02-04,2.08802
2023-02-05,2.37461
2023-02-06,2.6612
2023-02-07,3.07062
2023-02-08,3.13203
2023-02-09,2.33367
2023-02-10,3.13203
2023-02-11,1.28966
2023-02-12,1.6786
2023-02-13,2.51791
2023-02-14,2.8045
2023-02-15,2.25179
2023-02-16,2.59979
2023-02-17,2.8045
2023-02-18,1.92425
2023-02-19,2.25179
2023-02-20,3.07062
2023-02-21,2.76356
2023-02-22,2.39508
2023-02-23,2.8045
2023-02-24,2.37461
2023-02-25,2.25179
2023-02-26,1.51484
2023-02-27,1.98567
2023-02-28,2.3132
2023-03-01,2.62026
2023-03-02,2.6612
2023-03-03,2.43602
2023-03-04,1.57625
2023-03-05,1.59672
2023-03-06,2.00614
2023-03-07,2.51791
2023-03-08,2.51791
2023-03-09,2.43602
2023-03-10,2.98874
2023-03-11,1.51484
2023-03-12,1.49437
2023-03-13,2.96827
2023-03-14,3.05015
2023-03-15,2.41555
2023-03-16,3.05015
2023-03-17,2.92732
2023-03-18,2.39508
2023-03-19,1.98567
2023-03-20,2.39508
2023-03-21,2.76356
2023-03-22,3.05015
2023-03-23,3.39815
2023-03-24,2.35414
2023-03-25,1.88331
2023-03-26,1.57625
2023-03-27,2.41555
2023-03-28,2.12896
2023-03-29,2.90685
2023-03-30,2.72262
2023-03-31,2.49744
2023-04-01,1.76049
2023-04-02,1.55578
2023-04-03,2.45649
2023-04-04,2.86591
2023-04-05,3.27533
2023-04-06,2.78403
2023-04-07,3.17297
2023-04-08,1.88331
2023-04-09,1.76049
2023-04-10,2.84544
2023-04-11,3.00921
2023-04-12,2.62026
2023-04-13,2.72262
2023-04-14,2.90685
2023-04-15,1.49437
