date,공매도
2021-06-05,0.36315
2021-06-06,0.35318
2021-06-07,0.8942
2021-06-08,1.19142
2021-06-09,0.93045
2021-06-10,1.00698
2021-06-11,0.90968
2021-06-12,0.30315
2021-06-13,0.2652
2021-06-14,0.6468
2021-06-15,0.66842
2021-06-16,0.61203
2021-06-17,0.58532
2021-06-18,0.58765
2021-06-19,0.22916
2021-06-20,0.24167
2021-06-21,0.60588
2021-06-22,0.55628
2021-06-23,0.75683
2021-06-24,1.09708
2021-06-25,0.99193
2021-06-26,0.47784
2021-06-27,0.28513
2021-06-28,0.64277
2021-06-29,0.49183
2021-06-30,0.44795
2021-07-01,0.46173
2021-07-02,0.46067
2021-07-03,0.26626
2021-07-04,0.18019
2021-07-05,0.58066
2021-07-06,0.42908
2021-07-07,0.39452
2021-07-08,0.55267
2021-07-09,0.56348
2021-07-10,0.23849
2021-07-11,0.22726
2021-07-12,0.48504
2021-07-13,0.53147
2021-07-14,0.58808
2021-07-15,1.00211
2021-07-16,0.60546
2021-07-17,0.19779
2021-07-18,0.15899
2021-07-19,0.45812
2021-07-20,0.48695
2021-07-21,0.63026
2021-07-22,0.52808
2021-07-23,0.40682
2021-07-24,0.20012
2021-07-25,0.13822
2021-07-26,0.38371
2021-07-27,0.35742
2021-07-28,0.39728
2021-07-29,0.42399
2021-07-30,0.5531
2021-07-31,0.19418
2021-08-01,0.17616
2021-08-02,0.40555
2021-08-03,0.50073
2021-08-04,0.46512
2021-08-05,0.36081
2021-08-06,0.38541
2021-08-07,0.17489
2021-08-08,0.1804
2021-08-09,0.44901
2021-08-10,0.47826
2021-08-11,0.57896
2021-08-12,0.70277
2021-08-13,1.11192
2021-08-14,0.28746
2021-08-15,0.25842
2021-08-16,0.21263
2021-08-17,0.6892
2021-08-18,0.4719
2021-08-19,1.0303
2021-08-20,1.16577
2021-08-21,0.44222
2021-08-22,0.27941
2021-08-23,0.45409
2021-08-24,0.41911
2021-08-25,0.41678
2021-08-26,0.45833
2021-08-27,0.7104
2021-08-28,0.24888
2021-08-29,0.2633
2021-08-30,0.46681
2021-08-31,0.44667
2021-09-01,0.39304
2021-09-02,0.41063
2021-09-03,0.34173
2021-09-04,0.17871
2021-09-05,0.15285
2021-09-06,0.28026
2021-09-07,0.34025
2021-09-08,0.46279
2021-09-09,1.09072
2021-09-10,0.60313
2021-09-11,0.20415
2021-09-12,0.66079
2021-09-13,0.78333
2021-09-14,0.47105
2021-09-15,0.3305
2021-09-16,0.36908
2021-09-17,0.29552
2021-09-18,0.19885
2021-09-19,1.27813
2021-09-20,0.5001
2021-09-21,0.17192
2021-09-22,0.20245
2021-09-23,0.78142
2021-09-24,0.57642
2021-09-25,0.23616
2021-09-26,0.25418
2021-09-27,0.29467
2021-09-28,0.42611
2021-09-29,0.49522
2021-09-30,0.68093
2021-10-01,0.67627
2021-10-02,0.21729
