date,금값
2021-02-15,6.04937
2021-02-16,5.80625
2021-02-17,6.83934
2021-02-18,8.66928
2021-02-19,13.54261
2021-02-20,9.2223
2021-02-21,6.74499
2021-02-22,9.00058
2021-02-23,8.67836
2021-02-24,6.69455
2021-02-25,6.28415
2021-02-26,6.64956
2021-02-27,4.36204
2021-02-28,4.46364
2021-03-01,4.1327
2021-03-02,6.83063
2021-03-03,8.67074
2021-03-04,8.78722
2021-03-05,8.86705
2021-03-06,6.14045
2021-03-07,5.03915
2021-03-08,7.7447
2021-03-09,7.09516
2021-03-10,6.7762
2021-03-11,6.72395
2021-03-12,6.26347
2021-03-13,4.08916
2021-03-14,4.48106
2021-03-15,5.87483
2021-03-16,5.47096
2021-03-17,5.02754
2021-03-18,5.37807
2021-03-19,4.85917
2021-03-20,3.33403
2021-03-21,2.84307
2021-03-22,4.77607
2021-03-23,4.51081
2021-03-24,4.36566
2021-03-25,4.34317
2021-03-26,4.10077
2021-03-27,2.87319
2021-03-28,2.68704
2021-03-29,4.28801
2021-03-30,4.44042
2021-03-31,5.06237
2021-04-01,4.6204
2021-04-02,6.6804
2021-04-03,3.56772
2021-04-04,2.84053
2021-04-05,4.85191
2021-04-06,4.4738
2021-04-07,4.39615
2021-04-08,4.27966
2021-04-09,4.33156
2021-04-10,2.80497
2021-04-11,2.99039
2021-04-12,4.39977
2021-04-13,4.56815
2021-04-14,4.46763
2021-04-15,4.76482
2021-04-16,4.59173
2021-04-17,3.11123
2021-04-18,2.71098
2021-04-19,4.59536
2021-04-20,4.6966
2021-04-21,4.75357
2021-04-22,4.71837
2021-04-23,5.32581
2021-04-24,3.02378
2021-04-25,2.43847
2021-04-26,4.42481
2021-04-27,4.09932
2021-04-28,4.31922
2021-04-29,3.90047
2021-04-30,3.59675
2021-05-01,2.82384
2021-05-02,2.38114
2021-05-03,3.7096
2021-05-04,3.92913
2021-05-05,2.79916
2021-05-06,3.96869
2021-05-07,4.51299
2021-05-08,3.52381
2021-05-09,2.55967
2021-05-10,4.53585
2021-05-11,4.50101
2021-05-12,4.62693
2021-05-13,5.31747
2021-05-14,4.40449
2021-05-15,2.78283
2021-05-16,2.51504
2021-05-17,6.08675
2021-05-18,6.01599
2021-05-19,8.96067
2021-05-20,9.26802
2021-05-21,6.59114
2021-05-22,3.73935
2021-05-23,4.93573
2021-05-24,8.55679
2021-05-25,6.1038
2021-05-26,6.1488
2021-05-27,5.83238
2021-05-28,5.42161
2021-05-29,3.32605
2021-05-30,2.91492
2021-05-31,5.47568
2021-06-01,5.11789
2021-06-02,5.88753
2021-06-03,5.56712
2021-06-04,4.82324
2021-06-05,2.81404
2021-06-06,2.67216
2021-06-07,4.5315
2021-06-08,4.8559
2021-06-09,4.39578
2021-06-10,4.07936
2021-06-11,3.90264
2021-06-12,2.43666
2021-06-13,2.23236
2021-06-14,4.27168
2021-06-15,4.0282
2021-06-16,3.91789
2021-06-17,4.52388
2021-06-18,5.23074
2021-06-19,2.92762
2021-06-20,2.36807
2021-06-21,4.62258
2021-06-22,4.39905
2021-06-23,4.06739
2021-06-24,3.81701
2021-06-25,3.78072
2021-06-26,2.46677
2021-06-27,2.09955
2021-06-28,3.87253
2021-06-29,4.50065
2021-06-30,5.17922
2021-07-01,4.06557
2021-07-02,3.9734
2021-07-03,2.58906
2021-07-04,2.19317
2021-07-05,4.02929
2021-07-06,3.85293
2021-07-07,3.87325
2021-07-08,4.05142
2021-07-09,4.40485
2021-07-10,2.69248
2021-07-11,3.12901
2021-07-12,3.92043
2021-07-13,3.73863
2021-07-14,3.90918
2021-07-15,4.37147
2021-07-16,4.31559
2021-07-17,2.84996
2021-07-18,2.47984
2021-07-19,4.06303
2021-07-20,4.1875
2021-07-21,3.85692
2021-07-22,3.57389
2021-07-23,3.36633
2021-07-24,2.41996
2021-07-25,2.11878
2021-07-26,3.51147
2021-07-27,3.43999
2021-07-28,3.37612
2021-07-29,3.27017
2021-07-30,3.63412
2021-07-31,2.18519
2021-08-01,2.09121
2021-08-02,3.26073
2021-08-03,3.43237
2021-08-04,3.38447
2021-08-05,3.54558
2021-08-06,3.45232
2021-08-07,2.65256
2021-08-08,2.1939
2021-08-09,5.5058
2021-08-10,4.89255
2021-08-11,6.52219
2021-08-12,7.48416
2021-08-13,4.95641
2021-08-14,3.27815
2021-08-15,2.75308
2021-08-16,3.16348
2021-08-17,5.4735
2021-08-18,5.06273
2021-08-19,4.98073
2021-08-20,4.97165
2021-08-21,2.82456
2021-08-22,2.54116
2021-08-23,4.49521
2021-08-24,4.23757
2021-08-25,3.97631
2021-08-26,4.24773
2021-08-27,4.08952
2021-08-28,2.72115
2021-08-29,2.51939
2021-08-30,4.11928
2021-08-31,3.90664
2021-09-01,3.76294
2021-09-02,3.79052
2021-09-03,3.58586
2021-09-04,2.43847
2021-09-05,2.13548
2021-09-06,3.70815
2021-09-07,3.62432
2021-09-08,3.59638
2021-09-09,3.49514
2021-09-10,3.2542
2021-09-11,2.1743
2021-09-12,1.94715
2021-09-13,3.29266
2021-09-14,3.17364
2021-09-15,3.26254
2021-09-16,3.20703
2021-09-17,3.3587
2021-09-18,2.22075
2021-09-19,1.77805
2021-09-20,1.85135
2021-09-21,2.10935
2021-09-22,2.17539
2021-09-23,3.62432
2021-09-24,3.477
2021-09-25,2.26321
2021-09-26,1.83429
2021-09-27,3.27089
2021-09-28,3.23497
2021-09-29,3.62396
2021-09-30,3.28686
2021-10-01,3.43745
2021-10-02,2.06943
2021-10-03,1.94642
2021-10-04,2.84561
2021-10-05,4.96041
2021-10-06,4.1142
2021-10-07,3.70561
2021-10-08,3.37576
2021-10-09,2.16741
2021-10-10,1.80635
2021-10-11,2.36553
2021-10-12,4.1904
2021-10-13,3.59493
2021-10-14,3.862
2021-10-15,3.54449
2021-10-16,2.32598
2021-10-17,1.94025
2021-10-18,3.31153
2021-10-19,3.41277
2021-10-20,3.23279
2021-10-21,3.32496
2021-10-22,3.09744
2021-10-23,2.07996
2021-10-24,2.65982
2021-10-25,4.80655
2021-10-26,3.86382
2021-10-27,3.44797
2021-10-28,3.32532
2021-10-29,3.06768
2021-10-30,2.10645
2021-10-31,1.88219
2021-11-01,3.01616
2021-11-02,3.13663
2021-11-03,3.07893
2021-11-04,3.16711
2021-11-05,3.15659
2021-11-06,2.08213
2021-11-07,2.02916
2021-11-08,4.02638
2021-11-09,3.96941
2021-11-10,4.04561
2021-11-11,5.12333
2021-11-12,4.50029
2021-11-13,2.61228
2021-11-14,2.43811
2021-11-15,4.79929
2021-11-16,6.01127
2021-11-17,5.55515
2021-11-18,4.60697
2021-11-19,4.25245
2021-11-20,2.7538
2021-11-21,2.2984
2021-11-22,4.17951
2021-11-23,4.5881
2021-11-24,4.45638
2021-11-25,4.50065
2021-11-26,4.06775
2021-11-27,3.04628
2021-11-28,4.2383
2021-11-29,6.09981
2021-11-30,5.10047
2021-12-01,4.86787
2021-12-02,4.54274
2021-12-03,4.11819
2021-12-04,2.98822
2021-12-05,2.49218
2021-12-06,4.20528
2021-12-07,3.80177
2021-12-08,3.66896
2021-12-09,3.45124
2021-12-10,3.44724
2021-12-11,2.33324
2021-12-12,2.08213
2021-12-13,3.42656
2021-12-14,3.43019
2021-12-15,3.38773
2021-12-16,3.70053
2021-12-17,3.51329
2021-12-18,2.3053
2021-12-19,2.06762
2021-12-20,3.94583
2021-12-21,3.98502
2021-12-22,3.83116
2021-12-23,3.60038
2021-12-24,3.54812
2021-12-25,2.14745
2021-12-26,2.08649
2021-12-27,3.57824
2021-12-28,3.7281
2021-12-29,3.59457
2021-12-30,3.28287
2021-12-31,4.70241
2022-01-01,4.07682
2022-01-02,3.23823
2022-01-03,4.76119
2022-01-04,4.45493
2022-01-05,4.4259
2022-01-06,5.01592
2022-01-07,4.45348
2022-01-08,2.79662
2022-01-09,2.58471
2022-01-10,4.11275
2022-01-11,4.81961
2022-01-12,4.08662
2022-01-13,3.71794
2022-01-14,3.66134
2022-01-15,2.7665
2022-01-16,2.76288
2022-01-17,3.90301
2022-01-18,3.63303
2022-01-19,3.57643
2022-01-20,4.15847
2022-01-21,4.23322
2022-01-22,3.26073
2022-01-23,3.00382
2022-01-24,5.21042
2022-01-25,5.6426
2022-01-26,5.37916
2022-01-27,5.58744
2022-01-28,4.72781
2022-01-29,2.79154
2022-01-30,2.29949
2022-01-31,2.1997
2022-02-01,2.63224
2022-02-02,2.60539
2022-02-03,4.14141
2022-02-04,3.87652
2022-02-05,2.57527
2022-02-06,2.61083
2022-02-07,3.68093
2022-02-08,3.79959
2022-02-09,3.70016
2022-02-10,3.54558
2022-02-11,3.57643
2022-02-12,3.30246
2022-02-13,2.46242
2022-02-14,6.11542
2022-02-15,8.21497
2022-02-16,5.78557
2022-02-17,5.67852
2022-02-18,8.02229
2022-02-19,4.48614
2022-02-20,3.71323
2022-02-21,7.33284
2022-02-22,9.25749
2022-02-23,7.36259
2022-02-24,23.93225
2022-02-25,14.36378
2022-02-26,6.33241
2022-02-27,5.89878
2022-02-28,8.76544
2022-03-01,5.98297
2022-03-02,9.35402
2022-03-03,7.69752
2022-03-04,8.15764
2022-03-05,5.15236
2022-03-06,9.90957
2022-03-07,13.63913
2022-03-08,14.16347
2022-03-09,8.22005
2022-03-10,9.3337
2022-03-11,9.17367
2022-03-12,5.9543
2022-03-13,5.02572
2022-03-14,8.49329
2022-03-15,7.90145
2022-03-16,7.33211
