date,메지온주가
2021-05-17,5.95523
2021-05-18,5.54343
2021-05-19,0.58426
2021-05-20,5.94467
2021-05-21,6.39166
2021-05-22,0.44347
2021-05-23,0.45755
2021-05-24,6.52189
2021-05-25,9.12642
2021-05-26,10.1436
2021-05-27,8.12332
2021-05-28,7.98254
2021-05-29,0.80247
2021-05-30,0.49274
2021-05-31,6.14881
2021-06-01,6.62044
2021-06-02,7.58482
2021-06-03,8.63015
2021-06-04,6.17344
2021-06-05,0.90102
2021-06-06,0.64409
2021-06-07,7.83119
2021-06-08,9.12994
2021-06-09,7.62001
2021-06-10,9.13346
2021-06-11,8.8906
2021-06-12,0.94326
2021-06-13,2.67492
2021-06-14,10.78769
2021-06-15,8.155
2021-06-16,7.91918
2021-06-17,6.91609
2021-06-18,6.84921
2021-06-19,0.86935
2021-06-20,0.7356
2021-06-21,8.51048
2021-06-22,6.7753
2021-06-23,6.94776
2021-06-24,6.34239
2021-06-25,5.93763
2021-06-26,0.9151
2021-06-27,0.72152
2021-06-28,8.20779
2021-06-29,5.86019
2021-06-30,6.11361
2021-07-01,7.11319
2021-07-02,6.46909
2021-07-03,0.9151
2021-07-04,0.80951
2021-07-05,6.28255
2021-07-06,5.82852
2021-07-07,5.54343
2021-07-08,5.75461
2021-07-09,5.91299
2021-07-10,0.86231
2021-07-11,0.68632
2021-07-12,5.75109
2021-07-13,6.96888
2021-07-14,5.75461
2021-07-15,5.89187
2021-07-16,5.32521
2021-07-17,0.82711
2021-07-18,0.60889
2021-07-19,5.09995
2021-07-20,6.9548
2021-07-21,5.42376
2021-07-22,6.32479
2021-07-23,5.69477
2021-07-24,0.76024
2021-07-25,0.5385
2021-07-26,5.70533
2021-07-27,5.65606
2021-07-28,5.2161
2021-07-29,4.88877
2021-07-30,4.57905
2021-07-31,0.67577
2021-08-01,0.61945
2021-08-02,6.14529
2021-08-03,5.19146
2021-08-04,5.76165
2021-08-05,6.84217
2021-08-06,5.76165
2021-08-07,1.06293
2021-08-08,1.13332
2021-08-09,6.44446
2021-08-10,11.19597
2021-08-11,10.41813
2021-08-12,9.37983
2021-08-13,11.42826
2021-08-14,1.69294
2021-08-15,1.20723
2021-08-16,2.24201
2021-08-17,18.01703
2021-08-18,12.92411
2021-08-19,16.21497
2021-08-20,19.95987
2021-08-21,2.95649
2021-08-22,2.17513
2021-08-23,25.12318
2021-08-24,23.33169
2021-08-25,17.59115
2021-08-26,17.47149
2021-08-27,14.10671
2021-08-28,2.02731
2021-08-29,1.50288
2021-08-30,14.15599
2021-08-31,13.9976
2021-09-01,13.2268
2021-09-02,11.32268
2021-09-03,10.85456
2021-09-04,1.36913
2021-09-05,1.13684
2021-09-06,10.28086
2021-09-07,9.71068
2021-09-08,8.85893
2021-09-09,8.52104
2021-09-10,8.30634
2021-09-11,1.25651
2021-09-12,1.01717
2021-09-13,8.75334
2021-09-14,8.34154
2021-09-15,9.74588
2021-09-16,9.36928
2021-09-17,10.67154
2021-09-18,1.21427
2021-09-19,0.78135
2021-09-20,0.79191
2021-09-21,0.86231
2021-09-22,0.96438
2021-09-23,8.06349
2021-09-24,7.63761
2021-09-25,0.99605
2021-09-26,0.87639
2021-09-27,7.08855
2021-09-28,7.56722
2021-09-29,8.75686
2021-09-30,6.91961
2021-10-01,6.60988
2021-10-02,0.93974
2021-10-03,0.65465
2021-10-04,0.97845
2021-10-05,6.73659
2021-10-06,6.96888
2021-10-07,7.27157
2021-10-08,6.21568
2021-10-09,0.60537
2021-10-10,0.52442
2021-10-11,0.83767
2021-10-12,5.83204
2021-10-13,5.85316
2021-10-14,7.97902
2021-10-15,6.543
2021-10-16,0.70392
2021-10-17,0.64409
2021-10-18,5.56103
2021-10-19,6.21216
2021-10-20,5.56103
2021-10-21,4.8043
2021-10-22,4.73039
2021-10-23,0.46107
2021-10-24,0.36604
2021-10-25,5.09995
2021-10-26,5.24778
2021-10-27,4.89229
2021-10-28,4.71279
2021-10-29,4.43826
2021-10-30,0.60185
2021-10-31,0.5209
2021-11-01,5.59622
2021-11-02,4.99788
2021-11-03,4.81134
2021-11-04,4.95565
2021-11-05,4.6424
2021-11-06,0.54554
2021-11-07,0.46811
2021-11-08,5.0014
2021-11-09,4.54033
2021-11-10,4.36083
2021-11-11,4.50513
2021-11-12,6.9372
2021-11-13,1.23891
2021-11-14,2.4743
2021-11-15,10.74897
2021-11-16,9.78459
2021-11-17,7.5813
2021-11-18,9.8937
2021-11-19,10.87568
2021-11-20,1.68238
2021-11-21,1.23891
2021-11-22,11.19245
2021-11-23,11.44938
2021-11-24,9.35872
2021-11-25,9.54526
2021-11-26,8.36618
2021-11-27,1.15092
2021-11-28,0.86935
2021-11-29,8.34506
2021-11-30,7.9931
2021-12-01,7.90511
2021-12-02,7.17654
2021-12-03,7.07095
2021-12-04,0.9679
2021-12-05,0.78839
2021-12-06,6.88089
2021-12-07,6.46557
2021-12-08,6.94072
2021-12-09,7.27157
2021-12-10,6.1664
2021-12-11,0.82007
2021-12-12,0.57722
2021-12-13,6.3635
2021-12-14,6.00802
2021-12-15,6.00098
2021-12-16,6.44094
2021-12-17,5.09643
2021-12-18,0.93974
2021-12-19,0.95382
2021-12-20,6.09601
2021-12-21,5.74757
2021-12-22,5.56806
2021-12-23,6.53597
2021-12-24,6.53245
2021-12-25,0.96438
2021-12-26,1.03477
2021-12-27,13.23736
2021-12-28,11.03758
2021-12-29,19.13276
2021-12-30,15.51105
2021-12-31,4.51217
2022-01-01,1.39025
2022-01-02,1.69294
2022-01-03,14.58538
2022-01-04,13.21272
2022-01-05,10.79473
2022-01-06,9.77051
2022-01-07,11.75911
2022-01-08,1.99915
2022-01-09,1.91116
2022-01-10,14.14895
2022-01-11,11.10798
