date,근저당설정비용
2021-03-30,78.19548
2021-03-31,82.70676
2021-04-01,71.42857
2021-04-02,60.15037
2021-04-03,33.0827
2021-04-04,27.4436
2021-04-05,80.82706
2021-04-06,73.68421
2021-04-07,72.93233
2021-04-08,62.40601
2021-04-09,65.78947
2021-04-10,40.6015
2021-04-11,36.8421
2021-04-12,64.28571
2021-04-13,77.06766
2021-04-14,70.67669
2021-04-15,63.90977
2021-04-16,66.54135
2021-04-17,39.47368
2021-04-18,36.46616
2021-04-19,78.57142
2021-04-20,67.29323
2021-04-21,79.3233
2021-04-22,66.91729
2021-04-23,71.05263
2021-04-24,38.7218
2021-04-25,41.72932
2021-04-26,77.06766
2021-04-27,89.84962
2021-04-28,81.57894
2021-04-29,77.81954
2021-04-30,66.91729
2021-05-01,38.34586
2021-05-02,29.3233
2021-05-03,60.52631
2021-05-04,63.53383
2021-05-05,40.22556
2021-05-06,85.33834
2021-05-07,64.28571
2021-05-08,39.47368
2021-05-09,43.23308
2021-05-10,76.69172
2021-05-11,68.42105
2021-05-12,96.61654
2021-05-13,78.57142
2021-05-14,72.93233
2021-05-15,53.00751
2021-05-16,45.11278
2021-05-17,71.80451
2021-05-18,66.91729
2021-05-19,56.01503
2021-05-20,78.19548
2021-05-21,77.06766
2021-05-22,55.26315
2021-05-23,31.95488
2021-05-24,86.8421
2021-05-25,93.98496
2021-05-26,92.10526
2021-05-27,88.7218
2021-05-28,66.54135
2021-05-29,41.35338
2021-05-30,28.57142
2021-05-31,70.30075
2021-06-01,60.52631
2021-06-02,64.66165
2021-06-03,64.66165
2021-06-04,63.53383
2021-06-05,35.33834
2021-06-06,32.33082
2021-06-07,65.03759
2021-06-08,74.06015
2021-06-09,75.93984
2021-06-10,62.03007
2021-06-11,43.23308
2021-06-12,27.4436
2021-06-13,27.4436
2021-06-14,66.16541
2021-06-15,68.04511
2021-06-16,65.03759
2021-06-17,57.51879
2021-06-18,60.15037
2021-06-19,37.96992
2021-06-20,31.57894
2021-06-21,80.45112
2021-06-22,76.69172
2021-06-23,82.70676
2021-06-24,72.93233
2021-06-25,54.88721
2021-06-26,28.94736
2021-06-27,32.33082
2021-06-28,83.83458
2021-06-29,81.57894
2021-06-30,63.15789
2021-07-01,61.65413
2021-07-02,65.41353
2021-07-03,37.59398
2021-07-04,22.18045
2021-07-05,70.67669
2021-07-06,62.40601
2021-07-07,60.15037
2021-07-08,66.16541
2021-07-09,59.02255
2021-07-10,35.71428
2021-07-11,26.31578
2021-07-12,71.80451
2021-07-13,65.78947
2021-07-14,70.67669
2021-07-15,67.66917
2021-07-16,67.66917
2021-07-17,41.72932
2021-07-18,34.58646
2021-07-19,82.70676
2021-07-20,66.16541
2021-07-21,57.51879
2021-07-22,63.90977
2021-07-23,63.53383
2021-07-24,30.82706
2021-07-25,33.83458
2021-07-26,62.78195
2021-07-27,74.06015
2021-07-28,58.27067
2021-07-29,61.65413
2021-07-30,59.77443
2021-07-31,37.21804
2021-08-01,35.33834
2021-08-02,76.69172
2021-08-03,69.92481
2021-08-04,57.14285
2021-08-05,61.27819
2021-08-06,53.75939
2021-08-07,38.7218
2021-08-08,27.06766
2021-08-09,68.79699
2021-08-10,68.42105
2021-08-11,78.57142
2021-08-12,70.30075
2021-08-13,69.54887
2021-08-14,34.58646
2021-08-15,26.69172
2021-08-16,39.09774
2021-08-17,81.203
2021-08-18,80.82706
2021-08-19,77.06766
2021-08-20,66.16541
2021-08-21,34.58646
2021-08-22,31.203
2021-08-23,78.19548
2021-08-24,76.31578
2021-08-25,80.82706
2021-08-26,73.30827
2021-08-27,68.42105
2021-08-28,33.83458
2021-08-29,30.82706
2021-08-30,71.80451
2021-08-31,76.31578
2021-09-01,60.15037
2021-09-02,69.54887
2021-09-03,61.65413
2021-09-04,40.97744
2021-09-05,40.22556
2021-09-06,81.57894
2021-09-07,71.05263
2021-09-08,61.27819
2021-09-09,68.42105
2021-09-10,60.90225
2021-09-11,38.34586
2021-09-12,35.71428
2021-09-13,73.30827
2021-09-14,66.54135
2021-09-15,65.03759
2021-09-16,70.30075
2021-09-17,44.3609
2021-09-18,26.31578
2021-09-19,21.42857
2021-09-20,16.16541
2021-09-21,20.67669
2021-09-22,30.82706
2021-09-23,73.68421
2021-09-24,69.54887
2021-09-25,35.33834
2021-09-26,26.31578
2021-09-27,89.09774
2021-09-28,85.33834
2021-09-29,73.30827
2021-09-30,85.71428
2021-10-01,67.29323
2021-10-02,36.8421
2021-10-03,30.82706
2021-10-04,41.72932
2021-10-05,96.61654
2021-10-06,64.28571
2021-10-07,80.07518
2021-10-08,65.41353
2021-10-09,32.33082
2021-10-10,25.5639
2021-10-11,42.4812
2021-10-12,78.19548
2021-10-13,63.53383
2021-10-14,84.9624
2021-10-15,58.27067
2021-10-16,34.58646
2021-10-17,33.83458
2021-10-18,68.42105
2021-10-19,73.30827
2021-10-20,75.18796
2021-10-21,75.5639
2021-10-22,49.24812
2021-10-23,25.5639
2021-10-24,19.92481
2021-10-25,45.48872
2021-10-26,52.25563
2021-10-27,54.88721
2021-10-28,70.30075
2021-10-29,63.15789
2021-10-30,29.69924
2021-10-31,30.45112
2021-11-01,72.93233
2021-11-02,73.68421
2021-11-03,75.18796
2021-11-04,69.92481
2021-11-05,70.67669
2021-11-06,37.59398
2021-11-07,35.33834
2021-11-08,67.66917
2021-11-09,73.30827
2021-11-10,62.03007
2021-11-11,65.03759
2021-11-12,61.27819
2021-11-13,36.8421
2021-11-14,25.18796
2021-11-15,56.01503
2021-11-16,75.18796
2021-11-17,62.78195
2021-11-18,60.52631
2021-11-19,51.50375
2021-11-20,33.83458
2021-11-21,25.5639
2021-11-22,66.54135
2021-11-23,62.78195
2021-11-24,70.30075
2021-11-25,67.66917
2021-11-26,57.89473
2021-11-27,31.57894
2021-11-28,29.3233
2021-11-29,85.71428
2021-11-30,57.89473
2021-12-01,57.51879
2021-12-02,60.52631
2021-12-03,51.50375
2021-12-04,31.203
2021-12-05,25.93984
2021-12-06,67.66917
2021-12-07,75.93984
2021-12-08,67.29323
2021-12-09,59.39849
2021-12-10,58.27067
2021-12-11,38.7218
2021-12-12,27.4436
2021-12-13,66.91729
2021-12-14,78.94736
2021-12-15,70.67669
