date,슈퍼워크코인
2023-03-26,1.67714
2023-03-27,1.04821
2023-03-28,1.88679
2023-03-31,1.88679
2023-04-01,2.09643
2023-04-02,1.04821
2023-04-03,1.88679
2023-04-04,2.51572
2023-04-05,1.04821
2023-04-06,1.4675
2023-04-07,1.67714
2023-04-08,1.04821
2023-04-09,1.04821
2023-04-10,1.25786
2023-04-11,1.88679
2023-04-12,1.88679
2023-04-13,5.66037
2023-04-14,25.15723
2023-04-15,9.43396
2023-04-16,8.1761
2023-04-17,7.75681
2023-04-18,7.54716
2023-04-19,3.14465
2023-04-20,3.77358
2023-04-22,2.51572
2023-04-23,2.72536
2023-04-24,1.25786
2023-04-25,1.04821
2023-04-26,2.93501
2023-04-27,1.04821
2023-04-28,2.09643
2023-04-29,1.67714
2023-04-30,1.67714
2023-05-01,2.30607
2023-05-02,2.72536
2023-05-03,2.72536
2023-05-04,2.51572
2023-05-05,1.25786
2023-05-06,2.09643
2023-05-07,3.56394
2023-05-08,3.56394
2023-05-09,3.56394
2023-05-10,3.14465
2023-05-11,3.35429
2023-05-12,4.40251
2023-05-13,1.4675
2023-05-14,2.51572
2023-05-15,2.51572
2023-05-16,1.88679
2023-05-17,4.8218
2023-05-18,3.35429
2023-05-19,2.93501
2023-05-20,2.93501
2023-05-22,1.25786
2023-05-23,3.98322
2023-05-24,4.40251
2023-05-25,1.25786
2023-05-27,1.04821
2023-05-28,1.67714
2023-05-29,4.19287
2023-05-30,24.10901
2023-05-31,5.66037
2023-06-01,2.93501
2023-06-02,2.93501
2023-06-03,2.93501
2023-06-04,1.67714
2023-06-05,3.56394
2023-06-06,1.04821
2023-06-07,2.09643
2023-06-08,2.93501
2023-06-09,1.88679
2023-06-10,1.25786
2023-06-11,1.88679
2023-06-12,4.40251
2023-06-13,3.56394
2023-06-14,6.2893
2023-06-15,4.40251
2023-06-16,4.19287
2023-06-17,1.04821
2023-06-18,2.09643
2023-06-19,2.51572
2023-06-20,72.53668
2023-06-21,25.57651
2023-06-22,22.6415
2023-06-23,20.33542
2023-06-24,12.36897
2023-06-25,12.15932
2023-06-26,8.1761
2023-06-27,9.85324
2023-06-28,10.90146
2023-06-29,10.06289
2023-06-30,11.53039
2023-07-01,4.8218
2023-07-02,5.66037
2023-07-03,8.1761
2023-07-04,14.25576
2023-07-05,11.94968
2023-07-06,7.12788
2023-07-07,5.45073
2023-07-08,6.07966
2023-07-09,5.66037
2023-07-10,6.07966
2023-07-11,6.2893
2023-07-12,5.87002
2023-07-13,7.54716
2023-07-14,5.24109
2023-07-15,4.61215
2023-07-16,4.8218
2023-07-17,5.45073
2023-07-18,5.45073
2023-07-19,6.91823
2023-07-20,7.96645
2023-07-21,3.14465
2023-07-22,3.56394
2023-07-23,3.77358
2023-07-24,4.19287
2023-07-25,5.03144
2023-07-26,3.35429
2023-07-27,3.35429
2023-07-28,5.03144
2023-07-29,1.88679
2023-07-30,1.25786
2023-07-31,8.1761
2023-08-01,26.83438
2023-08-02,13.20754
2023-08-03,8.1761
2023-08-04,5.87002
2023-08-05,3.56394
2023-08-06,3.98322
2023-08-07,6.49895
2023-08-08,7.33752
2023-08-09,6.07966
2023-08-10,4.61215
2023-08-11,7.96645
2023-08-12,12.15932
2023-08-13,7.33752
2023-08-14,6.91823
2023-08-15,5.45073
2023-08-16,10.06289
2023-08-17,6.2893
2023-08-18,7.54716
2023-08-19,5.45073
2023-08-20,7.33752
2023-08-21,5.45073
2023-08-22,8.80503
2023-08-23,11.32075
2023-08-24,7.54716
2023-08-25,7.12788
2023-08-26,3.77358
2023-08-27,5.03144
2023-08-28,11.53039
2023-08-29,10.27253
2023-08-30,9.01467
2023-08-31,8.38574
2023-09-01,4.61215
2023-09-02,5.03144
2023-09-03,3.98322
2023-09-04,5.87002
2023-09-05,11.11111
2023-09-06,10.90146
2023-09-07,13.20754
2023-09-08,14.04612
2023-09-09,4.40251
2023-09-10,3.98322
2023-09-11,10.27253
2023-09-12,11.11111
2023-09-13,16.3522
2023-09-14,31.86582
2023-09-15,15.93291
2023-09-16,8.80503
2023-09-17,7.75681
2023-09-18,9.22431
2023-09-19,11.53039
2023-09-20,10.48218
2023-09-21,9.01467
2023-09-22,6.49895
2023-09-23,6.07966
2023-09-24,6.49895
2023-09-25,8.1761
2023-09-26,10.06289
2023-09-27,5.87002
2023-09-28,5.66037
2023-09-29,4.19287
2023-09-30,6.2893
2023-10-01,6.70859
2023-10-02,7.54716
2023-10-03,4.19287
2023-10-04,7.12788
2023-10-05,6.49895
2023-10-06,2.93501
2023-10-07,3.14465
2023-10-08,3.77358
2023-10-09,4.19287
2023-10-10,6.70859
2023-10-11,5.03144
2023-10-12,5.03144
2023-10-13,5.24109
2023-10-14,3.77358
2023-10-15,4.61215
2023-10-16,7.75681
2023-10-17,6.07966
2023-10-18,5.87002
2023-10-19,8.59538
2023-10-20,7.54716
2023-10-21,7.12788
2023-10-22,8.59538
2023-10-23,10.90146
2023-10-24,10.69182
2023-10-25,6.70859
2023-10-26,6.2893
2023-10-27,7.96645
2023-10-28,6.91823
2023-10-29,7.12788
2023-10-30,8.80503
2023-10-31,7.75681
2023-11-01,7.33752
2023-11-02,9.85324
2023-11-03,7.54716
2023-11-04,7.54716
2023-11-05,6.49895
2023-11-06,10.48218
2023-11-07,5.03144
2023-11-08,6.07966
2023-11-09,6.2893
2023-11-10,4.8218
2023-11-11,7.33752
2023-11-12,7.75681
2023-11-13,9.85324
2023-11-14,9.6436
2023-11-15,10.06289
2023-11-16,6.70859
2023-11-17,6.49895
2023-11-18,5.45073
2023-11-19,5.03144
2023-11-20,6.2893
2023-11-21,10.48218
2023-11-22,7.33752
2023-11-23,8.38574
2023-11-24,8.1761
2023-11-25,5.03144
2023-11-26,6.70859
2023-11-27,20.33542
2023-11-28,10.27253
2023-11-29,10.27253
2023-11-30,8.38574
2023-12-01,8.59538
2023-12-02,11.53039
2023-12-03,10.27253
2023-12-04,20.12578
2023-12-05,16.56184
2023-12-06,12.57861
2023-12-07,12.36897
2023-12-08,15.93291
2023-12-09,12.57861
2023-12-10,15.30398
2023-12-11,10.69182
2023-12-12,9.85324
2023-12-13,16.98113
2023-12-14,11.32075
2023-12-15,10.90146
2023-12-16,9.85324
2023-12-17,11.53039
2023-12-18,12.9979
2023-12-19,15.51362
2023-12-20,13.20754
2023-12-21,11.53039
2023-12-22,9.22431
2023-12-23,7.96645
2023-12-24,11.74004
2023-12-25,9.01467
2023-12-26,15.30398
2023-12-27,100.0
2023-12-28,47.79874
2023-12-29,28.09224
2023-12-30,19.07756
2023-12-31,11.94968
2024-01-01,21.38364
2024-01-02,23.48008
2024-01-03,17.8197
2024-01-04,13.20754
2024-01-05,11.94968
2024-01-06,14.88469
2024-01-07,11.74004
2024-01-08,14.04612
2024-01-09,15.72327
2024-01-10,10.48218
2024-01-11,13.41719
2024-01-12,9.43396
2024-01-13,7.12788
2024-01-14,5.87002
2024-01-15,8.38574
2024-01-16,15.09433
2024-01-17,8.59538
2024-01-18,7.96645
2024-01-19,7.54716
2024-01-20,5.87002
2024-01-21,5.66037
2024-01-22,5.66037
2024-01-23,7.12788
2024-01-24,6.49895
2024-01-25,6.91823
2024-01-26,8.1761
2024-01-27,5.03144
2024-01-28,6.2893
2024-01-29,8.38574
2024-01-30,7.54716
2024-01-31,5.66037
2024-02-01,5.24109
2024-02-02,6.2893
2024-02-03,5.24109
2024-02-04,5.03144
2024-02-05,5.03144
2024-02-06,7.33752
2024-02-07,6.49895
2024-02-08,5.03144
2024-02-09,5.03144
2024-02-10,4.40251
2024-02-11,5.45073
2024-02-12,5.24109
2024-02-13,6.49895
2024-02-14,6.70859
2024-02-15,7.96645
2024-02-16,7.96645
2024-02-17,6.2893
2024-02-18,6.91823
2024-02-19,20.96436
2024-02-20,12.78825
2024-02-21,11.94968
2024-02-22,12.36897
2024-02-23,13.83647
2024-02-24,10.48218
2024-02-25,8.59538
2024-02-26,16.3522
2024-02-27,10.69182
2024-02-28,13.41719
2024-02-29,12.36897
2024-03-01,9.6436
2024-03-02,28.93081
2024-03-03,42.97693
2024-03-04,33.12368
2024-03-05,25.36687
2024-03-06,18.65828
2024-03-07,14.25576
2024-03-08,15.30398
2024-03-09,13.20754
2024-03-10,11.94968
2024-03-11,22.85115
2024-03-12,88.25995
2024-03-13,30.18867
2024-03-14,20.12578
2024-03-15,13.62683
2024-03-16,15.30398
2024-03-17,10.27253
2024-03-18,18.86792
2024-03-19,14.25576
2024-03-20,15.09433
