date,엔환율
2021-05-11,1.57723
2021-05-12,1.70116
2021-05-13,1.63195
2021-05-14,1.44365
2021-05-15,0.7355
2021-05-16,0.72585
2021-05-17,1.67863
2021-05-18,1.68184
2021-05-19,0.98335
2021-05-20,1.54504
2021-05-21,1.3664
2021-05-22,0.73389
2021-05-23,0.66952
2021-05-24,1.50964
2021-05-25,1.63034
2021-05-26,1.44365
2021-05-27,1.48228
2021-05-28,1.70599
2021-05-29,0.73228
2021-05-30,0.78861
2021-05-31,1.90555
2021-06-01,1.79128
2021-06-02,1.57723
2021-06-03,1.43238
2021-06-04,1.35996
2021-06-05,0.62284
2021-06-06,0.68078
2021-06-07,1.47423
2021-06-08,1.49837
2021-06-09,1.4694
2021-06-10,1.41951
2021-06-11,1.38088
2021-06-12,0.69205
2021-06-13,0.67273
2021-06-14,1.25374
2021-06-15,1.42112
2021-06-16,1.37122
2021-06-17,1.37283
2021-06-18,1.45974
2021-06-19,0.74516
2021-06-20,0.79505
2021-06-21,1.78485
2021-06-22,1.25374
2021-06-23,1.42273
2021-06-24,1.41307
2021-06-25,1.32938
2021-06-26,0.70653
2021-06-27,0.70814
2021-06-28,1.29236
2021-06-29,1.32777
2021-06-30,1.39537
2021-07-01,1.27788
2021-07-02,1.19741
2021-07-03,0.68883
2021-07-04,0.66469
2021-07-05,1.53056
2021-07-06,1.49032
2021-07-07,1.53539
2021-07-08,1.94096
2021-07-09,1.95384
2021-07-10,0.85138
2021-07-11,0.8208
2021-07-12,1.7092
2021-07-13,1.56918
2021-07-14,1.68828
2021-07-15,1.76875
2021-07-16,1.57884
2021-07-17,0.84977
2021-07-18,0.84172
2021-07-19,1.77358
2021-07-20,2.26607
2021-07-21,1.94901
2021-07-22,1.72852
2021-07-23,1.47745
2021-07-24,0.89805
2021-07-25,0.93829
2021-07-26,1.87819
2021-07-27,1.6239
2021-07-28,1.78163
2021-07-29,1.52251
2021-07-30,1.55148
2021-07-31,0.78378
2021-08-01,0.75321
2021-08-02,1.63195
2021-08-03,1.70759
2021-08-04,1.75105
2021-08-05,1.6577
2021-08-06,1.47101
2021-08-07,0.94151
2021-08-08,0.8546
2021-08-09,1.57401
2021-08-10,1.68506
2021-08-11,1.64483
2021-08-12,1.73013
2021-08-13,2.08098
2021-08-14,1.13625
2021-08-15,1.14269
2021-08-16,1.52251
2021-08-17,3.05146
2021-08-18,2.60887
2021-08-19,2.44954
2021-08-20,2.50748
2021-08-21,1.15234
2021-08-22,1.12498
2021-08-23,2.42701
2021-08-24,2.24836
2021-08-25,2.17755
2021-08-26,2.1019
2021-08-27,1.92326
2021-08-28,0.89162
2021-08-29,0.81275
2021-08-30,1.68828
2021-08-31,1.71564
2021-09-01,1.7092
2021-09-02,1.71081
2021-09-03,1.53861
2021-09-04,0.79022
2021-09-05,0.80954
2021-09-06,1.71725
2021-09-07,1.48067
2021-09-08,1.70277
2021-09-09,1.6223
2021-09-10,1.63356
2021-09-11,0.75321
2021-09-12,0.84816
2021-09-13,1.69794
2021-09-14,1.66897
2021-09-15,1.77197
2021-09-16,1.53217
2021-09-17,1.6239
2021-09-18,0.86747
2021-09-19,0.69044
2021-09-20,0.94312
2021-09-21,1.19741
2021-09-22,1.21672
2021-09-23,2.4093
2021-09-24,2.07615
2021-09-25,0.91737
2021-09-26,0.86747
2021-09-27,1.83313
2021-09-28,1.52895
2021-09-29,1.73978
2021-09-30,1.68828
2021-10-01,1.73656
2021-10-02,0.98979
2021-10-03,0.79022
2021-10-04,1.14591
2021-10-05,1.79289
2021-10-06,1.81382
2021-10-07,1.80416
2021-10-08,1.57079
2021-10-09,0.8369
2021-10-10,0.76769
2021-10-11,1.18936
2021-10-12,2.02465
2021-10-13,1.88302
2021-10-14,1.72047
2021-10-15,2.02787
2021-10-16,0.9914
2021-10-17,0.81758
2021-10-18,1.82508
2021-10-19,1.75749
2021-10-20,2.08259
2021-10-21,1.88946
2021-10-22,1.73174
2021-10-23,0.72906
2021-10-24,0.69688
2021-10-25,1.81704
2021-10-26,1.87176
2021-10-27,1.56597
2021-10-28,1.65126
2021-10-29,1.37444
2021-10-30,0.84816
2021-10-31,0.77091
2021-11-01,1.78646
2021-11-02,1.67541
2021-11-03,1.55792
2021-11-04,1.6223
2021-11-05,1.57401
2021-11-06,0.84011
2021-11-07,0.75964
2021-11-08,1.60298
2021-11-09,2.00051
2021-11-10,1.70116
2021-11-11,1.51285
2021-11-12,1.54182
2021-11-13,0.73872
2021-11-14,0.67273
2021-11-15,1.46135
2021-11-16,1.48228
2021-11-17,1.60137
2021-11-18,1.47584
2021-11-19,1.34708
2021-11-20,0.84816
2021-11-21,0.787
2021-11-22,1.65287
2021-11-23,1.5885
2021-11-24,1.63356
2021-11-25,1.57723
2021-11-26,1.63839
2021-11-27,0.9061
2021-11-28,0.82402
2021-11-29,2.09868
2021-11-30,1.82991
2021-12-01,1.743
2021-12-02,1.52251
2021-12-03,1.42273
2021-12-04,0.70492
2021-12-05,0.684
2021-12-06,1.51929
2021-12-07,1.46135
2021-12-08,1.29236
2021-12-09,1.44848
2021-12-10,1.30363
2021-12-11,0.65503
2021-12-12,0.62928
2021-12-13,1.44687
2021-12-14,1.32455
2021-12-15,1.38571
2021-12-16,1.33904
2021-12-17,1.29558
2021-12-18,0.71941
2021-12-19,0.71941
2021-12-20,1.67702
2021-12-21,1.50481
2021-12-22,1.40663
2021-12-23,1.40019
2021-12-24,1.31811
2021-12-25,0.62284
2021-12-26,0.66308
2021-12-27,1.43238
2021-12-28,1.34708
2021-12-29,1.27627
2021-12-30,1.25213
2021-12-31,0.91254
2022-01-01,0.67595
2022-01-02,0.71941
2022-01-03,1.19741
2022-01-04,1.32133
2022-01-05,1.34869
2022-01-06,1.72047
2022-01-07,1.5724
2022-01-08,0.85782
2022-01-09,0.80471
2022-01-10,1.44365
2022-01-11,1.38088
2022-01-12,1.41307
2022-01-13,1.5209
2022-01-14,1.59172
2022-01-15,0.90449
2022-01-16,0.8723
2022-01-17,1.52251
2022-01-18,1.51124
2022-01-19,1.38732
2022-01-20,1.35513
2022-01-21,1.56436
2022-01-22,0.80149
2022-01-23,0.81919
2022-01-24,1.72691
2022-01-25,1.88624
2022-01-26,1.68345
2022-01-27,1.59333
2022-01-28,1.35352
2022-01-29,0.72102
2022-01-30,0.75482
2022-01-31,0.84816
2022-02-01,0.99784
2022-02-02,1.05417
2022-02-03,1.77358
2022-02-04,1.5547
2022-02-05,0.87713
2022-02-06,0.78861
2022-02-07,1.51768
2022-02-08,1.4018
2022-02-09,1.41307
2022-02-10,1.35674
2022-02-11,1.28753
2022-02-12,0.79022
2022-02-13,0.72585
2022-02-14,1.66897
2022-02-15,1.37927
2022-02-16,1.24408
2022-02-17,1.27949
2022-02-18,1.43238
2022-02-19,0.78218
2022-02-20,0.7355
2022-02-21,1.42595
2022-02-22,1.5547
2022-02-23,1.23442
2022-02-24,2.05362
2022-02-25,1.74622
2022-02-26,0.88035
2022-02-27,0.84011
2022-02-28,1.60942
2022-03-01,1.12337
2022-03-02,1.62069
2022-03-03,1.37927
2022-03-04,1.57562
2022-03-05,0.96726
2022-03-06,0.86587
2022-03-07,2.6137
2022-03-08,2.35297
2022-03-09,1.31168
2022-03-10,1.88302
2022-03-11,1.92809
2022-03-12,1.09119
2022-03-13,1.03646
2022-03-14,1.8959
2022-03-15,1.95223
2022-03-16,1.86854
2022-03-17,2.70383
2022-03-18,2.38999
2022-03-19,1.89107
2022-03-20,1.53861
2022-03-21,2.22744
2022-03-22,3.02732
2022-03-23,5.01335
2022-03-24,3.31058
2022-03-25,4.39694
2022-03-26,1.73656
2022-03-27,1.66575
2022-03-28,5.88727
2022-03-29,7.04928
2022-03-30,5.9436
2022-03-31,4.72527
2022-04-01,3.68558
2022-04-02,1.8798
2022-04-03,1.76875
2022-04-04,3.77892
2022-04-05,3.89158
2022-04-06,4.31325
2022-04-07,4.24727
2022-04-08,3.74191
2022-04-09,1.68667
2022-04-10,1.50642
2022-04-11,4.35188
2022-04-12,4.4581
2022-04-13,5.36421
2022-04-14,5.5332
2022-04-15,4.95059
2022-04-16,2.07937
2022-04-17,1.78968
2022-04-18,5.50423
2022-04-19,8.53156
2022-04-20,7.93607
2022-04-21,6.50851
2022-04-22,5.47365
2022-04-23,2.88247
2022-04-24,2.43988
2022-04-25,7.08629
2022-04-26,6.68394
2022-04-27,7.7365
2022-04-28,8.27083
2022-04-29,8.09218
2022-04-30,3.01284
2022-05-01,2.55737
2022-05-02,6.37171
2022-05-03,5.43663
2022-05-04,4.85724
2022-05-05,2.92271
2022-05-06,5.90497
2022-05-07,2.85351
2022-05-08,3.74191
2022-05-09,7.19412
2022-05-10,6.59864
2022-05-11,5.84704
2022-05-12,8.96127
2022-05-13,8.49132
2022-05-14,3.08204
2022-05-15,2.63623
2022-05-16,6.31377
2022-05-17,6.30411
2022-05-18,5.81646
2022-05-19,6.35079
2022-05-20,5.57665
2022-05-21,2.54932
2022-05-22,2.2548
2022-05-23,5.28696
2022-05-24,5.34972
2022-05-25,4.94898
2022-05-26,5.03106
2022-05-27,5.33685
2022-05-28,2.31918
2022-05-29,2.08581
2022-05-30,6.93179
2022-05-31,8.76814
2022-06-01,3.80789
2022-06-02,7.70914
2022-06-03,8.2837
2022-06-04,2.87443
2022-06-05,2.34815
2022-06-06,3.33633
2022-06-07,11.96124
2022-06-08,12.34428
2022-06-09,11.98216
2022-06-10,11.75041
2022-06-11,4.817
2022-06-12,3.64695
2022-06-13,12.49879
2022-06-14,11.4414
2022-06-15,9.37328
2022-06-16,9.21073
2022-06-17,10.42263
2022-06-18,3.9463
2022-06-19,3.34116
2022-06-20,9.60665
2022-06-21,8.25956
2022-06-22,11.26758
2022-06-23,11.62004
2022-06-24,8.65226
2022-06-25,4.24888
2022-06-26,3.59706
2022-06-27,8.8808
2022-06-28,8.9999
2022-06-29,8.7955
2022-06-30,7.8395
2022-07-01,8.29658
2022-07-02,3.0241
2022-07-03,2.70705
2022-07-04,7.07825
2022-07-05,7.91032
2022-07-06,8.93713
2022-07-07,7.64154
2022-07-08,11.49129
2022-07-09,3.95274
2022-07-10,2.91788
2022-07-11,9.3588
2022-07-12,9.36524
2022-07-13,8.73112
2022-07-14,9.92693
2022-07-15,10.5707
2022-07-16,3.42002
2022-07-17,3.28
2022-07-18,7.98757
2022-07-19,7.40335
2022-07-20,8.78906
2022-07-21,8.51707
2022-07-22,7.49026
2022-07-23,3.19309
2022-07-24,3.44416
2022-07-25,8.77458
2022-07-26,7.01065
2022-07-27,6.23491
2022-07-28,6.42321
2022-07-29,7.99562
2022-07-30,3.21402
2022-07-31,2.65876
2022-08-01,9.55354
2022-08-02,12.47143
2022-08-03,9.75472
2022-08-04,8.16139
2022-08-05,7.2923
2022-08-06,2.8873
2022-08-07,2.76821
2022-08-08,7.38886
2022-08-09,6.64692
2022-08-10,6.75314
2022-08-11,7.2585
2022-08-12,6.37493
2022-08-13,2.47046
2022-08-14,2.82293
2022-08-15,3.45865
2022-08-16,6.84649
2022-08-17,6.23491
2022-08-18,6.27836
2022-08-19,6.49402
2022-08-20,2.87604
2022-08-21,2.62658
2022-08-22,8.88402
2022-08-23,8.42694
2022-08-24,7.10078
2022-08-25,6.34757
2022-08-26,5.93877
2022-08-27,2.55415
2022-08-28,2.43666
2022-08-29,7.8041
2022-08-30,6.23813
2022-08-31,6.51012
2022-09-01,7.26333
2022-09-02,8.61364
2022-09-03,3.16734
2022-09-04,2.79718
2022-09-05,8.44948
2022-09-06,8.04068
2022-09-07,12.37164
2022-09-08,9.74345
2022-09-09,4.3728
2022-09-10,3.92216
2022-09-11,4.92323
2022-09-12,5.14533
2022-09-13,10.87327
2022-09-14,12.81906
2022-09-15,13.78794
2022-09-16,12.13506
2022-09-17,5.67
2022-09-18,5.40927
2022-09-19,10.9473
2022-09-20,10.61898
2022-09-21,10.12971
2022-09-22,20.43164
2022-09-23,23.66981
2022-09-24,9.80139
2022-09-25,6.89477
2022-09-26,20.76479
2022-09-27,18.56632
2022-09-28,18.12856
2022-09-29,14.88717
2022-09-30,13.38236
2022-10-01,6.54714
2022-10-02,5.84543
2022-10-03,7.16676
2022-10-04,16.19564
2022-10-05,14.77773
2022-10-06,20.14999
2022-10-07,15.01271
2022-10-08,6.08845
2022-10-09,5.22258
2022-10-10,7.17159
2022-10-11,14.73911
2022-10-12,17.88392
2022-10-13,16.58995
2022-10-14,18.89464
2022-10-15,10.75578
2022-10-16,6.97363
2022-10-17,18.05452
2022-10-18,25.64618
2022-10-19,27.17996
2022-10-20,25.48363
2022-10-21,23.91444
2022-10-22,15.34908
2022-10-23,9.93658
2022-10-24,22.0459
2022-10-25,17.95313
2022-10-26,15.44564
2022-10-27,15.63878
2022-10-28,13.90221
2022-10-29,8.22898
2022-10-30,5.49135
2022-10-31,15.01271
2022-11-01,17.44294
2022-11-02,13.78311
2022-11-03,13.78311
2022-11-04,14.02291
2022-11-05,6.39907
2022-11-06,5.66517
2022-11-07,18.82866
2022-11-08,28.37415
2022-11-09,32.73409
2022-11-10,28.80226
2022-11-11,36.72224
2022-11-12,11.64901
2022-11-13,9.09164
2022-11-14,25.28406
2022-11-15,22.952
2022-11-16,18.06096
2022-11-17,19.80236
2022-11-18,17.32545
2022-11-19,7.35346
2022-11-20,6.73705
2022-11-21,16.85067
2022-11-22,16.40647
2022-11-23,14.09534
2022-11-24,16.00894
2022-11-25,13.48697
2022-11-26,6.18341
2022-11-27,5.86313
2022-11-28,15.53255
2022-11-29,16.27128
2022-11-30,19.39034
2022-12-01,19.40483
2022-12-02,14.99983
2022-12-03,6.24617
2022-12-04,6.5246
2022-12-05,16.55293
2022-12-06,15.4891
2022-12-07,15.8818
2022-12-08,14.49769
2022-12-09,16.6511
2022-12-10,6.57932
2022-12-11,6.01281
2022-12-12,14.23375
2022-12-13,20.02285
2022-12-14,14.68278
2022-12-15,13.78311
2022-12-16,13.20211
2022-12-17,5.91624
2022-12-18,6.01442
2022-12-19,13.9183
2022-12-20,26.1628
2022-12-21,24.89297
2022-12-22,19.21331
2022-12-23,14.33997
2022-12-24,6.32182
2022-12-25,6.07235
2022-12-26,15.32816
2022-12-27,17.72942
2022-12-28,23.11777
2022-12-29,17.90646
2022-12-30,14.07924
2022-12-31,7.60131
2023-01-01,6.98812
2023-01-02,17.32062
2023-01-03,19.93916
2023-01-04,16.9746
2023-01-05,19.37425
2023-01-06,27.63543
2023-01-07,9.57607
2023-01-08,7.71558
2023-01-09,26.09843
2023-01-10,26.91441
2023-01-11,22.30984
2023-01-12,19.78948
2023-01-13,20.8678
2023-01-14,11.08732
2023-01-15,9.5133
2023-01-16,19.82167
2023-01-17,17.84369
2023-01-18,27.80925
2023-01-19,19.10709
2023-01-20,17.1967
2023-01-21,9.07393
2023-01-22,8.20806
2023-01-23,9.40708
2023-01-24,13.05243
2023-01-25,24.85273
2023-01-26,17.28683
2023-01-27,16.98265
2023-01-28,7.68017
2023-01-29,6.83039
2023-01-30,20.73743
2023-01-31,16.65915
2023-02-01,15.03685
2023-02-02,14.29008
2023-02-03,13.77506
2023-02-04,7.18125
2023-02-05,6.31538
2023-02-06,19.25998
2023-02-07,14.93868
2023-02-08,15.05938
2023-02-09,14.11948
2023-02-10,13.9521
2023-02-11,7.4629
2023-02-12,6.32825
2023-02-13,15.68062
2023-02-14,14.75037
2023-02-15,14.53149
2023-02-16,14.2933
2023-02-17,12.82228
2023-02-18,6.86902
2023-02-19,6.00315
2023-02-20,14.7713
2023-02-21,12.54385
2023-02-22,11.9548
2023-02-23,13.8491
2023-02-24,11.68764
2023-02-25,5.84704
2023-02-26,5.33041
2023-02-27,13.65114
2023-02-28,13.18279
2023-03-01,9.222
