date,인공지능
2021-01-29,33.65594
2021-01-30,33.18763
2021-01-31,25.7571
2021-02-01,32.90665
2021-02-02,35.27942
2021-02-03,30.37777
2021-02-04,31.00218
2021-02-05,28.28598
2021-02-06,22.2916
2021-02-07,19.79394
2021-02-08,23.60287
2021-02-09,22.04183
2021-02-10,19.85638
2021-02-11,16.73431
2021-02-12,13.7059
2021-02-13,15.04839
2021-02-14,21.91695
2021-02-15,28.50452
2021-02-16,24.97658
2021-02-17,23.9463
2021-02-18,23.66531
2021-02-19,21.97939
2021-02-20,15.01717
2021-02-21,17.63971
2021-02-22,22.75991
2021-02-23,22.32282
2021-02-24,22.79113
2021-02-25,22.10427
2021-02-26,18.38901
2021-02-27,15.76646
2021-02-28,20.60568
2021-03-01,22.35404
2021-03-02,36.77802
2021-03-03,56.41586
2021-03-04,62.5039
2021-03-05,50.98345
2021-03-06,28.16109
2021-03-07,38.02684
2021-03-08,73.83702
2021-03-09,82.0793
2021-03-10,82.9847
2021-03-11,86.73118
2021-03-12,69.09147
2021-03-13,37.24633
2021-03-14,47.33062
2021-03-15,93.72463
2021-03-16,99.21948
2021-03-17,82.73493
2021-03-18,77.58351
2021-03-19,68.84171
2021-03-20,37.43365
2021-03-21,49.48485
2021-03-22,81.36122
2021-03-23,68.56072
2021-03-24,70.12176
2021-03-25,77.77083
2021-03-26,62.94099
2021-03-27,35.65407
2021-03-28,47.8926
2021-03-29,71.0896
2021-03-30,71.40181
2021-03-31,81.4861
2021-04-01,85.10771
2021-04-02,69.02903
2021-04-03,43.92756
2021-04-04,52.98157
2021-04-05,81.36122
2021-04-06,85.17015
2021-04-07,81.64221
2021-04-08,89.32251
2021-04-09,72.55697
2021-04-10,37.68342
2021-04-11,50.7649
2021-04-12,80.67436
2021-04-13,86.38776
2021-04-14,75.52294
2021-04-15,78.48891
2021-04-16,66.50015
2021-04-17,37.46487
2021-04-18,50.32781
2021-04-19,76.58445
2021-04-20,74.14923
2021-04-21,67.59288
2021-04-22,68.43584
2021-04-23,68.37339
2021-04-24,30.40899
2021-04-25,42.1792
2021-04-26,57.04027
2021-04-27,58.41398
2021-04-28,51.5142
2021-04-29,55.8851
2021-04-30,50.51514
2021-05-01,25.9132
2021-05-02,37.46487
2021-05-03,55.47923
2021-05-04,53.0128
2021-05-05,36.27848
2021-05-06,60.81798
2021-05-07,55.8851
2021-05-08,30.62753
2021-05-09,55.13581
2021-05-10,89.26006
2021-05-11,83.20324
2021-05-12,78.11426
2021-05-13,80.86169
2021-05-14,63.5654
2021-05-15,34.96721
2021-05-16,53.04402
2021-05-17,74.77364
2021-05-18,64.06493
2021-05-19,48.48579
2021-05-20,78.55135
2021-05-21,66.59381
2021-05-22,40.77427
2021-05-23,55.22947
