date,적금이율
2021-02-28,10.82251
2021-03-01,14.21356
2021-03-02,22.00577
2021-03-03,19.19191
2021-03-04,21.50072
2021-03-05,19.04761
2021-03-06,10.31746
2021-03-07,9.5238
2021-03-08,18.25396
2021-03-09,17.82106
2021-03-10,20.77922
2021-03-11,16.66666
2021-03-12,19.62481
2021-03-13,8.9466
2021-03-14,10.53391
2021-03-15,17.96536
2021-03-16,17.67676
2021-03-17,23.44877
2021-03-18,18.83116
2021-03-19,19.11976
2021-03-20,11.18326
2021-03-21,10.10101
2021-03-22,17.96536
2021-03-23,18.75901
2021-03-24,20.70707
2021-03-25,24.24242
2021-03-26,15.87301
2021-03-27,10.67821
2021-03-28,10.31746
2021-03-29,17.82106
2021-03-30,20.20202
2021-03-31,18.75901
2021-04-01,18.18181
2021-04-02,13.99711
2021-04-03,8.73015
2021-04-04,10.60606
2021-04-05,18.10966
2021-04-06,17.24386
2021-04-07,16.95526
2021-04-08,15.44011
2021-04-09,14.43001
2021-04-10,7.7922
2021-04-11,9.0909
2021-04-12,15.58441
2021-04-13,15.22366
2021-04-14,17.38816
2021-04-15,16.66666
2021-04-16,15.58441
2021-04-17,8.2251
2021-04-18,10.89466
2021-04-19,17.96536
2021-04-20,18.10966
2021-04-21,19.04761
2021-04-22,13.49206
2021-04-23,18.47041
2021-04-24,9.16305
2021-04-25,9.9567
2021-04-26,18.61471
2021-04-27,20.63492
2021-04-28,16.73881
2021-04-29,15.36796
2021-04-30,17.24386
2021-05-01,8.8023
2021-05-02,9.0909
2021-05-03,17.24386
2021-05-04,16.30591
2021-05-05,9.30735
2021-05-06,16.88311
2021-05-07,12.98701
2021-05-08,6.9264
2021-05-09,6.85425
2021-05-10,16.08946
2021-05-11,16.16161
2021-05-12,16.08946
2021-05-13,11.32756
2021-05-14,13.56421
2021-05-15,6.13275
2021-05-16,7.215
2021-05-17,15.00721
2021-05-18,13.78066
2021-05-19,9.88455
2021-05-20,15.87301
2021-05-21,13.27561
2021-05-22,6.13275
2021-05-23,7.6479
2021-05-24,16.73881
2021-05-25,18.32611
2021-05-26,17.53246
2021-05-27,15.87301
2021-05-28,12.84271
2021-05-29,7.6479
2021-05-30,8.658
2021-05-31,18.47041
2021-06-01,18.54256
2021-06-02,18.39826
2021-06-03,15.22366
2021-06-04,11.90476
2021-06-05,6.42135
2021-06-06,7.0707
2021-06-07,15.15151
2021-06-08,16.01731
2021-06-09,15.22366
2021-06-10,16.52236
2021-06-11,13.13131
2021-06-12,7.6479
2021-06-13,8.5137
2021-06-14,17.02741
2021-06-15,16.30591
2021-06-16,13.34776
2021-06-17,13.27561
2021-06-18,12.77056
2021-06-19,5.55555
2021-06-20,8.44155
2021-06-21,18.61471
2021-06-22,13.85281
2021-06-23,16.73881
2021-06-24,15.58441
2021-06-25,16.59451
2021-06-26,9.59595
2021-06-27,9.5238
2021-06-28,16.52236
2021-06-29,15.51226
2021-06-30,14.50216
2021-07-01,14.79076
2021-07-02,11.11111
2021-07-03,7.14285
2021-07-04,7.43145
2021-07-05,15.51226
2021-07-06,13.41991
2021-07-07,16.66666
2021-07-08,11.90476
2021-07-09,12.69841
2021-07-10,6.9264
2021-07-11,7.72005
2021-07-12,12.77056
2021-07-13,12.12121
2021-07-14,12.77056
2021-07-15,13.56421
2021-07-16,11.68831
2021-07-17,7.7922
2021-07-18,5.84415
2021-07-19,13.13131
2021-07-20,13.27561
2021-07-21,15.00721
2021-07-22,13.99711
2021-07-23,16.66666
2021-07-24,5.9163
2021-07-25,7.5036
2021-07-26,14.35786
2021-07-27,20.20202
2021-07-28,16.73881
2021-07-29,15.29581
2021-07-30,15.29581
2021-07-31,11.32756
2021-08-01,10.46176
2021-08-02,19.26406
2021-08-03,14.35786
2021-08-04,16.66666
2021-08-05,18.54256
2021-08-06,15.07936
2021-08-07,7.7922
2021-08-08,9.2352
2021-08-09,18.75901
2021-08-10,22.36652
2021-08-11,19.19191
2021-08-12,18.75901
2021-08-13,19.55266
2021-08-14,9.45165
2021-08-15,10.02886
2021-08-16,15.65656
2021-08-17,23.66522
2021-08-18,21.13997
2021-08-19,19.91341
2021-08-20,18.61471
2021-08-21,12.91486
2021-08-22,11.97691
2021-08-23,19.11976
2021-08-24,17.46031
2021-08-25,24.67532
2021-08-26,22.00577
2021-08-27,18.61471
2021-08-28,11.61616
2021-08-29,12.33766
2021-08-30,23.16017
2021-08-31,21.06782
2021-09-01,29.87012
2021-09-02,20.70707
2021-09-03,19.76911
2021-09-04,11.68831
2021-09-05,12.04906
2021-09-06,21.21212
2021-09-07,19.04761
2021-09-08,20.63492
2021-09-09,18.68686
2021-09-10,23.30447
2021-09-11,11.39971
2021-09-12,13.70851
2021-09-13,19.62481
2021-09-14,16.30591
2021-09-15,18.75901
2021-09-16,17.96536
2021-09-17,20.99567
2021-09-18,12.19336
2021-09-19,9.3795
2021-09-20,7.72005
2021-09-21,10.17316
2021-09-22,14.21356
2021-09-23,24.53102
2021-09-24,25.54112
2021-09-25,13.05916
2021-09-26,13.92496
2021-09-27,23.08802
2021-09-28,21.93362
2021-09-29,20.77922
2021-09-30,20.77922
2021-10-01,17.74891
2021-10-02,8.9466
2021-10-03,9.01875
2021-10-04,11.90476
2021-10-05,19.62481
2021-10-06,18.25396
2021-10-07,18.25396
2021-10-08,15.15151
2021-10-09,6.42135
2021-10-10,10.02886
2021-10-11,12.98701
2021-10-12,16.88311
2021-10-13,19.62481
2021-10-14,17.74891
2021-10-15,16.01731
2021-10-16,11.47186
2021-10-17,9.88455
2021-10-18,15.80086
2021-10-19,16.59451
2021-10-20,18.18181
2021-10-21,18.68686
2021-10-22,15.58441
2021-10-23,10.02886
2021-10-24,9.9567
2021-10-25,21.42857
2021-10-26,20.70707
2021-10-27,17.17171
2021-10-28,15.51226
2021-10-29,18.68686
2021-10-30,8.658
2021-10-31,10.60606
2021-11-01,18.03751
2021-11-02,18.90331
2021-11-03,17.31601
2021-11-04,16.23376
2021-11-05,15.80086
2021-11-06,7.6479
2021-11-07,8.658
2021-11-08,16.37806
2021-11-09,13.92496
2021-11-10,16.95526
2021-11-11,16.37806
2021-11-12,15.72871
2021-11-13,8.3694
2021-11-14,10.10101
2021-11-15,18.03751
2021-11-16,14.50216
2021-11-17,15.94516
2021-11-18,15.51226
2021-11-19,14.93506
2021-11-20,8.2251
2021-11-21,9.30735
2021-11-22,13.85281
2021-11-23,14.21356
2021-11-24,14.06926
2021-11-25,20.34632
2021-11-26,17.60461
2021-11-27,9.6681
2021-11-28,10.17316
2021-11-29,18.10966
2021-11-30,24.60317
2021-12-01,23.59307
2021-12-02,21.28427
2021-12-03,18.10966
2021-12-04,12.04906
2021-12-05,15.07936
2021-12-06,22.36652
2021-12-07,21.50072
2021-12-08,19.11976
2021-12-09,18.75901
2021-12-10,18.25396
2021-12-11,13.92496
2021-12-12,12.12121
2021-12-13,17.96536
2021-12-14,18.68686
2021-12-15,16.16161
2021-12-16,15.72871
2021-12-17,15.58441
2021-12-18,9.45165
2021-12-19,10.38961
2021-12-20,19.11976
2021-12-21,23.08802
2021-12-22,19.55266
2021-12-23,17.53246
2021-12-24,18.39826
2021-12-25,10.53391
2021-12-26,15.29581
2021-12-27,23.30447
2021-12-28,22.00577
2021-12-29,18.75901
2021-12-30,20.05772
2021-12-31,18.10966
2022-01-01,15.80086
2022-01-02,17.82106
2022-01-03,30.37518
2022-01-04,28.49927
2022-01-05,27.84992
2022-01-06,23.37662
2022-01-07,21.64502
2022-01-08,13.85281
2022-01-09,15.51226
2022-01-10,26.91197
2022-01-11,22.94372
2022-01-12,26.62337
2022-01-13,24.17027
2022-01-14,21.71717
2022-01-15,13.41991
2022-01-16,16.52236
2022-01-17,38.60028
2022-01-18,32.17893
2022-01-19,35.85858
2022-01-20,32.25108
2022-01-21,31.60173
2022-01-22,21.86147
2022-01-23,17.82106
2022-01-24,32.75613
2022-01-25,43.29004
2022-01-26,33.47763
2022-01-27,30.88023
2022-01-28,30.88023
2022-01-29,18.61471
2022-01-30,14.06926
2022-01-31,14.43001
2022-02-01,24.89177
2022-02-02,27.20057
2022-02-03,39.32178
2022-02-04,35.78643
2022-02-05,20.70707
2022-02-06,22.51082
2022-02-07,31.16883
2022-02-08,32.82828
2022-02-09,33.40548
2022-02-10,32.61183
2022-02-11,28.13852
2022-02-12,13.56421
2022-02-13,16.23376
2022-02-14,27.56132
2022-02-15,29.29292
2022-02-16,26.91197
2022-02-17,24.96392
2022-02-18,24.74747
2022-02-19,16.23376
2022-02-20,21.78932
2022-02-21,61.68831
2022-02-22,54.54545
2022-02-23,48.84559
2022-02-24,43.65079
2022-02-25,43.72294
2022-02-26,18.97546
2022-02-27,17.89321
2022-02-28,39.75468
2022-03-01,24.74747
2022-03-02,35.93073
2022-03-03,30.08658
2022-03-04,25.10822
2022-03-05,15.00721
2022-03-06,14.86291
2022-03-07,25.46897
2022-03-08,23.23232
2022-03-09,13.49206
2022-03-10,25.18037
2022-03-11,24.53102
2022-03-12,13.27561
2022-03-13,14.79076
2022-03-14,23.30447
2022-03-15,23.37662
2022-03-16,28.49927
2022-03-17,24.31457
2022-03-18,22.79942
2022-03-19,15.29581
2022-03-20,15.29581
2022-03-21,27.99422
2022-03-22,22.94372
2022-03-23,23.44877
2022-03-24,24.38672
2022-03-25,31.02453
2022-03-26,15.72871
2022-03-27,17.46031
2022-03-28,25.75757
2022-03-29,25.82972
2022-03-30,25.97402
2022-03-31,26.62337
2022-04-01,23.80952
2022-04-02,12.40981
2022-04-03,12.84271
2022-04-04,21.86147
2022-04-05,23.44877
2022-04-06,23.59307
2022-04-07,20.99567
2022-04-08,19.11976
2022-04-09,10.96681
2022-04-10,11.76046
2022-04-11,21.93362
2022-04-12,22.79942
2022-04-13,20.85137
2022-04-14,20.63492
2022-04-15,22.94372
2022-04-16,15.00721
2022-04-17,13.85281
2022-04-18,24.02597
2022-04-19,29.58152
2022-04-20,25.03607
2022-04-21,24.81962
2022-04-22,26.62337
2022-04-23,13.56421
2022-04-24,12.98701
2022-04-25,30.88023
2022-04-26,26.11832
2022-04-27,24.17027
2022-04-28,25.68542
2022-04-29,19.76911
2022-04-30,12.98701
2022-05-01,15.65656
2022-05-02,23.01587
2022-05-03,21.78932
2022-05-04,19.26406
2022-05-05,11.47186
2022-05-06,22.29437
2022-05-07,12.12121
2022-05-08,14.28571
2022-05-09,25.90187
2022-05-10,28.93217
2022-05-11,24.60317
2022-05-12,21.93362
2022-05-13,19.62481
2022-05-14,10.75036
2022-05-15,12.69841
2022-05-16,24.60317
2022-05-17,24.24242
2022-05-18,19.26406
2022-05-19,19.19191
2022-05-20,21.57287
2022-05-21,12.04906
2022-05-22,12.91486
2022-05-23,23.59307
2022-05-24,19.98556
2022-05-25,26.26262
2022-05-26,26.40692
2022-05-27,26.76767
2022-05-28,14.28571
2022-05-29,11.83261
2022-05-30,28.06637
2022-05-31,27.63347
2022-06-01,25.10822
2022-06-02,31.24098
2022-06-03,27.41702
2022-06-04,11.39971
2022-06-05,11.76046
2022-06-06,13.92496
2022-06-07,29.72582
2022-06-08,31.67388
2022-06-09,23.88167
2022-06-10,25.25252
2022-06-11,14.93506
2022-06-12,17.17171
2022-06-13,25.18037
2022-06-14,32.46753
2022-06-15,37.44588
2022-06-16,37.66233
2022-06-17,34.48773
2022-06-18,18.61471
2022-06-19,18.03751
2022-06-20,34.48773
2022-06-21,31.74603
2022-06-22,29.58152
2022-06-23,26.83982
2022-06-24,26.98412
2022-06-25,16.52236
2022-06-26,15.36796
2022-06-27,28.06637
2022-06-28,29.22077
2022-06-29,27.41702
2022-06-30,26.83982
2022-07-01,23.95382
2022-07-02,15.87301
2022-07-03,16.16161
2022-07-04,28.06637
2022-07-05,29.58152
2022-07-06,24.89177
2022-07-07,23.95382
2022-07-08,25.54112
2022-07-09,12.62626
2022-07-10,13.99711
2022-07-11,27.34487
2022-07-12,23.73737
2022-07-13,35.85858
2022-07-14,48.98989
2022-07-15,39.24963
2022-07-16,25.03607
2022-07-17,22.87157
2022-07-18,39.46608
2022-07-19,33.26118
2022-07-20,35.13708
2022-07-21,34.34343
2022-07-22,27.70562
2022-07-23,17.89321
2022-07-24,16.73881
2022-07-25,48.26839
2022-07-26,39.75468
2022-07-27,36.43578
2022-07-28,33.54978
2022-07-29,33.04473
2022-07-30,16.95526
2022-07-31,21.42857
2022-08-01,33.62193
2022-08-02,30.66378
2022-08-03,32.82828
2022-08-04,29.94227
2022-08-05,29.00432
2022-08-06,16.52236
2022-08-07,16.45021
2022-08-08,34.19913
2022-08-09,24.67532
2022-08-10,34.34343
2022-08-11,33.83838
2022-08-12,27.27272
2022-08-13,15.00721
2022-08-14,15.44011
2022-08-15,19.19191
2022-08-16,33.11688
2022-08-17,30.88023
2022-08-18,30.59163
2022-08-19,28.93217
2022-08-20,18.75901
2022-08-21,17.38816
2022-08-22,34.34343
2022-08-23,35.78643
2022-08-24,31.02453
2022-08-25,42.85714
2022-08-26,33.76623
2022-08-27,17.82106
2022-08-28,19.11976
2022-08-29,33.91053
2022-08-30,31.16883
2022-08-31,34.05483
2022-09-01,34.92063
2022-09-02,27.48917
2022-09-03,16.23376
2022-09-04,20.63492
2022-09-05,30.01443
2022-09-06,32.68398
2022-09-07,30.15873
2022-09-08,27.77777
2022-09-09,17.53246
2022-09-10,16.23376
2022-09-11,17.89321
2022-09-12,21.64502
2022-09-13,59.9567
2022-09-14,40.40404
2022-09-15,40.98124
2022-09-16,37.44588
2022-09-17,27.77777
2022-09-18,28.57142
2022-09-19,40.90909
2022-09-20,38.09523
2022-09-21,42.06349
2022-09-22,39.97113
2022-09-23,45.09379
2022-09-24,21.42857
2022-09-25,23.23232
2022-09-26,45.59884
2022-09-27,41.34199
2022-09-28,41.19769
2022-09-29,40.47619
2022-09-30,48.62914
2022-10-01,29.36507
2022-10-02,23.23232
2022-10-03,26.76767
2022-10-04,49.35064
2022-10-05,59.0909
2022-10-06,62.33766
2022-10-07,48.26839
2022-10-08,22.29437
2022-10-09,24.38672
2022-10-10,30.44733
2022-10-11,56.4935
2022-10-12,63.99711
2022-10-13,92.64069
2022-10-14,74.24242
2022-10-15,40.04329
2022-10-16,44.15584
2022-10-17,94.37229
2022-10-18,93.93939
2022-10-19,96.53679
2022-10-20,79.50937
2022-10-21,68.75901
2022-10-22,28.42712
2022-10-23,35.20923
2022-10-24,74.38672
2022-10-25,100.0
2022-10-26,87.51803
2022-10-27,79.94227
2022-10-28,63.13131
2022-10-29,29.50937
2022-10-30,34.12698
2022-10-31,68.83116
2022-11-01,80.59163
2022-11-02,68.97546
2022-11-03,66.30591
2022-11-04,64.86291
2022-11-05,27.27272
2022-11-06,33.26118
2022-11-07,62.33766
2022-11-08,68.83116
2022-11-09,67.24386
2022-11-10,70.70707
2022-11-11,63.78066
2022-11-12,27.99422
2022-11-13,31.24098
2022-11-14,67.67676
2022-11-15,66.88311
2022-11-16,60.02886
2022-11-17,49.92784
2022-11-18,45.95959
2022-11-19,23.73737
2022-11-20,25.54112
2022-11-21,59.0909
2022-11-22,53.1746
2022-11-23,48.48484
2022-11-24,49.27849
2022-11-25,68.54256
2022-11-26,27.84992
2022-11-27,31.45743
2022-11-28,60.46176
2022-11-29,55.69985
2022-11-30,55.12265
2022-12-01,56.56565
2022-12-02,42.49639
2022-12-03,17.74891
2022-12-04,21.35642
2022-12-05,46.82539
2022-12-06,45.38239
2022-12-07,50.2886
2022-12-08,45.59884
2022-12-09,43.72294
2022-12-10,21.13997
2022-12-11,26.55122
2022-12-12,42.85714
2022-12-13,41.41414
2022-12-14,37.01298
2022-12-15,36.79653
2022-12-16,33.91053
2022-12-17,17.38816
2022-12-18,22.00577
2022-12-19,35.35353
2022-12-20,37.87878
2022-12-21,35.56998
2022-12-22,32.10678
2022-12-23,35.28138
2022-12-24,22.51082
2022-12-25,22.15007
2022-12-26,40.83694
2022-12-27,39.75468
2022-12-28,38.02308
2022-12-29,39.89898
2022-12-30,40.90909
2022-12-31,22.51082
2023-01-01,30.15873
2023-01-02,51.2987
2023-01-03,50.21645
2023-01-04,37.73448
2023-01-05,44.87734
2023-01-06,35.64213
2023-01-07,22.29437
2023-01-08,23.95382
2023-01-09,41.34199
2023-01-10,49.92784
2023-01-11,41.77489
2023-01-12,39.46608
2023-01-13,39.75468
2023-01-14,21.64502
2023-01-15,22.29437
2023-01-16,38.88888
2023-01-17,42.27994
2023-01-18,37.87878
2023-01-19,36.36363
2023-01-20,37.80663
2023-01-21,19.62481
2023-01-22,22.29437
2023-01-23,23.44877
2023-01-24,28.71572
2023-01-25,67.53246
2023-01-26,53.24675
2023-01-27,42.78499
2023-01-28,25.18037
2023-01-29,24.09812
2023-01-30,46.60894
2023-01-31,48.55699
2023-02-01,47.90764
2023-02-02,34.84848
2023-02-03,36.29148
2023-02-04,25.03607
2023-02-05,20.27417
2023-02-06,35.42568
2023-02-07,32.90043
2023-02-08,34.12698
2023-02-09,30.30303
2023-02-10,31.60173
2023-02-11,16.66666
2023-02-12,16.52236
2023-02-13,31.16883
2023-02-14,30.15873
2023-02-15,29.22077
2023-02-16,27.77777
2023-02-17,26.33477
2023-02-18,14.64646
2023-02-19,17.60461
2023-02-20,27.99422
2023-02-21,30.23088
2023-02-22,29.00432
2023-02-23,27.20057
2023-02-24,34.12698
2023-02-25,17.46031
2023-02-26,16.88311
2023-02-27,31.38528
2023-02-28,31.60173
2023-03-01,21.86147
2023-03-02,27.12842
2023-03-03,24.67532
2023-03-04,15.00721
2023-03-05,16.23376
2023-03-06,25.90187
2023-03-07,25.32467
2023-03-08,24.67532
2023-03-09,27.70562
2023-03-10,30.08658
2023-03-11,11.90476
2023-03-12,13.20346
2023-03-13,24.17027
2023-03-14,26.55122
2023-03-15,28.49927
2023-03-16,27.84992
2023-03-17,26.69552
2023-03-18,14.43001
2023-03-19,13.63636
2023-03-20,29.58152
2023-03-21,30.37518
2023-03-22,21.21212
2023-03-23,24.31457
2023-03-24,29.36507
2023-03-25,16.45021
2023-03-26,17.96536
2023-03-27,29.87012
2023-03-28,23.73737
2023-03-29,24.45887
2023-03-30,25.03607
2023-03-31,25.10822
2023-04-01,16.08946
2023-04-02,12.91486
2023-04-03,25.82972
2023-04-04,22.36652
2023-04-05,25.32467
2023-04-06,20.34632
2023-04-07,20.77922
2023-04-08,9.8124
2023-04-09,13.78066
2023-04-10,25.97402
2023-04-11,21.64502
2023-04-12,27.20057
2023-04-13,23.44877
2023-04-14,19.91341
2023-04-15,10.75036
2023-04-16,13.92496
2023-04-17,23.95382
2023-04-18,25.54112
2023-04-19,20.85137
2023-04-20,20.85137
2023-04-21,18.32611
2023-04-22,9.59595
2023-04-23,11.03896
2023-04-24,21.71717
2023-04-25,32.10678
2023-04-26,23.80952
2023-04-27,22.00577
2023-04-28,19.76911
2023-04-29,13.49206
2023-04-30,10.75036
2023-05-01,17.17171
