date,현대미포조선주가
2021-03-17,41.03902
2021-03-18,41.07065
2021-03-19,35.17969
2021-03-20,4.19483
2021-03-21,3.64132
2021-03-22,35.06899
2021-03-23,31.89815
2021-03-24,33.15937
2021-03-25,31.08369
2021-03-26,58.75538
2021-03-27,11.16119
2021-03-28,9.31878
2021-03-29,67.9002
2021-03-30,54.90847
2021-03-31,54.96777
2021-04-01,48.85541
2021-04-02,47.34116
2021-04-03,6.75681
2021-04-04,5.82374
2021-04-05,53.63143
2021-04-06,44.5815
2021-04-07,42.00767
2021-04-08,41.20903
2021-04-09,36.20764
2021-04-10,4.51508
2021-04-11,4.17902
2021-04-12,44.58941
2021-04-13,43.33214
2021-04-14,37.49258
2021-04-15,36.23927
2021-04-16,38.481
2021-04-17,4.4874
2021-04-18,3.64132
2021-04-19,43.18981
2021-04-20,49.93081
2021-04-21,44.64476
2021-04-22,42.95654
2021-04-23,39.21243
2021-04-24,4.43205
2021-04-25,3.68876
2021-04-26,67.37832
2021-04-27,64.10469
2021-04-28,73.54999
2021-04-29,77.72506
2021-04-30,100.0
2021-05-01,13.56106
2021-05-02,12.86126
2021-05-03,98.47388
2021-05-04,81.85664
2021-05-05,11.78982
2021-05-06,98.75854
2021-05-07,92.04127
2021-05-08,10.49697
2021-05-09,9.89601
2021-05-10,86.09892
2021-05-11,86.52196
2021-05-12,76.67734
2021-05-13,71.94085
2021-05-14,65.0931
2021-05-15,7.50405
2021-05-16,5.95421
2021-05-17,66.24757
2021-05-18,62.94626
2021-05-19,8.84434
2021-05-20,62.72486
2021-05-21,56.73506
2021-05-22,6.65796
2021-05-23,5.64583
2021-05-24,57.70766
2021-05-25,52.75372
2021-05-26,48.61424
2021-05-27,65.16822
2021-05-28,56.33969
2021-05-29,5.47977
2021-05-30,4.32926
2021-05-31,48.49958
2021-06-01,62.25437
2021-06-02,57.41509
2021-06-03,52.67069
2021-06-04,53.04629
2021-06-05,5.89491
2021-06-06,4.34507
2021-06-07,51.79298
2021-06-08,46.91811
2021-06-09,45.75178
2021-06-10,41.09832
2021-06-11,42.88933
2021-06-12,6.12817
2021-06-13,3.96552
2021-06-14,40.13758
2021-06-15,37.91958
2021-06-16,42.67583
2021-06-17,42.29628
2021-06-18,38.06982
2021-06-19,3.89831
2021-06-20,4.26204
2021-06-21,47.84723
2021-06-22,44.6843
2021-06-23,40.48155
2021-06-24,39.04637
2021-06-25,44.20986
2021-06-26,5.08836
2021-06-27,3.19455
2021-06-28,38.80124
2021-06-29,37.31862
2021-06-30,34.06871
2021-07-01,32.19467
2021-07-02,40.33131
2021-07-03,3.77574
2021-07-04,3.00873
2021-07-05,32.57423
2021-07-06,31.59372
2021-07-07,32.45166
2021-07-08,39.41406
2021-07-09,37.87609
2021-07-10,4.49926
2021-07-11,3.08385
2021-07-12,34.93852
2021-07-13,31.79931
2021-07-14,31.3565
2021-07-15,34.79618
2021-07-16,30.59739
2021-07-17,3.53062
2021-07-18,3.26967
2021-07-19,28.29636
2021-07-20,27.92076
2021-07-21,40.60411
2021-07-22,38.29518
2021-07-23,32.32119
2021-07-24,3.38828
2021-07-25,2.73198
2021-07-26,28.94476
2021-07-27,29.00802
2021-07-28,32.71656
2021-07-29,33.38473
2021-07-30,27.31585
2021-07-31,2.56988
2021-08-01,2.02822
2021-08-02,24.99505
2021-08-03,27.41469
2021-08-04,32.44375
2021-08-05,27.66378
2021-08-06,25.51298
2021-08-07,2.43941
2021-08-08,1.7317
2021-08-09,26.64768
2021-08-10,25.24018
2021-08-11,26.01905
2021-08-12,26.05859
2021-08-13,25.80555
2021-08-14,2.67662
2021-08-15,1.82659
2021-08-16,6.15189
2021-08-17,31.45534
2021-08-18,30.86229
2021-08-19,28.49009
2021-08-20,28.57707
2021-08-21,2.45917
2021-08-22,1.93334
2021-08-23,31.54232
2021-08-24,35.21527
2021-08-25,33.5231
2021-08-26,28.26078
2021-08-27,25.94789
2021-08-28,2.40382
2021-08-29,1.83845
2021-08-30,29.73549
2021-08-31,27.23678
2021-09-01,26.72676
2021-09-02,24.99505
2021-09-03,26.04277
2021-09-04,2.36429
2021-09-05,1.83449
2021-09-06,24.57596
2021-09-07,26.12975
2021-09-08,24.35061
2021-09-09,27.6875
2021-09-10,29.16221
2021-09-11,2.88617
2021-09-12,2.38405
2021-09-13,25.13343
2021-09-14,33.68916
2021-09-15,26.50931
2021-09-16,27.57284
2021-09-17,34.77642
2021-09-18,3.00873
2021-09-19,1.87008
2021-09-20,1.74356
2021-09-21,1.6803
2021-09-22,1.80682
2021-09-23,26.2286
2021-09-24,24.95156
2021-09-25,2.15474
2021-09-26,1.49843
2021-09-27,24.38224
2021-09-28,24.29525
2021-09-29,25.5802
2021-09-30,24.8883
2021-10-01,24.33874
2021-10-02,2.3287
2021-10-03,1.56565
2021-10-04,4.15134
2021-10-05,24.84877
2021-10-06,24.02641
