date,상속인
2021-09-04,33.15789
2021-09-05,22.63157
2021-09-06,62.10526
2021-09-07,61.57894
2021-09-08,64.73684
2021-09-09,66.31578
2021-09-10,53.68421
2021-09-11,30.0
2021-09-12,42.63157
2021-09-13,58.94736
2021-09-14,58.42105
2021-09-15,50.0
2021-09-16,45.26315
2021-09-17,43.15789
2021-09-18,23.15789
2021-09-19,26.8421
2021-09-20,31.57894
2021-09-21,26.31578
2021-09-22,40.52631
2021-09-23,65.26315
2021-09-24,52.10526
2021-09-25,38.94736
2021-09-26,30.52631
2021-09-27,58.94736
2021-09-28,55.26315
2021-09-29,63.68421
2021-09-30,68.42105
2021-10-01,44.21052
2021-10-02,34.21052
2021-10-03,30.0
2021-10-04,38.94736
2021-10-05,63.68421
2021-10-06,53.68421
2021-10-07,58.94736
2021-10-08,66.31578
2021-10-09,30.52631
2021-10-10,44.73684
2021-10-11,48.94736
2021-10-12,54.21052
2021-10-13,63.68421
2021-10-14,54.73684
2021-10-15,55.78947
2021-10-16,35.78947
2021-10-17,35.26315
2021-10-18,66.8421
2021-10-19,66.31578
2021-10-20,54.73684
2021-10-21,53.15789
2021-10-22,51.05263
2021-10-23,32.63157
2021-10-24,36.8421
2021-10-25,58.94736
2021-10-26,64.21052
2021-10-27,64.21052
2021-10-28,66.31578
2021-10-29,62.10526
2021-10-30,30.52631
2021-10-31,32.10526
2021-11-01,46.31578
2021-11-02,56.8421
2021-11-03,40.0
2021-11-04,51.57894
2021-11-05,63.15789
2021-11-06,30.0
2021-11-07,30.52631
2021-11-08,46.31578
2021-11-09,57.89473
2021-11-10,57.36842
2021-11-11,52.63157
2021-11-12,51.57894
2021-11-13,26.31578
2021-11-14,22.10526
2021-11-15,52.63157
2021-11-16,54.21052
2021-11-17,51.05263
2021-11-18,36.8421
2021-11-19,33.15789
2021-11-20,23.68421
2021-11-21,19.47368
2021-11-22,53.15789
2021-11-23,45.26315
2021-11-24,45.78947
2021-11-25,39.47368
2021-11-26,40.52631
2021-11-27,23.15789
2021-11-28,21.57894
2021-11-29,51.57894
2021-11-30,55.78947
2021-12-01,44.21052
2021-12-02,36.8421
2021-12-03,46.8421
2021-12-04,30.52631
2021-12-05,20.0
2021-12-06,44.73684
2021-12-07,47.36842
2021-12-08,55.26315
2021-12-09,42.63157
2021-12-10,52.10526
2021-12-11,28.42105
2021-12-12,25.26315
2021-12-13,51.57894
2021-12-14,50.0
2021-12-15,49.47368
2021-12-16,46.8421
2021-12-17,31.57894
2021-12-18,32.10526
2021-12-19,28.42105
2021-12-20,50.0
2021-12-21,53.68421
2021-12-22,44.21052
2021-12-23,45.78947
2021-12-24,37.89473
2021-12-25,16.8421
2021-12-26,15.78947
2021-12-27,36.31578
2021-12-28,50.52631
2021-12-29,40.0
2021-12-30,37.36842
2021-12-31,34.73684
2022-01-01,17.89473
2022-01-02,24.73684
2022-01-03,45.26315
2022-01-04,43.15789
2022-01-05,42.63157
2022-01-06,51.05263
2022-01-07,45.26315
2022-01-08,24.73684
2022-01-09,28.42105
2022-01-10,46.31578
2022-01-11,54.21052
2022-01-12,45.26315
2022-01-13,47.36842
2022-01-14,44.21052
2022-01-15,30.52631
2022-01-16,23.68421
2022-01-17,47.89473
2022-01-18,42.10526
2022-01-19,43.15789
2022-01-20,50.52631
2022-01-21,39.47368
2022-01-22,24.21052
2022-01-23,27.36842
2022-01-24,51.05263
2022-01-25,57.89473
2022-01-26,42.10526
2022-01-27,38.42105
2022-01-28,48.94736
