date,퇴직금세금
2021-04-21,31.61654
2021-04-22,30.11278
2021-04-23,29.28571
2021-04-24,15.6015
2021-04-25,16.35338
2021-04-26,33.7218
2021-04-27,31.95488
2021-04-28,32.36842
2021-04-29,33.68421
2021-04-30,37.96992
2021-05-01,18.53383
2021-05-02,15.78947
2021-05-03,33.30827
2021-05-04,30.71428
2021-05-05,18.83458
2021-05-06,32.10526
2021-05-07,30.90225
2021-05-08,19.09774
2021-05-09,16.01503
2021-05-10,42.78195
2021-05-11,36.35338
2021-05-12,33.53383
2021-05-13,31.87969
2021-05-14,32.74436
2021-05-15,15.30075
2021-05-16,15.82706
2021-05-17,33.04511
2021-05-18,30.11278
2021-05-19,18.04511
2021-05-20,31.05263
2021-05-21,30.30075
2021-05-22,14.39849
2021-05-23,13.45864
2021-05-24,33.75939
2021-05-25,37.4436
2021-05-26,33.00751
2021-05-27,31.05263
2021-05-28,29.9624
2021-05-29,17.66917
2021-05-30,17.96992
2021-05-31,40.48872
2021-06-01,36.87969
2021-06-02,31.01503
2021-06-03,30.52631
2021-06-04,30.75187
2021-06-05,14.81203
2021-06-06,15.48872
2021-06-07,30.97744
2021-06-08,33.0827
2021-06-09,31.8421
2021-06-10,40.97744
2021-06-11,33.64661
2021-06-12,15.6015
2021-06-13,11.91729
2021-06-14,34.92481
2021-06-15,38.94736
2021-06-16,32.85714
2021-06-17,31.80451
2021-06-18,27.59398
2021-06-19,14.39849
2021-06-20,12.25563
2021-06-21,31.16541
2021-06-22,31.91729
2021-06-23,32.29323
2021-06-24,32.85714
2021-06-25,32.25563
2021-06-26,15.90225
2021-06-27,13.49624
2021-06-28,29.92481
2021-06-29,31.31578
2021-06-30,42.21804
2021-07-01,36.54135
2021-07-02,28.75939
2021-07-03,14.73684
2021-07-04,15.11278
2021-07-05,32.25563
2021-07-06,29.13533
2021-07-07,28.98496
2021-07-08,32.96992
2021-07-09,33.1203
2021-07-10,14.84962
2021-07-11,13.60902
2021-07-12,32.55639
2021-07-13,32.33082
2021-07-14,32.81954
2021-07-15,36.87969
2021-07-16,29.02255
2021-07-17,14.77443
2021-07-18,11.72932
2021-07-19,29.66165
2021-07-20,29.73684
2021-07-21,29.73684
2021-07-22,28.04511
2021-07-23,28.75939
2021-07-24,13.98496
2021-07-25,13.45864
2021-07-26,26.69172
2021-07-27,29.92481
2021-07-28,28.7218
2021-07-29,26.27819
2021-07-30,31.35338
2021-07-31,18.38345
2021-08-01,13.98496
2021-08-02,25.30075
2021-08-03,24.13533
2021-08-04,26.72932
2021-08-05,28.87218
2021-08-06,25.82706
2021-08-07,14.54887
2021-08-08,12.70676
2021-08-09,29.3233
2021-08-10,38.30827
2021-08-11,31.42857
2021-08-12,30.07518
2021-08-13,34.21052
2021-08-14,16.2406
2021-08-15,14.43609
2021-08-16,16.50375
2021-08-17,35.11278
2021-08-18,34.43609
2021-08-19,31.39097
2021-08-20,31.54135
2021-08-21,13.1203
2021-08-22,13.64661
2021-08-23,28.15789
2021-08-24,32.36842
2021-08-25,34.39849
2021-08-26,30.71428
2021-08-27,26.05263
2021-08-28,15.75187
2021-08-29,15.22556
2021-08-30,34.88721
2021-08-31,38.83458
2021-09-01,35.71428
2021-09-02,31.05263
2021-09-03,30.71428
2021-09-04,14.92481
2021-09-05,15.18796
2021-09-06,28.98496
2021-09-07,30.37593
2021-09-08,26.31578
2021-09-09,30.90225
2021-09-10,31.95488
2021-09-11,16.87969
2021-09-12,14.84962
2021-09-13,32.96992
2021-09-14,33.60902
2021-09-15,32.93233
2021-09-16,30.41353
2021-09-17,27.03007
2021-09-18,12.55639
2021-09-19,10.86466
2021-09-20,10.41353
2021-09-21,9.51127
2021-09-22,13.1203
2021-09-23,33.00751
2021-09-24,34.77443
2021-09-25,16.91729
2021-09-26,39.17293
2021-09-27,66.80451
2021-09-28,52.18045
2021-09-29,44.21052
2021-09-30,43.49624
2021-10-01,35.0
2021-10-02,20.97744
2021-10-03,18.23308
2021-10-04,21.8421
2021-10-05,38.38345
2021-10-06,38.19548
2021-10-07,36.80451
2021-10-08,38.15789
2021-10-09,16.09022
2021-10-10,14.92481
2021-10-11,19.28571
2021-10-12,38.42105
2021-10-13,39.43609
2021-10-14,37.33082
2021-10-15,37.21804
2021-10-16,15.48872
2021-10-17,13.00751
2021-10-18,33.45864
2021-10-19,32.33082
2021-10-20,34.3609
2021-10-21,32.4436
2021-10-22,27.29323
2021-10-23,15.11278
2021-10-24,15.07518
2021-10-25,39.24812
2021-10-26,37.96992
2021-10-27,33.75939
2021-10-28,34.62406
2021-10-29,31.99248
2021-10-30,16.61654
2021-10-31,18.00751
2021-11-01,33.15789
2021-11-02,34.3233
2021-11-03,31.35338
2021-11-04,30.52631
2021-11-05,29.3233
2021-11-06,15.15037
2021-11-07,16.12781
2021-11-08,37.40601
2021-11-09,33.45864
2021-11-10,43.94736
2021-11-11,44.02255
2021-11-12,36.203
2021-11-13,16.2406
2021-11-14,17.51879
2021-11-15,36.87969
2021-11-16,33.94736
2021-11-17,33.94736
2021-11-18,31.27819
2021-11-19,29.66165
2021-11-20,15.5639
2021-11-21,15.0
2021-11-22,31.27819
2021-11-23,32.10526
2021-11-24,31.54135
2021-11-25,36.16541
2021-11-26,31.09022
2021-11-27,16.46616
2021-11-28,15.11278
2021-11-29,34.51127
2021-11-30,39.17293
2021-12-01,38.19548
2021-12-02,34.73684
2021-12-03,32.10526
2021-12-04,18.49624
2021-12-05,16.12781
2021-12-06,32.93233
2021-12-07,36.2406
2021-12-08,36.80451
2021-12-09,35.75187
2021-12-10,40.97744
2021-12-11,19.88721
2021-12-12,16.09022
2021-12-13,35.78947
2021-12-14,39.54887
2021-12-15,44.62406
2021-12-16,41.01503
2021-12-17,32.66917
2021-12-18,15.93984
2021-12-19,16.76691
