date,로보어드바이저
2022-08-14,5.8201
2022-08-15,4.85008
2022-08-16,9.87654
2022-08-17,11.11111
2022-08-18,9.78835
2022-08-19,9.70017
2022-08-20,7.84832
2022-08-21,4.49735
2022-08-22,11.90476
2022-08-23,10.67019
2022-08-24,10.49382
2022-08-25,8.9947
2022-08-26,11.99294
2022-08-27,6.26102
2022-08-28,4.7619
2022-08-29,8.64197
2022-08-30,7.9365
2022-08-31,7.14285
2022-09-01,8.02469
2022-09-02,9.25925
2022-09-03,4.14462
2022-09-04,3.61552
2022-09-05,8.37742
2022-09-06,9.96472
2022-09-07,10.49382
2022-09-08,6.43738
2022-09-09,3.08641
2022-09-10,1.23456
2022-09-11,2.82186
2022-09-12,4.58553
2022-09-13,10.58201
2022-09-14,9.61199
2022-09-15,11.64021
2022-09-16,15.25573
2022-09-17,4.2328
2022-09-18,5.64373
2022-09-19,9.96472
2022-09-20,7.23104
2022-09-21,9.61199
2022-09-22,8.81834
2022-09-23,5.99647
2022-09-24,4.05643
2022-09-25,6.43738
2022-09-26,9.70017
2022-09-27,10.58201
2022-09-28,7.9365
2022-09-29,7.23104
2022-09-30,5.90828
2022-10-01,3.7037
2022-10-02,3.1746
2022-10-03,3.43915
2022-10-04,7.9365
2022-10-05,6.96649
2022-10-06,6.26102
2022-10-07,4.7619
2022-10-08,2.38095
2022-10-09,3.1746
2022-10-10,4.93827
2022-10-11,6.52557
2022-10-12,8.4656
2022-10-13,7.58377
2022-10-14,8.28924
2022-10-15,3.61552
2022-10-16,3.96825
2022-10-17,9.61199
2022-10-18,10.31746
2022-10-19,4.67372
2022-10-20,6.61375
2022-10-21,7.76014
2022-10-22,5.90828
2022-10-23,6.8783
2022-10-24,9.08289
2022-10-25,6.43738
2022-10-26,8.28924
2022-10-27,8.73015
2022-10-28,8.11287
2022-10-29,6.61375
2022-10-30,5.11463
2022-10-31,6.43738
2022-11-01,5.37918
2022-11-02,7.9365
2022-11-03,11.90476
2022-11-04,7.14285
2022-11-05,3.7037
2022-11-06,4.2328
2022-11-07,6.08465
2022-11-08,8.11287
2022-11-09,8.02469
2022-11-10,5.37918
2022-11-11,7.14285
2022-11-12,8.64197
2022-11-13,6.8783
2022-11-14,9.34744
2022-11-15,9.08289
2022-11-16,9.5238
2022-11-17,15.43209
2022-11-18,8.64197
2022-11-19,5.37918
2022-11-20,5.20282
2022-11-21,9.17107
2022-11-22,8.90652
2022-11-23,12.96296
2022-11-24,8.37742
2022-11-25,6.8783
2022-11-26,2.91005
2022-11-27,4.14462
2022-11-28,6.79012
2022-11-29,7.14285
2022-11-30,9.08289
2022-12-01,8.90652
2022-12-02,4.58553
2022-12-03,2.20458
2022-12-04,4.2328
2022-12-05,8.55379
2022-12-06,7.14285
2022-12-07,5.73192
2022-12-08,5.8201
2022-12-09,6.61375
2022-12-10,3.26278
2022-12-11,3.61552
2022-12-12,5.02645
2022-12-13,7.31922
2022-12-14,5.73192
2022-12-15,5.8201
2022-12-16,5.64373
2022-12-17,3.08641
2022-12-18,2.82186
2022-12-19,6.52557
2022-12-20,5.37918
2022-12-21,5.37918
2022-12-22,5.02645
2022-12-23,3.7037
2022-12-24,1.85185
2022-12-25,2.73368
2022-12-26,6.17283
2022-12-27,5.90828
2022-12-28,4.40917
2022-12-29,4.32098
2022-12-30,4.85008
2022-12-31,3.26278
2023-01-01,2.38095
2023-01-02,5.99647
2023-01-03,5.20282
2023-01-04,5.46737
2023-01-05,6.08465
2023-01-06,4.67372
2023-01-07,2.73368
2023-01-08,1.94003
2023-01-09,6.26102
2023-01-10,7.4074
2023-01-11,8.73015
2023-01-12,9.34744
2023-01-13,9.25925
2023-01-14,9.70017
2023-01-15,9.78835
2023-01-16,17.46031
2023-01-17,20.45855
2023-01-18,19.22398
2023-01-19,15.16754
2023-01-20,13.93298
2023-01-21,11.02292
2023-01-22,8.81834
2023-01-23,12.52204
2023-01-24,18.51851
2023-01-25,22.39858
2023-01-26,24.07407
2023-01-27,22.48677
2023-01-28,16.84303
2023-01-29,24.69135
2023-01-30,26.0141
2023-01-31,27.60141
2023-02-01,28.74779
2023-02-02,33.95061
2023-02-03,31.21693
2023-02-04,27.68959
2023-02-05,38.8007
2023-02-06,40.12345
2023-02-07,35.53791
2023-02-08,68.43033
2023-02-09,38.88888
2023-02-10,35.97883
2023-02-11,29.54144
2023-02-12,33.59788
2023-02-13,37.12522
2023-02-14,34.5679
2023-02-15,33.68606
2023-02-16,32.62786
2023-02-17,31.04056
2023-02-18,26.36684
2023-02-19,31.04056
2023-02-20,39.06525
2023-02-21,36.33156
2023-02-22,31.83421
2023-02-23,37.30158
2023-02-24,36.50793
2023-02-25,29.71781
2023-02-26,33.42151
2023-02-27,39.24162
2023-02-28,100.0
2023-03-01,38.18342
2023-03-02,39.77072
2023-03-03,86.59611
2023-03-04,33.24514
2023-03-05,31.04056
2023-03-06,42.76895
2023-03-07,39.59435
2023-03-08,31.12874
2023-03-09,32.01058
2023-03-10,21.07583
2023-03-11,18.6067
2023-03-12,28.04232
2023-03-13,24.16225
2023-03-14,30.24691
2023-03-15,22.04585
2023-03-16,19.84126
2023-03-17,22.57495
2023-03-18,14.28571
2023-03-19,17.98941
2023-03-20,17.19576
2023-03-21,15.96119
2023-03-22,16.13756
2023-03-23,15.87301
2023-03-24,11.90476
2023-03-25,11.72839
2023-03-26,14.46208
2023-03-27,20.28218
2023-03-28,19.84126
2023-03-29,16.13756
2023-03-30,16.22574
2023-03-31,13.66843
2023-04-01,7.84832
2023-04-02,11.90476
2023-04-03,18.16578
2023-04-04,15.87301
2023-04-05,18.16578
2023-04-06,21.07583
2023-04-07,14.19753
2023-04-08,10.40564
2023-04-09,10.93474
2023-04-10,15.87301
2023-04-11,17.81305
2023-04-12,16.57848
2023-04-13,12.61022
2023-04-14,12.61022
2023-04-15,10.14109
2023-04-16,11.64021
2023-04-17,19.31216
2023-04-18,18.25396
2023-04-19,13.58024
2023-04-20,16.66666
2023-04-21,17.37213
2023-04-22,12.69841
2023-04-23,12.52204
2023-04-24,17.19576
2023-04-25,17.5485
2023-04-26,17.19576
2023-04-27,13.66843
2023-04-28,12.34567
2023-04-29,8.9947
2023-04-30,11.02292
2023-05-01,11.11111
2023-05-02,14.81481
2023-05-03,13.22751
