date,부동산등기
2021-04-19,82.5
2021-04-20,78.75
2021-04-21,72.5
2021-04-22,60.3125
2021-04-23,62.1875
2021-04-24,30.9375
2021-04-25,33.4375
2021-04-26,69.0625
2021-04-27,80.0
2021-04-28,69.375
2021-04-29,74.6875
2021-04-30,61.25
2021-05-01,24.6875
2021-05-02,27.8125
2021-05-03,66.25
2021-05-04,66.5625
2021-05-05,31.5625
2021-05-06,65.0
2021-05-07,60.0
2021-05-08,29.6875
2021-05-09,29.375
2021-05-10,76.25
2021-05-11,76.5625
2021-05-12,65.625
2021-05-13,58.75
2021-05-14,53.4375
2021-05-15,24.6875
2021-05-16,25.0
2021-05-17,81.5625
2021-05-18,85.3125
2021-05-19,35.625
2021-05-20,67.5
2021-05-21,56.875
2021-05-22,28.75
2021-05-23,26.875
2021-05-24,79.0625
2021-05-25,74.0625
2021-05-26,64.0625
2021-05-27,67.8125
2021-05-28,59.375
2021-05-29,35.3125
2021-05-30,32.8125
2021-05-31,80.9375
2021-06-01,70.0
2021-06-02,71.25
2021-06-03,58.75
2021-06-04,58.125
2021-06-05,29.6875
2021-06-06,29.375
2021-06-07,74.6875
2021-06-08,63.75
2021-06-09,62.1875
2021-06-10,62.5
2021-06-11,55.3125
2021-06-12,26.25
2021-06-13,24.0625
2021-06-14,62.1875
2021-06-15,66.875
2021-06-16,58.125
2021-06-17,61.25
2021-06-18,55.625
2021-06-19,28.75
2021-06-20,31.875
2021-06-21,68.125
2021-06-22,54.375
2021-06-23,61.875
2021-06-24,63.4375
2021-06-25,54.375
2021-06-26,26.5625
2021-06-27,25.9375
2021-06-28,69.6875
2021-06-29,67.5
2021-06-30,61.875
2021-07-01,57.5
2021-07-02,49.0625
2021-07-03,31.875
2021-07-04,20.3125
2021-07-05,69.375
2021-07-06,54.0625
2021-07-07,62.8125
2021-07-08,54.0625
2021-07-09,57.1875
2021-07-10,22.5
2021-07-11,20.0
2021-07-12,66.875
2021-07-13,65.3125
2021-07-14,68.4375
2021-07-15,59.375
2021-07-16,59.375
2021-07-17,25.625
2021-07-18,18.125
2021-07-19,57.1875
2021-07-20,61.25
2021-07-21,59.6875
2021-07-22,67.1875
2021-07-23,62.5
2021-07-24,28.75
2021-07-25,22.8125
2021-07-26,65.0
2021-07-27,73.75
2021-07-28,70.0
2021-07-29,60.9375
2021-07-30,56.5625
2021-07-31,30.3125
2021-08-01,30.0
2021-08-02,71.25
2021-08-03,57.5
2021-08-04,60.625
2021-08-05,73.125
2021-08-06,62.1875
2021-08-07,30.0
2021-08-08,27.8125
2021-08-09,67.5
2021-08-10,72.1875
2021-08-11,77.8125
2021-08-12,80.625
2021-08-13,57.5
2021-08-14,30.3125
2021-08-15,26.5625
2021-08-16,49.0625
2021-08-17,85.625
2021-08-18,73.75
2021-08-19,73.4375
2021-08-20,59.0625
2021-08-21,31.25
2021-08-22,39.0625
2021-08-23,81.5625
2021-08-24,84.6875
2021-08-25,76.875
2021-08-26,73.125
2021-08-27,55.0
