date,솔라나시세
2022-07-09,3.61504
2022-07-10,3.1021
2022-07-11,4.49438
2022-07-12,4.39667
2022-07-13,3.54176
2022-07-14,3.51734
2022-07-15,4.39667
2022-07-16,5.30043
2022-07-17,5.32486
2022-07-18,7.40107
2022-07-19,7.79189
2022-07-20,8.47581
2022-07-21,5.95994
2022-07-22,5.47142
2022-07-23,3.51734
2022-07-24,4.66536
2022-07-25,5.39814
2022-07-26,4.27454
2022-07-27,3.54176
2022-07-28,4.83634
2022-07-29,6.32633
2022-07-30,3.73717
2022-07-31,4.12799
2022-08-01,4.90962
2022-08-02,3.59062
2022-08-03,6.47288
2022-08-04,6.03321
2022-08-05,4.76306
2022-08-06,3.56619
2022-08-07,3.41963
2022-08-08,4.9829
2022-08-09,4.12799
2022-08-10,4.12799
2022-08-11,5.32486
2022-08-12,4.49438
2022-08-13,6.69272
2022-08-14,6.83927
2022-08-15,5.98436
2022-08-16,5.6424
2022-08-17,4.9829
2022-08-18,4.83634
2022-08-19,4.49438
2022-08-20,4.78749
2022-08-21,4.37225
2022-08-22,5.66682
2022-08-23,4.88519
2022-08-24,4.44553
2022-08-25,4.17684
2022-08-26,4.49438
2022-08-27,4.39667
2022-08-28,3.88373
2022-08-29,5.03175
2022-08-30,4.88519
2022-08-31,4.27454
2022-09-01,3.66389
2022-09-02,3.34636
2022-09-03,3.02882
2022-09-04,2.97997
2022-09-05,3.39521
2022-09-06,3.68832
2022-09-07,3.95701
2022-09-08,3.46849
2022-09-09,3.66389
2022-09-10,3.78602
2022-09-11,3.17537
2022-09-12,4.22569
2022-09-13,5.66682
2022-09-14,4.68978
2022-09-15,4.46995
2022-09-16,3.83488
2022-09-17,2.49145
2022-09-18,2.17391
2022-09-19,3.95701
2022-09-20,3.27308
2022-09-21,2.5403
2022-09-22,4.17684
2022-09-23,3.88373
2022-09-24,3.37078
2022-09-25,3.05324
2022-09-26,3.61504
2022-09-27,4.12799
2022-09-28,3.56619
2022-09-29,3.05324
2022-09-30,2.78456
2022-10-01,3.34636
2022-10-02,2.39374
2022-10-03,2.17391
2022-10-04,3.00439
2022-10-05,2.66243
2022-10-06,2.17391
2022-10-07,2.51587
2022-10-08,2.22276
2022-10-09,1.83194
2022-10-10,2.29604
2022-10-11,2.34489
2022-10-12,2.36932
2022-10-13,2.5403
2022-10-14,2.90669
2022-10-15,3.71275
2022-10-16,2.68685
2022-10-17,2.27161
2022-10-18,2.46702
2022-10-19,1.90522
2022-10-20,2.36932
2022-10-21,2.56472
2022-10-22,2.02735
2022-10-23,1.61211
2022-10-24,2.73571
2022-10-25,2.17391
2022-10-26,3.98143
2022-10-27,3.1021
2022-10-28,2.14948
2022-10-29,2.85784
2022-10-30,2.24719
2022-10-31,3.44406
2022-11-01,2.61358
2022-11-02,2.61358
