date,20대실비보험
2021-08-01,4.05405
2021-08-02,13.51351
2021-08-03,13.51351
2021-08-04,13.96396
2021-08-05,13.51351
2021-08-06,15.76576
2021-08-07,12.61261
2021-08-08,13.96396
2021-08-09,17.11711
2021-08-10,18.46846
2021-08-11,21.17117
2021-08-12,12.61261
2021-08-13,15.76576
2021-08-14,3.6036
2021-08-15,4.95495
2021-08-16,9.9099
2021-08-17,14.41441
2021-08-18,16.21621
2021-08-19,13.51351
2021-08-20,12.16216
2021-08-21,5.85585
2021-08-22,14.86486
2021-08-23,25.67567
2021-08-24,14.41441
2021-08-25,18.01801
2021-08-26,13.06306
2021-08-27,16.66666
2021-08-28,7.65765
2021-08-29,5.4054
2021-08-30,18.91891
2021-08-31,19.81981
2021-09-01,13.96396
2021-09-02,14.86486
2021-09-03,14.41441
2021-09-04,4.05405
2021-09-05,11.71171
2021-09-06,24.32432
2021-09-07,17.11711
2021-09-08,12.16216
2021-09-09,26.12612
2021-09-10,13.96396
2021-09-11,9.45945
2021-09-12,9.009
2021-09-13,10.81081
2021-09-14,15.31531
2021-09-15,18.01801
2021-09-16,9.9099
2021-09-17,7.65765
2021-09-18,3.6036
2021-09-19,4.5045
2021-09-20,6.3063
2021-09-21,12.61261
2021-09-22,10.81081
2021-09-23,16.66666
2021-09-24,18.46846
2021-09-25,13.51351
2021-09-26,9.009
2021-09-27,26.57657
2021-09-28,16.66666
2021-09-29,12.61261
2021-09-30,17.11711
2021-10-01,11.71171
2021-10-02,12.61261
2021-10-03,8.55855
2021-10-04,13.06306
2021-10-05,20.72072
2021-10-06,17.56756
2021-10-07,16.66666
2021-10-08,13.06306
2021-10-09,8.55855
2021-10-10,3.6036
2021-10-11,5.4054
2021-10-12,17.11711
2021-10-13,13.06306
2021-10-14,19.36936
2021-10-15,6.3063
2021-10-16,5.4054
2021-10-17,7.65765
2021-10-18,13.96396
2021-10-19,15.76576
2021-10-20,9.45945
2021-10-21,7.2072
2021-10-22,13.06306
2021-10-23,4.5045
2021-10-24,5.4054
2021-10-25,13.06306
2021-10-26,14.86486
2021-10-27,13.51351
2021-10-28,10.36036
2021-10-29,9.45945
2021-10-30,7.2072
2021-10-31,7.2072
2021-11-01,16.66666
2021-11-02,22.07207
2021-11-03,15.76576
2021-11-04,13.06306
2021-11-05,13.96396
2021-11-06,8.1081
2021-11-07,13.51351
2021-11-08,6.3063
2021-11-09,17.11711
2021-11-10,13.96396
2021-11-11,11.26126
2021-11-12,13.96396
2021-11-13,6.3063
2021-11-14,4.95495
2021-11-15,14.86486
2021-11-16,21.17117
2021-11-17,12.16216
2021-11-18,11.26126
2021-11-19,11.71171
2021-11-20,4.95495
2021-11-21,8.55855
2021-11-22,20.27027
2021-11-23,12.61261
2021-11-24,14.86486
2021-11-25,16.21621
2021-11-26,10.36036
2021-11-27,8.55855
2021-11-28,9.9099
2021-11-29,14.86486
2021-11-30,16.66666
2021-12-01,20.72072
2021-12-02,9.009
2021-12-03,7.2072
2021-12-04,5.85585
2021-12-05,13.06306
2021-12-06,10.81081
2021-12-07,13.96396
2021-12-08,14.41441
2021-12-09,17.11711
2021-12-10,16.66666
2021-12-11,6.3063
2021-12-12,8.55855
2021-12-13,15.76576
2021-12-14,19.81981
2021-12-15,22.97297
2021-12-16,16.66666
