date,적금이율높은곳
2022-10-17,89.98459
2022-10-18,98.92141
2022-10-19,100.0
2022-10-20,88.13559
2022-10-21,67.48844
2022-10-22,32.9738
2022-10-23,40.36979
2022-10-24,74.2681
2022-10-25,91.06317
2022-10-26,85.67026
2022-10-27,78.42835
2022-10-28,61.01694
2022-10-29,37.44221
2022-10-30,32.66563
2022-10-31,75.1926
2022-11-01,81.97226
2022-11-02,69.18335
2022-11-03,65.94761
2022-11-04,63.63636
2022-11-05,32.66563
2022-11-06,35.59322
2022-11-07,69.02927
2022-11-08,63.32819
2022-11-09,67.18027
2022-11-10,64.56086
2022-11-11,60.86286
2022-11-12,29.2758
2022-11-13,22.49614
2022-11-14,68.7211
2022-11-15,69.6456
2022-11-16,63.32819
2022-11-17,57.16486
2022-11-18,52.2342
2022-11-19,25.73189
2022-11-20,26.65639
2022-11-21,61.01694
2022-11-22,56.24036
2022-11-23,45.30046
2022-11-24,46.07087
2022-11-25,47.61171
2022-11-26,26.81047
2022-11-27,24.65331
2022-11-28,64.40677
2022-11-29,55.0077
2022-11-30,52.08012
2022-12-01,44.83821
2022-12-02,39.4453
2022-12-03,18.79815
2022-12-04,24.19106
2022-12-05,43.45146
2022-12-06,50.69337
2022-12-07,42.37288
2022-12-08,44.83821
2022-12-09,46.68721
2022-12-10,16.17873
2022-12-11,22.80431
2022-12-12,45.30046
2022-12-13,36.82588
2022-12-14,39.13713
2022-12-15,32.20338
2022-12-16,34.36055
2022-12-17,18.18181
2022-12-18,21.26348
2022-12-19,38.67488
2022-12-20,40.06163
2022-12-21,38.67488
2022-12-22,34.05238
2022-12-23,35.13097
2022-12-24,16.02465
2022-12-25,21.87981
2022-12-26,37.44221
2022-12-27,36.6718
2022-12-28,32.9738
2022-12-29,34.36055
2022-12-30,36.82588
2022-12-31,16.4869
2023-01-01,25.57781
2023-01-02,44.22187
2023-01-03,45.91679
2023-01-04,41.14021
2023-01-05,47.30354
2023-01-06,32.20338
2023-01-07,19.2604
2023-01-08,20.33898
2023-01-09,45.30046
2023-01-10,45.60862
2023-01-11,37.44221
2023-01-12,31.74114
2023-01-13,25.42372
2023-01-14,16.79506
2023-01-15,19.56856
2023-01-16,30.97072
2023-01-17,30.97072
2023-01-18,33.59013
2023-01-19,26.96456
2023-01-20,28.81355
2023-01-21,10.0154
2023-01-22,15.87057
2023-01-23,17.4114
2023-01-24,24.80739
2023-01-25,45.60862
2023-01-26,45.91679
2023-01-27,37.44221
2023-01-28,16.64098
2023-01-29,18.64406
2023-01-30,33.59013
2023-01-31,41.91063
2023-02-01,30.81664
2023-02-02,27.11864
2023-02-03,28.04314
2023-02-04,15.87057
2023-02-05,16.64098
2023-02-06,26.19414
2023-02-07,24.65331
2023-02-08,29.2758
2023-02-09,29.12172
2023-02-10,25.88597
2023-02-11,12.94298
2023-02-12,14.17565
2023-02-13,26.19414
2023-02-14,29.73805
2023-02-15,24.80739
2023-02-16,22.34206
2023-02-17,19.2604
2023-02-18,10.16949
2023-02-19,14.32973
2023-02-20,25.88597
2023-02-21,25.88597
2023-02-22,26.34822
2023-02-23,23.42064
2023-02-24,29.58397
2023-02-25,17.25731
2023-02-26,13.25115
2023-02-27,25.88597
2023-02-28,31.89522
2023-03-01,19.72265
2023-03-02,25.88597
2023-03-03,24.34514
2023-03-04,11.40215
2023-03-05,14.6379
2023-03-06,20.80123
2023-03-07,22.03389
2023-03-08,24.34514
2023-03-09,23.11248
2023-03-10,22.95839
2023-03-11,11.40215
2023-03-12,12.48073
2023-03-13,21.57164
2023-03-14,20.18489
2023-03-15,23.26656
2023-03-16,19.56856
2023-03-17,19.41448
2023-03-18,10.16949
2023-03-19,8.62865
2023-03-20,20.49306
2023-03-21,21.57164
2023-03-22,21.57164
2023-03-23,24.19106
2023-03-24,22.65023
2023-03-25,11.71032
2023-03-26,11.09399
2023-03-27,20.18489
2023-03-28,20.49306
2023-03-29,21.57164
2023-03-30,17.25731
2023-03-31,19.87673
2023-04-01,9.55315
2023-04-02,7.55007
2023-04-03,16.17873
2023-04-04,15.25423
2023-04-05,16.17873
2023-04-06,15.87057
2023-04-07,16.79506
2023-04-08,9.39907
2023-04-09,11.09399
2023-04-10,21.26348
2023-04-11,18.18181
2023-04-12,19.56856
2023-04-13,19.41448
2023-04-14,16.4869
2023-04-15,6.93374
2023-04-16,8.32049
2023-04-17,20.33898
2023-04-18,14.94607
2023-04-19,14.17565
2023-04-20,13.55932
2023-04-21,17.25731
2023-04-22,7.24191
2023-04-23,6.47149
2023-04-24,15.87057
2023-04-25,19.87673
2023-04-26,14.79198
2023-04-27,15.87057
2023-04-28,11.8644
2023-04-29,8.93682
2023-04-30,8.93682
2023-05-01,10.16949
2023-05-02,15.25423
2023-05-03,13.25115
2023-05-04,15.5624
2023-05-05,11.55624
2023-05-06,7.55007
2023-05-07,8.32049
2023-05-08,13.7134
2023-05-09,15.25423
2023-05-10,12.17257
2023-05-11,12.63482
2023-05-12,11.40215
2023-05-13,5.54699
2023-05-14,6.00924
2023-05-15,13.40523
2023-05-16,18.18181
2023-05-17,12.94298
2023-05-18,13.25115
2023-05-19,12.32665
2023-05-20,4.62249
2023-05-21,6.31741
2023-05-22,13.55932
2023-05-23,15.25423
2023-05-24,14.6379
2023-05-25,17.71956
2023-05-26,16.94915
2023-05-27,8.32049
2023-05-28,7.70416
2023-05-29,10.78582
2023-05-30,15.71648
2023-05-31,22.18798
2023-06-01,14.02157
2023-06-02,13.7134
2023-06-03,6.00924
2023-06-04,7.24191
2023-06-05,12.48073
2023-06-06,8.01232
2023-06-07,11.55624
2023-06-08,12.94298
2023-06-09,15.5624
2023-06-10,4.31432
2023-06-11,8.1664
2023-06-12,11.09399
2023-06-13,12.32665
2023-06-14,12.17257
2023-06-15,17.4114
2023-06-16,18.18181
2023-06-17,6.31741
