date,가자고
2021-09-16,0.9836
2021-09-19,1.63934
2021-09-20,0.81967
2021-09-21,1.80327
2021-09-22,1.4754
2021-09-24,0.81967
2021-09-25,1.14754
2021-09-26,0.81967
2021-09-27,0.81967
2021-09-28,2.62295
2021-09-29,2.29508
2021-09-30,0.81967
2021-10-01,2.95081
2021-10-02,1.14754
2021-10-03,1.14754
2021-10-04,1.63934
2021-10-05,0.81967
2021-10-06,0.81967
2021-10-07,0.9836
2021-10-08,0.81967
2021-10-09,1.31147
2021-10-10,1.63934
2021-10-12,1.14754
2021-10-13,0.9836
2021-10-15,1.80327
2021-10-16,1.14754
2021-10-17,1.96721
2021-10-18,1.80327
2021-10-19,0.81967
2021-10-21,0.81967
2021-10-22,1.31147
2021-10-25,1.63934
2021-10-26,1.31147
2021-10-28,1.14754
2021-10-30,1.14754
2021-10-31,1.14754
2021-11-01,1.80327
2021-11-02,1.63934
2021-11-04,1.63934
2021-11-05,0.81967
2021-11-06,1.31147
2021-11-08,0.9836
2021-11-09,1.4754
2021-11-10,1.31147
2021-11-12,1.96721
2021-11-14,1.31147
2021-11-16,1.4754
2021-11-18,1.14754
2021-11-19,1.80327
2021-11-20,1.63934
2021-11-22,0.9836
2021-11-23,1.31147
2021-11-25,1.96721
2021-11-26,1.14754
2021-11-28,1.96721
2021-11-29,1.80327
2021-12-01,1.14754
2021-12-02,1.14754
2021-12-03,0.81967
2021-12-04,1.80327
2021-12-05,2.62295
2021-12-06,0.81967
2021-12-07,1.80327
2021-12-09,1.14754
2021-12-10,1.31147
2021-12-11,2.62295
2021-12-12,2.78688
2021-12-14,1.14754
2021-12-15,1.4754
2021-12-16,0.81967
2021-12-19,1.63934
2021-12-20,1.31147
2021-12-21,0.81967
2021-12-23,1.31147
2021-12-24,0.9836
2021-12-26,0.81967
2021-12-28,2.29508
2021-12-29,0.9836
2021-12-30,0.9836
2021-12-31,1.63934
2022-01-01,0.9836
2022-01-03,0.9836
2022-01-06,1.96721
2022-01-07,2.13114
2022-01-09,1.14754
2022-01-10,2.13114
2022-01-11,1.96721
2022-01-12,2.45901
2022-01-14,1.96721
2022-01-16,0.9836
2022-01-19,3.44262
2022-01-21,3.27868
2022-01-22,1.80327
2022-01-26,1.14754
2022-01-27,1.14754
2022-01-29,1.14754
2022-01-30,0.9836
2022-01-31,0.9836
2022-02-01,1.14754
2022-02-02,1.14754
2022-02-03,1.14754
2022-02-04,1.80327
2022-02-05,0.81967
2022-02-06,1.14754
2022-02-07,1.14754
2022-02-09,6.72131
2022-02-10,33.77049
2022-02-11,7.37704
2022-02-12,8.52459
2022-02-13,8.85245
2022-02-14,2.62295
2022-02-15,3.77049
2022-02-16,3.77049
2022-02-17,3.44262
2022-02-18,1.31147
2022-02-19,1.31147
2022-02-20,1.63934
2022-02-21,0.9836
2022-02-22,0.9836
2022-02-23,2.95081
2022-02-24,0.9836
2022-02-25,1.63934
2022-02-26,2.13114
2022-02-27,1.14754
2022-02-28,1.4754
2022-03-01,2.45901
2022-03-02,2.13114
2022-03-03,1.31147
2022-03-04,1.31147
2022-03-05,0.9836
2022-03-06,0.9836
2022-03-07,2.29508
2022-03-08,1.96721
2022-03-09,1.63934
2022-03-10,0.9836
2022-03-11,1.80327
2022-03-14,1.80327
2022-03-15,2.13114
2022-03-16,1.31147
2022-03-17,1.96721
2022-03-18,2.29508
2022-03-19,0.9836
2022-03-20,3.77049
2022-03-21,0.81967
2022-03-22,2.62295
2022-03-23,2.78688
2022-03-24,4.42622
2022-03-26,4.59016
2022-03-27,4.26229
2022-03-28,1.96721
