date,비과세보험
2021-11-29,12.24489
2021-12-01,18.36734
2021-12-03,12.24489
2021-12-06,14.28571
2021-12-07,12.24489
2021-12-08,14.28571
2021-12-09,14.28571
2021-12-10,14.28571
2021-12-16,14.28571
2021-12-20,12.24489
2021-12-24,12.24489
2021-12-25,16.32653
2021-12-27,12.24489
2021-12-28,10.20408
2021-12-31,10.20408
2022-01-04,10.20408
2022-01-05,26.53061
2022-01-08,10.20408
2022-01-09,10.20408
2022-01-10,14.28571
2022-01-14,28.57142
2022-01-17,32.65306
2022-01-18,10.20408
2022-01-19,26.53061
2022-01-20,20.40816
2022-01-22,10.20408
2022-01-24,12.24489
2022-01-25,12.24489
2022-01-26,26.53061
2022-01-27,12.24489
2022-01-28,16.32653
2022-01-29,12.24489
2022-02-03,26.53061
2022-02-04,10.20408
2022-02-05,12.24489
2022-02-07,16.32653
2022-02-08,14.28571
2022-02-09,12.24489
2022-02-10,20.40816
2022-02-11,22.44897
2022-02-13,12.24489
2022-02-14,14.28571
2022-02-15,12.24489
2022-02-16,24.48979
2022-02-17,20.40816
2022-02-21,34.69387
2022-02-22,16.32653
2022-02-23,12.24489
2022-02-24,20.40816
2022-02-28,14.28571
2022-03-08,10.20408
2022-03-11,10.20408
2022-03-14,10.20408
2022-03-16,16.32653
2022-03-17,12.24489
2022-03-20,16.32653
2022-03-21,10.20408
2022-03-23,14.28571
2022-03-24,12.24489
2022-03-27,14.28571
2022-03-29,10.20408
2022-03-30,26.53061
2022-03-31,22.44897
2022-04-01,10.20408
2022-04-05,14.28571
2022-04-06,12.24489
2022-04-12,12.24489
2022-04-13,18.36734
2022-04-15,16.32653
2022-04-19,26.53061
2022-04-22,10.20408
2022-04-23,10.20408
2022-04-25,12.24489
2022-04-26,28.57142
2022-04-27,12.24489
2022-04-28,14.28571
2022-05-03,22.44897
2022-05-04,10.20408
2022-05-06,12.24489
2022-05-08,12.24489
2022-05-11,10.20408
2022-05-12,18.36734
2022-05-14,14.28571
2022-05-18,14.28571
2022-05-20,10.20408
2022-05-21,12.24489
2022-05-23,10.20408
2022-05-24,12.24489
2022-05-25,26.53061
2022-05-26,22.44897
2022-05-28,12.24489
2022-05-30,20.40816
2022-05-31,16.32653
2022-06-07,28.57142
2022-06-08,22.44897
2022-06-09,34.69387
2022-06-10,24.48979
2022-06-11,12.24489
2022-06-14,10.20408
2022-06-16,16.32653
2022-06-21,14.28571
2022-06-22,18.36734
2022-06-23,10.20408
2022-06-24,12.24489
2022-06-25,14.28571
2022-06-27,10.20408
2022-06-29,30.61224
2022-06-30,10.20408
2022-07-04,24.48979
2022-07-05,18.36734
2022-07-07,12.24489
2022-07-08,10.20408
2022-07-11,16.32653
2022-07-12,18.36734
2022-07-14,16.32653
2022-07-15,12.24489
2022-07-20,18.36734
2022-07-21,10.20408
2022-07-22,12.24489
2022-07-25,28.57142
2022-07-26,12.24489
2022-07-31,22.44897
2022-08-01,20.40816
2022-08-02,12.24489
2022-08-03,10.20408
2022-08-04,10.20408
2022-08-05,10.20408
2022-08-07,10.20408
2022-08-08,10.20408
2022-08-09,16.32653
2022-08-12,12.24489
2022-08-13,10.20408
2022-08-15,12.24489
2022-08-18,10.20408
2022-08-23,20.40816
2022-08-25,14.28571
2022-08-26,14.28571
2022-08-29,12.24489
2022-08-30,10.20408
2022-08-31,20.40816
2022-09-01,12.24489
2022-09-02,14.28571
2022-09-03,14.28571
2022-09-05,28.57142
2022-09-07,14.28571
2022-09-08,18.36734
2022-09-14,10.20408
2022-09-15,12.24489
2022-09-17,22.44897
2022-09-18,12.24489
2022-09-20,14.28571
2022-09-21,34.69387
2022-09-22,26.53061
2022-09-23,28.57142
2022-09-24,16.32653
2022-09-27,10.20408
2022-09-28,10.20408
2022-09-29,16.32653
2022-09-30,20.40816
2022-10-02,22.44897
2022-10-03,12.24489
2022-10-05,18.36734
2022-10-06,12.24489
2022-10-07,16.32653
2022-10-10,18.36734
2022-10-11,26.53061
2022-10-12,18.36734
2022-10-13,28.57142
2022-10-15,10.20408
2022-10-17,16.32653
2022-10-18,44.89795
2022-10-19,30.61224
2022-10-20,24.48979
2022-10-21,18.36734
2022-10-24,34.69387
2022-10-25,26.53061
2022-10-26,38.77551
2022-10-27,24.48979
2022-10-28,24.48979
2022-10-29,14.28571
2022-10-30,20.40816
2022-10-31,18.36734
2022-11-01,12.24489
2022-11-02,16.32653
2022-11-03,32.65306
2022-11-04,24.48979
2022-11-05,16.32653
2022-11-06,16.32653
2022-11-07,28.57142
2022-11-08,26.53061
2022-11-09,22.44897
2022-11-10,30.61224
2022-11-11,20.40816
2022-11-12,10.20408
2022-11-13,12.24489
2022-11-14,36.73469
2022-11-15,26.53061
2022-11-16,20.40816
2022-11-17,61.22448
2022-11-18,32.65306
2022-11-19,18.36734
2022-11-20,12.24489
2022-11-21,24.48979
2022-11-23,38.77551
2022-11-24,32.65306
2022-11-25,46.93877
2022-11-27,10.20408
2022-11-28,34.69387
2022-11-29,57.14285
2022-11-30,36.73469
2022-12-01,32.65306
2022-12-02,51.0204
2022-12-03,10.20408
2022-12-04,10.20408
2022-12-05,28.57142
2022-12-06,20.40816
2022-12-07,16.32653
2022-12-08,32.65306
2022-12-09,22.44897
2022-12-10,22.44897
2022-12-11,10.20408
2022-12-12,24.48979
2022-12-13,36.73469
2022-12-14,28.57142
2022-12-15,20.40816
2022-12-16,34.69387
2022-12-17,22.44897
2022-12-18,10.20408
2022-12-19,28.57142
2022-12-20,30.61224
2022-12-21,32.65306
2022-12-22,40.81632
2022-12-23,22.44897
2022-12-25,18.36734
2022-12-26,36.73469
2022-12-27,22.44897
2022-12-28,32.65306
2022-12-29,20.40816
2022-12-30,28.57142
2023-01-02,38.77551
2023-01-03,24.48979
2023-01-04,36.73469
2023-01-05,26.53061
2023-01-06,34.69387
2023-01-07,16.32653
2023-01-08,14.28571
2023-01-09,26.53061
2023-01-10,32.65306
2023-01-11,22.44897
2023-01-12,24.48979
2023-01-13,24.48979
2023-01-14,12.24489
2023-01-15,12.24489
2023-01-16,40.81632
2023-01-17,42.85714
2023-01-18,18.36734
2023-01-19,38.77551
2023-01-20,32.65306
2023-01-21,12.24489
2023-01-22,16.32653
2023-01-23,10.20408
2023-01-24,16.32653
2023-01-25,34.69387
2023-01-26,28.57142
2023-01-27,36.73469
2023-01-28,12.24489
2023-01-29,18.36734
2023-01-30,30.61224
2023-01-31,24.48979
2023-02-01,32.65306
2023-02-02,42.85714
2023-02-03,28.57142
2023-02-05,10.20408
2023-02-06,32.65306
2023-02-07,24.48979
2023-02-08,42.85714
2023-02-09,34.69387
2023-02-10,24.48979
2023-02-11,16.32653
2023-02-12,24.48979
2023-02-13,48.97959
2023-02-14,26.53061
2023-02-15,26.53061
2023-02-16,36.73469
2023-02-17,18.36734
2023-02-18,10.20408
2023-02-19,12.24489
2023-02-20,20.40816
2023-02-21,51.0204
2023-02-22,61.22448
2023-02-23,57.14285
2023-02-24,22.44897
2023-02-25,12.24489
2023-02-26,12.24489
2023-02-27,40.81632
2023-02-28,30.61224
2023-03-01,16.32653
2023-03-02,16.32653
2023-03-03,30.61224
2023-03-04,10.20408
2023-03-05,26.53061
2023-03-06,20.40816
2023-03-07,28.57142
2023-03-08,22.44897
2023-03-09,36.73469
2023-03-10,20.40816
2023-03-13,28.57142
2023-03-14,18.36734
2023-03-15,30.61224
2023-03-16,20.40816
2023-03-17,38.77551
2023-03-18,20.40816
2023-03-20,32.65306
2023-03-21,28.57142
2023-03-22,26.53061
2023-03-23,26.53061
2023-03-24,22.44897
2023-03-25,16.32653
2023-03-26,14.28571
2023-03-27,30.61224
2023-03-28,20.40816
2023-03-29,14.28571
2023-03-30,22.44897
2023-03-31,18.36734
2023-04-01,30.61224
2023-04-02,14.28571
2023-04-03,28.57142
2023-04-04,22.44897
