date,자동차보험비교
2021-07-08,18.41346
2021-07-09,16.65865
2021-07-10,10.40865
2021-07-11,11.20192
2021-07-12,20.91346
2021-07-13,17.86057
2021-07-14,19.44711
2021-07-15,17.42788
2021-07-16,15.28846
2021-07-17,9.66346
2021-07-18,10.96153
2021-07-19,21.37019
2021-07-20,18.70192
2021-07-21,19.85576
2021-07-22,16.51442
2021-07-23,16.08173
2021-07-24,9.2548
2021-07-25,9.11057
2021-07-26,16.65865
2021-07-27,17.71634
2021-07-28,15.98557
2021-07-29,17.45192
2021-07-30,15.86538
2021-07-31,9.32692
2021-08-01,10.09615
2021-08-02,20.09615
2021-08-03,18.29326
2021-08-04,16.85096
2021-08-05,18.26923
2021-08-06,16.37019
2021-08-07,10.28846
2021-08-08,11.94711
2021-08-09,19.42307
2021-08-10,18.125
2021-08-11,19.75961
2021-08-12,18.87019
2021-08-13,15.55288
2021-08-14,10.88942
2021-08-15,9.42307
2021-08-16,12.62019
2021-08-17,23.36538
2021-08-18,21.5625
2021-08-19,19.85576
2021-08-20,19.73557
2021-08-21,10.52884
2021-08-22,10.52884
2021-08-23,22.16346
2021-08-24,20.09615
2021-08-25,20.09615
2021-08-26,19.59134
2021-08-27,17.59615
2021-08-28,10.26442
2021-08-29,10.43269
2021-08-30,19.11057
2021-08-31,19.32692
2021-09-01,20.16826
2021-09-02,20.625
2021-09-03,18.26923
2021-09-04,10.9375
2021-09-05,12.09134
2021-09-06,22.0673
2021-09-07,20.26442
2021-09-08,17.52403
2021-09-09,17.57211
2021-09-10,18.10096
2021-09-11,11.82692
2021-09-12,12.71634
2021-09-13,22.1875
2021-09-14,20.8173
2021-09-15,20.84134
2021-09-16,20.1923
2021-09-17,16.73076
2021-09-18,9.15865
2021-09-19,8.22115
2021-09-20,8.10096
2021-09-21,9.63942
2021-09-22,12.21153
2021-09-23,26.4423
2021-09-24,20.74519
2021-09-25,12.11538
2021-09-26,12.5
2021-09-27,23.29326
2021-09-28,21.80288
2021-09-29,22.5
2021-09-30,22.13942
2021-10-01,19.54326
2021-10-02,10.98557
2021-10-03,10.48076
2021-10-04,14.18269
2021-10-05,23.0048
2021-10-06,22.59615
2021-10-07,21.29807
2021-10-08,18.50961
2021-10-09,10.48076
2021-10-10,10.40865
2021-10-11,13.46153
2021-10-12,24.13461
2021-10-13,21.4423
2021-10-14,21.10576
2021-10-15,21.5625
2021-10-16,10.48076
2021-10-17,11.58653
2021-10-18,23.29326
2021-10-19,20.04807
2021-10-20,17.76442
2021-10-21,18.60576
2021-10-22,17.11538
2021-10-23,11.63461
2021-10-24,12.33173
2021-10-25,21.82692
2021-10-26,20.72115
2021-10-27,19.54326
2021-10-28,18.0048
2021-10-29,17.28365
2021-10-30,9.6875
2021-10-31,11.49038
2021-11-01,22.0673
2021-11-02,21.46634
2021-11-03,19.75961
2021-11-04,18.55769
2021-11-05,16.875
2021-11-06,9.5673
2021-11-07,10.04807
2021-11-08,23.0048
2021-11-09,18.89423
2021-11-10,18.65384
2021-11-11,19.8798
2021-11-12,16.25
2021-11-13,9.39903
2021-11-14,10.55288
2021-11-15,19.44711
2021-11-16,20.5048
2021-11-17,18.87019
2021-11-18,18.22115
2021-11-19,15.09615
2021-11-20,9.2548
2021-11-21,12.11538
2021-11-22,18.70192
2021-11-23,19.42307
2021-11-24,18.6298
2021-11-25,19.20673
2021-11-26,16.34615
2021-11-27,8.22115
2021-11-28,10.02403
2021-11-29,19.8798
2021-11-30,18.99038
2021-12-01,19.97596
2021-12-02,17.88461
2021-12-03,18.96634
2021-12-04,9.8798
2021-12-05,12.66826
2021-12-06,22.3798
2021-12-07,22.40384
2021-12-08,19.39903
2021-12-09,17.74038
