date,상가임대
2021-10-17,51.26859
2021-10-18,68.24146
2021-10-19,78.12773
2021-10-20,63.42957
2021-10-21,62.29221
2021-10-22,59.1426
2021-10-23,67.1916
2021-10-24,57.04286
2021-10-25,71.47856
2021-10-26,74.27821
2021-10-27,72.17847
2021-10-28,74.3657
2021-10-29,64.91688
2021-10-30,52.49343
2021-10-31,56.16797
2021-11-01,68.32895
2021-11-02,72.87839
2021-11-03,74.10323
2021-11-04,69.37882
2021-11-05,62.29221
2021-11-06,51.09361
2021-11-07,54.41819
2021-11-08,73.14085
2021-11-09,68.41644
2021-11-10,67.80402
2021-11-11,61.85476
2021-11-12,58.88013
2021-11-13,44.09448
2021-11-14,54.3307
2021-11-15,77.86526
2021-11-16,74.80314
2021-11-17,64.82939
2021-11-18,65.61679
2021-11-19,60.36745
2021-11-20,43.91951
2021-11-21,46.28171
2021-11-22,65.61679
2021-11-23,64.91688
2021-11-24,62.90463
2021-11-25,64.7419
2021-11-26,52.31846
2021-11-27,41.81977
2021-11-28,45.93175
2021-11-29,68.59142
2021-11-30,68.41644
2021-12-01,66.57917
2021-12-02,64.39195
2021-12-03,60.10498
2021-12-04,45.40682
2021-12-05,47.76902
2021-12-06,66.31671
2021-12-07,62.29221
2021-12-08,62.55468
2021-12-09,56.60542
2021-12-10,53.36832
2021-12-11,47.85651
2021-12-12,45.75678
2021-12-13,66.49168
2021-12-14,57.74278
2021-12-15,62.72965
2021-12-16,57.74278
2021-12-17,47.41907
2021-12-18,35.08311
2021-12-19,44.53193
2021-12-20,57.5678
2021-12-21,62.02974
2021-12-22,62.29221
2021-12-23,54.68066
2021-12-24,44.44444
2021-12-25,38.58267
2021-12-26,44.26946
2021-12-27,58.09273
2021-12-28,64.91688
2021-12-29,64.39195
2021-12-30,56.69291
2021-12-31,41.20734
2022-01-01,40.68241
2022-01-02,53.71828
2022-01-03,80.92738
2022-01-04,71.47856
2022-01-05,78.91513
2022-01-06,73.14085
2022-01-07,67.80402
2022-01-08,57.04286
