date,간병인보험
2021-11-05,2.77885
2021-11-06,1.94909
2021-11-07,2.07874
2021-11-08,2.93011
2021-11-09,3.30178
2021-11-10,3.44872
2021-11-11,3.3061
2021-11-12,3.15052
2021-11-13,2.10899
2021-11-14,2.19542
2021-11-15,3.25856
2021-11-16,3.31907
2021-11-17,3.42279
2021-11-18,2.95604
2021-11-19,2.80911
2021-11-20,1.96205
2021-11-21,1.85833
2021-11-22,2.90418
2021-11-23,2.71403
2021-11-24,3.09434
2021-11-25,4.39085
2021-11-26,3.10298
2021-11-27,2.09602
2021-11-28,2.21703
2021-11-29,3.17213
2021-11-30,2.63624
2021-12-01,2.36829
2021-12-02,2.60166
2021-12-03,2.38558
2021-12-04,1.73732
2021-12-05,1.68114
2021-12-06,2.61031
2021-12-07,3.0079
2021-12-08,2.83071
2021-12-09,2.99062
2021-12-10,2.69674
2021-12-11,2.00095
2021-12-12,1.97502
2021-12-13,2.74428
2021-12-14,2.58438
2021-12-15,2.51091
2021-12-16,2.67945
2021-12-17,2.06145
2021-12-18,1.66817
2021-12-19,1.79783
2021-12-20,2.99494
2021-12-21,2.66217
2021-12-22,2.43312
2021-12-23,2.53684
2021-12-24,2.09602
2021-12-25,1.5342
2021-12-26,1.67682
2021-12-27,2.80911
2021-12-28,2.61031
2021-12-29,2.68378
2021-12-30,2.9085
2021-12-31,2.18246
2022-01-01,1.61631
2022-01-02,1.73732
2022-01-03,2.5887
2022-01-04,2.76589
2022-01-05,2.68378
2022-01-06,2.90418
2022-01-07,2.60166
2022-01-08,1.97069
2022-01-09,2.07009
2022-01-10,2.99926
2022-01-11,2.91283
2022-01-12,2.95604
2022-01-13,2.58005
2022-01-14,2.76157
2022-01-15,2.14788
2022-01-16,1.93612
2022-01-17,2.60166
2022-01-18,2.96901
2022-01-19,2.86961
2022-01-20,2.92579
2022-01-21,2.60166
2022-01-22,1.85401
2022-01-23,1.82808
2022-01-24,2.60166
2022-01-25,2.70971
2022-01-26,2.92147
2022-01-27,2.6881
2022-01-28,2.28186
2022-01-29,2.0312
2022-01-30,1.67682
2022-01-31,1.9923
2022-02-01,2.2516
2022-02-02,2.55412
2022-02-03,3.37957
2022-02-04,3.33635
2022-02-05,2.70538
2022-02-06,2.26457
2022-02-07,2.9474
2022-02-08,3.15052
2022-02-09,3.02951
2022-02-10,3.05112
2022-02-11,3.09434
2022-02-12,2.25593
2022-02-13,2.16517
2022-02-14,3.51787
2022-02-15,3.79878
2022-02-16,3.6648
2022-02-17,4.2612
2022-02-18,3.64752
2022-02-19,2.39422
2022-02-20,2.41583
2022-02-21,3.41847
2022-02-22,3.13323
2022-02-23,2.80046
2022-02-24,3.03383
2022-02-25,2.7875
2022-02-26,2.34668
2022-02-27,2.17381
2022-02-28,2.53252
2022-03-01,2.00095
2022-03-02,2.3899
2022-03-03,2.80478
2022-03-04,2.51955
2022-03-05,1.81943
2022-03-06,2.02688
2022-03-07,2.52819
2022-03-08,2.57573
2022-03-09,1.80215
2022-03-10,2.53684
2022-03-11,2.40719
2022-03-12,1.80215
2022-03-13,2.00527
2022-03-14,2.70538
2022-03-15,3.24128
2022-03-16,2.93011
2022-03-17,2.91283
2022-03-18,2.7875
2022-03-19,2.32075
2022-03-20,1.77622
2022-03-21,2.85664
2022-03-22,2.83936
2022-03-23,2.93443
2022-03-24,3.48329
2022-03-25,2.69242
2022-03-26,1.99662
2022-03-27,2.22567
2022-03-28,2.87393
2022-03-29,3.40982
2022-03-30,3.26721
2022-03-31,3.01655
2022-04-01,2.22135
2022-04-02,1.7935
2022-04-03,1.49963
2022-04-04,2.44176
2022-04-05,2.70971
2022-04-06,2.7486
2022-04-07,2.48066
2022-04-08,2.32507
2022-04-09,1.71571
2022-04-10,1.59038
2022-04-11,2.45473
2022-04-12,2.81343
2022-04-13,2.69674
2022-04-14,2.57141
2022-04-15,2.46337
2022-04-16,1.86265
2022-04-17,1.84536
2022-04-18,2.96036
2022-04-19,3.05976
2022-04-20,3.17213
2022-04-21,2.80046
2022-04-22,2.72267
2022-04-23,1.85833
2022-04-24,1.63792
2022-04-25,3.14188
2022-04-26,3.40982
2022-04-27,2.9085
2022-04-28,2.7486
2022-04-29,2.28618
2022-04-30,1.8324
2022-05-01,1.59471
2022-05-02,2.32507
2022-05-03,3.08569
2022-05-04,2.70106
2022-05-05,1.81943
2022-05-06,2.20407
2022-05-07,1.84536
2022-05-08,1.92316
2022-05-09,3.06409
2022-05-10,2.63192
2022-05-11,2.64488
2022-05-12,3.0468
2022-05-13,2.46769
2022-05-14,1.81511
2022-05-15,1.75029
2022-05-16,2.56277
2022-05-17,4.65015
2022-05-18,3.12027
2022-05-19,2.97765
2022-05-20,2.77453
2022-05-21,1.87129
2022-05-22,2.02255
2022-05-23,2.57141
2022-05-24,2.95172
2022-05-25,2.9474
2022-05-26,2.80046
