date,저작권료
2021-05-19,9.80683
2021-05-20,12.03566
2021-05-21,8.02377
2021-05-22,10.10401
2021-05-23,10.10401
2021-05-24,10.40118
2021-05-25,9.95542
2021-05-26,11.14413
2021-05-27,9.80683
2021-05-28,11.14413
2021-05-29,11.14413
2021-05-30,8.61812
2021-05-31,8.17236
2021-06-01,9.65824
2021-06-02,12.33283
2021-06-03,11.4413
2021-06-04,11.58989
2021-06-05,8.46953
2021-06-06,9.36106
2021-06-07,9.65824
2021-06-08,7.87518
2021-06-09,9.65824
2021-06-10,8.46953
2021-06-11,8.61812
2021-06-12,6.98365
2021-06-13,10.69836
2021-06-14,9.21248
2021-06-15,8.46953
2021-06-16,8.46953
2021-06-17,8.02377
2021-06-18,9.80683
2021-06-19,6.98365
2021-06-20,6.83506
2021-06-21,7.578
2021-06-22,8.76671
2021-06-23,6.98365
2021-06-24,9.21248
2021-06-25,8.46953
2021-06-26,6.83506
2021-06-27,7.28083
2021-06-28,7.72659
2021-06-29,7.28083
2021-06-30,5.49777
2021-07-01,7.87518
2021-07-02,7.42942
2021-07-03,9.21248
2021-07-04,9.06389
2021-07-05,9.65824
2021-07-06,6.68647
2021-07-07,6.3893
2021-07-08,6.83506
2021-07-09,7.72659
2021-07-10,6.83506
2021-07-11,8.02377
2021-07-12,7.28083
2021-07-13,6.98365
2021-07-14,8.46953
2021-07-15,7.578
2021-07-16,7.578
2021-07-17,6.83506
2021-07-18,5.34918
2021-07-19,8.17236
2021-07-20,7.578
2021-07-21,7.28083
2021-07-22,6.98365
2021-07-23,13.96731
2021-07-24,8.02377
2021-07-25,9.06389
2021-07-26,8.17236
2021-07-27,5.94353
2021-07-28,7.42942
2021-07-29,9.50965
2021-07-30,4.45765
2021-07-31,5.49777
2021-08-01,8.02377
2021-08-02,8.17236
2021-08-03,13.07578
2021-08-04,9.65824
2021-08-05,14.56166
2021-08-06,9.36106
2021-08-07,10.84695
2021-08-08,6.68647
2021-08-09,13.37295
2021-08-10,8.17236
2021-08-11,5.79494
2021-08-12,13.22436
2021-08-13,12.7786
2021-08-14,7.72659
2021-08-15,8.61812
2021-08-16,11.58989
2021-08-17,8.76671
2021-08-18,12.92719
2021-08-19,8.61812
2021-08-20,7.42942
2021-08-21,6.83506
2021-08-22,8.46953
2021-08-23,9.21248
2021-08-24,9.65824
2021-08-25,8.02377
2021-08-26,8.76671
2021-08-27,6.98365
2021-08-28,8.46953
2021-08-29,6.53789
2021-08-30,8.17236
2021-08-31,13.81872
2021-09-01,10.84695
2021-09-02,10.2526
2021-09-03,9.80683
2021-09-04,7.87518
2021-09-05,8.9153
2021-09-06,6.53789
2021-09-07,8.32095
2021-09-08,7.72659
2021-09-09,4.45765
2021-09-10,7.42942
2021-09-11,6.09212
2021-09-12,5.34918
2021-09-13,6.3893
2021-09-14,6.68647
2021-09-15,7.28083
2021-09-16,5.94353
2021-09-17,6.3893
2021-09-18,5.79494
2021-09-19,10.54977
2021-09-20,11.4413
2021-09-21,12.92719
2021-09-22,10.69836
2021-09-23,9.50965
2021-09-24,8.61812
2021-09-25,8.02377
2021-09-26,9.95542
2021-09-27,10.40118
2021-09-28,8.02377
2021-09-29,8.76671
2021-09-30,8.46953
2021-10-01,8.61812
2021-10-02,13.67013
2021-10-03,8.17236
